bill_id,session,session_year,primary_sponsor,all_sponsors,summary,keywords,bill_url
HB1001,2023-RS,2023,Representative Otten (Ernie) (prime),"Representatives Otten (Ernie) (prime), Duba, Gross, Karr, and Peterson (Sue) and Senators Hunhoff, Nesiba, Schoenfish, and Wheeler at the request of the Government Operations & Audit",allow the Government Operations and Audit Committee to issue subpoenas without Executive Board approval.,Government Operations and Audit; Legislative Oversight; Legislature and Statutes,http://sdlegislature.gov/Session/Bill/23685
HB1002,2023-RS,2023,The Committee on Judiciary,The Committee on Judiciary at the request of the Code Commission,update the official code of laws.,Code Commission; Legislature and Statutes,http://sdlegislature.gov/Session/Bill/23697
HB1003,2023-RS,2023,Representative Bartels (prime),Representative Bartels (prime) and Senator Schoenbeck (prime) at the request of the Executive Board,repeal provisions requiring prison or jail cost estimates and to declare an emergency.,Emergency Clause; Legislature and Statutes,http://sdlegislature.gov/Session/Bill/23772
HB1004,2023-RS,2023,The Committee on State Affairs,The Committee on State Affairs at the request of the State Investment Council,update a reference to the Internal Revenue Code for purposes of higher education savings plans.,Education; Executive/Judiciary Request; Higher Education,http://sdlegislature.gov/Session/Bill/23827
HB1005,2023-RS,2023,The Committee on Commerce,The Committee on Commerce and Energy at the request of the South Dakota Public Utilities Commission,update certain citations to federal regulations regarding pipeline safety inspections.,Executive/Judiciary Request; Pipelines; Public Utilities and Carriers,http://sdlegislature.gov/Session/Bill/23838
HB1006,2023-RS,2023,The House Committee on Appropriations,The House Committee on Appropriations at the request of the Bureau of Administration,"increase the funding for construction of an addition to the Kinsman Building in Pierre, to make an appropriation therefor, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; State Affairs and Government,http://sdlegislature.gov/Session/Bill/23943
HB1007,2023-RS,2023,The Committee on Retirement Laws,The Committee on Retirement Laws at the request of the South Dakota Retirement System,add emergency medical services personnel to Class B public safety membership of the South Dakota Retirement System.,Emergency Medical Services; Executive/Judiciary Request; Retirement System,http://sdlegislature.gov/Session/Bill/23902
HB1008,2023-RS,2023,The Committee on Retirement Laws,The Committee on Retirement Laws at the request of the South Dakota Retirement System,revise provisions relating to actuarial terminology used by the South Dakota Retirement System.,Executive/Judiciary Request; Retirement System,http://sdlegislature.gov/Session/Bill/23904
HB1009,2023-RS,2023,The Committee on Retirement Laws,The Committee on Retirement Laws at the request of the South Dakota Retirement System,update and clarify certain provisions relating to the South Dakota Retirement System.,Executive/Judiciary Request; Retirement System,http://sdlegislature.gov/Session/Bill/23905
HB1010,2023-RS,2023,The Committee on Health,The Committee on Health and Human Services at the request of the Board of Social Work Examiners,repeal the sunset date for provisions related to the licensure of behavior analysts.,Boards and Commissions; Executive/Judiciary Request; Professions and Occupations; Sunset Clause,http://sdlegislature.gov/Session/Bill/23791
