bill_id,session,session_year,primary_sponsor,all_sponsors,summary,keywords,bill_url
HB1150,2024-RS,2024,Representative Gross (prime),"Representatives Gross (prime), Blare, Deutsch, Fitzgerald, Koth, Krohmer, Lems, May, Mills, Mulally, Perry, Pinnow, and Schaefbauer and Senators Deibert (prime), Mehlhaff, Novstrup, and Stalzer",enable the exercise of control by local governments over the presence and operation of medical marijuana establishments within their jurisdictions.,Counties; Medical Cannabis; Municipal Government; Public Health and Safety,http://sdlegislature.gov/Session/Bill/24952
HB1151,2024-RS,2024,Representative Pourier (prime),"Representatives Pourier (prime), Duba, Emery, Healy, Jensen (Phil), Lesmeister, Nelson, Perry, Teunissen, and Wittman and Senators Foster and Nesiba",define and require active efforts for purposes of preserving and reuniting families following instances of abuse or neglect.,Child Abuse; Indian Tribes; Minors; Parental Control,http://sdlegislature.gov/Session/Bill/25219
HB1152,2024-RS,2024,Representative Tordsen (prime),"Representatives Tordsen (prime), Blare, Emery, Kull, Lesmeister, Moore, Mulder, Perry, Pinnow, St. John, and Teunissen and Senator Zikmund",establish the crime of possession of a weapon or tools with intent to commit theft and to provide a penalty therefor.,Crimes; Penalty,http://sdlegislature.gov/Session/Bill/24502
HB1153,2024-RS,2024,Representative Duba (prime),Representatives Duba (prime) and Wittman and Senators Foster and Nesiba,impose a reporting requirement regarding a lost or stolen firearm and to provide a penalty therefor.,Crimes; Firearms; Law Enforcement; Penalty; Reports; Trade Regulation,http://sdlegislature.gov/Session/Bill/25016
HB1154,2024-RS,2024,Representative Wittman (prime),"Representatives Wittman (prime), Aylward, Callies, Drury, Duba, Emery, Healy, Lesmeister, Nelson, Perry, Pourier, and Rehfeldt and Senators Davis (prime), Larson, and Nesiba",establish the minimum age for marriage.,Domestic Relations; Marriage,http://sdlegislature.gov/Session/Bill/24598
HB1155,2024-RS,2024,Representative Nelson (prime),"Representatives Nelson (prime), Duba, Healy, Lesmeister, Pourier, and Wittman and Senator Nesiba",require the consideration of certain definitions when investigating unfair or discriminatory practices.,Personal Rights and Obligations,http://sdlegislature.gov/Session/Bill/25213
HB1156,2024-RS,2024,Representative Derby (prime),Representative Derby (prime),make an appropriation to enhance the economic health of South Dakota.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25187
HB1157,2024-RS,2024,Representative Derby (prime),Representative Derby (prime),make an appropriation for the economic development of South Dakota.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25188
HB1158,2024-RS,2024,Representative Hansen (prime),Representative Hansen (prime) and Senator Wheeler (prime),limit reliance upon secondary sources as statements of law.,Legislature and Statutes,http://sdlegislature.gov/Session/Bill/25166
HB1159,2024-RS,2024,Representative Emery (prime),"Representatives Emery (prime), Duba, Perry, Pourier, Teunissen, Tordsen, and Wittman and Senators Foster and Nesiba",transfer the Office of Indian Education to the Department of Education.,Code Commission; Education; Indian Tribes,http://sdlegislature.gov/Session/Bill/25229
HB1160,2024-RS,2024,Representative Emery (prime),Representative Emery (prime),modify and establish provisions regarding remote sales tax and tribal tax agreements.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25228
HB1161,2024-RS,2024,Representative Stevens (prime),"Representatives Stevens (prime), Bartels, Blare, Drury, Duba, Koth, Kull, Mortenson, Peterson (Drew), Reimer, Reisch, Venhuizen, and Wangsness and Senators Wheeler (prime), Stalzer, and Zikmund",regulate the acceptance of a central bank digital currency.,Banks and Banking; Trade Regulation,http://sdlegislature.gov/Session/Bill/24958
HB1162,2024-RS,2024,Representative Aylward (prime),"Representatives Aylward (prime), Arlint, Heermann, Jensen (Phil), Krohmer, Lems, May, Mills, Mortenson, Odenbach, Perry, Peterson (Sue), Reisch, Tordsen, Venhuizen, Wangsness, and Wittman and Senators Beal, Crabtree, Frye-Mueller, Pischke, and Wiik",revise certain provisions pertaining to time of school district elections.,Boards of School Districts; Delayed Effective Date; Education; Elections,http://sdlegislature.gov/Session/Bill/24838
HB1163,2024-RS,2024,Representative Stevens (prime),"Representatives Stevens (prime), Bartels, Blare, Drury, Duba, Koth, Kull, Mortenson, Peterson (Drew), Rehfeldt, Reimer, Teunissen, Venhuizen, and Wangsness and Senators Wheeler (prime), Schoenbeck, and Zikmund",amend provisions of the Uniform Commercial Code.,Uniform Commercial Code,http://sdlegislature.gov/Session/Bill/24682
HB1164,2024-RS,2024,Representative Aylward (prime),"Representatives Aylward (prime), Hansen, Jensen (Phil), Lems, May, Mulally, Mulder, Odenbach, Overweg, Perry, Peterson (Sue), Pinnow, Sjaarda, Tordsen, Wangsness, and Wittman and Senators Pischke (prime), Beal, Frye-Mueller, Rohl, and Stalzer",require a school board to hold a bond election at a primary or school general election.,,http://sdlegislature.gov/Session/Bill/24561
HB1165,2024-RS,2024,Representative Jensen (Phil) (prime),"Representatives Jensen (Phil) (prime), Aylward, and Perry and Senator Frye-Mueller",institute procedures for addressing the bullying of a student.,Education; Parental Control; Students,http://sdlegislature.gov/Session/Bill/24567
HB1166,2024-RS,2024,Representative Jensen (Phil) (prime),"Representatives Jensen (Phil) (prime), Krohmer, Mulally, and Perry and Senator Frye-Mueller",clarify determinations regarding the wearing of facemasks.,Labor and Employment,http://sdlegislature.gov/Session/Bill/24568
HB1167,2024-RS,2024,Representative Jensen (Phil) (prime),Representative Jensen (Phil) (prime) and Senator Frye-Mueller,clarify determinations regarding the injection of a COVID-19 vaccine.,COVID-19; Immunization; Labor and Employment,http://sdlegislature.gov/Session/Bill/24642
HB1168,2024-RS,2024,Representative Jensen (Phil) (prime),Representative Jensen (Phil) (prime) and Senator Frye-Mueller,require the dispensing of drugs prescribed for an off-label use during a public health emergency.,Education; Health Care; Professions and Occupations,http://sdlegislature.gov/Session/Bill/24722
HB1169,2024-RS,2024,Representative Jensen (Phil) (prime),"Representatives Jensen (Phil) (prime), Perry, and Tordsen and Senator Frye-Mueller","prohibit the manufacturing, delivering, distributing, and selling of food containing specified substances.",Crimes; Food and Drugs; Penalty,http://sdlegislature.gov/Session/Bill/24793
HB1170,2024-RS,2024,Representative Jensen (Phil) (prime),"Representatives Jensen (Phil) (prime), Aylward, and Mulally and Senator Frye-Mueller",allow a licensed distiller to sell and ship distilled spirits directly to a consumer.,Alcoholic Beverages; Fees,http://sdlegislature.gov/Session/Bill/24870
HB1171,2024-RS,2024,Representative Karr (prime),Representative Karr (prime),improve child care in South Dakota.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25025
HB1172,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Auch, Duba, Gross, Krohmer, Kull, May, Mulder, Perry, and Pinnow and Senators Maher and Pischke",prohibit the act of collusion during the procurement process and provide a penalty therefor.,"Procurement of Public Improvements; Public Property, Purchases and Contracts; Reports",http://sdlegislature.gov/Session/Bill/25049
HB1173,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Auch, Krull, and Perry and Senators Deibert, Maher, and Pischke",revise unemployment insurance contribution rates.,Reemployment Assistance,http://sdlegislature.gov/Session/Bill/25073
HB1174,2024-RS,2024,Representative Duba (prime),Representative Duba (prime),require proper storage of a firearm and to provide a penalty therefor.,Crimes; Firearms; Penalty; Trade Regulation,http://sdlegislature.gov/Session/Bill/25222
HB1175,2024-RS,2024,Representative Karr (prime),Representative Karr (prime),allow for the permanent reduction of taxes in South Dakota.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25232
HB1176,2024-RS,2024,Representative Karr (prime),Representative Karr (prime),allow for changes to healthcare related provisions.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25231
HB1177,2024-RS,2024,Representative Karr (prime),Representative Karr (prime),provide for the enhancement and improvement of South Dakota.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25233
HB1178,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Auch, Aylward, Bahmuller, Blare, Deutsch, Hansen, Jensen (Phil), Krohmer, Lems, May, Mulder, Overweg, Perry, Pinnow, Schaefbauer, Sjaarda, and Teunissen and Senators Novstrup (prime), Frye-Mueller, Pischke, and Stalzer",prohibit the Board of Regents or any institution under its control from using state resources for obscene live conduct.,Education; Higher Education; Obscenity and Public Indecency,http://sdlegislature.gov/Session/Bill/25243
HB1179,2024-RS,2024,Representative Karr (prime),Representative Karr (prime),make an appropriation to ensure South Dakota's greatness.,Hoghouse-Vehicle Bill,http://sdlegislature.gov/Session/Bill/25252
HB1180,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Emery, Jensen (Phil), Krohmer, Lems, May, Mulder, Overweg, and Perry and Senator Frye-Mueller","require legislative approval for the purchase of real property by the Department of Game, Fish and Parks.","Game, Fish, Parks and Forestry; Legislative Oversight; Procurement of Public Improvements",http://sdlegislature.gov/Session/Bill/25235
HB1181,2024-RS,2024,Representative Chase (prime),Representative Chase (prime) and Senator Reed (prime),"increase the number of years the discretionary formula may be applied to a structure, and to allow for the individual application of the discretionary formula for a structure.",Counties; Property Tax; Tax Exemptions and Refunds; Taxation,http://sdlegislature.gov/Session/Bill/24883
HB1182,2024-RS,2024,Representative Chaffee (prime),"Representatives Chaffee (prime), Blare, Perry, Stevens, Wangsness, and Weisgram and Senator Duhamel (prime)",revise provisions pertaining to the observation of the conduct of an election.,Crimes; Election Verification; Elections; Penalty; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/24504
HB1183,2024-RS,2024,Representative Auch (prime),"Representatives Auch (prime), Jensen (Phil), and Perry and Senator Kolbeck (Steve)",modernize the process for annual audits of third-party insurance administrators.,Insurance,http://sdlegislature.gov/Session/Bill/25143
HB1184,2024-RS,2024,Representative Duba (prime),Representative Duba (prime) and Senator Nesiba,require the Department of Social Services and the Department of Education to apply for and administer the summer electronic benefit transfer for children program and to make an appropriation therefor.,Appropriation; Public Welfare and Assistance,http://sdlegislature.gov/Session/Bill/25201
HB1185,2024-RS,2024,Representative Mortenson (prime),"Representatives Mortenson (prime), Bartels, Callies, Koth, Perry, Peterson (Drew), Reisch, Shorma, Stevens, Teunissen, Tordsen, Wangsness, and Weisgram and Senators Crabtree (prime) and Tobin",amend provisions regarding entry on private property for examination and survey of a project requiring a siting permit.,Eminent Domain; Judicial Remedies; Pipelines; Public Utilities and Carriers,http://sdlegislature.gov/Session/Bill/24950
HB1186,2024-RS,2024,Representative Mortenson (prime),"Representatives Mortenson (prime), Blare, Koth, Lesmeister, Moore, Peterson (Drew), Reisch, Stevens, Teunissen, Tordsen, Wangsness, and Weisgram and Senators Crabtree (prime) and Tobin",define the requirements for granting a carbon pipeline easement.,Pipelines; Property,http://sdlegislature.gov/Session/Bill/24979
HB1187,2024-RS,2024,Representative Sauder (prime),"Representatives Sauder (prime), Arlint, Duba, Emery, Jensen (Kevin), Kassin, Krull, Moore, Mortenson, Perry, Pinnow, Stevens, Venhuizen, and Weisgram and Senators Schoenfish (prime), Crabtree, Davis, Schoenbeck, and Zikmund",create a one-year career and technical education instructor educator permit.,Education; Licensure; Promulgation of Rules; Teachers,http://sdlegislature.gov/Session/Bill/24859
HB1188,2024-RS,2024,Representative Mulally (prime),"Representatives Mulally (prime), Aylward, Emery, Jensen (Phil), Perry, and Randolph and Senators Frye-Mueller and Pischke",revise the process by which a legislative vacancy is filled.,Appointments; Organization of the Legislature; Public Officers and Employees,http://sdlegislature.gov/Session/Bill/24976
HB1189,2024-RS,2024,Representative Mulally (prime),Representative Mulally (prime),prohibit the use of public funds for campaigning or other partisan activity.,Campaign Finance; Crimes; Elections; Penalty,http://sdlegislature.gov/Session/Bill/25042
HB1190,2024-RS,2024,Representative Odenbach (prime),"Representatives Odenbach (prime), Auch, Aylward, Gross, Jensen (Kevin), Krohmer, Krull, Lems, May, Mills, Overweg, Perry, Schaefbauer, Sjaarda, and Soye and Senators Maher (prime) and Foster",establish public use criteria for purposes of condemnation proceedings.,"Eminent Domain; Highways, Roads, and Bridges; Judicial Remedies",http://sdlegislature.gov/Session/Bill/24801
HB1191,2024-RS,2024,Representative Aylward (prime),"Representatives Aylward (prime), Auch, Jensen (Phil), Lems, Mulally, Perry, and Schaefbauer and Senators Pischke (prime) and Frye-Mueller",require an official declaration of war or other Congressional action before the South Dakota National Guard may be deployed by the federal government.,Military Affairs; National Guard,http://sdlegislature.gov/Session/Bill/24810
HB1192,2024-RS,2024,Representative Krohmer (prime),"Representatives Krohmer (prime), Aylward, Emery, Jensen (Phil), Pourier, Randolph, and Stevens and Senators Hoffman (prime), Foster, and Pischke",enhance the penalty for rape of a child twelve years of age or under.,Capital Punishment; Crimes; Minors; Penalty; Sex Offenses,http://sdlegislature.gov/Session/Bill/24432
HB1193,2024-RS,2024,Representative Blare (prime),"Representatives Blare (prime), Auch, Aylward, Jensen (Kevin), Lems, Mills, Moore, Mortenson, Mulally, Overweg, Perry, Schaefbauer, Sjaarda, Teunissen, and Wangsness",provide that required siting permits be filed with condemnation petitions.,Eminent Domain; Judicial Remedies; Pipelines; Utilities,http://sdlegislature.gov/Session/Bill/24784
HB1194,2024-RS,2024,Representative Pinnow (prime),"Representatives Pinnow (prime), Blare, Chase, Koth, Perry, Stevens, and Teunissen and Senators Deibert and Mehlhaff",clarify provisions pertaining to tax increment finance districts.,"Counties; Municipal Government; Planning, Zoning and Housing Programs; Property Tax",http://sdlegislature.gov/Session/Bill/24617
HB1195,2024-RS,2024,Representative Wittman (prime),"Representatives Wittman (prime), Duba, Emery, Fitzgerald, Karr, Krohmer, Lesmeister, Nelson, Pourier, and Randolph and Senators Hoffman, Nesiba, and Rohl",provide authority for a court to order offenders convicted of vehicular homicide to pay restitution to a victim's children until age eighteen.,Child Support; Crimes; Criminal Procedure; Domestic Relations,http://sdlegislature.gov/Session/Bill/24422
HB1196,2024-RS,2024,Representative Jamison (prime),"Representatives Jamison (prime), Blare, Overweg, and Weisgram and Senators Reed (prime) and Zikmund",streamline the process by which an on-sale retail license holder may acquire a special event license.,Alcoholic Beverages,http://sdlegislature.gov/Session/Bill/25133
HB1197,2024-RS,2024,Representative Stevens (prime),"Representatives Stevens (prime), Arlint, Aylward, Bartels, Blare, Chaffee, Deutsch, Duba, Gross, Hansen, Heermann, Jensen (Kevin), Jensen (Phil), Koth, Kull, May, Moore, Mortenson, Mulder, Odenbach, Perry, Pinnow, Rehfeldt, Reimer, Reisch, Sauder, Teunissen, Wangsness, and Weisgram and Senators Kolbeck (Steve) (prime), Crabtree, Davis, Diedrich, Frye-Mueller, Hunhoff, Johnson, Kolbeck (Jack), Pischke, Rohl, Schoenbeck, Stalzer, and Zikmund",require the publication of measures taken to restrict the access of obscene materials by minors.,Crimes; Libraries; Minors; Obscenity and Public Indecency; School Districts,http://sdlegislature.gov/Session/Bill/24817
HB1198,2024-RS,2024,Representative Tordsen (prime),"Representatives Tordsen (prime), Bartels, Mortenson, Rehfeldt, Teunissen, and Wangsness and Senators Johnson, Rohl, and Schoenbeck","revise the process for nominating candidates for the offices of lieutenant governor, attorney general, and secretary of state.",Campaign Finance; Elections; Political Parties; Promulgation of Rules,http://sdlegislature.gov/Session/Bill/25141
HB1199,2024-RS,2024,Representative Auch (prime),"Representatives Auch (prime), Aylward, Deutsch, Gross, Jensen (Kevin), Jensen (Phil), Mills, Overweg, Perry, Randolph, Sjaarda, and Soye and Senators Frye-Mueller, Novstrup, and Pischke",repeal certain provisions of the Uniform Commercial Code.,Uniform Commercial Code,http://sdlegislature.gov/Session/Bill/25204
HB1200,2024-RS,2024,The Committee on State Affairs,The Committee on State Affairs,increase the minimum fee required with an application for construction of an energy conversion and transmission facility.,Fees; Public Utilities and Carriers; Utilities,http://sdlegislature.gov/Session/Bill/25202
HB1201,2024-RS,2024,Representative DeGroot (prime),"Representatives DeGroot (prime), Blare, Duba, Emery, Fitzgerald, Krull, Mortenson, Peterson (Drew), Pinnow, Reimer, Reisch, Stevens, Teunissen, and Wittman and Senators Schoenfish (prime), Crabtree, and Zikmund",make an appropriation for the teacher apprenticeship pathway program.,Appropriation; Labor and Employment; Teachers,http://sdlegislature.gov/Session/Bill/25191
HB1202,2024-RS,2024,Representative Karr (prime),"Representatives Karr (prime), Duba, Kull, May, Mulder, and Perry and Senators Pischke and Tobin",establish procedures for the termination of services by a provider through the CHOICES waiver program.,Administrative Procedure; Developmentally Disabled Persons; Human Services; Medicaid,http://sdlegislature.gov/Session/Bill/25189
HB1203,2024-RS,2024,Representative Lems (prime),"Representatives Lems (prime), Auch, Aylward, Bahmuller, Blare, Jensen (Phil), Krohmer, Lesmeister, May, Moore, Mortenson, Overweg, Perry, Randolph, Schaefbauer, Sjaarda, and Wangsness and Senators Tobin (prime), Frye-Mueller, Pischke, and Rohl",clarify references to the court in a condemnation proceeding.,Eminent Domain; Judicial Remedies,http://sdlegislature.gov/Session/Bill/25257
HB1204,2024-RS,2024,Representative Wittman (prime),"Representatives Wittman (prime), Duba, Emery, Healy, Lesmeister, Nelson, and Pourier and Senators Larson and Nesiba",establish a civil action for nonconsensual condom removal.,Liability; Personal Rights and Obligations,http://sdlegislature.gov/Session/Bill/24695
HB1205,2024-RS,2024,The Joint Committee on Appropriations,The Joint Committee on Appropriations at the request of the Governor,"appropriate money for the ordinary expenses of the legislative, judicial, and executive departments of the state, the current expenses of state institutions, interest on the public debt, and for common schools.",Appropriation; Executive/Judiciary Request; Public Officers and Employees; State Affairs and Government; Transfer of Funds,http://sdlegislature.gov/Session/Bill/24969
HB1206,2024-RS,2024,Representative Massie (prime),Representative Massie (prime) and Senators Duhamel (prime) and Deibert,make an appropriation for a grant to the Douglas school district for the construction costs of a new school.,Appropriation; Education; Emergency Clause; Fund; Grants; Hoghouse-Vehicle Bill; Procurement of Public Improvements; School Districts; Taxation,http://sdlegislature.gov/Session/Bill/25179
HB1207,2024-RS,2024,Representative Healy (prime),"Representatives Healy (prime), Lesmeister, Nelson, and Wittman and Senator Nesiba",create requirements for the disclosure of certain information relating to health care sharing arrangements.,Health Care; Insurance,http://sdlegislature.gov/Session/Bill/24772
HB1208,2024-RS,2024,Representative Ladner (prime),"Representatives Ladner (prime), Krull, May, and Perry and Senators Deibert, Foster, Maher, and Zikmund",require the director of equalization to adjust certain agricultural land values.,Agricultural Land; Property Tax; Taxation,http://sdlegislature.gov/Session/Bill/24881
HB1209,2024-RS,2024,Representative Ladner (prime),"Representatives Ladner (prime), Fitzgerald, and Krull and Senators Frye-Mueller and Zikmund",appropriate moneys to reconstruct Custer West Dam.,Appropriation; Municipal Government; Procurement of Public Improvements; Water Management,http://sdlegislature.gov/Session/Bill/25122
HB1210,2024-RS,2024,Representative Jensen (Kevin) (prime),"Representatives Jensen (Kevin) (prime), Fitzgerald, Jensen (Phil), Kull, Moore, and Perry and Senators Frye-Mueller and Novstrup",permit a child adjudicated delinquent for theft of a firearm to be committed to the Department of Corrections.,Crimes; Firearms; Juvenile Justice; Minors,http://sdlegislature.gov/Session/Bill/24856
HB1211,2024-RS,2024,Representative Venhuizen (prime),"Representatives Venhuizen (prime), Duba, Koth, Mortenson, and Otten (Ernie) and Senators Maher (prime), Bolin, and Zikmund",repeal the Midwestern Regional Higher Education Compact.,Compacts; Education; Higher Education,http://sdlegislature.gov/Session/Bill/25304
HB1212,2024-RS,2024,Representative Kull (prime),"Representatives Kull (prime), Mulder, Overweg, and Stevens and Senators Bolin, Kolbeck (Steve), and Zikmund",require certain vehicles to be equipped with mud flaps.,Commercial Trucking; Motor Vehicles,http://sdlegislature.gov/Session/Bill/25176
