bill_id,session,session_year,action_date,action,order,vote_url
HB1001,2023-RS,2023,2023-01-10,First Reading House H.J. 14,1,
HB1001,2023-RS,2023,2023-01-11,Referred to House State Affairs H.J. 24,2,
HB1001,2023-RS,2023,2023-01-13,Scheduled for hearing,3,
HB1001,2023-RS,2023,2023-01-13,"House State Affairs  Deferred to the 41st legislative day, Passed, YEAS 9, NAYS 3.",4,
HB1001,2023-RS,2023,2023-01-18,"Recalled from committee (Rule 7-7), Passed H.J. 51",5,
HB1001,2023-RS,2023,2023-01-18,"House State Affairs  Report out of committee without recommendation, Passed",6,
HB1001,2023-RS,2023,2023-01-20,"Placed on calendar pursuant to JR 6F-6, Passed, YEAS 37, NAYS 32. H.J. 70",7,
HB1001,2023-RS,2023,2023-01-23,"House of Representatives  Do Pass, Passed, YEAS 39, NAYS 31. H.J. 84",8,
HB1001,2023-RS,2023,2023-01-24,First read in Senate and referred to Senate State Affairs S.J. 103,9,
HB1001,2023-RS,2023,2023-03-01,Scheduled for hearing,10,
HB1001,2023-RS,2023,2023-03-01,"Senate State Affairs  Deferred to the 41st legislative day, Passed, YEAS 5, NAYS 4.",11,
HB1002,2023-RS,2023,2023-01-10,First Reading House H.J. 14,1,
HB1002,2023-RS,2023,2023-01-11,Referred to House Judiciary H.J. 24,2,
HB1002,2023-RS,2023,2023-01-20,Scheduled for hearing,3,
HB1002,2023-RS,2023,2023-01-20,"House Judiciary  Do Pass, Passed, YEAS 13, NAYS 0.",4,
HB1002,2023-RS,2023,2023-01-20,"Certified uncontested, placed on consent",5,
HB1002,2023-RS,2023,2023-01-23,"House of Representatives  Do Pass, Passed, YEAS 66, NAYS 4. H.J. 82",6,
HB1002,2023-RS,2023,2023-01-24,First read in Senate and referred to Senate Judiciary S.J. 103,7,
HB1002,2023-RS,2023,2023-01-31,Scheduled for hearing,8,
HB1002,2023-RS,2023,2023-01-31,"Senate Judiciary  Do Pass, Passed, YEAS 6, NAYS 0.",9,
HB1002,2023-RS,2023,2023-01-31,"Certified uncontested, placed on consent",10,
HB1002,2023-RS,2023,2023-02-01,"Senate  Do Pass, Passed, YEAS 35, NAYS 0. S.J. 164",11,
HB1002,2023-RS,2023,2023-02-02,Signed by the Speaker H.J. 215,12,
HB1002,2023-RS,2023,2023-02-03,Signed by the President S.J. 193,13,
HB1002,2023-RS,2023,2023-02-06,"Delivered to the Governor on Monday, February 06, 2023  H.J. 230",14,
HB1002,2023-RS,2023,2023-02-13,"Signed by the Governor on Thursday, February 09, 2023  H.J. 280",15,
HB1003,2023-RS,2023,2023-01-10,First Reading House H.J. 14,1,
HB1003,2023-RS,2023,2023-01-11,Referred to House State Affairs H.J. 24,2,
HB1003,2023-RS,2023,2023-01-18,Scheduled for hearing,3,
HB1003,2023-RS,2023,2023-01-18,"House State Affairs  Do Pass, Passed, YEAS 11, NAYS 2.",4,
HB1003,2023-RS,2023,2023-01-19,"House of Representatives  Do Pass, Passed, YEAS 59, NAYS 10. H.J. 64",5,
HB1003,2023-RS,2023,2023-01-20,First read in Senate and referred to Senate State Affairs S.J. 77,6,
HB1003,2023-RS,2023,2023-01-25,Scheduled for hearing,7,
