"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"SC","2023_2024","Bill Hager","24304","H","R","HD-122",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Carl Anderson","2205","H","D","HD-103",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Daniel Gibson","23373","H","R","HD-012",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","David Vaughan","23376","H","R","HD-027",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Frank Atkinson","18085","H","D","HD-057",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Mike Neese","23304","H","R","HD-044",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Terry Alexander","2202","H","D","HD-059",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Tiffany Spann-Wilder","25192","H","D","HD-109",FALSE,"Won special election April 2, 2024 to replace Tedder - included with LES=0"
"SC","2023_2024","Val Guest","24303","H","R","HD-106",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","William Wheeler","18095","H","D","HD-050",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","William Whitmire","2319","H","R","HD-001",FALSE,"Served full term - included with LES=0"
"SC","2023_2024","Richard Cash","19395","S","R","SD-003",FALSE,"Served full term - included with LES=0"
