LD_num,paper_num,term,session,title,primary_sponsor,cosponsors,reference_comm,reference_date,status,chapter_num,bill_url,chamber_status_url
,CO0011,131,,"ORDERED, that a Committee be appointed to wait upon the First Family of the State of Maine, inviting them to attend this Joint Convention now assembled in the Hall of the House for the Purpose of extending to Governor Janet T. Mills, an invitation to attend and make such communication as she may be please to make.",Senator Eloise VITELLI of Sagadahoc,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=CO11,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280091820
,CO0012,131,,"ORDERED, that a Committee be appointed to wait upon the Honorable Janet T. Mills, Governor of the State of Maine, and Chief Justice Valerie Stanfill extending to them an invitation to attend this convention, and to extend to Governor Janet T. Mills an invitation to make such communication as she may be pleased to make.",Senator Matthea DAUGHTRY of Cumberland,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=CO12,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280091821
,CO0013,131,,"ORDERED, that a committee be appointed to wait upon the Honorable Valerie Stanfill, Chief Justice of the Supreme Judicial Court; the Honorable Janet T. Mills, Governor of the State of Maine; the Justices of the Supreme Judicial Court; and members of the Judiciary, and inform them that the two branches of the Legislature are in convention assembled, ready to receive such communications as the Chief Justice is pleased to make.",Senator Eloise VITELLI of Sagadahoc,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=CO13,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280092057
,HC0001,131,,"Communication, Secretary of State, Certify Representatives-elect to the 131stLegislature pursuant to MRSA, Title 3, section 1",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC1,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085010
,HC0002,131,,"Communication Secretary of State - pursuant to the Constitution and laws of the State of Maine, tabulated general election return",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC2,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085030
,HC0003,131,,"It is certified that the Passamaquoddy Tribe duly elected Aaron M. Dana, as Passamaquoddy Tribal Representative to the Maine Legislature for a term of four years commencing October 1, 2022 to September 30, 2026.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC3,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085038
,HC0004,131,,"Pursuant to House Rule 201.1 (I) (b), I am pleased to appoint you as the Sergeant-at-Arms for the 131st Legislature.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC4,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085039
,HC0005,131,,"Pursuant to House Rule 201.1 (I) (b), I am pleased to appoint you as the Assistant Sergeant-at-Arms for the 131st Legislature.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC5,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085040
,HC0006,131,,"Pursuant to my authority under House Rule 201.1 (I) (a), I am temporarily appointing the following House members to the Joint Standing Committee on Appropriations and Financial Affairs, effective December 16, 2022:",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC6,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085071
,HC0007,131,,"Pursuant to my authority under Title 5, section 12004-I, subsection 2-I, I am pleased to reappoint Representative Jessica Fay of Raymond to the Advisory Committee on the Fund To Address PFAS Contamination, effective immediately.",,,,,,,http://legislature.maine.gov/legis/bills/display_ps.asp?PID=1456&snum=131&paper=HC7,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280085080
