bill_number,term,bill_type,intro_date,primary_sponsor,cosponsors,title,summary,approp_bill,veto,partial_veto,companion,bill_url
HB1011,2023-2024,Bill,2023-01-09,"Abbarno, Peter","Corry, Chris; Dent, Tom; Barkis, Andrew; Griffey, Dan; Ybarra, Alex; Walsh, Jim; Schmidt, Suzanne; Robertson, Eric; Couture, Travis; Stokesbary, Drew; Chambers, Kelly; Hutchins, Spencer; Eslick, Carolyn; Volz, Mike; Sandlin, Bryan; Jacobsen, Cyndy; Klicker, Mark; Graham, Jenny; Steele, Mike; McClintock, Stephanie; Connors, April; Christian, Leonard; Rude, Skyler; Dye, Mary; Caldier, Michelle; Schmick, Joe; Orcutt, Ed; Springer, Larry; Barnard, Stephanie; Cheney, Greg",AN ACT Relating to repealing the long-term services and supports trust program;,Repealing the long-term services and supports trust program.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1011
HB1012,2023-2024,Bill,2023-01-09,"Leavitt, Mari","Robertson, Eric; Ryu, Cindy; Simmons, Tarra; Reed, Julia; Ramel, Alex; Lekanoff, Debra; Pollet, Gerry; Callan, Lisa; Doglio, Beth; Orwall, Tina; Macri, Nicole; Timmons, Joe; Donaghy, Brandy; Reeves, Kristine; Wylie, Sharon; Bronoske, Dan; Paul, Dave; Springer, Larry; Thai, My-Linh",AN ACT Relating to responding to extreme weather events;,Addressing the response to extreme weather events.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1012
HB1013,2023-2024,Bill,2023-01-09,"Maycumber, Jacquelin","Santos, Sharon Tomiko; Ybarra, Alex; Stonier, Monica Jurado; Dent, Tom; Goodman, Roger; Tharinger, Steve; Riccelli, Marcus; Lekanoff, Debra; Rude, Skyler; Walen, Amy; Robertson, Eric; Mosbrucker, Gina; Berry, Liz; Stokesbary, Drew; Fey, Jake; Harris, Paul; McClintock, Stephanie; Bronoske, Dan; Waters, Kevin; Duerr, Davina; Hackney, David; Klicker, Mark; Kretz, Joel; Couture, Travis; Barnard, Stephanie; Walsh, Jim; Chapman, Mike; Griffey, Dan; Chopp, Frank; Leavitt, Mari; Ryu, Cindy; Low, Sam; Barkis, Andrew; Simmons, Tarra; Schmidt, Suzanne; Sandlin, Bryan; Bateman, Jessica; Reed, Julia; Graham, Jenny; Christian, Leonard; Timmons, Joe; Pollet, Gerry; Street, Chipalo; Rule, Alicia; Connors, April; Cortes, Julio; Callan, Lisa; Doglio, Beth; Orwall, Tina; Caldier, Michelle; Reeves, Kristine; Wylie, Sharon; Bergquist, Steve; Thai, My-Linh; Kloba, Shelley; Cheney, Greg; Ormsby, Timm",AN ACT Relating to establishing regional apprenticeship programs through educational service districts;,Establishing regional apprenticeship programs. ,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1013
HB1014,2023-2024,Bill,2023-01-09,"Abbarno, Peter","Bronoske, Dan; Ryu, Cindy; Simmons, Tarra; Bateman, Jessica; Graham, Jenny; Ramel, Alex; Griffey, Dan; Dye, Mary; Klicker, Mark; Orcutt, Ed; Cheney, Greg",AN ACT Relating to capital projects for the provision of fire protection services;,Concerning capital projects for the provision of fire protection services.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1014
HB1015,2023-2024,Bill,2023-01-09,"Santos, Sharon Tomiko","Ybarra, Alex; Bergquist, Steve; Stonier, Monica Jurado; Leavitt, Mari; Rude, Skyler; Jacobsen, Cyndy; Simmons, Tarra; Reed, Julia; Lekanoff, Debra; Goodman, Roger; Pollet, Gerry; Ortiz-Self, Lillian; Callan, Lisa; Doglio, Beth; Reeves, Kristine; Tharinger, Steve; Wylie, Sharon; Paul, Dave; Thai, My-Linh; Springer, Larry; Ormsby, Timm",AN ACT Relating to minimum employment requirements for paraeducators;,Concerning minimum employment requirements for paraeducators.,false,false,false,SB5264,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1015
HB1016,2023-2024,Bill,2023-01-09,"Chapman, Mike","Volz, Mike; Goodman, Roger; Griffey, Dan",AN ACT Relating to creating a wine retailer shipper's permit;,Establishing a wine retailer shipper's permit.,false,false,false,SB5007,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1016
HB1017,2023-2024,Bill,2023-01-09,"Ryu, Cindy","Leavitt, Mari; Chambers, Kelly; Simmons, Tarra; Jacobsen, Cyndy; Reed, Julia; Graham, Jenny; Lekanoff, Debra; Caldier, Michelle; Timmons, Joe; Reeves, Kristine; Tharinger, Steve; Springer, Larry; Thai, My-Linh; Santos, Sharon Tomiko; Riccelli, Marcus","AN ACT Relating to expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians;","Expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians.",false,false,false,SB5307,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1017
HB1018,2023-2024,Bill,2023-01-09,"Tharinger, Steve","Chapman, Mike; Orcutt, Ed; Abbarno, Peter; Fey, Jake; Ryu, Cindy; Wylie, Sharon",AN ACT Relating to changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities;,Changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities.,false,false,false,SB5030,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1018
HB1019,2023-2024,Bill,2023-01-09,"Dent, Tom","Chapman, Mike; Ryu, Cindy; Corry, Chris; Sandlin, Bryan; Reeves, Kristine; Springer, Larry; Schmick, Joe; Davis, Lauren",AN ACT Relating to creating the pesticide advisory board;,Creating the pesticide advisory board.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1019
HB1020,2023-2024,Bill,2023-01-09,"Morgan, Melanie","Callan, Lisa; Ryu, Cindy; Simmons, Tarra; Reed, Julia; Gregerson, Mia; Thai, My-Linh; Ormsby, Timm",AN ACT Relating to the state dinosaur;,Designating the Suciasaurus rex as the official dinosaur of the state of Washington.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1020
HB1021,2023-2024,Bill,2023-01-09,"Thai, My-Linh","Orwall, Tina; Leavitt, Mari; Ryu, Cindy; Simmons, Tarra; Reed, Julia; Lekanoff, Debra; Callan, Lisa; Macri, Nicole; Reeves, Kristine; Wylie, Sharon; Kloba, Shelley; Ormsby, Timm; Ramel, Alex",AN ACT Relating to aligning social worker licensing requirements with national standards and requirements for other mental health professionals;,Aligning social worker licensing requirements.,false,false,false,SB5354,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1021
HB1022,2023-2024,Bill,2023-01-09,"Chapman, Mike","Reed, Julia; Lekanoff, Debra; Reeves, Kristine; Chopp, Frank; Wylie, Sharon; Kloba, Shelley; Riccelli, Marcus",AN ACT Relating to providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs;,Providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1022
HB1023,2023-2024,Bill,2023-01-09,"Walen, Amy","Goodman, Roger; Reeves, Kristine; Thai, My-Linh; Ormsby, Timm",AN ACT Relating to the elimination of wire tap authorization reporting to the administrative office of the courts;,Eliminating wire tap authorization reporting to the administrative office of the courts.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1023
HB1024,2023-2024,Bill,2023-01-09,"Simmons, Tarra","Reed, Julia; Berry, Liz; Ryu, Cindy; Goodman, Roger; Bateman, Jessica; Ramel, Alex; Peterson, Strom; Street, Chipalo; Doglio, Beth; Macri, Nicole; Reeves, Kristine; Wylie, Sharon; Alvarado, Emily; Thai, My-Linh; Santos, Sharon Tomiko; Ormsby, Timm; Fosse, Mary",AN ACT Relating to labor and income of incarcerated persons;,Concerning labor and income of incarcerated persons.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1024
HB1025,2023-2024,Bill,2023-01-09,"Thai, My-Linh","Reed, Julia; Berry, Liz; Ryu, Cindy; Simmons, Tarra; Bateman, Jessica; Fitzgibbon, Joe; Farivar, Darya; Peterson, Strom; Alvarado, Emily; Pollet, Gerry; Street, Chipalo; Cortes, Julio; Doglio, Beth; Macri, Nicole; Gregerson, Mia; Stonier, Monica Jurado; Kloba, Shelley; Santos, Sharon Tomiko",AN ACT Relating to creating a private right of action for harm from violations of the state Constitution or state law by peace officers;,Creating a private right of action for harm from violations of the state Constitution or state law by peace officers.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1025
HB1026,2023-2024,Bill,2023-01-09,"Walen, Amy","Duerr, Davina; Bateman, Jessica; Reed, Julia; Fitzgibbon, Joe; Ramel, Alex; Peterson, Strom; Macri, Nicole; Tharinger, Steve; Wylie, Sharon; Santos, Sharon Tomiko",AN ACT Relating to local government design review;,Concerning local government design review.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1026
HB1027,2023-2024,Bill,2023-01-09,"Riccelli, Marcus","Schmick, Joe; Ryu, Cindy; Simmons, Tarra; Duerr, Davina; Reed, Julia; Lekanoff, Debra; Pollet, Gerry; Doglio, Beth; Macri, Nicole; Timmons, Joe; Reeves, Kristine; Tharinger, Steve; Wylie, Sharon; Thai, My-Linh; Stonier, Monica Jurado; Ormsby, Timm; Farivar, Darya; Fosse, Mary",AN ACT Relating to extending the time frame in which real-time telemedicine using both audio and video technology may be used to establish a relationship for the purpose of providing audio-only telemedicine for certain health care services;,Concerning telemedicine.,false,false,false,SB5036,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1027
HB1028,2023-2024,Bill,2023-01-09,"Orwall, Tina","Mosbrucker, Gina; Ryu, Cindy; Simmons, Tarra; Goodman, Roger; Reed, Julia; Lekanoff, Debra; Pollet, Gerry; Callan, Lisa; Doglio, Beth; Macri, Nicole; Caldier, Michelle; Reeves, Kristine; Wylie, Sharon; Gregerson, Mia; Davis, Lauren; Ormsby, Timm; Fosse, Mary","AN ACT Relating to supporting crime victims and witnesses by promoting victim-centered, trauma-informed responses in the legal system;","Supporting crime victims and witnesses by promoting victim-centered, trauma-informed responses in the legal system.",false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1028
HB1029,2023-2024,Bill,2023-01-09,"Jacobsen, Cyndy","Walsh, Jim; Graham, Jenny; Christian, Leonard; Griffey, Dan; Rude, Skyler; Caldier, Michelle",AN ACT Relating to reemployment of state workers dismissed from employment due to vaccine mandates;,Concerning reemployment of state workers dismissed from employment due to vaccine mandates.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1029
HB1030,2023-2024,Bill,2023-01-09,"Leavitt, Mari","Jacobsen, Cyndy; Pollet, Gerry; Reeves, Kristine; Bronoske, Dan",AN ACT Relating to applied doctorate degree-granting authority;,Concerning applied doctorate degree-granting authority.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1030
HB1031,2023-2024,Bill,2023-01-09,"Low, Sam","Ryu, Cindy; Schmidt, Suzanne; Christian, Leonard; Reeves, Kristine; Ramos, Bill",AN ACT Relating to the medal of valor award presentation;,Modifying medal of valor award presentation requirements.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1031
HB1032,2023-2024,Bill,2023-01-09,"Dent, Tom","Chapman, Mike; Ryu, Cindy; Reed, Julia; Graham, Jenny; Ramel, Alex; Pollet, Gerry; Griffey, Dan; Reeves, Kristine; Tharinger, Steve; Wylie, Sharon; Springer, Larry; Kloba, Shelley; Donaghy, Brandy",AN ACT Relating to mitigating the risk of wildfires through electric utility planning and identification of best management practices appropriate to each electric utility's circumstances;,Mitigating the risk of wildfires through electric utility planning and identification of best management practices appropriate to each electric utility's circumstances.,false,false,false,SB5039,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1032
HB1033,2023-2024,Bill,2023-01-09,"Walen, Amy","Ryu, Cindy; Reed, Julia; Fitzgibbon, Joe; Pollet, Gerry; Callan, Lisa; Doglio, Beth; Macri, Nicole; Gregerson, Mia; Davis, Lauren; Santos, Sharon Tomiko; Ormsby, Timm; Fosse, Mary",AN ACT Relating to evaluating compostable product usage in Washington;,Evaluating compostable product usage in Washington.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1033
HB1034,2023-2024,Bill,2023-01-09,"Walen, Amy","Leavitt, Mari; Goodman, Roger; Bateman, Jessica; Slatter, Vandana; Fitzgibbon, Joe; Ramel, Alex; Peterson, Strom; Orwall, Tina; Macri, Nicole; Wylie, Sharon; Gregerson, Mia; Thai, My-Linh; Springer, Larry; Bergquist, Steve; Pollet, Gerry; Stonier, Monica Jurado; Santos, Sharon Tomiko; Donaghy, Brandy; Ormsby, Timm; Fosse, Mary",AN ACT Relating to prohibiting fur farming;,Prohibiting fur farming.,false,false,false,SB5161,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1034
HB1035,2023-2024,Bill,2023-01-09,"Walen, Amy","Ryu, Cindy; Simmons, Tarra; Goodman, Roger; Bateman, Jessica; Reed, Julia; Ramel, Alex; Duerr, Davina; Street, Chipalo; Callan, Lisa; Doglio, Beth; Macri, Nicole; Tharinger, Steve; Wylie, Sharon; Gregerson, Mia; Bergquist, Steve; Thai, My-Linh; Kloba, Shelley; Santos, Sharon Tomiko; Ormsby, Timm; Fosse, Mary",AN ACT Relating to prohibiting health care entities from restricting the provision of certain health care services by health care providers;,Prohibiting health care entities from restricting the provision of certain health care services by health care providers.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1035
HB1036,2023-2024,Bill,2023-01-09,"Walen, Amy","Duerr, Davina; Graham, Jenny; Ramel, Alex; Peterson, Strom; Doglio, Beth; Caldier, Michelle; Donaghy, Brandy; Wylie, Sharon; Ormsby, Timm; Fosse, Mary",AN ACT Relating to duty of clergy to report child abuse or neglect;,Providing duty of clergy to report child abuse or neglect.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1036
HB1037,2023-2024,Bill,2023-01-09,"Walsh, Jim",,AN ACT Relating to family burial grounds on privately owned property;,Concerning family burial grounds.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1037
HB1038,2023-2024,Bill,2023-01-09,"Taylor, Jamila","Harris, Paul; Reed, Julia; Walen, Amy; Schmidt, Suzanne; Stonier, Monica Jurado",AN ACT Relating to licensure of anesthesiologist assistants;,Concerning licensure of anesthesiologist assistants.,false,false,false,SB5184,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1038
HB1039,2023-2024,Bill,2023-01-09,"Macri, Nicole","Harris, Paul; Corry, Chris; Duerr, Davina; Riccelli, Marcus; Chambers, Kelly; Goodman, Roger; Reed, Julia; Fitzgibbon, Joe; Pollet, Gerry; Ryu, Cindy; Paul, Dave; Thai, My-Linh; Springer, Larry; Stonier, Monica Jurado; Kloba, Shelley; Santos, Sharon Tomiko; Ormsby, Timm",AN ACT Relating to physical therapists performing intramuscular needling;,Concerning physical therapists performing intramuscular needling.,false,false,false,SB5288,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1039
HB1040,2023-2024,Bill,2023-01-09,"Dent, Tom","Orwall, Tina; Corry, Chris; Ryu, Cindy; Schmidt, Suzanne; Christian, Leonard; Sandlin, Bryan; Davis, Lauren",AN ACT Relating to establishing an aviation and aerospace advisory committee;,Establishing an aviation and aerospace advisory committee.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1040
HB1041,2023-2024,Bill,2023-01-09,"Bateman, Jessica","Macri, Nicole; Ryu, Cindy; Simmons, Tarra; Goodman, Roger; Reed, Julia; Taylor, Jamila; Callan, Lisa; Doglio, Beth; Reeves, Kristine; Wylie, Sharon; Gregerson, Mia; Stonier, Monica Jurado; Kloba, Shelley; Ormsby, Timm",AN ACT Relating to authorizing the prescriptive authority of psychologists;,Authorizing the prescriptive authority of psychologists.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1041
HB1042,2023-2024,Bill,2023-01-09,"Walen, Amy","Ryu, Cindy; Barkis, Andrew; Simmons, Tarra; Duerr, Davina; Goodman, Roger; Bateman, Jessica; Reed, Julia; Ramel, Alex; Peterson, Strom; Pollet, Gerry; Doglio, Beth; Macri, Nicole; Reeves, Kristine; Mena, Sharlett; Tharinger, Steve; Wylie, Sharon; Gregerson, Mia; Springer, Larry; Bergquist, Steve; Thai, My-Linh; Kloba, Shelley; Santos, Sharon Tomiko; Ormsby, Timm",AN ACT Relating to the creation of additional housing units in existing buildings;,Concerning the use of existing buildings for residential purposes.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1042
HB1043,2023-2024,Bill,2023-01-09,"McEntire, Joel","Leavitt, Mari; Walsh, Jim",AN ACT Relating to association records in common interest communities;,Concerning association records in common interest communities.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1043
HB1044,2023-2024,Bill,2023-01-09,"McEntire, Joel","Graham, Jenny; Couture, Travis; Sandlin, Bryan; Walsh, Jim; Rude, Skyler; Caldier, Michelle; Santos, Sharon Tomiko",AN ACT Relating to capital financial assistance to small school districts with demonstrated funding challenges;,Providing capital financial assistance to small school districts with demonstrated funding challenges.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1044
HB1045,2023-2024,Bill,2023-01-09,"Berry, Liz","Peterson, Strom; Ryu, Cindy; Simmons, Tarra; Goodman, Roger; Bateman, Jessica; Reed, Julia; Ramel, Alex; Pollet, Gerry; Street, Chipalo; Senn, Tana; Doglio, Beth; Macri, Nicole; Mena, Sharlett; Wylie, Sharon; Gregerson, Mia; Ormsby, Timm",AN ACT Relating to creating the evergreen basic income pilot program;,Creating the evergreen basic income pilot program.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1045
HB1046,2023-2024,Bill,2023-01-09,"Walen, Amy","Leavitt, Mari; Ryu, Cindy; Bateman, Jessica; Peterson, Strom; Doglio, Beth; Reeves, Kristine; Wylie, Sharon; Bergquist, Steve; Springer, Larry; Kloba, Shelley; Santos, Sharon Tomiko; Ormsby, Timm",AN ACT Relating to expanding housing supply by supporting the ability of public housing authorities to finance affordable housing developments by rebenchmarking area median income limits;,Expanding housing supply by supporting the ability of public housing authorities to finance affordable housing developments by rebenchmarking area median income limits.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1046
HB1047,2023-2024,Bill,2023-01-09,"Mena, Sharlett","Ryu, Cindy; Berry, Liz; Simmons, Tarra; Duerr, Davina; Goodman, Roger; Bateman, Jessica; Reed, Julia; Fitzgibbon, Joe; Ramel, Alex; Doglio, Beth; Orwall, Tina; Macri, Nicole; Gregerson, Mia; Thai, My-Linh; Stonier, Monica Jurado; Santos, Sharon Tomiko; Riccelli, Marcus; Ormsby, Timm",AN ACT Relating to the use of toxic chemicals in cosmetic products;,Concerning the use of toxic chemicals in cosmetic products.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1047
HB1048,2023-2024,Bill,2023-01-09,"Mena, Sharlett","Simmons, Tarra; Goodman, Roger; Berry, Liz; Ramel, Alex; Peterson, Strom; Pollet, Gerry; Doglio, Beth; Macri, Nicole; Morgan, Melanie; Wylie, Sharon; Gregerson, Mia; Bergquist, Steve; Street, Chipalo; Cortes, Julio; Santos, Sharon Tomiko; Ormsby, Timm; Farivar, Darya",AN ACT Relating to enhancing the Washington voting rights act;,Enhancing the Washington voting rights act.,false,false,false,SB5047,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1048
HB1049,2023-2024,Bill,2023-01-09,"Doglio, Beth","Bateman, Jessica; Riccelli, Marcus; Ormsby, Timm",AN ACT Relating to updating timelines for adopting county commissioner district boundaries following expansion from three to five commissioners;,Updating timelines for adopting county commissioner district boundaries following expansion from three to five commissioners.,false,false,false,SB5106,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1049
