bill_number,term,bill_type,intro_date,primary_sponsor,cosponsors,title,summary,approp_bill,veto,partial_veto,companion,bill_url
HB1000,2023-2024,Bill,2023-01-09,"Stokesbary, Drew","Corry, Chris; Barkis, Andrew; Graham, Jenny; Griffey, Dan; Robertson, Eric; Caldier, Michelle",AN ACT Relating to providing sales tax relief by expanding the working families' tax credit;,Providing sales tax relief by expanding the working families' tax credit.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1000
HB1001,2023-2024,Bill,2023-01-09,"Leavitt, Mari","Rude, Skyler; Ryu, Cindy; Simmons, Tarra; Goodman, Roger; Pollet, Gerry; Doglio, Beth; Orwall, Tina; Macri, Nicole; Caldier, Michelle; Reeves, Kristine; Bronoske, Dan; Kloba, Shelley; Riccelli, Marcus",AN ACT Relating to the audiology and speech-language pathology interstate compact;,Concerning the audiology and speech-language pathology interstate compact.,false,false,false,SB5021,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1001
HB1002,2023-2024,Bill,2023-01-09,"Leavitt, Mari","Thai, My-Linh; Ryu, Cindy; Berry, Liz; Reed, Julia; Lekanoff, Debra; Senn, Tana; Doglio, Beth; Reeves, Kristine; Bronoske, Dan; Kloba, Shelley; Riccelli, Marcus",AN ACT Relating to increasing the penalty for hazing;,Increasing the penalty for hazing.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1002
HB1003,2023-2024,Bill,2023-01-09,"Stokesbary, Drew","Jacobsen, Cyndy; Graham, Jenny; Rude, Skyler; Griffey, Dan",AN ACT Relating to expanding access to dual credit programs;,Expanding access to dual credit programs.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1003
HB1004,2023-2024,Bill,2023-01-09,"Abbarno, Peter","Orcutt, Ed; Berry, Liz; Simmons, Tarra; Graham, Jenny; Schmidt, Suzanne; Christian, Leonard; Lekanoff, Debra; Griffey, Dan; Dye, Mary; Klicker, Mark; Wylie, Sharon; Cheney, Greg; Davis, Lauren; Riccelli, Marcus",AN ACT Relating to installing signs on or near bridges to provide information to deter jumping;,Installing signs on or near bridges to provide information to deter jumping.,false,false,false,SB5478,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1004
HB1005,2023-2024,Bill,2023-01-09,"Abbarno, Peter","Graham, Jenny; Leavitt, Mari; Christian, Leonard; Griffey, Dan; Robertson, Eric; Orwall, Tina; Dye, Mary; Caldier, Michelle; Klicker, Mark; Orcutt, Ed; Cheney, Greg",AN ACT Relating to employer tax incentives for the support of veterans and military families;,Concerning employer tax incentives for the support of veterans and military families.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1005
HB1006,2023-2024,Bill,2023-01-09,"Orwall, Tina","Mosbrucker, Gina; Goodman, Roger; Davis, Lauren; Hackney, David; Simmons, Tarra; Griffey, Dan; Peterson, Strom; Leavitt, Mari; Ryu, Cindy; Bateman, Jessica; Reed, Julia; Graham, Jenny; Ramel, Alex; Pollet, Gerry; Doglio, Beth; Rude, Skyler; Macri, Nicole; Caldier, Michelle; Reeves, Kristine; Wylie, Sharon; Gregerson, Mia; Kloba, Shelley; Riccelli, Marcus; Farivar, Darya; Fosse, Mary",AN ACT Relating to expanding access to drug testing equipment to promote community safety;,Expanding access to drug testing equipment.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1006
HB1007,2023-2024,Bill,2023-01-09,"Paul, Dave","Stokesbary, Drew; Bergquist, Steve; Leavitt, Mari; Simmons, Tarra; Griffey, Dan; Callan, Lisa; Doglio, Beth; Timmons, Joe; Reeves, Kristine; Bronoske, Dan; Shavers, Clyde; Riccelli, Marcus; Ormsby, Timm",AN ACT Relating to interruptive military service credit for members of the state retirement systems;,Concerning interruptive military service credit for members of the state retirement systems.,false,false,false,SB5296,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1007
HB1008,2023-2024,Bill,2023-01-09,"Bronoske, Dan","Simmons, Tarra; Goodman, Roger; Leavitt, Mari; Bateman, Jessica; Lekanoff, Debra; Callan, Lisa; Kloba, Shelley; Santos, Sharon Tomiko; Ormsby, Timm; Fosse, Mary",AN ACT Relating to participating in insurance plans and contracts by separated plan 2 members of certain retirement systems;,Concerning participating in insurance plans and contracts by separated plan 2 members of certain retirement systems.,false,false,false,SB5420,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1008
HB1009,2023-2024,Bill,2023-01-09,"Leavitt, Mari","Barkis, Andrew; Ryu, Cindy; Paul, Dave; Donaghy, Brandy; Slatter, Vandana; Simmons, Tarra; Low, Sam; Volz, Mike; Schmidt, Suzanne; Christian, Leonard; Lekanoff, Debra; Griffey, Dan; Doglio, Beth; Robertson, Eric; Orwall, Tina; Caldier, Michelle; Reeves, Kristine; Bronoske, Dan; Bergquist, Steve; Shavers, Clyde; Riccelli, Marcus; Ormsby, Timm",AN ACT Relating to military spouse employment;,Concerning military spouse employment.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1009
HB1010,2023-2024,Bill,2023-01-09,"Chapman, Mike","McEntire, Joel; Dent, Tom; Reed, Julia; Griffey, Dan; Reeves, Kristine; Kloba, Shelley",AN ACT Relating to the sanitary control of shellfish;,Concerning the sanitary control of shellfish.,false,false,false,,http://wslwebservices.leg.wa.gov/legislationservice.asmx/GetLegislation?biennium=2023-24&billNumber=1010
