"bill_id","pvs_title","candidate_session","candidate_summary","match"
"HB0001","Prohibits Foreign Nationals from Contributing Money Directly or Indirectly to State Ballot Initiatives","135","Modify the law regarding property taxation and income tax rates.",""
"HB0001","Prohibits Foreign Nationals from Contributing Money Directly or Indirectly to State Ballot Initiatives","135S","To enact section 3517.121 of the Revised Code to modify the Campaign Finance Law regarding foreign nationals and ballot issues.","Y"
"HB0002","Appropriates $2 Billion in Funding from the State Budget for Regional and Local Projects","135","Direct state funds for economic growth and community development.","Y"
"HB0002","Appropriates $2 Billion in Funding from the State Budget for Regional and Local Projects","135S","To delay the deadline for a major political party to certify its presidential and vice presidential candidates to the Secretary of State for the 2024 general election.",""
