bill_id,LD_num,term,session,title,commem
HP0020,LD0016,2023_2024,SS1,An Act to Make Technical Changes to Maine's Marine Resources Laws,0
HP0021,LD0017,2023_2024,SS1,An Act to Amend the Membership Requirements of the State Claims Commission,0
HP0022,LD0018,2023_2024,SS1,An Act to Provide Ongoing Funding for up to 2 Years of Community College for Certain Maine Students,0
HP0023,LD0019,2023_2024,RS2,An Act to Authorize the National Institute of Funeral Service to Grant Associate Degrees,0
HP0024,LD0020,2023_2024,RS2,An Act to Further Protect Survivors of Economic Abuse,0
SP0013,LD0021,2023_2024,RS1,"Resolve, Designating Maine Turnpike Approach Road in South Portland as Samantha Smith Way",0
SP0014,LD0022,2023_2024,SS1,An Act to Impede the Transfer of Firearms to Prohibited Persons,0
SP0015,LD0023,2023_2024,SS1,An Act to Limit Public Access to or Dissemination of Electronic Citation and Electronic Warning Information,0
SP0016,LD0024,2023_2024,SS1,An Act to Prohibit Certain Open Burning Under a Red Flag Warning and Regulate Recreational Campfires,0
SP0017,LD0025,2023_2024,RS2,An Act to Provide Indigenous Peoples Free Access to State Parks,0
SP0018,LD0026,2023_2024,RS1,An Act to Provide Postage Prepaid Return Envelopes to Voters Who Send Absentee Ballots by Mail,0
SP0019,LD0027,2023_2024,SS1,An Act to Align Maine's Lead Abatement Law with Federal Definitions and to Clarify Lead Abatement Licensing and Certification Requirements,0
SP0020,LD0028,2023_2024,SS1,An Act to Streamline Rulemaking for Revisions to Screening Levels for the Solid Waste Beneficial Use Program,0
SP0021,LD0029,2023_2024,SS1,An Act to Reduce Air Emissions at Petroleum Storage Facilities,0
SP0022,LD0030,2023_2024,SS1,An Act to Increase the Statutory Fee for Defensive Driving Courses,0
SP0023,LD0031,2023_2024,RS1,An Act to Allow the Commissioner of Transportation to Reduce Speed Limits at Construction Sites with Input from Municipalities and Utilities,0
SP0024,LD0032,2023_2024,SS1,An Act to Update the Maine State Grant Program,0
SP0025,LD0033,2023_2024,SS1,An Act to Expand Access to Career and Technical Education Opportunities for Middle School Students,0
SP0026,LD0034,2023_2024,SS1,An Act to Require a Person to Show Photographic Identification for the Purpose of Voting,0
SP0027,LD0035,2023_2024,SS1,"An Act to Establish Adult Protective Services Training Requirements for Professionals Mandated to Report Suspected Abuse, Neglect or Exploitation to Enhance Protection of Incapacitated and Dependent Adults",0
SP0028,LD0036,2023_2024,SS1,An Act to Make Corrections to the Maine Insurance Code,0
SP0029,LD0037,2023_2024,SS1,An Act to Amend the Laws Governing Property Tax Stabilization for Senior Citizens to Eliminate the Requirement for an Annual Application,0
SP0030,LD0038,2023_2024,RS1,"Resolve, to Rename a Bridge in the Town of Freeport the Matthew MacMillan Memorial Bridge",1
SP0031,LD0039,2023_2024,SS1,An Act to Amend the Maine Juvenile Code,0
SP0032,LD0040,2023_2024,RS2,An Act to Protect Liberty and Advance Justice in the Administration and Enforcement of the Cannabis Legalization Act and the Maine Medical Use of Cannabis Act,0
SP0033,LD0041,2023_2024,SS1,An Act to Increase the Hourly Reimbursement Rate of the Maine Commission on Indigent Legal Services Lawyers to $150 per Hour,0
SP0034,LD0042,2023_2024,SS1,An Act Regarding Training for Corrections Officers,0
SP0035,LD0043,2023_2024,SS1,An Act to Reduce the Cost of Electricity by Removing the 100-megawatt Limit on Renewable Resources of Energy,0
SP0036,LD0044,2023_2024,RS1,"Resolve, to Rename the Bridge Between Bingham and Concord Township on Route 16 the Jason Dore Memorial Bridge",1
SP0037,LD0045,2023_2024,SS1,An Act to Prevent Retaliatory Evictions,0
SP0038,LD0046,2023_2024,SS1,An Act to Amend the Statutory Balance Limit on the Finance Authority of Maine's Loan Insurance Reserves,0
SP0039,LD0047,2023_2024,SS1,An Act to Amend the Law Governing Licensing Actions of the Emergency Medical Services' Board,0
SP0040,LD0048,2023_2024,RS2,"An Act to Clarify Provisions of the Cannabis Legalization Act Regarding Labels, Packaging and Testing",0
SP0041,LD0049,2023_2024,SS1,An Act to Authorize the Deorganization of Drew Plantation,0
HP0025,LD0050,2023_2024,RS2,An Act to Prevent Child Abuse and Neglect by Developing a System to Ensure Child and Family Well-being,0
HP0026,LD0051,2023_2024,SS1,An Act to Restore Religious and Philosophical Exemptions to Immunization Requirements,0
HP0027,LD0052,2023_2024,SS1,An Act to Allow Certain School Employees to Carry Firearms on School Property,0
HP0028,LD0053,2023_2024,SS1,An Act to Ensure Accountability for Workplace Sexual Harassment and Sexual Assault by Removing Certain Intentional Torts from Workers' Compensation Exemptions,0
