bill_id,session,LC_num,status,rev_impact,fiscal_impact,keywords,chapter_num,vetoed,primary_sponsors,cosponsors,by_request,description,summary,bill_url
SCR0301,2024S1,1,Filed with Secretary of State,No revenue impact,No fiscal impact,Adjourning sine die the 2024 special session of the Eighty-second Legislative Assembly,,False,Sen President Wagner; Rep Speaker Fahey,,,Adjourns sine die the 2024 special session of the Eighty-second Legislative Assembly.,Digest: Ends session. (Flesch Readability Score: 77.9). Adjourns sine die the 2024 special session of the Eighty-second Legislative Assembly.,https://olis.leg.state.or.us/liz/2024S1/Measures/Overview/SCR0301
SB5801,2024S1,2,Chapter Number Assigned,No revenue impact,Budget report issued,state financial administration; declaring an emergency,1,False,Sen President Wagner; Rep Speaker Fahey,Sen Hayden,,Appropriates moneys from the General Fund to the State Forestry Department.,"Digest: The Act makes budget changes for the current biennium. (Flesch Readability Score: 66.1). Appropriates moneys from the General Fund to the State Forestry Department. Modifies certain biennial appropriations made from the General Fund to specified state agencies and the Emergency Board. Establishes and modifies limitations on expenditures for certain biennial expenses for specified state agencies. Declares an emergency, effective on passage.",https://olis.leg.state.or.us/liz/2024S1/Measures/Overview/SB5801
