bill_id,session,LC_num,status,rev_impact,fiscal_impact,keywords,chapter_num,vetoed,primary_sponsors,cosponsors,by_request,description,summary,bill_url
HCR0001,2023R1,1074,Filed with Secretary of State,No revenue impact,No fiscal impact,Commending Southern Oregon University on its 150th anniversary,,False,Rep Marsh; Sen Golden; Rep Wallan; Rep Hudson; Rep Wright,Rep Smith DB; Rep Ruiz; Rep McIntire,,"Commends Southern Oregon University on its 150th anniversary and for being an inclusive, sustainable university for the future that guides all learners to develop knowledge, capacities and audacity to innovate boldly and create lives of purpose.","Commends Southern Oregon University on its 150th anniversary and for being an inclusive, sustainable university for the future that guides all learners to develop knowledge, capacities and audacity to innovate boldly and create lives of purpose.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/HCR0001
HJM0001,2023R1,2338,In House Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Applying to Congress to call convention to address campaign finance reform,,False,Rep Speaker Rayfield,,,Applies to Congress to call convention for purpose of proposing amendments to United States Constitution that address campaign finance reform.,Applies to Congress to call convention for purpose of proposing amendments to United States Constitution that address campaign finance reform.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/HJM0001
HJR0001,2023R1,856,In House Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Proposing amendment to Oregon Constitution relating to election of judges,,False,Rep Mannix,,,Proposes amendment to Oregon Constitution to provide that judges of Supreme Court and other courts be elected by district.,Proposes amendment to Oregon Constitution to provide that judges of Supreme Court and other courts be elected by district. Refers proposed amendment to people for their approval or rejection at next regular general election.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/HJR0001
HR0001,2023R1,4556,In House Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Recognizing and honoring Louis Southworth for his remarkable contributions to the State of Oregon,,False,Rep Gomberg; Rep Mannix; Rep Diehl,,,"Recognizes and honors Louis Southworth (1830-1917) for his industriousness, perseverance in face of adversity and remarkable contributions to State of Oregon.","Recognizes and honors Louis Southworth (1830-1917) for his industriousness, perseverance in face of adversity and remarkable contributions to State of Oregon.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/HR0001
SB0001,2023R1,1715,Chapter Number Assigned,No revenue impact,Budget report issued,data collected by the Department of Revenue; and prescribing an effective date,563,False,Sen President Wagner,Rep Pham K; Sen Dembrow; Sen Patterson; Sen Campos; Sen Jama,,Directs Department of Revenue to develop schedule allowing personal income taxpayers to voluntarily report taxpayers' self-identified race and ethnicity identifiers.,"Directs Department of Revenue to develop schedule allowing personal income taxpayers to voluntarily report taxpayers' self-identified race and ethnicity identifiers. Requires restricted access to collected data. Prohibits access to data by department collection and audit staff or by Internal Revenue Service. Prohibits use of data by tax practitioners and tax preparation software vendors for purposes other than preparing and filing of returns. Directs department to report annually, beginning in 2024, on development and implementation of data collection schedule to appropriate committee or interim committee of Legislative Assembly related to information management and technology. Sunsets reporting requirement on January 2, 2029. Takes effect on 91st day following adjournment sine die.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SB0001
SCR0001,2023R1,285,Filed with Secretary of State,No revenue impact,No fiscal impact,Expressing support for county clerks and local election officials,,False,,,(at the request of Secretary of State Shemia Fagan),Expresses support for county clerks and local election officials.,Expresses support for county clerks and local election officials.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SCR0001
SJM0001,2023R1,2890,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Urging Congress to propose amendment to United States Constitution to require federal government to operate under balanced budget wherein federal government expenditures do not exceed federal government revenues,,False,Sen Knopp,Sen Girod; Sen Bonham; Sen Smith DB,,Urges Congress to propose for state ratification amendment to United States Constitution to require federal government to operate under balanced budget wherein federal government expenditures do not exceed federal government revenues.,Urges Congress to propose for state ratification amendment to United States Constitution to require federal government to operate under balanced budget wherein federal government expenditures do not exceed federal government revenues.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SJM0001
SJR0001,2023R1,1364,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Proposing amendment to Oregon Constitution relating to votes necessary to pass bills for raising revenue,,False,Sen Findley,,,Proposes amendment to Oregon Constitution to require two-thirds majority vote in each chamber of Legislative Assembly to pass bills for raising revenue.,"Proposes amendment to Oregon Constitution to require two-thirds majority vote in each chamber of Legislative Assembly to pass bills for raising revenue. Provides definition of ""bill for raising revenue"". Submits proposed amendment to people for their approval or rejection at next regular general election.",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SJR0001
SR0001,2023R1,4254,In Senate Committee,"May have revenue impact, but no statement yet issued","May have fiscal impact, but no statement yet issued",Modifying Senate Rules to permit certain parking expenses to be paid for out of members' services and supplies account,,False,Sen Frederick; Sen Jama; Sen Woods; Sen Manning Jr,,,Modifies Senate Rules to permit parking permits supplied to staff and staff reimbursement for costs incurred by staff in parking at or near State Capitol building to be paid for out of members' services and supplies accounts.,Modifies Senate Rules to permit parking permits supplied to staff and staff reimbursement for costs incurred by staff in parking at or near State Capitol building to be paid for out of members' services and supplies accounts.,https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/SR0001
HCR0002,2023R1,2352,Filed with Secretary of State,No revenue impact,No fiscal impact,"In memoriam: Kendra ""Kennie"" Parry",,False,Rep Smith DB; Rep Wright,,,"In memoriam: Kendra ""Kennie"" Parry (1947-2021).","In memoriam: Kendra ""Kennie"" Parry (1947-2021).",https://olis.leg.state.or.us/liz/2023R1/Measures/Overview/HCR0002
