bill_id,session,chamber,action_date,action,order,comm_order,vote
HCR0201,2024R1,H,2024-02-06,HRULES Committee ~ Public Hearing: Heard,,1,
HCR0201,2024R1,H,2024-02-08,HRULES Committee ~ Work Session: Heard and Reported Out,,2,
HCR0201,2024R1,S,2024-02-20,SRULES Committee ~ Public Hearing and Work Session: Heard and Reported Out,,3,
HCR0201,2024R1,H,2024-02-05,First reading. Referred to Speaker's desk.,1,,
HCR0201,2024R1,H,2024-02-05,Referred to Rules.,2,,
HCR0201,2024R1,H,2024-02-06,Public Hearing held.,3,,
HCR0201,2024R1,H,2024-02-08,Work Session held.,4,,
HCR0201,2024R1,H,2024-02-12,Recommendation: Be adopted.,5,,
HCR0201,2024R1,H,2024-02-13,Read. Carried by Scharf. Adopted.,6,,"Ayes, 54; Excused, 1--Owens; Excused for Business of the House, 5--Bynum, Diehl, Fahey, Helfrich, Speaker Rayfield."
HCR0201,2024R1,S,2024-02-14,First reading. Referred to President's desk.,7,,
HCR0201,2024R1,S,2024-02-14,Referred to Rules.,8,,
HCR0201,2024R1,S,2024-02-20,Public Hearing and Work Session held.,9,,
HCR0201,2024R1,S,2024-02-22,Recommendation: Do adopt.,10,,
HCR0201,2024R1,S,2024-02-22,Second reading.,11,,
HCR0201,2024R1,S,2024-02-26,Final reading.  Carried by Boquist.  Adopted.,12,,"Ayes, 30."
HCR0201,2024R1,H,2024-02-28,Speaker signed.,13,,
HCR0201,2024R1,S,2024-03-01,President signed.,14,,
HCR0201,2024R1,H,2024-03-01,Filed with Secretary of State.,15,,
HJM0201,2024R1,H,2024-02-05,First reading. Referred to Speaker's desk.,1,,
HJM0201,2024R1,H,2024-02-05,Referred to Rules.,2,,
HJM0201,2024R1,H,2024-03-07,In committee upon adjournment.,3,,
HJR0201,2024R1,H,2024-02-13,HRULES Committee ~ Public Hearing: Heard,,1,
HJR0201,2024R1,H,2024-02-05,First reading. Referred to Speaker's desk.,1,,
HJR0201,2024R1,H,2024-02-05,Referred to Rules.,2,,
HJR0201,2024R1,H,2024-02-13,Public Hearing held.,3,,
HJR0201,2024R1,H,2024-03-07,In committee upon adjournment.,4,,
SCR0201,2024R1,S,2024-03-05,SRULES Committee ~ Public Hearing and Possible Work Session: Not Heard,,1,
SCR0201,2024R1,S,2024-03-06,SRULES Committee ~ Public Hearing and Work Session: Heard and Reported Out,,2,
SCR0201,2024R1,S,2024-02-05,Introduction and first reading. Referred to President's desk.,1,,
SCR0201,2024R1,S,2024-02-05,Referred to Rules.,2,,
SCR0201,2024R1,S,2024-03-06,Public Hearing and Work Session held.,3,,
SCR0201,2024R1,S,2024-03-07,Recommendation: Do adopt.,4,,
SCR0201,2024R1,S,2024-03-07,Second reading.,5,,
SCR0201,2024R1,S,2024-03-07,Rules suspended. Final reading.  Carried by Hansell.  Adopted.,6,,"Ayes, 27; Excused, 3--Hayden, Thatcher, Weber."
SCR0201,2024R1,H,2024-03-07,First reading.,7,,
SCR0201,2024R1,H,2024-03-07,Rules suspended. Read. Carried by Nosse. Adopted.,8,,"Ayes, 54; Nays, 1--Cate; Excused, 4--Boshart Davis, Cramer, Javadi, Ruiz; Excused for Business of the House, 1--Scharf."
SCR0201,2024R1,S,2024-03-12,President signed.,9,,
SCR0201,2024R1,H,2024-03-12,Speaker signed.,10,,
SCR0201,2024R1,S,2024-03-19,Filed With Secretary of State.,11,,
SJR0201,2024R1,S,2024-02-12,SFR Committee ~ Public Hearing: Not Heard,,1,
SJR0201,2024R1,S,2024-02-05,Introduction and first reading. Referred to President's desk.,1,,
SJR0201,2024R1,S,2024-02-05,"Referred to Finance and Revenue, then Rules.",2,,
SJR0201,2024R1,S,2024-03-07,In committee upon adjournment.,3,,
HCR0202,2024R1,H,2024-02-06,HEMGGV Committee ~ Public Hearing and Work Session: Heard and Reported Out,,1,
HCR0202,2024R1,S,2024-02-20,SRULES Committee ~ Public Hearing and Work Session: Heard,,2,
