"state","term","sponsor","legiscan_id","chamber","party","district","not_actually_in_chamber","notes"
"MA","2023_2024","Ronald Mariano","2476","H","D","HD-03-NOR",FALSE,"Served full term - included with LES=0"
"MA","2023_2024","Karen Spilka","2576","S","D","SD-MIDDLE",FALSE,"Served full term - included with LES=0"
