people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
6952,"Danielle Conrad",Danielle,,Conrad,,,6,N,2,Sen,SD-046,6561877,56695,,Danielle_Conrad,248942,0
16896,"Merv Riepe",Merv,,Riepe,,,6,N,2,Sen,SD-012,23353757,148457,,Merv_Riepe,478190,0
18370,"Justin Wayne",Justin,,Wayne,,,6,N,2,Sen,SD-013,39451304,167676,,Justin_T._Wayne,570209,0
18410,"Carol Blood",Carol,,Blood,,,6,N,2,Sen,SD-003,23353086,111878,,Carol_Blood,485684,0
18504,"John Lowe",John,S.,Lowe,Sr.,,6,N,2,Sen,SD-037,39451329,169559,,John_Lowe,572868,0
18505,"Tony Vargas",Tony,,Vargas,,,6,N,2,Sen,SD-007,39451297,167674,,Tony_Vargas,570208,0
18553,"Joni Albrecht",Joni,,Albrecht,,,6,N,2,Sen,SD-017,39451309,167679,,Joni_Albrecht,570597,0
18554,"Bruce Bostelman",Bruce,,Bostelman,,,6,N,2,Sen,SD-023,39451315,167963,,Bruce_Bostelman,572865,0
18555,"Tom Brewer",Tom,,Brewer,,,6,N,2,Sen,SD-043,23353795,149581,,Tom_Brewer,483567,0
18556,"Steve Halloran",Steve,,Halloran,,,6,N,2,Sen,SD-033,39451325,32415,,Steve_Halloran,564692,0
18558,"Anna Wishart",Anna,,Wishart,,,6,N,2,Sen,SD-027,39451319,167687,,Anna_Wishart,353694,0
18638,"Steve Erdman",Steve,,Erdman,,,6,N,2,Sen,SD-047,39451334,90826,,Steve_Erdman,562782,0
18639,"Lou Linehan",Lou,Ann,Linehan,,,6,N,2,Sen,SD-039,28182483,167694,,Lou_Ann_Linehan,567037,0
18640,"Lynne Walz",Lynne,M.,Walz,,,6,N,2,Sen,SD-015,39451307,167677,,Lynne_Walz,564691,0
18982,"Mike McDonnell",Mike,,McDonnell,,,6,N,2,Sen,SD-005,9926532,167673,,Mike_McDonnell,569525,0
19282,"Robert Clements",Robert,,Clements,,,6,N,2,Sen,SD-002,6757500,176142,,Robert_Clements,615180,0
20431,"John Arch",John,,Arch,,,6,N,2,Sen,SD-014,44178150,179840,,John_Arch,654589,0
20432,"Machaela Cavanaugh",Machaela,,Cavanaugh,,,6,N,2,Sen,SD-006,44893463,179833,,Machaela_Cavanaugh,654582,0
20433,"Wendy DeBoer",Wendy,,DeBoer,,,6,N,2,Sen,SD-010,44893471,179837,,Wendy_DeBoer,654585,0
20434,"Myron Dorn",Myron,,Dorn,,,6,N,2,Sen,SD-030,29205887,133023,,Myron_Dorn,651073,0
20435,"Ben Hansen",Ben,,Hansen,,,6,N,2,Sen,SD-016,44893474,179841,,Ben_Hansen,656526,0
20537,"Megan Hunt",Megan,,Hunt,,,6,N,2,Sen,SD-008,44893467,179835,,Megan_Hunt,647310,0
20613,"Julie Slama",Julie,,Slama,,,6,N,2,Sen,SD-001,47033110,186022,,Julie_Slama,693186,0
20799,"Mike Moser",Mike,,Moser,,,6,N,2,Sen,SD-022,6566835,119308,,Mike_Moser,292336,0
20820,"Dave Murman",Dave,,Murman,,,6,N,2,Sen,SD-038,44893488,179857,,Dave_Murman,658053,0
20936,"Tom Brandt",Tom,,Brandt,,,6,N,2,Sen,SD-032,44893483,179853,,Tom_Brandt,658050,0
22130,"Jen Day",Jen,,Day,,,6,N,2,Sen,SD-049,49286792,190121,,Jen_Day_(Nebraska),731967,0
22137,"John Cavanaugh",John,,Cavanaugh,,,6,N,2,Sen,SD-009,49286751,190087,,John_Cavanaugh,422119,0
22138,"Terrell McKinney",Terrell,,McKinney,,,6,N,2,Sen,SD-011,49286753,190089,,Terrell_McKinney,731957,0
22260,"Raymond Aguilar",Raymond,M.,Aguilar,,Ray,6,N,2,Sen,SD-035,49857077,2213,,Raymond_Aguilar,196858,0
22282,"Eliot Bostar",Eliot,,Bostar,,,6,N,2,Sen,SD-029,49286773,190110,,Eliot_Bostar,731962,0
22355,"Rita Sanders",Rita,,Sanders,,,6,N,2,Sen,SD-045,49286790,132954,,Rita_Sanders,734194,0
23101,"Michael Jacobson",Michael,,Jacobson,,Mike,6,N,2,Sen,SD-042,55126057,103150,,Michael_Jacobson,412264,0
23160,"Kathleen Kauth",Kathleen,,Kauth,,,6,N,2,Sen,SD-031,55765575,208260,,Kathleen_Kauth,811251,0
23167,"Robert Dover",Robert,,Dover,,Rob,6,N,2,Sen,SD-019,58374505,210288,,Rob_Dover,816063,0
23684,"George Dungan",George,C.,Dungan,III,,6,N,2,Sen,SD-026,55408521,0,,George_Dungan_III,0,0
23685,"Loren Lippincott",Loren,,Lippincott,,,6,N,2,Sen,SD-034,55408498,202075,,Loren_Lippincott,0,0
23763,"Barry DeKay",Barry,,DeKay,,,6,N,2,Sen,SD-040,55408501,202079,,Barry_DeKay,0,0
23764,"John Fredrickson",John,A.,Fredrickson,,,6,N,2,Sen,SD-020,55408523,196315,,John_Fredrickson,0,0
23765,"Jane Raybould",Jane,Michele,Raybould,,,6,N,2,Sen,SD-028,9905882,143871,,Jane_Raybould,0,0
23876,"Rick Holdcroft",Rick,,Holdcroft,,,6,N,2,Sen,SD-036,55408500,190079,,Rick_Holdcroft,0,0
23877,"Brad Von Gillern","R. Brad",,"Von Gillern",,Brad,6,N,2,Sen,SD-004,55408532,202052,,R._Brad_von_Gillern,0,0
23980,"Teresa Ibach",Teresa,J.,Ibach,,,6,N,2,Sen,SD-044,18347651,202541,,Teresa_Ibach,0,0
24114,"Beau Ballard",Beau,,Ballard,,,6,N,2,Sen,SD-021,0,211272,,Beau_Ballard,0,0
24300,"Christy Armendariz",Christy,,Armendariz,,,6,N,2,Sen,SD-018,55408494,202060,,Christy_Armendariz,0,0
24301,"Brian Hardin",Brian,,Hardin,,,6,N,2,Sen,SD-048,55408506,202085,,Brian_Hardin,0,0
24682,"Jana Hughes",Jana,,Hughes,,,6,N,2,Sen,SD-024,55408495,202072,,Jana_Hughes,0,0
24932,"Carolyn Bosn",Carolyn,,Bosn,,,6,N,2,Sen,SD-025,0,0,,,0,0
25028,"Fred Meyer",Fred,,Meyer,,,1,D,2,Sen,SD-041,6558187,212987,,Fred_Meyer,0,0
