bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 23,713,Relating to the authority of navigation districts including the authority to issue bonds.,Special Districts & Authorities--Navigation & Ports (I0765),Armbrister,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB23
SB 22,713,"Relating to the creation, administration, powers, duties, operation, and financing of the Williamson-Travis Counties Water Control and Improvement District No. 1.",WILLIAMSON-TRAVIS COUNTIES WATER CONTROL IMPROVEMENT DIST. # (D9382); Special Districts & Authorities--Water & Utility (I0755),Barrientos,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB22
SB 40,713,Relating to exempting from ad valorem taxes property owned or leased by certain cooperative research and development organizations.,Charitable & Nonprofit Organizations (I0055); Taxation--Property (I0795),Barrientos,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB40
SB 48,713,Relating to counselors and counseling programs in schools; making an appropriation.,Appropriations (I0040); Education--Teachers & Other School Personnel (I0245); COUNSELORS (S4389),Barrientos,,,,,,Committee of the Whole,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB48
SB 67,713,Relating to the imposition of court costs in certain criminal cases for the funding of the crime stoppers assistance account; making an appropriation.,Appropriations (I0040); Crime Prevention (I0083); Fees & Other Nontax Revenue--Local (I0361); CRIME STOPPERS (S8302),Barrientos,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB67
SB 71,713,"Relating to the creation, administration, powers, duties, operation, and financing of the Glen Rose Water Control and Improvement District No. 1.",GLEN ROSE WATER CONTROL & IMPROVEMENT DIST. #1 (D9826); Special Districts & Authorities--Water & Utility (I0755),Barrientos,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB71
SR 11,713,Congratulating Bryker Woods Elementary School on its 50th anniversary.,BRYKER WOODS ELEMENTARY SCHOOL (E9791); Resolutions--Congratulatory & Honorary (I0705),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR11
SR 14,713,"In memory of Mary Naomi ""Nonie"" Roan Martin of Austin.","Resolutions--Memorial (I0710); MARTIN, MARY NAOMI ROAN (N3181)",Barrientos,Montford,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR14
SR 17,713,In memory of Dottie Sue Patton of Austin.,"Resolutions--Memorial (I0710); PATTON, DOTTIE SUE (N3177)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR17
SR 23,713,"In memory of Judge M. P. ""Rusty"" Duncan III of Austin.","Resolutions--Memorial (I0710); DUNCAN, M. P. ""RUSTY"" (N3173)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR23
SR 29,713,In memory of Sifuentes Moreno of Austin.,"Resolutions--Memorial (I0710); MORENO, SIFUENTES (N3198)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR29
SR 33,713,Recognizing the unique and worthwhile function that Stars Over Austin provides in preserving and further promoting Texas music.,Resolutions--Congratulatory & Honorary (I0705); STARS OVER AUSTIN (N3171),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR33
SR 34,713,Congratulating Dr. Jerome Supple on his appointment as President of Southwest Texas State University.,"Resolutions--Congratulatory & Honorary (I0705); SUPPLE, JEROME (N3207)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR34
SR 35,713,In memory of Inez Hester of Driftwood.,"Resolutions--Memorial (I0710); HESTER, INEZ (N3212)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR35
SR 38,713,Congratulating William R. Campbell of the Legislative Budget Board on his new position as the Deputy Director of the Texas Air Control Board.,"Resolutions--Congratulatory & Honorary (I0705); CAMPBELL, WILLIAM R. (N3208)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR38
SR 39,713,In memory of Beth Brown Boettner of Austin.,"Resolutions--Memorial (I0710); BOETTNER, BETH BROWN (N3214)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR39
SR 44,713,In memory of Judge and Brigadier General J. Travis Blakeslee of Austin.,"Resolutions--Memorial (I0710); BLAKESLEE, J. TRAVIS (N3215)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR44
SR 46,713,In memory of Candelaria Deolloz of Austin.,"Resolutions--Memorial (I0710); DEOLLOZ, CANDELARIA (N3216)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR46
SR 49,713,"Congratulating Apolinar A. Mendoza for receiving the American G.I. Forum ""Man of the Year"" award for 1989.","Resolutions--Congratulatory & Honorary (I0705); MENDOZA, APOLINAR C. (N3239)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR49
SR 54,713,Welcoming esteemed educator and youth advocate William E. Milliken.,"Resolutions--Welcoming (I0722); MILLIKEN, WILLIAM E. (N3245)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR54
SR 68,713,Commending Ms. Catalina Vasquez Villalpando for her accomplishments which led to her current position as United States Treasurer.,"Resolutions--Congratulatory & Honorary (I0705); VILLALPANDO, CATALINA VASQUEZ (N3288)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR68
SR 74,713,Commending the Princesses of the 63rd Texas Relays.,Resolutions--Congratulatory & Honorary (I0705); TEXAS RELAYS (N1571),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR74
SB 57,713,"Relating to property rights in, and the establishment of a wildlife management area along and in the vicinity of, the Canadian River bed; making an appropriation.","Appropriations (I0040); Property Interests--Real Property (I0595); Public Lands, Buildings & Resources (I0630); CANADIAN RIVER (N9803)",Bivins,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SB57
SR 10,713,In memory of Tom Blasingame.,"Resolutions--Memorial (I0710); BLASINGAME, TOM (N3167)",Bivins,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=713&Bill=SR10
