bill_number,session,chamber,action_date,action,comment,journal_page,order
SR 20,724,Senate,1992-11-16,Reported enrolled,,,3
SR 20,724,Senate,1992-11-16,Read & adopted,,,2
SR 20,724,Senate,1992-11-16,Received by the Secretary of the Senate,,,1
SCR 8,724,Executive,1992-12-03,Signed by the Governor,,,13
SCR 8,724,Executive,1992-12-01,Sent to the Governor,,139,12
SCR 8,724,House,1992-11-23,Signed in the House,,73,11
SCR 8,724,Senate,1992-11-20,Signed in the Senate,,99,10
SCR 8,724,Senate,1992-11-19,Reported enrolled,,,9
SCR 8,724,Senate,1992-11-19,House passage reported,,40,8
SCR 8,724,House,1992-11-18,Adopted,,60,7
SCR 8,724,House,1992-11-18,Rules suspended,,60,6
SCR 8,724,House,1992-11-18,Received from the Senate,,44,5
SCR 8,724,Senate,1992-11-18,Read & adopted,,36,4
SCR 8,724,Senate,1992-11-18,Rules suspended,,36,3
SCR 8,724,Senate,1992-11-17,Filed,,,2
SCR 8,724,Senate,1992-11-17,Received by the Secretary of the Senate,,,1
SR 23,724,Senate,1992-11-17,Reported enrolled,,,3
SR 23,724,Senate,1992-11-17,Read & adopted,,30,2
SR 23,724,Senate,1992-11-17,Received by the Secretary of the Senate,,,1
SR 24,724,Senate,1992-11-17,Reported enrolled,,,3
SR 24,724,Senate,1992-11-17,Read & adopted,,30,2
SR 24,724,Senate,1992-11-17,Received by the Secretary of the Senate,,,1
SR 30,724,Senate,1992-11-18,Reported enrolled,,,3
SR 30,724,Senate,1992-11-18,Read & adopted,,36,2
SR 30,724,Senate,1992-11-18,Received by the Secretary of the Senate,,,1
SR 31,724,Senate,1992-11-18,Reported enrolled,,,3
SR 31,724,Senate,1992-11-18,Read & adopted,,37,2
SR 31,724,Senate,1992-11-18,Received by the Secretary of the Senate,,,1
SR 32,724,Senate,1992-11-18,Reported enrolled,,,3
SR 32,724,Senate,1992-11-18,Read & adopted,,36,2
SR 32,724,Senate,1992-11-18,Received by the Secretary of the Senate,,,1
SR 33,724,Senate,1992-11-18,Reported enrolled,,,3
SR 33,724,Senate,1992-11-18,Read & adopted,,36,2
SR 33,724,Senate,1992-11-18,Received by the Secretary of the Senate,,,1
SR 36,724,Senate,1992-11-19,Reported enrolled,,,3
SR 36,724,Senate,1992-11-19,Read & adopted,,98,2
SR 36,724,Senate,1992-11-19,Received by the Secretary of the Senate,,,1
SR 37,724,Senate,1992-11-19,Reported enrolled,,,3
SR 37,724,Senate,1992-11-19,Read & adopted,,98,2
SR 37,724,Senate,1992-11-19,Received by the Secretary of the Senate,,,1
SR 41,724,Senate,1992-11-19,Reported enrolled,,,3
SR 41,724,Senate,1992-11-19,Read & adopted,,98,2
SR 41,724,Senate,1992-11-19,Received by the Secretary of the Senate,,,1
SR 49,724,Senate,1992-11-23,Reported enrolled,,,3
SR 49,724,Senate,1992-11-23,Read & adopted,,119,2
SR 49,724,Senate,1992-11-23,Received by the Secretary of the Senate,,,1
SR 53,724,Senate,1992-11-24,Reported enrolled,,,3
SR 53,724,Senate,1992-11-24,Read & adopted,,124,2
SR 53,724,Senate,1992-11-24,Received by the Secretary of the Senate,,,1
SR 61,724,Senate,1992-12-01,Reported enrolled,,,3
SR 61,724,Senate,1992-12-01,Read & adopted,,138,2
SR 61,724,Senate,1992-12-01,Received by the Secretary of the Senate,,,1
SR 62,724,Senate,1992-12-01,Reported enrolled,,,3
SR 62,724,Senate,1992-12-01,Read & adopted,,,2
SR 62,724,Senate,1992-12-01,Received by the Secretary of the Senate,,,1
SR 63,724,Senate,1992-12-01,Reported enrolled,,,3
SR 63,724,Senate,1992-12-01,Read & adopted,,138,2
SR 63,724,Senate,1992-12-01,Received by the Secretary of the Senate,,,1
SR 70,724,Senate,1992-12-02,Reported enrolled,,,3
SR 70,724,Senate,1992-12-02,Read & adopted,,145,2
SR 70,724,Senate,1992-12-02,Received by the Secretary of the Senate,,,1
SB 13,724,Senate,1992-12-02,No action taken in committee,,,9
SB 13,724,Senate,1992-12-01,Posting rule suspended,,138,8
SB 13,724,Senate,1992-12-02,Scheduled for public hearing on  . . . . .,,,7
SB 13,724,Senate,1992-11-30,No action taken in committee,,,6
SB 13,724,Senate,1992-11-30,Scheduled for public hearing on  . . . . .,,,5
SB 13,724,Senate,1992-11-19,Referred to Education,,39,4
SB 13,724,Senate,1992-11-19,Read first time,,39,3
SB 13,724,Senate,1992-11-19,Filed,,,2
SB 13,724,Senate,1992-11-19,Received by the Secretary of the Senate,,,1
SCR 5,724,Executive,1992-12-03,Signed by the Governor,,,16
SCR 5,724,Executive,1992-12-01,Sent to the Governor,,139,15
SCR 5,724,House,1992-11-30,Signed in the House,,95,14
SCR 5,724,Senate,1992-11-30,Signed in the Senate,,135,13
SCR 5,724,Senate,1992-11-25,Reported enrolled,,,12
SCR 5,724,Senate,1992-11-25,House passage reported,,129,11
SCR 5,724,House,1992-11-25,Adopted,,85,10
SCR 5,724,House,1992-11-25,Placed on Congrat. & Memorial Res. Calendar,,,9
SCR 5,724,House,1992-11-24,Reported favorably w/o amendment(s),,91,8
SCR 5,724,House,1992-11-23,Considered in formal meeting,,,7
SCR 5,724,House,1992-11-19,Referred to Rules & Resolutions,,63,6
SCR 5,724,House,1992-11-18,Received from the Senate,,32,5
SCR 5,724,Senate,1992-11-17,Read & adopted,,30,4
SCR 5,724,Senate,1992-11-17,Rules suspended,,30,3
SCR 5,724,Senate,1992-11-17,Filed,,,2
SCR 5,724,Senate,1992-11-17,Received by the Secretary of the Senate,,,1
SCR 6,724,Executive,1992-12-03,Signed by the Governor,,,13
SCR 6,724,Executive,1992-12-01,Sent to the Governor,,139,12
SCR 6,724,House,1992-11-23,Signed in the House,,73,11
SCR 6,724,Senate,1992-11-20,Signed in the Senate,,99,10
SCR 6,724,Senate,1992-11-19,Reported enrolled,,,9
SCR 6,724,Senate,1992-11-19,House passage reported,,40,8
SCR 6,724,House,1992-11-18,Adopted,,60,7
SCR 6,724,House,1992-11-18,Rules suspended,,60,6
SCR 6,724,House,1992-11-18,Received from the Senate,,32,5
SCR 6,724,Senate,1992-11-17,Read & adopted,,30,4
SCR 6,724,Senate,1992-11-17,Rules suspended,,30,3
SCR 6,724,Senate,1992-11-17,Filed,,,2
SCR 6,724,Senate,1992-11-17,Received by the Secretary of the Senate,,,1
SCR 7,724,Executive,1992-12-03,Signed by the Governor,,,16
SCR 7,724,Executive,1992-12-01,Sent to the Governor,,139,15
SCR 7,724,House,1992-11-30,Signed in the House,,95,14
SCR 7,724,Senate,1992-11-30,Signed in the Senate,,135,13
SCR 7,724,Senate,1992-11-25,Reported enrolled,,,12
SCR 7,724,Senate,1992-11-25,House passage reported,,129,11
SCR 7,724,House,1992-11-25,Adopted,,85,10
SCR 7,724,House,1992-11-25,Placed on Congrat. & Memorial Res. Calendar,,,9
SCR 7,724,House,1992-11-23,Reported favorably w/o amendment(s),,91,8
SCR 7,724,House,1992-11-23,Considered in formal meeting,,,7
