bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 36,711,Relating to the regulation of certain athlete agents; providing penalties.,"Amusements, Games, Sports (I0034); Occupational Regulation--Other Trades & Professions (I0541); ATHLETE AGENTS (S8726)",Armbrister,,,,Business & Commerce,In committee,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB36
SB 37,711,Relating to the supplemental compensation paid to the judge of the 377th Judicial District.,Courts--District (I0120); Courts--Judges (I0140); Salaries & Expenses (I0745),Armbrister,,,,Judicial Affairs,In committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB37
SB 38,711,Relating to the peace officer college loan program.,Education--Higher--Student Loans (I0235); Law Enforcement (I0510),Armbrister,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB38
SB 58,711,Relating to treatment of permits issued under certain federally authorized state programs.,City Government (I0060); State Agencies (I0749); PERMITS (S0011),Armbrister,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB58
SB 98,711,Relating to the authority of navigation districts.,Special Districts & Authorities--Navigation & Ports (I0765); Water--Navigation & Ports (I0880),Armbrister,,Holzheauser,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB98
SR 2,711,Congratulating Mr. and Mrs. Jack Andrews of Abilene on their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); ANDREWS, JACK, MR. & MRS. (N2504)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SR2
SR 47,711,Congratulating Mrs. Ida Nollkamper of Shiner on her 100th birthday.,"Resolutions--Congratulatory & Honorary (I0705); NOLLKAMPER, IDA (N2587)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SR47
SR 125,711,"Congratulating Fay Junius Whitlow, Sr., of Banquete on his 90th birthday.","Resolutions--Congratulatory & Honorary (I0705); WHITLOW, FAY JUNIUS (N2728)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SR125
SB 26,711,Relating to an emergency appropriation to the state Commission on Human Rights.,"Appropriations (I0040); Human Relations (I0410); HUMAN RIGHTS, COMMISSION ON (V1320)",Barrientos,,,,Appropriations,In committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB26
SB 54,711,Relating to permitting the Department of Public Safety to charge fees for permits for sales and purchases of precursor chemicals and chemical laboratory apparatus.,"Crimes--Drugs (I0185); Fees & Other Nontax Revenue--State (I0362); PUBLIC SAFETY, DEPT. OF (V0251)",Barrientos,,,,Public Safety,In committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB54
SB 61,711,Relating to establishing the Texas partnership and scholarship program.,"Education--Higher-- General (I0231); Education--Higher--Student Loans (I0235); Education--Primary & Secondary (I0230); State Agencies, Newly Proposed (I0773); PARTNERSHIP & SCHOLARSHIP PROGRAM, TEXAS (P8840); SCHOOL DROPOUTS (S8379)",Barrientos,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB61
SB 102,711,"Relating to the creation, administration, powers, duties, operation, and financing of the Williamson-Travis Counties Water Control and Improvement District No. 1.",WILLIAMSON-TRAVIS COUNTIES WATER CONTROL IMPROVEMENT DIST. # (D9382); Special Districts & Authorities--Water & Utility (I0755),Barrientos,,,,Natural Resources,In committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SB102
SCR 1,711,Honoring the Reverend Dr. John Carlton Gilbert.,"Resolutions--Congratulatory & Honorary (I0705); GILBERT, JOHN CARLTON (N2452)",Barrientos,,Guerrero,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SCR1
SCR 3,711,Granting Jimmy Kaylor and William H. Main permission to sue the State of Texas and the Air Control Board.,"Resolutions--Suits vs. State (I0665); KAYLOR, JIMMY FRANKLIN (N2509); MAIN, WILLIAM H. (N2511); AIR CONTROL BOARD (V2458)",Barrientos,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=711&Bill=SCR3
