bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 160,85R,Relating to a prohibition of a monitoring system performance indicator based solely on the number or percentage of students receiving special education services.,"Education--Primary & Secondary--Special (I0243); EDUCATION AGENCY, TEXAS (V9941); EDUCATION, COMMISSIONER OF (V9954)",Rodríguez,Menéndez,"Wu; Huberty; Bernal; Allen; King, Ken",Koop,Public Education,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB160
SB 161,85R,Relating to the bilingual education allotment provided under the public school finance system.,Education--Bilingual (I0213); Education--Primary & Secondary--Finance (I0250),RodrÃ­guez,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB161
SB 162,85R,Relating to a sales and use tax exemption for certain feminine hygiene products.,Taxation--Sales (I0800); Women (I0925),RodrÃ­guez,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB162
SB 163,85R,Relating to covered benefits under the child health plan.,Health--Children's Insurance (I0388); Human Services--Child Services (I0895); Minors--Health & Safety (I0533); FAMILY PLANNING & BIRTH CONTROL (S0466); MEDICINE & PRESCRIPTION DRUGS (S7338),RodrÃ­guez,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB163
SB 164,85R,Relating to the capacity of certain minors to consent to examination or medical treatment related to childbirth and contraception.,Family--Parent & Child (I0355); Health--Other Diseases & Medical Conditions (I0383); Minors--Health & Safety (I0533); Women (I0925); FAMILY PLANNING & BIRTH CONTROL (S0466); PREGNANCY & CHILDBIRTH (S0294),RodrÃ­guez,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB164
SB 165,85R,Relating to the prohibition of certain discrimination based on sexual orientation or gender identity or expression; providing an administrative penalty; creating an offense.,"Civil Remedies & Liabilities (I0065); Housing--General (I0405); Labor--General (I0500); Labor--Management Relations (I0465); Purchasing--State (I0643); State Agencies, Boards & Commissions (I0749); State Employees (I0626); DISCRIMINATION (S0052); GENDER IDENTITY & EXPRESSION (S0767); SEXUAL ORIENTATION (S0085)",RodrÃ­guez; Garcia; Hinojosa; Whitmire,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB165
SB 166,85R,Relating to the repeal of the offense of homosexual conduct.,Crimes--Against Morals (I0180); Crimes--Against Persons--Sexual (I0171); HOMOSEXUALITY (S0055),RodrÃ­guez; Garcia; Whitmire,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB166
SB 167,85R,Relating to the registration of voters at a polling place during early voting by personal appearance and related procedures.,Elections--Administration (I0277); Elections--Early Voting (I0260); Elections--Registration & Suffrage (I0265); SECRETARY OF STATE (V0042),RodrÃ­guez,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB167
SB 168,85R,"Relating to the operations of the Department of Public Safety, Parks and Wildlife Department, and state military forces in the border region.","Criminal Procedure--General (I0208); Law Enforcement (I0510); Military & Veterans (I0535); BORDER (S0045); PARKS & WILDLIFE DEPARTMENT (V0045); PUBLIC SAFETY, DEPARTMENT OF (V0251)",RodrÃ­guez,,,,,,Veteran Affairs & Border Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB168
SB 169,85R,Relating to a prohibition on certain law enforcement inquiries regarding the nationality or immigration status of a victim of or witness to a criminal offense.,Aliens (I0032); Criminal Procedure--General (I0208); Law Enforcement (I0510); CRIME VICTIMS (S0046); WITNESSES (S0015),RodrÃ­guez,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB169
