bill_number,session,chamber,action_date,action,comment,journal_page,order
SCR 5,783,Executive,2003-10-28,Signed by the Governor,,483,13
SCR 5,783,Executive,2003-10-13,Sent to the Governor,,483,12
SCR 5,783,House,2003-10-10,Signed in the House,,,11
SCR 5,783,Senate,2003-10-10,Signed in the Senate,,462,10
SCR 5,783,Senate,2003-10-10,Reported enrolled,,,9
SCR 5,783,Senate,2003-10-10,House passage reported,,458,8
SCR 5,783,House,2003-10-10,Adopted,,,7
SCR 5,783,House,2003-10-10,Rules suspended,,,6
SCR 5,783,House,2003-10-10,Received from the Senate,,,5
SCR 5,783,Senate,2003-10-10,Read & adopted,,456,4
SCR 5,783,Senate,2003-10-10,Laid before the Senate,,456,3
SCR 5,783,Senate,2003-10-09,Filed,,,2
SCR 5,783,Senate,2003-10-09,Received by the Secretary of the Senate,,,1
SR 28,783,Senate,2003-09-19,Reported enrolled,,,3
SR 28,783,Senate,2003-09-19,Read & adopted,,27,2
SR 28,783,Senate,2003-09-19,Received by the Secretary of the Senate,,,1
SR 29,783,Senate,2003-09-19,Reported enrolled,,,3
SR 29,783,Senate,2003-09-19,Read & adopted,,27,2
SR 29,783,Senate,2003-09-19,Received by the Secretary of the Senate,,,1
SR 53,783,Senate,2003-09-25,Reported enrolled,,,3
SR 53,783,Senate,2003-09-25,Read & adopted,,304,2
SR 53,783,Senate,2003-09-24,Received by the Secretary of the Senate,,,1
SR 118,783,Senate,2003-10-10,Reported enrolled,,,3
SR 118,783,Senate,2003-10-10,Read & adopted,,478,2
SR 118,783,Senate,2003-10-10,Received by the Secretary of the Senate,,,1
SR 119,783,Senate,2003-10-10,Reported enrolled,,,3
SR 119,783,Senate,2003-10-10,Read & adopted,,478,2
SR 119,783,Senate,2003-10-10,Received by the Secretary of the Senate,,,1
SB 29,783,Senate,2003-10-08,Committee report printed and distributed,,,9
SB 29,783,Senate,2003-10-08,Reported favorably w/o amendments,,454,8
SB 29,783,Senate,2003-10-02,Considered in public hearing,,,7
SB 29,783,Senate,2003-10-02,Scheduled for public hearing on  . . . . .,,,6
SB 29,783,Senate,2003-10-02,Posting rule suspended,,446,5
SB 29,783,Senate,2003-10-02,Referred to Natural Resources,,437,4
SB 29,783,Senate,2003-10-02,Read first time,,437,3
SB 29,783,Senate,2003-10-02,Filed,,,2
SB 29,783,Senate,2003-10-02,Received by the Secretary of the Senate,,,1
SR 13,783,Senate,2003-09-16,Reported enrolled,,,3
SR 13,783,Senate,2003-09-16,Read & adopted,,8,2
SR 13,783,Senate,2003-09-16,Received by the Secretary of the Senate,,,1
SR 21,783,Senate,2003-09-18,Reported enrolled,,,3
SR 21,783,Senate,2003-09-18,Read & adopted,,16,2
SR 21,783,Senate,2003-09-18,Received by the Secretary of the Senate,,,1
SR 57,783,Senate,2003-09-24,Reported enrolled,,,3
SR 57,783,Senate,2003-09-24,Read & adopted,,302,2
SR 57,783,Senate,2003-09-24,Received by the Secretary of the Senate,,,1
SR 58,783,Senate,2003-09-24,Reported enrolled,,,3
SR 58,783,Senate,2003-09-24,Read & adopted,,302,2
SR 58,783,Senate,2003-09-24,Received by the Secretary of the Senate,,,1
SR 94,783,Senate,2003-10-02,Reported enrolled,,,3
SR 94,783,Senate,2003-10-02,Read & adopted,,447,2
SR 94,783,Senate,2003-10-02,Received by the Secretary of the Senate,,,1
SR 95,783,Senate,2003-10-02,Reported enrolled,,,3
SR 95,783,Senate,2003-10-02,Read & adopted,,446,2
SR 95,783,Senate,2003-10-02,Received by the Secretary of the Senate,,,1
SR 96,783,Senate,2003-10-02,Reported enrolled,,,3
SR 96,783,Senate,2003-10-02,Read & adopted,,446,2
SR 96,783,Senate,2003-10-02,Received by the Secretary of the Senate,,,1
SR 135,783,Senate,2003-10-10,Reported enrolled,,,3
SR 135,783,Senate,2003-10-10,Read & adopted,,479,2
SR 135,783,Senate,2003-10-10,Received by the Secretary of the Senate,,,1
SB 4,783,Senate,2003-09-17,Left pending in committee,,,7
SB 4,783,Senate,2003-09-17,Considered in public hearing,,,6
SB 4,783,Senate,2003-09-17,Scheduled for public hearing on  . . . . .,,,5
SB 4,783,Senate,2003-09-15,Referred to Finance,,3,4
SB 4,783,Senate,2003-09-15,Read first time,,3,3
SB 4,783,Senate,2003-09-15,Filed,,,2
SB 4,783,Senate,2003-09-15,Received by the Secretary of the Senate,,,1
SB 5,783,Senate,2003-09-17,Left pending in committee,,,8
SB 5,783,Senate,2003-09-17,Testimony taken in committee,,,7
SB 5,783,Senate,2003-09-17,Considered in public hearing,,,6
SB 5,783,Senate,2003-09-17,Scheduled for public hearing on  . . . . .,,,5
SB 5,783,Senate,2003-09-15,Referred to Finance,,3,4
SB 5,783,Senate,2003-09-15,Read first time,,3,3
SB 5,783,Senate,2003-09-15,Filed,,,2
SB 5,783,Senate,2003-09-15,Received by the Secretary of the Senate,,,1
SR 44,783,Senate,2003-09-23,Reported enrolled,,,3
SR 44,783,Senate,2003-09-23,Read & adopted,,276,2
SR 44,783,Senate,2003-09-23,Received by the Secretary of the Senate,,,1
SR 45,783,Senate,2003-09-23,Reported enrolled,,,3
SR 45,783,Senate,2003-09-23,Read & adopted,,276,2
SR 45,783,Senate,2003-09-23,Received by the Secretary of the Senate,,,1
SR 125,783,Senate,2003-10-10,Reported enrolled,,,5
SR 125,783,Senate,2003-10-10,Record vote,,466,4
SR 125,783,Senate,2003-10-10,Read & adopted,HB 24,466,3
SR 125,783,Senate,2003-10-09,Filed,,,2
SR 125,783,Senate,2003-10-09,Received by the Secretary of the Senate,,,1
SR 133,783,Senate,2003-10-10,Reported enrolled,,,5
SR 133,783,Senate,2003-10-10,Record vote,,472,4
SR 133,783,Senate,2003-10-10,Read & adopted,HB 28,472,3
SR 133,783,Senate,2003-10-10,Filed,,,2
SR 133,783,Senate,2003-10-10,Received by the Secretary of the Senate,,,1
SR 22,783,Senate,2003-09-18,Reported enrolled,,,3
SR 22,783,Senate,2003-09-18,Read & adopted,,16,2
SR 22,783,Senate,2003-09-18,Received by the Secretary of the Senate,,,1
SR 72,783,Senate,2003-09-25,Reported enrolled,,,3
SR 72,783,Senate,2003-09-25,Read & adopted,,420,2
SR 72,783,Senate,2003-09-25,Received by the Secretary of the Senate,,,1
SR 88,783,Senate,2003-10-02,Reported enrolled,,,3
SR 88,783,Senate,2003-10-02,Read & adopted,,446,2
SR 88,783,Senate,2003-10-02,Received by the Secretary of the Senate,,,1
SR 36,783,Senate,2003-09-22,Reported enrolled,,,3
SR 36,783,Senate,2003-09-22,Read & adopted,,31,2
SR 36,783,Senate,2003-09-22,Received by the Secretary of the Senate,,,1
SR 38,783,Senate,2003-09-22,Reported enrolled,,,3
SR 38,783,Senate,2003-09-22,Read & adopted,,31,2
SR 38,783,Senate,2003-09-22,Received by the Secretary of the Senate,,,1
SR 43,783,Senate,2003-09-23,Reported enrolled,,,3
SR 43,783,Senate,2003-09-23,Read & adopted,,35,2
SR 43,783,Senate,2003-09-23,Received by the Secretary of the Senate,,,1
SR 122,783,Senate,2003-10-10,Reported enrolled,,,3
