bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 2,793,Senate,2006-05-12,No action taken in committee,,,7
SB 2,793,Senate,2006-05-12,Scheduled for public hearing on  . . . . .,,,6
SB 2,793,Senate,2006-05-12,Posting rule suspended,,183,5
SB 2,793,Senate,2006-05-12,Referred to Finance,,177,4
SB 2,793,Senate,2006-05-12,Read first time,,177,3
SB 2,793,Senate,2006-05-12,Filed,,,2
SB 2,793,Senate,2006-05-12,Received by the Secretary of the Senate,,,1
SCR 12,793,Executive,2006-05-31,Signed by the Governor,,247,14
SCR 12,793,Executive,2006-05-15,Sent to the Governor,,246,13
SCR 12,793,House,2006-05-15,Signed in the House,,487,12
SCR 12,793,Senate,2006-05-15,Signed in the Senate,,242,11
SCR 12,793,Senate,2006-05-15,Reported enrolled,,,10
SCR 12,793,Senate,2006-05-15,House passage reported,,206,9
SCR 12,793,House,2006-05-15,Adopted,,456,8
SCR 12,793,House,2006-05-15,Rules suspended,,456,7
SCR 12,793,House,2006-05-15,Received from the Senate,,487,6
SCR 12,793,Senate,2006-05-15,Vote recorded in Journal,,203,5
SCR 12,793,Senate,2006-05-15,Read & adopted,HB 149,203,4
SCR 12,793,Senate,2006-05-15,Laid before the Senate,,203,3
SCR 12,793,Senate,2006-05-15,Filed,,,2
SCR 12,793,Senate,2006-05-15,Received by the Secretary of the Senate,,,1
SR 57,793,Senate,2006-04-27,Reported enrolled,,,3
SR 57,793,Senate,2006-04-27,Read & adopted,,74,2
SR 57,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 141,793,Senate,2006-05-04,Reported enrolled,,,3
SR 141,793,Senate,2006-05-04,Read & adopted,,112,2
SR 141,793,Senate,2006-05-04,Received by the Secretary of the Senate,,,1
SR 96,793,Senate,2006-05-10,Again read,,135,4
SR 96,793,Senate,2006-04-27,Reported enrolled,,,3
SR 96,793,Senate,2006-04-27,Read & adopted,,74,2
SR 96,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 200,793,Senate,2006-05-11,Reported enrolled,,,3
SR 200,793,Senate,2006-05-11,Read & adopted,,167,2
SR 200,793,Senate,2006-05-11,Received by the Secretary of the Senate,,,1
SB 33,793,Senate,2006-05-01,Referred to Transportation & Homeland Sec.,,88,4
SB 33,793,Senate,2006-05-01,Read first time,,88,3
SB 33,793,Senate,2006-04-28,Filed,,,2
SB 33,793,Senate,2006-04-28,Received by the Secretary of the Senate,,,1
SB 37,793,Senate,2006-05-13,Meeting cancelled,,,15
SB 37,793,Senate,2006-05-13,Scheduled for public hearing on  . . . . .,,,14
SB 37,793,Senate,2006-05-12,No action taken in committee,,,13
SB 37,793,Senate,2006-05-12,Scheduled for public hearing on  . . . . .,,,12
SB 37,793,Senate,2006-05-11,Left pending in committee,,,11
SB 37,793,Senate,2006-05-11,Testimony taken in committee,,,10
SB 37,793,Senate,2006-05-11,Considered in public hearing,,,9
SB 37,793,Senate,2006-05-11,Scheduled for public hearing on  . . . . .,,,8
SB 37,793,Senate,2006-05-10,Meeting cancelled,,,7
SB 37,793,Senate,2006-05-10,Scheduled for public hearing on  . . . . .,,,6
SB 37,793,Senate,2006-05-09,Posting rule suspended,,129,5
SB 37,793,Senate,2006-05-02,Referred to Finance,,96,4
SB 37,793,Senate,2006-05-02,Read first time,,96,3
SB 37,793,Senate,2006-05-01,Filed,,,2
SB 37,793,Senate,2006-05-01,Received by the Secretary of the Senate,,,1
SCR 6,793,Executive,2006-05-31,Signed by the Governor,,247,13
SCR 6,793,Executive,2006-05-12,Sent to the Governor,,189,12
SCR 6,793,House,2006-05-12,Signed in the House,,434,11
SCR 6,793,Senate,2006-05-12,Signed in the Senate,,170,10
SCR 6,793,Senate,2006-05-11,Reported enrolled,,,9
SCR 6,793,Senate,2006-05-11,House passage reported,,164,8
SCR 6,793,House,2006-05-10,Adopted,,273,7
SCR 6,793,House,2006-05-10,Rules suspended,,273,6
SCR 6,793,House,2006-05-10,Referred to Rules & Resolutions,,288,5
SCR 6,793,House,2006-05-09,Received from the Senate,,260,4
SCR 6,793,Senate,2006-05-09,Read & adopted,,130,3
SCR 6,793,Senate,2006-05-09,Filed,,,2
SCR 6,793,Senate,2006-05-09,Received by the Secretary of the Senate,,,1
SCR 11,793,Senate,2006-05-15,Filed,,,2
SCR 11,793,Senate,2006-05-15,Received by the Secretary of the Senate,,,1
SB 17,793,Senate,2006-05-13,Meeting cancelled,,,15
SB 17,793,Senate,2006-05-13,Scheduled for public hearing on  . . . . .,,,14
SB 17,793,Senate,2006-05-12,Left pending in committee,,,13
SB 17,793,Senate,2006-05-12,Considered in public hearing,,,12
SB 17,793,Senate,2006-05-12,Scheduled for public hearing on  . . . . .,,,11
SB 17,793,Senate,2006-05-11,No action taken in committee,,,10
SB 17,793,Senate,2006-05-11,Scheduled for public hearing on  . . . . .,,,9
SB 17,793,Senate,2006-04-24,Left pending in committee,,,8
SB 17,793,Senate,2006-04-24,Testimony taken in committee,,,7
SB 17,793,Senate,2006-04-24,Considered in public hearing,,,6
SB 17,793,Senate,2006-04-24,Scheduled for public hearing on  . . . . .,,,5
SB 17,793,Senate,2006-04-20,Referred to Finance,,33,4
SB 17,793,Senate,2006-04-20,Read first time,,33,3
SB 17,793,Senate,2006-04-18,Filed,,,2
SB 17,793,Senate,2006-04-18,Received by the Secretary of the Senate,,,1
SB 19,793,Senate,2006-04-24,Referred to Transportation & Homeland Sec.,,38,4
SB 19,793,Senate,2006-04-24,Read first time,,38,3
SB 19,793,Senate,2006-04-20,Filed,,,2
SB 19,793,Senate,2006-04-20,Received by the Secretary of the Senate,,,1
SB 20,793,Senate,2006-04-27,Co-author authorized,,44,6
SB 20,793,Senate,2006-04-24,Referred to State Affairs,,38,5
SB 20,793,Senate,2006-04-24,Read first time,,38,4
SB 20,793,Senate,2006-04-24,Co-author authorized,,37,3
SB 20,793,Senate,2006-04-20,Filed,,,2
SB 20,793,Senate,2006-04-20,Received by the Secretary of the Senate,,,1
SB 39,793,Senate,2006-05-08,Refer to s/c on Emrg Tech & Econ Dev by Pres,,118,4
SB 39,793,Senate,2006-05-08,Read first time,,118,3
SB 39,793,Senate,2006-05-03,Filed,,,2
SB 39,793,Senate,2006-05-03,Received by the Secretary of the Senate,,,1
SB 43,793,Senate,2006-05-13,Meeting cancelled,,,6
SB 43,793,Senate,2006-05-13,Scheduled for public hearing on  . . . . .,,,5
SB 43,793,Senate,2006-05-09,Referred to Finance,,126,4
SB 43,793,Senate,2006-05-09,Read first time,,126,3
SB 43,793,Senate,2006-05-08,Filed,,,2
SB 43,793,Senate,2006-05-08,Received by the Secretary of the Senate,,,1
SCR 1,793,Executive,2006-05-15,Signed by the Governor,,247,15
SCR 1,793,Executive,2006-05-03,Sent to the Governor,,104,14
SCR 1,793,House,2006-05-03,Signed in the House,,205,13
SCR 1,793,Senate,2006-05-02,Signed in the Senate,,96,12
SCR 1,793,Senate,2006-05-01,Reported enrolled,,,11
SCR 1,793,Senate,2006-05-01,House passage reported,,88,10
SCR 1,793,House,2006-05-01,Adopted,,180,9
SCR 1,793,House,2006-05-01,Rules suspended,,180,8
SCR 1,793,Senate,2006-05-01,Again read,,78,7
SCR 1,793,Senate,2006-05-01,Laid before the Senate,,77,6
SCR 1,793,House,2006-04-27,Referred to Rules & Resolutions,,175,5
SCR 1,793,House,2006-04-24,Received from the Senate,,150,4
SCR 1,793,Senate,2006-04-24,Read & adopted,,40,3
SCR 1,793,Senate,2006-04-17,Filed,,,2
SCR 1,793,Senate,2006-04-17,Received by the Secretary of the Senate,,,1
SJR 9,793,Senate,2006-05-13,Meeting cancelled,,,16
SJR 9,793,Senate,2006-05-13,Scheduled for public hearing on  . . . . .,,,15
SJR 9,793,Senate,2006-05-12,Left pending in committee,,,14
SJR 9,793,Senate,2006-05-12,Testimony taken in committee,,,13
SJR 9,793,Senate,2006-05-12,Considered in public hearing,,,12
SJR 9,793,Senate,2006-05-12,Scheduled for public hearing on  . . . . .,,,11
SJR 9,793,Senate,2006-05-11,No action taken in committee,,,10
SJR 9,793,Senate,2006-05-11,Scheduled for public hearing on  . . . . .,,,9
SJR 9,793,Senate,2006-04-24,Left pending in committee,,,8
SJR 9,793,Senate,2006-04-24,Testimony taken in committee,,,7
SJR 9,793,Senate,2006-04-24,Considered in public hearing,,,6
SJR 9,793,Senate,2006-04-24,Scheduled for public hearing on  . . . . .,,,5
SJR 9,793,Senate,2006-04-20,Referred to Finance,,33,4
SJR 9,793,Senate,2006-04-20,Read first time,,33,3
SJR 9,793,Senate,2006-04-18,Filed,,,2
SJR 9,793,Senate,2006-04-18,Received by the Secretary of the Senate,,,1
SR 8,793,Senate,2006-04-18,Reported enrolled,,,3
SR 8,793,Senate,2006-04-18,Read & adopted,,30,2
SR 8,793,Senate,2006-04-18,Received by the Secretary of the Senate,,,1
SR 28,793,Senate,2006-04-20,Reported enrolled,,,3
SR 28,793,Senate,2006-04-20,Read & adopted,,34,2
SR 28,793,Senate,2006-04-20,Received by the Secretary of the Senate,,,1
SR 33,793,Senate,2006-04-20,Reported enrolled,,,3
SR 33,793,Senate,2006-04-20,Read & adopted,,35,2
SR 33,793,Senate,2006-04-20,Received by the Secretary of the Senate,,,1
SR 34,793,Senate,2006-04-20,Reported enrolled,,,3
SR 34,793,Senate,2006-04-20,Read & adopted,,35,2
SR 34,793,Senate,2006-04-20,Received by the Secretary of the Senate,,,1
SR 79,793,Senate,2006-04-27,Reported enrolled,,,3
SR 79,793,Senate,2006-04-27,Read & adopted,,73,2
SR 79,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 80,793,Senate,2006-04-27,Reported enrolled,,,3
SR 80,793,Senate,2006-04-27,Read & adopted,,74,2
SR 80,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 81,793,Senate,2006-04-27,Reported enrolled,,,3
SR 81,793,Senate,2006-04-27,Read & adopted,,73,2
SR 81,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 82,793,Senate,2006-04-27,Reported enrolled,,,3
SR 82,793,Senate,2006-04-27,Read & adopted,,74,2
SR 82,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 83,793,Senate,2006-04-27,Reported enrolled,,,3
SR 83,793,Senate,2006-04-27,Read & adopted,,74,2
SR 83,793,Senate,2006-04-27,Received by the Secretary of the Senate,,,1
SR 142,793,Senate,2006-05-12,Again read,,173,4
