bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 600,82R,Relating to a prohibition on law enforcement inquiries regarding the nationality or immigration status of a victim of or witness to a criminal offense.,Aliens (I0032); Criminal Procedure--General (I0208); Law Enforcement (I0510); CRIME VICTIMS (S0046); WITNESSES (S0015),Rodriguez,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB600
SB 601,82R,Relating to the authority of the El Paso County Hospital District to employ and commission peace officers.,EL PASO COUNTY HOSPITAL DISTRICT (D0174); Law Enforcement (I0510); Special Districts & Authorities--Hospital (I0750); PEACE OFFICERS (S0007),Rodriguez,,"Gonzalez, Naomi",,County Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB601
SB 602,82R,Relating to confidential information under the public information law and to procedures and deadlines under the public information law in relation to the redaction of certain confidential information by a governmental body.,Open Records (I0548); Protection of Personal Information (I0003); ATTORNEY GENERAL (V2811),Rodriguez,,Marquez,,State Affairs,Out of committee,"Open Government, Select",Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB602
SB 603,82R,Relating to the filing and posting on the Internet of reports of political contributions and expenditures required in connection with the office of member of the board of trustees of certain school districts.,Education--Primary & Secondary--Other School Personnel (I0246); Education--School Districts (I0220); Elections--Campaign Financing (I0290); Elections--School District (I0283); Electronic Information Systems (I0311); Protection of Personal Information (I0003); INTERNET (S0130); POLITICAL CONTRIBUTIONS (S0114),Rodriguez,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB603
SB 604,82R,Relating to the execution of lawful process by county jailers.,Corrections--Jails & Prisons (I0092); Criminal Procedure--General (I0208); JAILERS & PRISON GUARDS (S0341),Rodriguez,,"Gonzalez, Naomi; Gallego; Quintanilla; Pickett; Marquez",,Criminal Jurisprudence,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB604
SB 605,82R,Relating to the creation of an appellate judicial system for the Eighth Court of Appeals District.,Courts--Appellate (I0125); Fees & Other Nontax Revenue--Local (I0361),Rodriguez,,Gallego; Lewis; Quintanilla,,Judiciary & Civil Jurisprudence,Out of committee,Jurisprudence,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB605
SB 606,82R,Relating to court costs imposed on conviction and deposited to the courthouse security fund.,Courts--Administration (I0130); Fees & Other Nontax Revenue--Local (I0361),Rodriguez,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB606
SB 607,82R,Relating to the assessment of court costs on conviction of a Class C misdemeanor in certain justice courts.,Courts--Administration (I0130); Courts--Justice (I0110); Fees & Other Nontax Revenue--Local (I0361),Rodriguez,,,,,,Criminal Justice,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB607
SB 608,82R,Relating to the regulation of fireworks by counties; imposing a criminal penalty.,County Government--General (I0096); Fees & Other Nontax Revenue--Local (I0361); Safety--Fireworks (I0741),Rodriguez,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB608
SB 609,82R,"Relating to the exemption of certain property from municipal drainage service charges and from related ordinances, resolutions, and rules.",City Government--General (I0060); City Government--Utilities (I0068); Education--School Districts (I0220); Property Interests--Real Property (I0595); WATER & SEWER SERVICE (S0443),Rodriguez,,"Gonzalez, Naomi",,Natural Resources,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=82R&Bill=SB609
