bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 61,716,Relating to the authority of a county road district to refinance road district bonds by issuing alternative refunding bonds or certificates of assessment.,Roads--Local Laws (I0733); Special Districts & Authorities--Miscellaneous (I0770); BONDS (S6060),Armbrister,,,,,,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB61
SB 14,716,"Relating to the creation, administration, powers, duties, operation, and financing of the Glen Rose Special Utility District.",GLEN ROSE SPECIAL UTILITY DISTRICT (D9496); Special Districts & Authorities--Water & Utility (I0755),Barrientos,,,,,,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB14
SB 15,716,Relating to exempting from ad valorem taxes property owned or leased by certain cooperative research and development organizations.,Industrial Development (I0415); Taxation--Property (I0795),Barrientos,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB15
SB 16,716,Relating to a student health services building fee at the University of Texas at Austin.,Education--Higher--Student Fees (I0234); UNIVERSITY OF TEXAS AT AUSTIN (U0397),Barrientos,,Delco,,State Affairs,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB16
SB 17,716,Relating to the imposition of court costs in certain criminal cases for the funding of the crime stoppers assistance account; making an appropriation.,Appropriations (I0040); Crime Prevention (I0083); Fees & Other Nontax Revenue--Local (I0361),Barrientos,,Berlanga,"Carter; Smith, Ashley",State Affairs,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB17
SB 18,716,"Relating to the creation, administration, powers, duties, operation, and financing of the Williamson-Travis Counties Water Control and Improvement District No. 1.",WILLIAMSON-TRAVIS COUNTIES WATER CONTROL IMPROVEMENT DIST. # (D9382); Special Districts & Authorities--Water & Utility (I0755),Barrientos,,"Smith, Terral",,State Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB18
SR 61,716,Declaring Tejas as an official publication of the University of Texas at Austin.,Resolutions--Miscellaneous (I0720); TEJAS (N9989),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SR61
SB 44,716,"Relating to property rights in, and the establishment of a wildlife management area along and in the vicinity of, the Canadian River bed; making an appropriation.","Appropriations (I0040); Property Interests--Real Property (I0595); Public Lands, Buildings & Resources (I0630); CANADIAN RIVER (N9803)",Bivins,,,,State Affairs,In committee,Administration,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB44
SB 4,716,"Relating to the basis of fees, charges, and rates for medical assistance provided by certain hospitals serving as primary teaching hospitals for certain institutions of higher education.",Education--Higher--Health Institutions (I0237); Hospitals (I0400); Human Services--Medical Assistance (I0905),Brooks,Dickson,,,,,Health & Human Services,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB4
SB 11,716,"Relating to appropriations for the biennium ending August 31, 1991.","Appropriations (I0040); Mental Health & Mental Retardation (I0530); HEALTH, BOARD OF (V0303); HUMAN SERVICES, DEPARTMENT OF (V2639)",Brooks,Caperton,Rudd,,State Affairs,Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB11
SB 43,716,"Relating to conforming Chapters 361 and 363, Health and Safety Code (the Solid Waste Disposal Act and the Comprehensive Municipal Solid Waste Management, Resource Recovery, and Conservation Act)....",Environment--Solid Waste (I0330); Health (I0385); Statutory Revision (I0771),Brooks,,Saunders,,State Affairs,Out of committee,Health & Human Services,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB43
SB 46,716,Relating to the administration of medications by nursing students and medication aide trainees to residents of nursing and convalescent institutions and patients of home health agencies; creating offenses....,Appropriations (I0040); Education--Higher--Health Institutions (I0237); Health (I0385); Nursing Homes (I0539); HOME HEALTH AGENCIES (S0949),Brooks,,"Hill, Anita",,State Affairs,Out of committee,Health & Human Services,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB46
SB 47,716,"Relating to the forfeiture or seizure, and the disposition of funds derived from the forfeiture or seizure, of crime-related assets; making an appropriation.",Alcoholic Beverage Regulation (I0025); Appropriations (I0040); Crimes--Drugs (I0185); Property Interests--Real Property (I0595),Brooks,,,,,,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB47
SB 48,716,"Relating to ethics and accountability in state government and elections; to the composition, powers, and duties of the Texas Elections and Ethics Commission; to registration, reporting, . . .","Appropriations (I0040); Elections--Campaign Financing (I0290); Ethics (I0345); Legislature (I0520); State Agencies, Newly Proposed (I0773); ELECTIONS & ETHICS COMMISSION, TEXAS (V9465)",Brooks,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB48
SB 55,716,Relating to an exemption for full-service gasoline stations during certain times from the requirement to provide refueling service to disabled persons.,Handicapped Persons (I0380); Vehicles & Traffic-- General (I0865); SERVICE STATIONS (S0387),Brooks,,,,,,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB55
SB 56,716,Relating to tuition and fee payments at certain institutions of higher education.,Education--Higher--Student Fees (I0234); Education--Higher--Tuition (I0233),Brooks,,,,,,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB56
SB 62,716,"Relating to the promotion, regulation, and coordination of aquaculture and the fish farming industry; making appropriations.",Agriculture (I0020); Appropriations (I0040); Parks & Wildlife--Hunting & Fishing (I0560); AQUACULTURE (S8821); FISH FARMING (S9786),Brooks,,,,,,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB62
SB 63,716,Relating to anatomical gifts.,Health (I0385),Brooks,Truan,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB63
SB 66,716,Relating to a commercial fisheries marketing council in the agriculture department.,"Agriculture (I0020); Parks & Wildlife--Hunting & Fishing (I0560); State Agencies, Newly Proposed (I0773); COMMERCIAL FISHERIES MARKETING COUNCIL, TEXAS (V8801)",Brooks,,,,,,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SB66
SCR 3,716,"That the 71st Legislature of the State of Texas, 6th Called Session, having completed its labors stand adjourned sine die.",Resolutions--Adjournment (I0712),Brooks,,Laney,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SCR3
SR 1,716,Senate caucus report.,Resolutions--Administration (I0690); CAUCUS REPORT (S2114),Brooks,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SR1
SR 16,716,Congratulating Mr. and Mrs. Irvin Champagne on their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); CHAMPAGNE, IRVIN, MR. & MRS. (N3999)",Brooks,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=716&Bill=SR16
