bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 9,74R,Relating to the functions and systems and programs administered by the Teacher Retirement System of Texas.,Interim Studies (I0448); Retirement Systems--Teachers (I0726); Sunset Bills (I0772); TEACHER RETIREMENT SYSTEM (V0022),Armbrister; Barrientos; Bivins; Brown; Cain,"Ellis; Gallegos; Galloway; Haywood; Henderson; Leedom; Lucio; Luna, Gregory; Madla; Moncrief; Montford; Nelson; Nixon, Drew; Patterson, Jerry; Ratliff; Rosson; Shapiro; Sibley; Sims; Truan; Turner, Jim; Wentworth; West, Royce; Whitmire; Zaffirini",Gray,,Pensions and Investments,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB9
SB 16,74R,Relating to requiring a quail stamp for hunting quail; providing a penalty.,Parks & Wildlife--Hunting & Fishing (I0560),Armbrister,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB16
SB 21,74R,Relating to the State Cemetery.,"Historic Preservation & Museums (I0392); Public Lands, Buildings & Resources (I0630); STATE CEMETERY (N1189)",Armbrister,,Saunders,,Land and Resource Management,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB21
SB 200,74R,Relating to the alternative fuels program.,Oil & Gas (I0545); Vehicles & Traffic--General (I0865),Armbrister,,Stiles,,Environmental Regulation,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB200
SB 218,74R,Relating to the composition and functions of the Texas Commission on Fire Protection.,"Fire Fighters & Police (I0370); FIRE PROTECTION, TEXAS COMMISSION ON (V0035)",Armbrister,,,,,,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB218
SB 219,74R,Relating to community assistance and economic development program activities of certain river authorities; validating certain actions and instruments of the river authorities.,Economic & Industrial Development (I0214); Special Districts & Authorities--Water & Utility (I0755),Armbrister,,Saunders,,Energy Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB219
SB 239,74R,Relating to components of net income used in establishing rates of a gas utility.,Utilities--General (I0830),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB239
SB 266,74R,Relating to an exemption from the regulation of air conditioning and refrigeration contractors.,Occupational Regulation--Other Trades & Professions (I0541); AIR CONDITIONING CONTRACTORS (S0896),Armbrister,,Uher,,Licensing & Administrative Procedures,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB266
SB 277,74R,Relating to the eligibility of a person who has served as a member of the United States Senate or House of Representatives to be a candidate for the same office.,Congress (I0085); Elections--Candidates (I0280); TERM LIMITS (S0105),Armbrister,Nelson,,,,,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB277
SB 317,74R,Relating to the authority of a municipality to implement a photographic traffic-control system; providing for imposition of civil penalties.,City Government--General (I0060); Vehicles & Traffic--Rules of Road (I0860),Armbrister,,Seidlits,,State Affairs,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB317
SB 319,74R,Relating to a nonsubstantive recodification of the Public Utility Regulatory Act.,Statutory Revision (I0771); Utilities--General (I0830); Utilities--Telecommunications (I0828); PUBLIC UTILITY REGULATORY ACT OF 1995 (P0205); PUBLIC UTILITY COMMISSION (V0023),Armbrister,Sibley; Truan,Seidlits,,State Affairs,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB319
SB 341,74R,Relating to indemnification in certain construction contracts.,Civil Remedies & Liabilities (I0065); Labor--General (I0500),Armbrister,,"Lewis, Ron",,Civil Practices,Out of committee,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB341
SB 361,74R,Relating to the removal of the Guadalupe-Blanco River Authority from the application of the Texas Sunset Act.,GUADALUPE-BLANCO RIVER AUTHORITY (D0094); Special Districts & Authorities--Water & Utility (I0755); Sunset Bills (I0772),Armbrister,,Counts,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB361
SB 362,74R,Relating to the continuation and functions of the Texas Workers' Compensation Commission; providing penalties.,"Labor--Workers' Compensation (I0470); Sunset Bills (I0772); WORKERS' COMPENSATION COMMISSION, TEXAS (V9332)",Armbrister; Montford,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=74R&Bill=SB362
