bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 1827,78R,Relating to misrepresentation concerning political activity of a tax-exempt organization; providing a civil penalty.,Charitable & Nonprofit Organizations (I0055); Elections--Candidates (I0280),Lucio,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1827
SB 1847,78R,"Relating to the authorization and regulation of casino gambling and to the creation, powers, and duties of the Texas Gaming Commission; authorizing taxes, establishing scholarships for Texas Students in public colleges and universities providing civil and criminal penalties.","Civil Remedies & Liabilities (I0065); BUILDING CONSTRUCTION (S0426); CONTRACTORS & SUBCONTRACTORS (S2563); MEDIATION, DISPUTE RESOLUTION, & ARBITRATION (S8683)",Lucio,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1847
SB 1874,78R,Relating to naming the school of pharmacy at Texas A&M University--Kingsville and its physical facility after Irma Rangel.,"RANGEL, IRMA, REP. (A0058); Education--Higher--Health Institutions (I0237); Education--Higher--Institutions & Programs (I0223); PHARMACIES & PHARMACISTS (S1192); TEXAS A&M UNIVERSITY SYSTEM (U0079); TEXAS A&M UNIVERSITY--KINGSVILLE IRMA RANGEL SCH OF PHARMACY (U0115)",Lucio,"Armbrister; Averitt; Barrientos; Bivins; Brimer; Carona; Deuell; Duncan; Ellis, Rodney; Estes; Fraser; Gallegos; Harris; Hinojosa; Jackson; Janek; Lindsay; Madla; Nelson; Ogden; Ratliff; Shapiro; Shapleigh; Staples; Van de Putte; Wentworth; West; Whitmire; Williams; Zaffirini",,,,,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1874
SB 1890,78R,Relating to the members of the boards of regents of The University of Texas System and The Texas A&M University System.,"Education--Higher--General (I0231); Education--Higher--Institutions & Programs (I0223); State Agencies, Boards & Commissions (I0749); TEXAS A&M UNIVERSITY SYSTEM (U0079); UNIVERSITY OF TEXAS SYSTEM (U0045)",Lucio,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1890
SB 1894,78R,"Relating to the authorization and regulation of casino gambling and to the creation, powers, and duties of the Texas Gaming Commission; authorizing the imposition of gaming taxes for certain purposes including the establishment of scholarships for Texas students in public colleges and universities; providing civil and criminal penalties.","Amusements, Games, Sports (I0034); Education--Higher--Student Financial Aid (I0235); State Agencies, Boards & Commissions--Newly Proposed (I0773); TEXAS HIGHER EDUCATION SCHOLARSHIP & GAMING CONTROL ACT (P0271); SCHOLARSHIPS (S2123); GAMING COMMISSION, TEXAS (V0239)",Lucio,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1894
SB 1902,78R,"Relating to the creation, administration, powers, duties, operation, and financing of the Rio Grande Regional Water Authority and to the powers and duties of the Rio Grande watermaster and the delivery of water down the banks and bed of the Rio Grande; authorizing the issuance of bonds.",RIO GRANDE REGIONAL WATER AUTHORITY (D0365); RIO GRANDE RIVER (G0002); Special Districts & Authorities--Water & Utility (I0755); Water--Rights (I0870),Lucio,Hinojosa,Flores; Wise,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1902
SB 1909,78R,Relating to the regulation of the subdividing or development of land in areas bordering the Rio Grande and the Laguna Madre or the Gulf of Mexico.,County Government--Land Use & Zoning (I0098); Water--General (I0885); BORDER (S0045); PLATTING (S0285),Lucio,,,,Land & Resource Management,In committee,International Relations and Trade,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1909
SB 1947,78R,"Relating to the creation, administration, powers, duties, operation, and financing of the Heritage Groundwater Conservation District.",HERITAGE GROUNDWATER CONSERVATION DISTRICT (D0415); Special Districts & Authorities--Soil & Water Conservation (I0760),Lucio,,Wilson,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SB1947
SCR 49,78R,Requesting the lieutenant governor and the speaker to create a joint interim committee to study issues related to nutrition among Texas public school children.,Education--Primary & Secondary--General (I0230); Interim Studies (I0448); Resolutions--Legislative Policy (I0685); NUTRITION (S0623),Lucio,,Capelo,,Public Health,Out of committee,Administration,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SCR49
SCR 51,78R,Recognizing the King Ranch on its sesquicentennial anniversary.,Resolutions--Congratulatory & Honorary (I0705); KING RANCH (N1624),Lucio,,Hilderbran; Escobar,,State Cultural and Recreational Resources,Out of committee,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SCR51
SJR 21,78R,Proposing a constitutional amendment authorizing the legislature to provide for the issuance of bonds for improvements to the state highway system.,"Highways (I0390); Resolutions--Constitutional Amendments (I0661); Transportation--Miscellaneous (I0824); BONDS (S6060); TRANSPORTATION COMMISSION, TEXAS (V0040)",Lucio,,,,,,Infrastructure Development and Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR21
SJR 34,78R,Proposing a constitutional amendment providing for authorization of  the borrowing of money on a short-term basis by a state transportation agency for transportation-related projects.,"Resolutions--Constitutional Amendments (I0661); State Agencies, Boards & Commissions--Admin. Procedure (I0763); Transportation--Miscellaneous (I0824); LOANS (S0117); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Lucio,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR34
SJR 61,78R,Proposing a constitutional amendment authorizing casino gaming.,"Amusements, Games, Sports (I0034); Education--Higher--Student Financial Aid (I0235); Resolutions--Constitutional Amendments (I0661); GAMBLING (S1232); SCHOLARSHIPS (S2123)",Lucio,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SJR61
SR 56,78R,In memory of Alfred Raymond Palousek of Raymondville.,"Resolutions--Memorial (I0710); PALOUSEK, ALFRED RAYMOND (N0101)",Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR56
SR 57,78R,Commending Noe Pro for his groundbreaking Tejano music career.,"Resolutions--Congratulatory & Honorary (I0705); PRO, NOE (N0100)",Lucio,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=78R&Bill=SR57
