bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 168,76R,Relating to the provision of electric transmission services by a river authority.,Special Districts & Authorities--Water & Utility (I0755); Utilities--Electric (I0831); Utilities--General (I0830); Utilities--Telecommunications (I0828),Armbrister,,,,State Affairs,In committee,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB168
SB 169,76R,Relating to the listing of a business location of certain businesses in a telephone directory or database.,Business & Commerce--General (I0050); Electronic Information Systems (I0311); Utilities--Telecommunications (I0828); TELEPHONES & TELEPHONE DIRECTORIES (S5657),Armbrister,,,,Business & Industry,In committee,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB169
SB 170,76R,Relating to cancelling or prohibiting the issuance of certain original or renewal alcoholic beverage permits or licenses for nonpayment of ad valorem taxes.,Alcoholic Beverage Regulation (I0025); Taxation--Property-Miscellaneous (I0797),Armbrister,,Hawley,,Licensing & Administrative Procedures,Out of committee,Economic Development,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB170
SB 219,76R,Relating to the total amount of state lottery prizes that may be awarded in a fiscal year.,"Amusements, Games, Sports (I0034); State Finances--Management & Control (I0748); LOTTERIES (S0994)",Armbrister,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB219
SB 220,76R,Relating to granting the owner of landlocked property the right to an access easement under certain circumstances.,Property Interests--Eminent Domain (I0615); Property Interests--Real Property (I0595),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB220
SB 255,76R,Relating to enrichment curriculum requirements.,Education--Primary & Secondary--Curriculum (I0228); Education--School Districts (I0220),Armbrister,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB255
SB 266,76R,Relating to participation by private school students in University Interscholastic League sponsored activities.,Education--Higher--Finance (I0232); Education--Higher--Private Schools (I0238); Education--Primary & Secondary--Extracurricular Activities (I0247); Education--Primary & Secondary--Private (I0239); UNIVERSITY INTERSCHOLASTIC LEAGUE (S0337),Armbrister,,,,Public Education,In committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB266
SB 297,76R,Relating to the authority of a municipality to implement a photographic traffic monitoring system; providing for imposition of a civil penalty.,City Government--Roads (I0066); Vehicles & Traffic--Rules of Road (I0860); RED LIGHT BILL (P0002); VIDEOTAPE & FILM (S2361),Armbrister,Carona,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB297
SB 298,76R,Relating to withdrawal of a unit from a rapid transit authority.,Elections--General (I0310); Transportation--Mass Transit (I0823); Transportation--Miscellaneous (I0824),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB298
SB 402,76R,Relating to public participation in certain environmental permitting procedures of the Texas Natural Resource Conservation Commission.,"Environment--General (I0340); State Agencies, Boards & Commissions (I0749); PERMITS (S0011); NATURAL RESOURCE CONSERVATION COMMISSION, TEXAS (V0172)",Armbrister,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB402
SB 403,76R,Relating to the liability of a criminal defendant and the defendant's sureties on a personal bond or a bail bond and to certain procedures relating to a bond; providing a criminal penalty.,Criminal Procedure--Bail & Pretrial Release (I0202); Criminal Procedure--General (I0208),Armbrister,,Hinojosa,,Criminal Jurisprudence,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB403
SB 404,76R,Relating to the eligibility of a retired peace officer for a license to carry a concealed handgun.,Weapons (I0887); CONCEALED HANDGUNS (S0241); PEACE OFFICERS (S0007),Armbrister,,Carter,,Public Safety,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=76R&Bill=SB404
