bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 28,71R,"Relating to the application of sales and use taxes to certain purchases of machinery, equipment, and related property used for manufacturing and other commercial purposes.",Business & Commerce-- General (I0050); Industrial Development (I0415); Taxation--Sales (I0800),Armbrister,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB28
SB 105,71R,"Relating to the penalty for delay in payment of losses under life, health, and accident insurance.","Insurance--Life, Health & Accident (I0440)",Armbrister,,,,,,Economic Development,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB105
SB 106,71R,Relating to submission of evidence of financial responsibility on inspection of a motor vehicle and insurer notice of canceled liability insurance.,Insurance--Motor Vehicles (I0435); Vehicles & Traffic--Safety Responsibility (I0850),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB106
SB 114,71R,"Relating to the disclosure of test results for AIDS or HIV infection, antibodies to HIV, or infection from any other probable cause of AIDS.",Education--Teachers & Other School Personnel (I0245); Health (I0385); ACQUIRED IMMUNE DEFICIENCY SYNDROME (S5719),Armbrister,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB114
SB 121,71R,Relating to issuance of personalized prestige license plates.,Vehicles & Traffic--Vehicle Registration (I0845),Armbrister,,,,Transportation,In committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB121
SB 154,71R,Relating to the issuance of certificates of authority to attorneys-in-fact for reciprocal and interinsurance exchanges.,Insurance-- General (I0445); Lawyers (I0515),Armbrister,,,,,,Economic Development,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB154
SB 172,71R,Relating to the content of public school education courses.,Education--Primary & Secondary (I0230); CURRICULUM (S0053),Armbrister,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB172
SB 248,71R,Relating to the training of employees of nursing homes or custodial care homes and to the eligibility of a person convicted of certain criminal offenses to be an employee of a home.,Nursing Homes (I0539),Armbrister,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB248
SB 269,71R,Relating to the peace officer college loan program.,Education--Higher--Student Loans (I0235); Law Enforcement (I0510),Armbrister,Caperton; Lyon; Zaffirini,Morales,,Public Safety,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB269
SB 270,71R,Relating to the appraisal of property located in more than one appraisal district.,Taxation--Property (I0795); APPRAISAL DISTRICTS (S0113),Armbrister,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=71R&Bill=SB270
