bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 14,712,Senate,1989-12-05,Reported favorably w/o amendments,,276,6
SB 14,712,Senate,1989-12-04,Considered in public hearing,,,5
SB 14,712,Senate,1989-12-04,Scheduled for public hearing on  . . . . . .,,,4
SB 14,712,Senate,1989-11-28,Referred to Natural Resources,,120,3
SB 14,712,Senate,1989-11-15,Read first time,,14,2
SB 14,712,Senate,1989-11-15,Filed,,,1
SB 37,712,Senate,1989-12-01,Referred to Intergovernmental Relations,,137,3
SB 37,712,Senate,1989-12-01,Read first time,,137,2
SB 37,712,Senate,1989-11-28,Filed,,,1
SR 44,712,Senate,1989-11-20,Read & adopted,,98,1
SB 23,712,Senate,1989-12-05,Reported favorably w/amendments,,276,6
SB 23,712,Senate,1989-12-04,Considered in public hearing,,,5
SB 23,712,Senate,1989-12-04,Scheduled for public hearing on  . . . . . .,,,4
SB 23,712,Senate,1989-11-28,Referred to Natural Resources,,120,3
SB 23,712,Senate,1989-11-21,Read first time,,100,2
SB 23,712,Senate,1989-11-16,Filed,,,1
SB 45,712,Senate,1989-12-04,Referred to Finance,,275,3
SB 45,712,Senate,1989-12-04,Read first time,,275,2
SB 45,712,Senate,1989-12-01,Filed,,,1
SCR 1,712,Senate,1989-11-28,Referred to Jurisprudence,,120,3
SCR 1,712,Senate,1989-11-14,Read first time,,9,2
SCR 1,712,Senate,1989-11-03,Filed,,,1
SCR 10,712,Senate,1989-12-12,Signed by the Governor,,557,12
SCR 10,712,Senate,1989-12-07,Sent to the Governor,,421,11
SCR 10,712,House,1989-11-29,Signed in the House,,308,10
SCR 10,712,Senate,1989-11-29,Signed in the Senate,,125,9
SCR 10,712,Senate,1989-11-20,House passage reported,,42,8
SCR 10,712,House,1989-11-20,Sent to the Senate,,,7
SCR 10,712,House,1989-11-20,Adopted,,17,6
SCR 10,712,House,1989-11-20,Rules suspended,,17,5
SCR 10,712,House,1989-11-20,Received from the Senate,,12,4
SCR 10,712,Senate,1989-11-17,Read & adopted,,34,3
SCR 10,712,Senate,1989-11-17,Rules suspended,,34,2
SCR 10,712,Senate,1989-11-16,Filed,,,1
SCR 17,712,Senate,1989-12-12,Signed by the Governor,,557,15
SCR 17,712,Senate,1989-12-07,Sent to the Governor,,421,14
SCR 17,712,House,1989-12-04,Signed in the House,,350,13
SCR 17,712,Senate,1989-12-04,Signed in the Senate,,275,12
SCR 17,712,Senate,1989-12-01,House passage reported,,271,11
SCR 17,712,House,1989-12-01,Sent to the Senate,,,10
SCR 17,712,House,1989-12-01,Adopted,,336,9
SCR 17,712,House,1989-12-01,Placed on Congratulatory & Mem. Cal.,,,8
SCR 17,712,House,1989-11-28,Reported favorably w/o amendment(s),,345,7
SCR 17,712,House,1989-11-29,Considered in formal meeting,,,6
SCR 17,712,House,1989-11-29,Referred to Rules and Resolutions,,328,5
SCR 17,712,House,1989-11-29,Received from the Senate,,49,4
SCR 17,712,Senate,1989-11-28,Read & adopted,,124,3
SCR 17,712,Senate,1989-11-28,Rules suspended,,124,2
SCR 17,712,Senate,1989-11-28,Filed,,,1
SCR 22,712,Senate,1989-12-04,Referred to Jurisprudence,,275,3
SCR 22,712,Senate,1989-12-04,Read first time,,275,2
SCR 22,712,Senate,1989-12-01,Filed,,,1
SCR 25,712,Senate,1989-12-05,Referred to State Affairs,,277,3
SCR 25,712,Senate,1989-12-05,Read first time,,277,2
SCR 25,712,Senate,1989-12-05,Filed,,,1
SR 9,712,Senate,1989-11-14,Read & adopted,,11,1
SR 10,712,Senate,1989-11-14,Read & adopted,,11,1
SR 11,712,Senate,1989-11-14,Read & adopted,,11,1
SR 12,712,Senate,1989-11-14,Read & adopted,,11,1
SR 13,712,Senate,1989-11-14,Read & adopted,,11,1
SR 14,712,Senate,1989-11-14,Read & adopted,,11,1
SR 15,712,Senate,1989-11-14,Read & adopted,,11,1
SR 16,712,Senate,1989-11-14,Read & adopted,,11,1
SR 17,712,Senate,1989-11-14,Read & adopted,,11,1
SR 30,712,Senate,1989-11-15,Read & adopted,,16,1
SR 33,712,Senate,1989-11-17,Read & adopted,,35,1
SR 35,712,Senate,1989-11-17,Read & adopted,,34,1
SR 43,712,Senate,1989-11-17,Read & adopted,,35,1
SR 50,712,Senate,1989-11-20,Read & adopted,,98,1
SR 51,712,Senate,1989-11-20,Read & adopted,,98,1
SR 53,712,Senate,1989-11-20,Read & adopted,,98,1
SR 67,712,Senate,1989-11-21,Read & adopted,,116,1
SR 68,712,Senate,1989-11-21,Read & adopted,,116,1
SR 69,712,Senate,1989-11-21,Read & adopted,,116,1
SR 70,712,Senate,1989-11-21,Read & adopted,,116,1
SR 75,712,Senate,1989-11-28,Read & adopted,,127,1
SR 94,712,Senate,1989-12-01,Read & adopted,,274,1
SR 2,712,Senate,1989-11-14,Read & adopted,,11,1
SR 85,712,Senate,1989-11-29,Read & adopted,,135,1
SR 103,712,Senate,1989-12-06,Read & adopted,,282,1
SB 4,712,Senate,1989-12-05,Reported favorably with substitute,,276,6
SB 4,712,Senate,1989-12-04,Considered in public hearing,,,5
SB 4,712,Senate,1989-12-04,Scheduled for public hearing on  . . . . . .,,,4
SB 4,712,Senate,1989-11-28,Referred to Natural Resources,,120,3
SB 4,712,Senate,1989-11-14,Read first time,,9,2
SB 4,712,Senate,1989-10-18,Filed,,,1
SB 21,712,Senate,1989-11-28,Referred to Finance,,120,3
SB 21,712,Senate,1989-11-15,Read first time,,14,2
SB 21,712,Senate,1989-11-15,Filed,,,1
SB 35,712,Senate,1989-11-28,Referred to Intergovernmental Relations,,119,3
SB 35,712,Senate,1989-11-28,Read first time,,119,2
SB 35,712,Senate,1989-11-28,Filed,,,1
SB 36,712,Senate,1989-11-28,Referred to Criminal Justice,,119,3
SB 36,712,Senate,1989-11-28,Read first time,,119,2
SB 36,712,Senate,1989-11-28,Filed,,,1
SB 43,712,Senate,1989-12-06,Reported favorably w/o amendments,,279,7
SB 43,712,Senate,1989-12-06,Testimony taken in committee,,,6
SB 43,712,Senate,1989-12-06,Considered in public hearing,,,5
SB 43,712,Senate,1989-12-06,Scheduled for public hearing on  . . . . . .,,,4
SB 43,712,Senate,1989-12-04,Referred to Health & Human Services,,275,3
SB 43,712,Senate,1989-12-04,Read first time,,275,2
SB 43,712,Senate,1989-12-01,Filed,,,1
SB 44,712,Senate,1989-12-04,Referred to Finance,,275,3
SB 44,712,Senate,1989-12-04,Read first time,,275,2
SB 44,712,Senate,1989-12-01,Filed,,,1
SB 47,712,Senate,1989-12-04,Referred to Health & Human Services,,275,3
SB 47,712,Senate,1989-12-04,Read first time,,275,2
SB 47,712,Senate,1989-12-04,Filed,,,1
SB 48,712,Senate,1989-12-04,Referred to Criminal Justice,,275,3
SB 48,712,Senate,1989-12-04,Read first time,,275,2
SB 48,712,Senate,1989-12-04,Filed,,,1
SB 49,712,Senate,1989-12-04,Referred to Education,,276,3
SB 49,712,Senate,1989-12-04,Read first time,,276,2
SB 49,712,Senate,1989-12-04,Filed,,,1
SCR 11,712,Senate,1989-12-12,Signed by the Governor,,557,15
SCR 11,712,Senate,1989-12-07,Sent to the Governor,,421,14
SCR 11,712,House,1989-11-29,Signed in the House,,308,13
SCR 11,712,Senate,1989-11-29,Signed in the Senate,,125,12
SCR 11,712,Senate,1989-11-28,House passage reported,,120,11
SCR 11,712,House,1989-11-28,Sent to the Senate,,,10
SCR 11,712,House,1989-11-27,Adopted,,40,9
SCR 11,712,House,1989-11-22,Placed on Congratulatory & Mem. Cal.,,,8
SCR 11,712,House,1989-11-20,Reported favorably w/o amendment(s),,36,7
SCR 11,712,House,1989-11-20,Considered in formal meeting,,,6
SCR 11,712,House,1989-11-20,Referred to Rules and Resolutions,,20,5
SCR 11,712,House,1989-11-20,Received from the Senate,,12,4
SCR 11,712,Senate,1989-11-17,Read & adopted,,34,3
SCR 11,712,Senate,1989-11-17,Rules suspended,,34,2
SCR 11,712,Senate,1989-11-16,Filed,,,1
SCR 12,712,Senate,1989-11-28,Referred to Jurisprudence,,120,3
SCR 12,712,Senate,1989-11-21,Read first time,,99,2
SCR 12,712,Senate,1989-11-16,Filed,,,1
SCR 20,712,Senate,1989-12-04,Referred to Jurisprudence,,275,3
SCR 20,712,Senate,1989-12-04,Read first time,,275,2
SCR 20,712,Senate,1989-12-01,Filed,,,1
SCR 21,712,Senate,1989-12-06,Reported favorably with substitute,,279,7
SCR 21,712,Senate,1989-12-06,Testimony taken in committee,,,6
SCR 21,712,Senate,1989-12-06,Considered in public hearing,,,5
SCR 21,712,Senate,1989-12-06,Scheduled for public hearing on  . . . . . .,,,4
SCR 21,712,Senate,1989-12-04,Referred to Health & Human Services,,275,3
SCR 21,712,Senate,1989-12-04,Read first time,,275,2
SCR 21,712,Senate,1989-12-01,Filed,,,1
SCR 24,712,Senate,1989-12-12,Signed by the Governor,,557,13
SCR 24,712,Senate,1989-12-07,Sent to the Governor,,421,12
SCR 24,712,House,1989-12-07,Signed in the House,,364,11
SCR 24,712,Senate,1989-12-07,Signed in the Senate,,282,10
SCR 24,712,Senate,1989-12-06,House passage reported,,279,9
SCR 24,712,House,1989-12-06,Sent to the Senate,,,8
SCR 24,712,House,1989-12-06,Adopted,,357,7
SCR 24,712,House,1989-12-06,Rules suspended,,357,6
SCR 24,712,House,1989-12-06,Received from the Senate,,354,5
SCR 24,712,Senate,1989-12-05,Read & adopted,,277,4
SCR 24,712,Senate,1989-12-05,Rules suspended,,277,3
SCR 24,712,Senate,1989-12-05,Co-author authorized,,278,2
SCR 24,712,Senate,1989-12-05,Filed,,,1
SR 1,712,Senate,1989-11-14,Record vote,,3,2
SR 1,712,Senate,1989-11-14,Read & adopted,,3,1
SR 5,712,Senate,1989-11-14,Read & adopted,,11,1
SR 6,712,Senate,1989-11-14,Read & adopted,,11,1
SR 7,712,Senate,1989-11-14,Read & adopted,,11,1
SR 29,712,Senate,1989-11-15,Read & adopted,,16,1
SR 32,712,Senate,1989-11-16,Read & adopted,,17,1
SR 34,712,Senate,1989-11-17,Read & adopted,,35,1
SR 42,712,Senate,1989-11-17,Read & adopted,,35,1
SR 71,712,Senate,1989-11-21,Read & adopted,,116,1
SR 84,712,Senate,1989-11-28,Read & adopted,,127,1
SR 86,712,Senate,1989-11-29,Read & adopted,,135,1
SR 121,712,Senate,1989-12-08,Read & adopted,,413,1
SR 125,712,Senate,1989-12-12,Read & adopted,,550,1
SB 3,712,Senate,1989-11-28,Referred to Criminal Justice,,120,3
SB 3,712,Senate,1989-11-14,Read first time,,9,2
SB 3,712,Senate,1989-10-16,Filed,,,1
SB 6,712,Senate,1989-11-28,Referred to Criminal Justice,,120,3
SB 6,712,Senate,1989-11-14,Read first time,,9,2
SB 6,712,Senate,1989-10-30,Filed,,,1
SB 52,712,Senate,1989-12-05,Referred to Finance,,277,3
SB 52,712,Senate,1989-12-05,Read first time,,277,2
SB 52,712,Senate,1989-12-05,Filed,,,1
SB 53,712,Senate,1989-12-05,Referred to Intergovernmental Relations,,277,3
SB 53,712,Senate,1989-12-05,Read first time,,277,2
SB 53,712,Senate,1989-12-05,Filed,,,1
SR 4,712,Senate,1989-11-14,Read & adopted,,11,1
SR 57,712,Senate,1989-11-21,Read & adopted,,116,1
SR 87,712,Senate,1989-11-29,Read & adopted,,135,1
SR 88,712,Senate,1989-11-29,Read & adopted,,135,1
SR 100,712,Senate,1989-12-05,Read & adopted,,279,1
SR 114,712,Senate,1989-12-08,Read & adopted,,416,1
SR 115,712,Senate,1989-12-08,Read & adopted,,416,1
SR 123,712,Senate,1989-12-12,Read & adopted,,549,1
SR 124,712,Senate,1989-12-12,Read & adopted,,549,1
SB 9,712,Senate,1989-11-16,Left as pending business in comm.,,,7
SB 9,712,Senate,1989-11-16,Testimony taken in committee,,,6
SB 9,712,Senate,1989-11-16,Considered in public hearing,,,5
SB 9,712,Senate,1989-11-16,Scheduled for public hearing on  . . . . . .,,,4
SB 9,712,Senate,1989-11-14,Referred to Economic Development,,9,3
SB 9,712,Senate,1989-11-14,Read first time,,9,2
SB 9,712,Senate,1989-11-06,Filed,,,1
SR 18,712,Senate,1989-11-14,Read & adopted,,11,1
SB 38,712,Senate,1989-12-05,Reported favorably w/o amendments,,276,6
SB 38,712,Senate,1989-12-04,Considered in public hearing,,,5
SB 38,712,Senate,1989-12-04,Scheduled for public hearing on  . . . . . .,,,4
SB 38,712,Senate,1989-12-01,Referred to Intergovernmental Relations,,137,3
SB 38,712,Senate,1989-12-01,Read first time,,137,2
SB 38,712,Senate,1989-11-28,Filed,,,1
SB 46,712,Senate,1989-12-04,Referred to Natural Resources,,275,3
SB 46,712,Senate,1989-12-04,Read first time,,275,2
SB 46,712,Senate,1989-12-01,Filed,,,1
SCR 18,712,Senate,1989-12-01,Referred to Jurisprudence,,137,3
SCR 18,712,Senate,1989-12-01,Read first time,,137,2
SCR 18,712,Senate,1989-11-28,Filed,,,1
SR 89,712,Senate,1989-11-29,Read & adopted,,135,1
SCR 6,712,Senate,1989-12-13,Signed by the Governor,,557,15
SCR 6,712,Senate,1989-12-07,Sent to the Governor,,421,14
SCR 6,712,House,1989-11-29,Signed in the House,,308,13
SCR 6,712,Senate,1989-11-29,Signed in the Senate,,124,12
SCR 6,712,Senate,1989-11-28,House passage reported,,120,11
SCR 6,712,House,1989-11-28,Sent to the Senate,,,10
SCR 6,712,House,1989-11-27,Adopted,,40,9
SCR 6,712,House,1989-11-22,Placed on Congratulatory & Mem. Cal.,,,8
SCR 6,712,House,1989-11-20,Reported favorably w/o amendment(s),,36,7
SCR 6,712,House,1989-11-20,Considered in formal meeting,,,6
SCR 6,712,House,1989-11-20,Referred to Rules and Resolutions,,20,5
SCR 6,712,House,1989-11-20,Received from the Senate,,12,4
SCR 6,712,Senate,1989-11-14,Read & adopted,,10,3
SCR 6,712,Senate,1989-11-14,Rules suspended,,10,2
SCR 6,712,Senate,1989-11-14,Filed,,,1
SR 77,712,Senate,1989-11-28,Read & adopted,,127,1
SR 104,712,Senate,1989-12-06,Read & adopted,,282,1
SB 32,712,Senate,1989-11-28,Referred to State Affairs,,119,3
SB 32,712,Senate,1989-11-28,Read first time,,119,2
SB 32,712,Senate,1989-11-28,Filed,,,1
SB 33,712,Senate,1989-11-28,Referred to State Affairs,,123,3
SB 33,712,Senate,1989-11-28,Read first time,,123,2
SB 33,712,Senate,1989-11-28,Filed,,,1
SB 34,712,Senate,1989-11-28,Referred to State Affairs,,119,3
SB 34,712,Senate,1989-11-28,Read first time,,119,2
SB 34,712,Senate,1989-11-28,Filed,,,1
SB 58,712,Senate,1989-12-11,Referred to Economic Development,,419,3
SB 58,712,Senate,1989-12-11,Read first time,,419,2
SB 58,712,Senate,1989-12-11,Filed,,,1
SJR 4,712,Senate,1989-11-28,Referred to State Affairs,,119,3
SJR 4,712,Senate,1989-11-28,Read first time,,119,2
SJR 4,712,Senate,1989-11-28,Filed,,,1
SR 22,712,Senate,1989-11-15,Read & adopted,,20,1
SR 23,712,Senate,1989-11-15,Read & adopted,,16,1
SR 24,712,Senate,1989-11-15,Read & adopted,,16,1
SR 25,712,Senate,1989-11-15,Read & adopted,,16,1
SR 26,712,Senate,1989-11-15,Read & adopted,,16,1
SR 27,712,Senate,1989-11-15,Read & adopted,,16,1
SR 28,712,Senate,1989-11-15,Read & adopted,,16,1
SR 36,712,Senate,1989-11-17,Read & adopted,,35,1
SR 37,712,Senate,1989-11-17,Read & adopted,,35,1
SR 38,712,Senate,1989-11-17,Read & adopted,,35,1
SR 39,712,Senate,1989-11-17,Read & adopted,,35,1
SR 40,712,Senate,1989-11-17,Read & adopted,,35,1
SR 41,712,Senate,1989-11-17,Read & adopted,,35,1
SR 45,712,Senate,1989-11-20,Read & adopted,,98,1
SR 46,712,Senate,1989-11-20,Read & adopted,,98,1
SR 47,712,Senate,1989-11-20,Read & adopted,,98,1
SR 48,712,Senate,1989-11-20,Read & adopted,,98,1
SR 49,712,Senate,1989-11-20,Read & adopted,,98,1
SR 55,712,Senate,1989-11-20,Read & adopted,,98,1
SR 59,712,Senate,1989-11-21,Read & adopted,,116,1
SR 60,712,Senate,1989-11-21,Read & adopted,,116,1
SR 61,712,Senate,1989-11-21,Read & adopted,,116,1
SR 62,712,Senate,1989-11-21,Read & adopted,,116,1
SR 63,712,Senate,1989-11-21,Read & adopted,,116,1
SR 64,712,Senate,1989-11-21,Read & adopted,,116,1
SR 65,712,Senate,1989-11-21,Read & adopted,,116,1
SR 66,712,Senate,1989-11-21,Read & adopted,,116,1
SR 98,712,Senate,1989-12-04,Read & adopted,,276,1
SR 105,712,Senate,1989-12-06,Read & adopted,,282,1
SR 106,712,Senate,1989-12-06,Read & adopted,,282,1
SR 107,712,Senate,1989-12-06,Read & adopted,,282,1
SR 108,712,Senate,1989-12-06,Read & adopted,,282,1
SR 109,712,Senate,1989-12-06,Read & adopted,,282,1
SR 110,712,Senate,1989-12-06,Read & adopted,,282,1
SR 111,712,Senate,1989-12-06,Read & adopted,,282,1
SR 112,712,Senate,1989-12-06,Read & adopted,,282,1
SB 30,712,Senate,1989-11-28,Referred to Jurisprudence,,119,3
SB 30,712,Senate,1989-11-28,Read first time,,119,2
SB 30,712,Senate,1989-11-21,Filed,,,1
SB 31,712,Senate,1989-12-05,Meeting canceled,,,5
SB 31,712,Senate,1989-12-05,Scheduled for public hearing on  . . . . . .,,,4
