bill_number,session,chamber,action_date,action,comment,journal_page,order
SR 119,715,Senate,1990-05-30,Read & adopted,,174,1
SB 67,715,Senate,1990-05-15,Referred to Finance,,124,3
SB 67,715,Senate,1990-05-15,Read first time,,124,2
SB 67,715,Senate,1990-05-14,Filed,,,1
SB 68,715,Senate,1990-05-15,Referred to Education,,124,3
SB 68,715,Senate,1990-05-15,Read first time,,124,2
SB 68,715,Senate,1990-05-14,Filed,,,1
SB 69,715,Senate,1990-05-15,Referred to Criminal Justice,,124,3
SB 69,715,Senate,1990-05-15,Read first time,,124,2
SB 69,715,Senate,1990-05-14,Filed,,,1
SB 81,715,Senate,1990-05-24,Referred to Intergovernmental Relations,,154,3
SB 81,715,Senate,1990-05-24,Read first time,,154,2
SB 81,715,Senate,1990-05-24,Filed,,,1
SB 82,715,Senate,1990-05-24,Referred to Intergovernmental Relations,,154,3
SB 82,715,Senate,1990-05-24,Read first time,,154,2
SB 82,715,Senate,1990-05-24,Filed,,,1
SCR 4,715,Senate,1990-05-22,Signed by the Governor,,148,14
SCR 4,715,Senate,1990-05-11,Sent to the Governor,,123,13
SCR 4,715,House,1990-05-10,Signed in the House,,87,12
SCR 4,715,Senate,1990-05-10,Signed in the Senate,,79,11
SCR 4,715,Senate,1990-05-10,House passage reported,,78,10
SCR 4,715,House,1990-05-10,Sent to the Senate,,,9
SCR 4,715,House,1990-05-10,Adopted,,79,8
SCR 4,715,House,1990-05-10,Rules suspended,,79,7
SCR 4,715,House,1990-05-08,Received from the Senate,,,6
SCR 4,715,Senate,1990-05-08,Adopted as amended,,36,5
SCR 4,715,Senate,1990-05-08,Amended,,36,4
SCR 4,715,Senate,1990-05-08,Read,,35,3
SCR 4,715,Senate,1990-05-08,Rules suspended,,35,2
SCR 4,715,Senate,1990-05-07,Filed,,,1
SCR 7,715,Senate,1990-06-05,Signed by the Governor,,175,13
SCR 7,715,Senate,1990-05-21,Sent to the Governor,,142,12
SCR 7,715,House,1990-05-21,Signed in the House,,133,11
SCR 7,715,Senate,1990-05-17,Signed in the Senate,,140,10
SCR 7,715,Senate,1990-05-15,House passage reported,,124,9
SCR 7,715,House,1990-05-15,Sent to the Senate,,,8
SCR 7,715,House,1990-05-15,Adopted,,101,7
SCR 7,715,House,1990-05-15,Rules suspended,,101,6
SCR 7,715,House,1990-05-14,Referred to Rules and Resolutions,,92,5
SCR 7,715,House,1990-05-14,Received from the Senate,,90,4
SCR 7,715,Senate,1990-05-14,Read & adopted,,123,3
SCR 7,715,Senate,1990-05-14,Rules suspended,,123,2
SCR 7,715,Senate,1990-05-11,Filed,,,1
SR 4,715,Senate,1990-05-03,Read & adopted,,9,1
SR 36,715,Senate,1990-05-10,Read & adopted,,82,1
SR 44,715,Senate,1990-05-15,Read & adopted,,138,1
SR 46,715,Senate,1990-05-15,Read & adopted,,138,1
SR 47,715,Senate,1990-05-15,Read & adopted,,138,1
SR 48,715,Senate,1990-05-15,Read & adopted,,138,1
SR 49,715,Senate,1990-05-15,Read & adopted,,138,1
SR 50,715,Senate,1990-05-15,Read & adopted,,138,1
SR 51,715,Senate,1990-05-15,Read & adopted,,138,1
SR 52,715,Senate,1990-05-15,Read & adopted,,138,1
SR 53,715,Senate,1990-05-15,Read & adopted,,138,1
SR 76,715,Senate,1990-05-21,Read & adopted,,142,1
SR 79,715,Senate,1990-05-21,Read & adopted,,142,1
SR 86,715,Senate,1990-05-23,Read & adopted,,152,1
SR 87,715,Senate,1990-05-23,Read & adopted,,152,1
SR 94,715,Senate,1990-05-23,Read & adopted,,151,1
SR 116,715,Senate,1990-05-30,Read & adopted,,173,1
SB 47,715,Senate,1990-05-17,Reported favorably w/o amendments,,139,8
SB 47,715,Senate,1990-05-15,Considered in public hearing,,,7
SB 47,715,Senate,1990-05-11,Meeting canceled,,,6
SB 47,715,Senate,1990-05-10,Scheduled for public hearing on  . . . . . .,,,5
SB 47,715,Senate,1990-05-08,Posting rule suspended,,38,4
SB 47,715,Senate,1990-05-08,Referred to Education,,34,3
SB 47,715,Senate,1990-05-08,Read first time,,34,2
SB 47,715,Senate,1990-05-08,Filed,,,1
SJR 9,715,Senate,1990-05-25,Record vote,,157,13
SJR 9,715,Senate,1990-05-25,Motion lost to consider on 3rd reading,,157,12
SJR 9,715,Senate,1990-05-25,Read 2nd time & passed to engrossment,,157,11
SJR 9,715,Senate,1990-05-25,Record vote,,157,10
SJR 9,715,Senate,1990-05-25,Rules suspended,,157,9
SJR 9,715,Senate,1990-05-17,Reported favorably w/o amendments,,139,8
SJR 9,715,Senate,1990-05-15,Considered in public hearing,,,7
SJR 9,715,Senate,1990-05-11,Meeting canceled,,,6
SJR 9,715,Senate,1990-05-10,Scheduled for public hearing on  . . . . . .,,,5
SJR 9,715,Senate,1990-05-08,Posting rule suspended,,38,4
SJR 9,715,Senate,1990-05-08,Referred to Education,,34,3
SJR 9,715,Senate,1990-05-08,Read first time,,34,2
SJR 9,715,Senate,1990-05-08,Filed,,,1
SR 60,715,Senate,1990-05-17,Read & adopted,,140,1
SR 61,715,Senate,1990-05-17,Read & adopted,,140,1
SB 4,715,House,1990-05-24,Reported favorably w/o amendment(s),,195,21
SB 4,715,House,1990-05-24,Testimony received in committee,,,20
SB 4,715,House,1990-05-24,Considered in public hearing,,,19
SB 4,715,House,1990-05-24,Posting rule suspended,,158,18
SB 4,715,House,1990-05-21,Referred to Human Services,,134,17
SB 4,715,House,1990-05-21,Read first time,,134,16
SB 4,715,House,1990-05-17,Received from the Senate,,119,15
SB 4,715,Senate,1990-05-15,Passed,,130,14
SB 4,715,Senate,1990-05-15,Read 3rd time,,130,13
SB 4,715,Senate,1990-05-15,Record vote,,130,12
SB 4,715,Senate,1990-05-15,Rules suspended,,130,11
SB 4,715,Senate,1990-05-15,Read 2nd time & passed to engrossment,,130,10
SB 4,715,Senate,1990-05-15,Rules suspended,,130,9
SB 4,715,Senate,1990-05-14,Reported favorably with substitute,,83,8
SB 4,715,Senate,1990-05-14,Testimony taken in committee,,,7
SB 4,715,Senate,1990-05-14,Considered in public hearing,,,6
SB 4,715,Senate,1990-05-14,Scheduled for public hearing on  . . . . . .,,,5
SB 4,715,Senate,1990-05-07,Co-author authorized,,12,4
SB 4,715,Senate,1990-05-02,Referred to Health & Human Services,,2,3
SB 4,715,Senate,1990-05-02,Read first time,,2,2
SB 4,715,Senate,1990-05-01,Filed,,,1
SB 11,715,House,1990-05-14,Referred to Environmental Affairs,,95,16
SB 11,715,House,1990-05-14,Read first time,,95,15
SB 11,715,House,1990-05-08,Received from the Senate,,,14
SB 11,715,Senate,1990-05-07,Record vote,,21,13
SB 11,715,Senate,1990-05-07,Passed,,21,12
SB 11,715,Senate,1990-05-07,Read 3rd time,,21,11
SB 11,715,Senate,1990-05-07,Record vote,,21,10
SB 11,715,Senate,1990-05-07,Rules suspended,,21,9
SB 11,715,Senate,1990-05-07,Read 2nd time & passed to engrossment,,21,8
SB 11,715,Senate,1990-05-07,Rules suspended,,21,7
SB 11,715,Senate,1990-05-07,Reported favorably w/o amendments,,11,6
SB 11,715,Senate,1990-05-07,Considered in public hearing,,,5
SB 11,715,Senate,1990-05-07,Scheduled for public hearing on  . . . . . .,,,4
SB 11,715,Senate,1990-05-02,Referred to Administration,,3,3
SB 11,715,Senate,1990-05-02,Read first time,,3,2
SB 11,715,Senate,1990-05-02,Filed,,,1
SB 12,715,House,1990-05-14,Referred to Environmental Affairs,,95,15
SB 12,715,House,1990-05-14,Read first time,,95,14
SB 12,715,House,1990-05-08,Received from the Senate,,,13
SB 12,715,Senate,1990-05-07,Passed,,22,12
SB 12,715,Senate,1990-05-07,Read 3rd time,,22,11
SB 12,715,Senate,1990-05-07,Record vote,,22,10
SB 12,715,Senate,1990-05-07,Rules suspended,,22,9
SB 12,715,Senate,1990-05-07,Read 2nd time & passed to engrossment,,21,8
