bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 20,792,Relating to the regulation of drivers education and driving safety programs by the Texas Department of Regulation.,"Education--Driver Education & Training (I0219); EDUCATION AGENCY, TEXAS (V9941); LICENSING & REGULATION, DEPARTMENT OF (V8529); LICENSING & REGULATION, TEXAS COMMISSION ON (V0383)",Averitt,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SB20
SR 7,792,"Recognizing Bessie Coleman Day in Arlington, paying tribute to the first African American female aviator.",BESSIE COLEMAN DAY (H0709); Resolutions--Congratulatory & Honorary (I0705),Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SR7
SR 8,792,In memory of Tom McRae of Granbury.,"Resolutions--Memorial (I0710); MCRAE, TOM (N3466)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SR8
SR 102,792,Recognizing the 100th anniversary of the Odd Fellow and Rebekah Retirement Center in Ennis.,Resolutions--Congratulatory & Honorary (I0705); ODD FELLOW AND REBEKAH RETIREMENT CENTER (N3716),Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SR102
SR 103,792,In memory of Robert L. Middleton.,"Resolutions--Memorial (I0710); MIDDLETON, ROBERT L. (N3727)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SR103
SB 34,792,"Relating to authorizing the state to operate video lottery at racetracks, to the operation of video lottery by certain Indian tribes, and to the authority of the Texas Lottery Commission; providing penalties.","Amusements, Games, Sports (I0034); Crimes--Against Morals (I0180); GREYHOUND RACING (S4400); HORSE RACING (S0512); NATIVE AMERICANS (S0441); VIDEO LOTTERY (S0608); LOTTERY COMMISSION, TEXAS (V0454)",Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SB34
SB 41,792,Relating to the exercise of the power of eminent domain.,Economic & Industrial Development--General (I0214); Interim Studies (I0448); Political Subdivisions (I0588); Property Interests--Eminent Domain (I0615),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SB41
SB 32,792,"Relating to the designation of a portion of State Highway 130 in Williamson, Travis, Caldwell, and Guadalupe Counties as the Pickle Parkway.",Highways (I0390); Transportation--Miscellaneous (I0824); PICKLE PARKWAY (S0670),Barrientos; Armbrister,Wentworth,,,,,Transportation & Homeland Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SB32
SJR 8,792,"Proposing a constitutional amendment increasing the amount of the residence homestead exemption from ad valorem taxation for public school purposes to $30,000 and providing for an adjustment of the limitation on the total amount of taxes that may be imposed for those purposes on the homesteads of the elderly or disabled to reflect the increased exemption amount and changes in school district ad valorem tax rates.",Property Interests--Homestead (I0616); Resolutions--Constitutional Amendments (I0661); Taxation--Property-Exemptions (I0793); Taxation--School District (I0785),Barrientos,,,,,,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SJR8
SR 4,792,"Commending The Jason Foundation, Incorporated, for its work in the field of youth suicide prevention.","Resolutions--Congratulatory & Honorary (I0705); THE JASON FOUNDATION, INCORPORATED (N3458)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=792&Bill=SR4
