bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 15,833,Relating to authorizing the issuance of revenue bonds to fund capital projects for the Texas Tech University Health Sciences Center at El Paso.,Education--Higher--Finance (I0232); Education--Higher--Health Institutions (I0237); BONDS (S6060); TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER AT EL PASO (U0176); TEXAS TECH UNIVERSITY SYSTEM (U0027),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SB15
SB 16,833,Relating to authorizing the issuance of revenue bonds to fund an interdisciplinary research facility at The University of Texas at El Paso.,Education--Higher--Finance (I0232); Education--Higher--Institutions & Programs (I0223); BONDS (S6060); UNIVERSITY OF TEXAS AT EL PASO (U0019); UNIVERSITY OF TEXAS SYSTEM (U0045),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SB16
SR 15,833,In memory of Karla Diaz Davalos.,"Resolutions--Memorial (I0710); DAVALOS, KARLA DIAZ (ND928)",RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SR15
SB 10,833,Relating to authorizing the issuance of revenue bonds to fund capital projects at public institutions of higher education.,Education--Higher--Finance (I0232); Education--Higher--Institutions & Programs (I0223); BONDS (S6060); MIDWESTERN STATE UNIVERSITY (U2649); STEPHEN F. AUSTIN STATE UNIVERSITY (U0011); TEXAS A&M UNIVERSITY SYSTEM (U0079); TEXAS SOUTHERN UNIVERSITY (U0214); TEXAS STATE TECHNICAL COLLEGE SYSTEM (U0010); TEXAS STATE UNIVERSITY SYSTEM (U0080); TEXAS TECH UNIVERSITY SYSTEM (U0027); TEXAS WOMAN'S UNIVERSITY (U0002); UNIVERSITY OF HOUSTON SYSTEM (U0442); UNIVERSITY OF NORTH TEXAS SYSTEM (U0050); UNIVERSITY OF TEXAS SYSTEM (U0045),Zaffirini; Campbell; Carona; Davis; Deuell; Duncan; Ellis; Estes; Fraser; Garcia; Hegar; Hinojosa; Lucio; Paxton; RodrÃ­guez; Schwertner; Seliger; Taylor; Uresti; Van de Putte; Watson; West,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SB10
SB 21,833,Relating to state savings and government efficiency achieved through a taxpayer savings grant program.,"Education--Primary & Secondary--Finance (I0250); Education--Primary & Secondary--Teachers (I0242); Taxation--School District (I0785); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION, COMMISSIONER OF (V9954); LEGISLATIVE BUDGET BOARD (V0161)",Campbell,Patrick,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SB21
SB 1,833,"Relating to the creation and functions of legislative select committees on transportation funding, expenditures, and finance and to the preservation of a sufficient balance in the economic stabilization fund.",Highways (I0390); Legislature (I0520); State Finances--Appropriations (I0746); State Finances--Budget (I0747); State Finances--Management & Control (I0748); Transportation--Miscellaneous (I0824); STATE HIGHWAY FUND (S0751); LEGISLATIVE BUDGET BOARD (V0161),Nichols; Birdwell; Campbell; Davis; Deuell; Duncan; Ellis; Estes; Fraser; Garcia; Hegar; Hinojosa; Lucio; Nelson; Seliger; Van de Putte; Watson; Whitmire; Williams; Zaffirini,,,,"Transportation Funding, Select",In committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SB1
SJR 1,833,Proposing a constitutional amendment to provide for the transfer of certain general revenue to the economic stabilization fund and to the state highway fund and for the dedication of the revenue transferred to the state highway fund.,Legislature (I0520); Resolutions--Constitutional Amendments (I0661); State Finances--Appropriations (I0746); State Finances--Management & Control (I0748); STATE HIGHWAY FUND (S0751),Nichols; Birdwell; Campbell; Davis; Deuell; Duncan; Ellis; Estes; Fraser; Garcia; Hegar; Hinojosa; Lucio; Nelson; Seliger; Van de Putte; Watson; Whitmire; Williams; Zaffirini,,Pickett; Phillips; Harper-Brown; Darby,,"Transportation Funding, Select",Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SJR1
SR 5,833,Recognizing the West Veterans Honor Guard for its contributions to the community.,Resolutions--Congratulatory & Honorary (I0705); WEST VETERANS HONOR GUARD (ND918),Birdwell,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SR5
SR 6,833,Recognizing the Hillsboro Cotton Pickin' Fair and Barbecue Cook-off.,Resolutions--Congratulatory & Honorary (I0705); HILLSBORO COTTON PICKIN' FAIR AND BARBEQUE COOK-OFF (ND920),Birdwell,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SR6
SR 14,833,In memory of John Graves.,"Resolutions--Memorial (I0710); GRAVES, JOHN (ND927)",Birdwell; Estes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=833&Bill=SR14
