bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 2,793,Relating to the ownership and use of carbon dioxide captured by a clean coal project.,Environment--Air (I0325); Oil & Gas (I0545); RAILROAD COMMISSION (V0089),Averitt,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB2
SCR 12,793,Recalling H.B. No. 149 from the House.,Mines & Mineral Resources (I0536); Resolutions--Recall (I0000); Utilities--Electric (I0831); RAILROAD COMMISSION (V0089),Averitt,,Chisum,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SCR12
SR 57,793,"Recognizing May 10, 2006, as Texas Environmental Excellence Awards Day at the State Capitol.",TEXAS ENVIRONMENTAL EXCELLENCE AWARDS DAY (H0152); Resolutions--Official Designations--Special Dates (I0721),Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SR57
SR 141,793,Recognizing Troy and Marylin O'Daniel of Aquilla on the occasion of their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); O'DANIEL, TROY & MARYLIN (N4361)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SR141
SR 96,793,Congratulating the 2005-2006 cheerleading squad of Victoria Memorial High School in Victoria for winning a national championship.,MEMORIAL HIGH SCHOOL (E9365); Resolutions--Congratulatory & Honorary (I0705),Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SR96
SR 200,793,"In memory of Patrick Hughes Keefe, Jr., of Victoria.","Resolutions--Memorial (I0710); KEEFE, PATRICK HUGHES, JR. (N4573)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SR200
SB 33,793,Relating to the authority of the governor to issue evacuation orders during disasters.,Disaster Preparedness & Relief (I0211); Governor (I0375),"Williams; Armbrister; Hinojosa; Jackson, Mike; Janek; Lucio",,,,,,Transportation & Homeland Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB33
SB 37,793,Relating to disclosure and use of sales price information for ad valorem tax purposes.,Property Interests--General (I0620); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Miscellaneous (I0797); HOME SALE PRICES (S0672),Wentworth; Armbrister; Lucio; Madla; Seliger; Van de Putte; Zaffirini,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB37
SCR 6,793,Recognizing the cultural importance of Tejano music.,Resolutions--Miscellaneous (I0720); TEJANO MUSIC (S0675),Barrientos; Armbrister; Ellis; Gallegos; Hinojosa; Lindsay; Lucio; Madla; Shapleigh; Van de Putte; Whitmire; Zaffirini,,Alonzo; Rodriguez; Merritt,,Rules & Resolutions,Out of committee,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SCR6
SCR 11,793,Memorializing Congress to reauthorize certain provisions of the Voting Rights Act of 1965.,Resolutions--Memorializing Congress (I0675); VOTING RIGHTS ACT (P0429),"Hinojosa; Armbrister; Barrientos; Ellis; Eltife; Estes; Gallegos; Lindsay; Lucio; Madla; Seliger; Shapleigh; Van de Putte; West, Royce; Whitmire; Zaffirini",,"Gallego; King, Tracy; Naishtat; Alonzo; Gonzalez Toureilles",,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SCR11
SB 17,793,Relating to increasing the minimum amount of the local option residence homestead exemption from ad valorem taxation by a taxing unit.,Property Interests--Homestead (I0616); Taxation--Property-Exemptions (I0793),Barrientos,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB17
SB 19,793,Relating to the financing of certain intermunicipal commuter rail district transportation infrastructure.,Taxation--Property-Assessment & Collection (I0798); Transportation--Miscellaneous (I0824); Transportation--Railroads (I0821),Barrientos; Wentworth,,,,,,Transportation & Homeland Security,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB19
SB 20,793,Relating to reporting of certain gifts to public officials.,Ethics (I0345); State Employees (I0626); State Officers (I0761),Barrientos; Wentworth,Ellis; Van de Putte; Zaffirini,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB20
SB 39,793,Relating to facilitating and supporting efforts of certain municipalities and counties to promote economic development by hosting certain major sporting or athletic events.,"Amusements, Games, Sports (I0034); Economic & Industrial Development--General (I0214); Taxation--City (I0775); Taxation--County (I0780); Taxation--General (I0815); COMPTROLLER OF PUBLIC ACCOUNTS (V2608)",Barrientos,,,,,,Business & Commerce,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB39
SB 43,793,Relating to appropriating money to pay for a judgment rendered in certain litigation.,Civil Remedies & Liabilities (I0065); State Finances--Appropriations (I0746); State Finances--Management & Control (I0748),Barrientos,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SB43
SCR 1,793,Congratulating the football team of The University of Texas at Austin for winning the 2005 National Championship.,Resolutions--Congratulatory & Honorary (I0705); UNIVERSITY OF TEXAS AT AUSTIN (U0397),Barrientos,,Keel; Naishtat; Dukes; Strama; Van Arsdale,,Rules & Resolutions,Out of committee,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SCR1
SJR 9,793,Proposing a constitutional amendment to increase the minimum amount of the local option residence homestead exemption from ad valorem taxation by a political subdivision.,Property Interests--Homestead (I0616); Resolutions--Constitutional Amendments (I0661); Taxation--Property-Exemptions (I0793),Barrientos,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=793&Bill=SJR9
