bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 42,873,Senate,2021-09-28,Filed,,,2
SB 42,873,Senate,2021-09-28,Received by the Secretary of the Senate,,,1
SR 27,873,Senate,2021-09-30,Reported enrolled,,48,3
SR 27,873,Senate,2021-09-30,Read & adopted,,48,2
SR 27,873,Senate,2021-09-29,Received by the Secretary of the Senate,,,1
SR 28,873,Senate,2021-09-30,Reported enrolled,,48,3
SR 28,873,Senate,2021-09-30,Read & adopted,,48,2
SR 28,873,Senate,2021-09-29,Received by the Secretary of the Senate,,,1
SR 29,873,Senate,2021-09-30,Reported enrolled,,48,3
SR 29,873,Senate,2021-09-30,Read & adopted,,48,2
SR 29,873,Senate,2021-09-29,Received by the Secretary of the Senate,,,1
SR 41,873,Senate,2021-10-01,Reported enrolled,,50,3
SR 41,873,Senate,2021-10-01,Read & adopted,,50,2
SR 41,873,Senate,2021-09-30,Received by the Secretary of the Senate,,,1
SR 42,873,Senate,2021-10-01,Reported enrolled,,50,3
SR 42,873,Senate,2021-10-01,Read & adopted,,50,2
SR 42,873,Senate,2021-09-30,Received by the Secretary of the Senate,,,1
SR 48,873,Senate,2021-10-04,Reported enrolled,,59,3
SR 48,873,Senate,2021-10-04,Read & adopted,,58,2
SR 48,873,Senate,2021-10-04,Received by the Secretary of the Senate,,,1
SJR 2,873,Executive,2021-10-19,Filed with the Secretary of State,,359,28
SJR 2,873,House,2021-10-19,Signed in the House,,358,27
SJR 2,873,Senate,2021-10-19,Signed in the Senate,,358,26
SJR 2,873,Senate,2021-10-19,Reported enrolled,,358,25
SJR 2,873,Senate,2021-10-18,House passage reported,,318,24
SJR 2,873,House,2021-10-18,Record vote,RV#144,335,23
SJR 2,873,House,2021-10-18,Adopted,,335,22
SJR 2,873,House,2021-10-18,Read 2nd time,,335,21
SJR 2,873,House,2021-10-18,Rules suspended,,335,20
SJR 2,873,House,2021-10-18,1 hr. notice-to suspend rules,,324,19
SJR 2,873,House,2021-10-18,Referred to Ways & Means,,357,18
SJR 2,873,House,2021-10-18,Read first time,,357,17
SJR 2,873,House,2021-10-18,Received from the Senate,,359,16
SJR 2,873,Senate,2021-10-18,Record vote,,305,15
SJR 2,873,Senate,2021-10-18,Adopted,,305,14
SJR 2,873,Senate,2021-10-18,Read 2nd time,,305,13
SJR 2,873,Senate,2021-10-18,Laid before the Senate,,303,12
SJR 2,873,Senate,2021-10-18,Rules suspended,,303,11
SJR 2,873,Senate,2021-10-18,Ordered not printed,,303,10
SJR 2,873,Senate,2021-10-18,Printing rule suspended,,303,9
SJR 2,873,Senate,2021-10-18,Reported favorably w/o amendments,,358,8
SJR 2,873,Senate,2021-10-18,Considered in public hearing,,,7
SJR 2,873,Senate,2021-10-18,Scheduled for public hearing on  . . .,,,6
SJR 2,873,Senate,2021-10-18,Posting rule suspended,,303,5
SJR 2,873,Senate,2021-10-18,Referred to Finance,,303,4
SJR 2,873,Senate,2021-10-18,Read first time,,303,3
SJR 2,873,Senate,2021-10-18,Filed,,,2
SJR 2,873,Senate,2021-10-18,Received by the Secretary of the Senate,,,1
SR 6,873,Senate,2021-09-20,Reported enrolled,,19,4
SR 6,873,Senate,2021-09-20,Remarks ordered printed,,5,3
SR 6,873,Senate,2021-09-20,Read & adopted,,5,2
SR 6,873,Senate,2021-09-20,Received by the Secretary of the Senate,,,1
SR 68,873,Senate,2021-10-14,Printed in full,,131,6
SR 68,873,Senate,2021-10-14,Reported enrolled,,129,5
SR 68,873,Senate,2021-10-14,Adopted,,127,4
SR 68,873,Senate,2021-10-14,Read,,127,3
SR 68,873,Senate,2021-10-14,Co-author authorized,,128,2
SR 68,873,Senate,2021-10-12,Received by the Secretary of the Senate,,,1
SR 93,873,Senate,2021-10-18,Reported enrolled,,358,3
SR 93,873,Senate,2021-10-18,Read & adopted,,357,2
SR 93,873,Senate,2021-10-18,Received by the Secretary of the Senate,,,1
SR 99,873,Senate,2021-10-19,Printed in full,,361,6
SR 99,873,Senate,2021-10-19,Reported enrolled,,358,5
SR 99,873,Senate,2021-10-19,Remarks ordered printed,,322,4
SR 99,873,Senate,2021-10-19,Adopted,,322,3
SR 99,873,Senate,2021-10-19,Read,,322,2
SR 99,873,Senate,2021-10-19,Received by the Secretary of the Senate,,,1
SCR 2,873,Senate,2021-09-21,Filed,,,2
SCR 2,873,Senate,2021-09-21,Received by the Secretary of the Senate,,,1
SR 16,873,Senate,2021-09-27,Reported enrolled,,46,3
SR 16,873,Senate,2021-09-27,Read & adopted,,45,2
SR 16,873,Senate,2021-09-23,Received by the Secretary of the Senate,,,1
SR 55,873,Senate,2021-10-05,Reported enrolled,,98,3
SR 55,873,Senate,2021-10-05,Read & adopted,,98,2
SR 55,873,Senate,2021-10-05,Received by the Secretary of the Senate,,,1
