bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 42,831,Senate,2013-06-14,Filed,,,2
SB 42,831,Senate,2013-06-14,Received by the Secretary of the Senate,,,1
SB 43,831,Senate,2013-06-14,Filed,,,2
SB 43,831,Senate,2013-06-14,Received by the Secretary of the Senate,,,1
SR 94,831,Senate,2013-06-25,Reported enrolled,,309,3
SR 94,831,Senate,2013-06-25,Read & adopted,,309,2
SR 94,831,Senate,2013-06-25,Received by the Secretary of the Senate,,,1
SR 126,831,Senate,2013-06-25,Reported enrolled,,309,3
SR 126,831,Senate,2013-06-25,Read & adopted,,308,2
SR 126,831,Senate,2013-06-25,Received by the Secretary of the Senate,,,1
SB 29,831,Senate,2013-06-07,Filed,,,2
SB 29,831,Senate,2013-06-07,Received by the Secretary of the Senate,,,1
SB 34,831,Senate,2013-06-11,Filed,,,2
SB 34,831,Senate,2013-06-11,Received by the Secretary of the Senate,,,1
SB 50,831,Senate,2013-06-24,Filed,,,2
SB 50,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SJR 8,831,Senate,2013-06-18,Filed,,,2
SJR 8,831,Senate,2013-06-18,Received by the Secretary of the Senate,,,1
SJR 10,831,Senate,2013-06-24,Filed,,,2
SJR 10,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SR 36,831,Senate,2013-06-14,Reported enrolled,,65,3
SR 36,831,Senate,2013-06-14,Read & adopted,,32,2
SR 36,831,Senate,2013-06-14,Received by the Secretary of the Senate,,,1
SR 48,831,Senate,2013-06-14,Reported enrolled,,65,3
SR 48,831,Senate,2013-06-14,Read & adopted,,32,2
SR 48,831,Senate,2013-06-14,Received by the Secretary of the Senate,,,1
SR 118,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 118,831,Senate,2013-06-24,Read & adopted,,284,2
SR 118,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SR 119,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 119,831,Senate,2013-06-24,Read & adopted,,284,2
SR 119,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SB 15,831,Senate,2013-05-29,Filed,,,2
SB 15,831,Senate,2013-05-29,Received by the Secretary of the Senate,,,1
SR 27,831,Senate,2013-06-06,Reported enrolled,,23,3
SR 27,831,Senate,2013-06-06,Read & adopted,,16,2
SR 27,831,Senate,2013-06-06,Received by the Secretary of the Senate,,,1
SR 55,831,Senate,2013-06-12,Reported enrolled,,32,3
SR 55,831,Senate,2013-06-12,Read & adopted,,22,2
SR 55,831,Senate,2013-06-12,Received by the Secretary of the Senate,,,1
SR 80,831,Senate,2013-06-18,Reported enrolled,,73,3
SR 80,831,Senate,2013-06-18,Read & adopted,,64,2
SR 80,831,Senate,2013-06-18,Received by the Secretary of the Senate,,,1
SR 89,831,Senate,2013-06-18,Reported enrolled,,73,3
SR 89,831,Senate,2013-06-18,Read & adopted,,64,2
SR 89,831,Senate,2013-06-18,Received by the Secretary of the Senate,,,1
SR 95,831,Senate,2013-06-21,Reported enrolled,,280,3
SR 95,831,Senate,2013-06-21,Read & adopted,,72,2
SR 95,831,Senate,2013-06-21,Received by the Secretary of the Senate,,,1
SR 123,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 123,831,Senate,2013-06-24,Read & adopted,,284,2
SR 123,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SR 124,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 124,831,Senate,2013-06-24,Read & adopted,,284,2
SR 124,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SR 71,831,Senate,2013-06-14,Reported enrolled,,65,3
SR 71,831,Senate,2013-06-14,Read & adopted,,32,2
SR 71,831,Senate,2013-06-14,Received by the Secretary of the Senate,,,1
SR 86,831,Senate,2013-06-18,Reported enrolled,,73,3
SR 86,831,Senate,2013-06-18,Read & adopted,,64,2
SR 86,831,Senate,2013-06-18,Received by the Secretary of the Senate,,,1
SR 116,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 116,831,Senate,2013-06-24,Read & adopted,,284,2
SR 116,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SR 122,831,Senate,2013-06-25,Reported enrolled,,309,3
SR 122,831,Senate,2013-06-25,Read & adopted,,309,2
SR 122,831,Senate,2013-06-25,Received by the Secretary of the Senate,,,1
SR 125,831,Senate,2013-06-24,Reported enrolled,,309,3
SR 125,831,Senate,2013-06-24,Read & adopted,,284,2
SR 125,831,Senate,2013-06-24,Received by the Secretary of the Senate,,,1
SB 9,831,Senate,2013-06-14,Co-author authorized,,31,4
