bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SCR 5,783,"Recognizing Baylor University for the contributions of its students, alumni, and faculty to the state.",Resolutions--Congratulatory & Honorary (I0705); BAYLOR UNIVERSITY (U0040),Averitt,Harris,Harper-Brown,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SCR5
SR 28,783,Commending Billy Lewis for his accomplishments as chairman of the Republican Party of Navarro County.,"Resolutions--Congratulatory & Honorary (I0705); LEWIS, BILLY (N3311)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR28
SR 29,783,In memory of the life of Robert Parnell of Waco.,"Resolutions--Memorial (I0710); PARNELL, ROBERT (N3308)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR29
SR 53,783,Opposing any proposal to close the Waco Veterans Affairs Hospital.,Resolutions--Legislative Policy (I0685); WACO VETERANS AFFAIRS HOSPITAL (N3323),Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR53
SR 118,783,Commending Helen Quiram of Waco for her service to the Republican Party in Texas.,"Resolutions--Congratulatory & Honorary (I0705); QUIRAM, HELEN (N3640)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR118
SR 119,783,Congratulating Kay Sanders Walls on her selection for the 2003 Wall of Fame Award by the Cleburne High School Ex-Students Association.,"Resolutions--Congratulatory & Honorary (I0705); WALLS, KAY SANDERS (N3641)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR119
SB 29,783,"Relating to the creation, administration, powers, duties, operation, and financing of the Ranch at Clear Fork Creek Municipal Utility District No. 1; granting the authority to impose taxes and issue bonds; granting the power of eminent domain.",RANCH AT CLEAR FORK CREEK MUNICIPAL UTILITY DISTRICT NO. 1 (D0371); Special Districts & Authorities--Water & Utility (I0755),Armbrister,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SB29
SR 13,783,Recognizing Lockhart as the Barbecue Capital of Texas.,"LOCKHART, CITY OF (G0096); Resolutions--Official Designations--Capitals (I0716); BARBECUE CAPITAL OF TEXAS (N3179)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR13
SR 21,783,Commending Alice Braun for her career and her service to Texas.,"Resolutions--Congratulatory & Honorary (I0705); BRAUN, ALICE (N3297)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR21
SR 57,783,In memory of Walter Hoppe Richter of Austin.,"RICHTER, WALTER HOPPE, SEN. (A1540); Resolutions--Memorial (I0710)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR57
SR 58,783,Congratulating Rosa Walker on her retirement from the Texas American Federation of Labor and Congress of Industrial Organizations (AFL-CIO).,"Resolutions--Congratulatory & Honorary (I0705); WALKER, ROSA (N3387)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=783&Bill=SR58
