bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 78,73R,Relating to the authority of the Texas Department of Mental Health and Mental Retardation to designate an alternative living facility to provide mental health services.,Mental Health & Mental Retardation (I0530); Nursing Homes (I0539),Armbrister,,,,Public Health,In committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB78
SB 87,73R,Relating to the regulation of certain athlete agents; providing penalties.,"Amusements, Games, Sports (I0034); Occupational Regulation--Other Trades & Professions (I0541); ATHLETE AGENTS (S8726)",Armbrister,,Junell,,Licensing & Administrative Procedures,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB87
SB 137,73R,Relating to the continuing education of plumbers.,Education--General (I0255); Occupational Regulation--Other Trades & Professions (I0541); PLUMBERS (S2634),Armbrister,,Berlanga,,Licensing & Administrative Procedures,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB137
SB 197,73R,Relating to rights and remedies under The Securities Act.,Civil Remedies & Liabilities (I0065); Corporations & Associations (I0090),Armbrister; Henderson,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB197
SB 228,73R,Relating to the effect of a state or federal mandate on local ad valorem tax rates.,Taxation--Property-Tax Rate (I0794),Armbrister,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB228
SB 283,73R,Relating to the collection of the motor vehicle sales tax on a motor vehicle sold using seller financing.,Taxation--Sales (I0800); Vehicles & Traffic--General (I0865),Armbrister,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB283
SB 301,73R,Relating to the disposition of interest received from investments of money in the funds and accounts in the charge of the state treasurer.,State Finances--Management & Control (I0748); STATE TREASURER (V8133),Armbrister,,Alexander,,Appropriations,Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB301
SB 302,73R,Relating to depositories for municipal funds.,City Government--Finance (I0062); Financial--General (I0365),Armbrister,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB302
SB 303,73R,Relating to persons who are authorized to conduct marriage ceremonies.,Courts--Judges (I0140); Family--Husband & Wife (I0350); MARRIAGE CEREMONIES (S0382),Armbrister,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB303
SB 304,73R,"Relating to persons who are authorized to administer oaths, affidavits, and affirmations.",Courts--Personnel (I0155); State Employees (I0626),Armbrister,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=73R&Bill=SB304
