bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 42,873,Relating to prohibiting the imposition of municipal ad valorem taxes on property that does not receive full municipal services.,City Government--General (I0060); Property Interests--Real Property (I0595); Taxation--City (I0775),Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SB42
SR 27,873,"Recognizing Ramiro ""Ray"" Martinez for receiving a Living Legends of New Braunfels Award.","Resolutions--Congratulatory & Honorary (I0705); MARTINEZ, RAMIRO ""RAY"" (NO0EB)",Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR27
SR 28,873,"Recognizing Atanacio ""Nacho"" Campos for receiving a Living Legends of New Braunfels Award.","Resolutions--Congratulatory & Honorary (I0705); CAMPOS, ATANACIO ""NACHO"" (NY2F1)",Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR28
SR 29,873,Recognizing Michael Gillette for receiving a Humanities Texas Outstanding Teaching Award.,"Resolutions--Congratulatory & Honorary (I0705); GILLETTE, MICHAEL (ND8QT)",Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR29
SR 41,873,Recognizing Jim Streety for receiving a Living Legends of New Braunfels Award.,"Resolutions--Congratulatory & Honorary (I0705); STREETY, JIM (N58LN)",Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR41
SR 42,873,In memory of James Robert Holder.,"Resolutions--Memorial (I0710); HOLDER, JAMES ROBERT (NY6N3)",Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR42
SR 48,873,Recognizing the Guadalupe Valley Young Marines for their commitment to reducing drug usage and trafficking.,Resolutions--Congratulatory & Honorary (I0705); GUADALUPE VALLEY YOUNG MARINES (NG1D2),Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR48
SJR 2,873,Proposing a constitutional amendment increasing the amount of the residence homestead exemption from ad valorem taxation for public school purposes.,Property Interests--Homestead (I0616); Resolutions--Constitutional Amendments (I0661); Taxation--Property-Exemptions (I0793); Taxation--School District (I0785),Bettencourt; Alvarado; Birdwell; Blanco; Buckingham; Campbell; Creighton; Eckhardt; Gutierrez; Hall; Hancock; Hinojosa; Huffman; Hughes; Johnson; Kolkhorst; Lucio; Menéndez; Miles; Nelson; Nichols; Paxton; Perry; Powell; Schwertner; Seliger; Springer; Taylor; West; Whitmire; Zaffirini,,Button; Meyer; Thierry; Bonnen; Walle,"Allen; Allison; Anchía; Anderson; Ashby; Bailes; Bell, Cecil; Bell, Keith; Biedermann; Bowers; Buckley; Bucy; Burns; Burrows; Cain; Campos; Capriglione; Cason; Clardy; Cole; Collier; Cook; Cortez; Crockett; Cyrier; Darby; Davis; Dean; Dutton; Fierro; Frullo; Gates; Geren; Gervin-Hawkins; Goldman; González, Jessica; González, Mary; Goodwin; Guillen; Harless; Harris; Harrison; Hefner; Hernandez; Holland; Howard; Hull; Hunter; Jetton; Johnson, Ann; Johnson, Julie; King, Ken; King, Phil; King, Tracy O.; Klick; Krause; Kuempel; Landgraf; Leach; Leman; Longoria; Lopez; Lozano; Metcalf; Meza; Middleton; Minjarez; Moody; Morales Shaw; Morales, Christina; Morales, Eddie; Morrison; Murphy; Neave; Noble; Oliverson; Ortega; Parker; Patterson; Paul; Perez; Price; Ramos; Raney; Raymond; Reynolds; Rogers; Romero, Jr.; Rose; Rosenthal; Schaefer; Schofield; Shaheen; Sherman, Sr.; Shine; Slaton; Slawson; Smith; Smithee; Spiller; Stephenson; Stucky; Swanson; Thompson, Ed; Thompson, Senfronia; Tinderholt; Toth; Turner, Chris; Turner, John; VanDeaver; Vasut; White; Wilson; Wu; Zwiener",Ways & Means,Out of committee,Finance,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SJR2
SR 6,873,Commemorating the 20th anniversary of the September 11 terrorist attacks.,SEPTEMBER 11 TERRORIST ATTACKS (HZ356); Resolutions--Congratulatory & Honorary (I0705),Springer; Alvarado; Bettencourt; Blanco; Buckingham; Campbell; Creighton; Eckhardt; Gutierrez; Hall; Hancock; Hinojosa; Huffman; Hughes; Johnson; Kolkhorst; Lucio; Menéndez; Miles; Nelson; Nichols; Paxton; Perry; Powell; Schwertner; Seliger; Taylor; West; Whitmire; Zaffirini,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR6
SR 68,873,In memory of Kenneth Duncan Dickson.,"Resolutions--Memorial (I0710); DICKSON, KENNETH DUNCAN (NF20U)",Hall; Campbell; Kolkhorst; Powell; Springer,Blanco; Buckingham; Perry,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=873&Bill=SR68
