bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 20,87R,Relating to carrying and storing a handgun or handgun ammunition by a hotel guest.,Weapons (I0887); CONCEALED HANDGUNS (S0241); HOTELS & MOTELS (S0171),Campbell; Bettencourt; Buckingham; Creighton; Gutierrez; Hall; Hinojosa; Huffman; Hughes; Kolkhorst; Lucio; Nelson; Paxton; Perry; Schwertner; Seliger; Springer; Taylor,,Hefner,,Homeland Security & Public Safety,Out of committee,State Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB20
SB 551,87R,Relating to wages and employment benefits.,City Government--General (I0060); County Government--General (I0096); Labor--Wages (I0485); TEXAS SMALL BUSINESS PROTECTION ACT (PS0SC); EMPLOYEE BENEFITS & LEAVE (S0452),Campbell,,,,,,State Affairs,In committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB551
SB 611,87R,Relating to an exemption from ad valorem taxation of the residence homestead of the surviving spouse of a member of the armed services of the United States who is killed or fatally injured in the line of duty and to late applications for exemptions from such taxation for disabled members.,"Disabilities, Persons with (I0380); Military & Veterans (I0535); Property Interests--Homestead (I0616); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Exemptions (I0793)",Campbell; Bettencourt; Blanco; Gutierrez; Hall; Hancock; Hinojosa; Huffman; Lucio; Menéndez; Paxton; Perry; Powell; Schwertner; Seliger; Springer; Whitmire,Hughes; Taylor,Lopez; Bucy,,Ways & Means,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB611
SB 650,87R,Relating to prohibited logistical support by a governmental entity for procurement of an abortion or the services of an abortion provider.,Abortion (I0005); ATTORNEY GENERAL (V2811); HEALTH & HUMAN SERVICES COMMISSION (V0177),Campbell,Bettencourt; Birdwell; Buckingham; Creighton; Hall; Kolkhorst; Paxton; Schwertner; Springer; Taylor,Noble; Morrison; Klick; Slawson; Hull,,State Affairs,Out of committee,State Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB650
SB 791,87R,Relating to the issuance of specialty license plates to United States Navy submariners.,Military & Veterans (I0535); Vehicles & Traffic--Vehicle Registration (I0845); LICENSE PLATES (S9823); U.S. NAVY (V0440),Campbell,,Schaefer,,Defense & Veterans' Affairs,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB791
SB 792,87R,Relating to specialty license plates and parking placards for vehicles of certain disabled veterans.,"Disabilities, Persons with (I0380); Military & Veterans (I0535); Vehicles & Traffic--Equipment (I0855); LICENSE PLATES (S9823); PARKING (S0448); MOTOR VEHICLES, TEXAS DEPARTMENT OF (V0812)",Campbell,Blanco,Cortez,,Defense & Veterans' Affairs,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB792
SB 793,87R,Relating to a ribbon for certain service members of the military who served in support of operations to secure this state's international border.,"Military & Veterans (I0535); AWARDS, MEDALS, PRIZES (S0129); BORDER (S0045)",Campbell,,"King, Phil",,Defense & Veterans' Affairs,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB793
SB 794,87R,Relating to eligibility for the exemption from ad valorem taxation of the residence homestead of a totally disabled veteran.,"Disabilities, Persons with (I0380); Military & Veterans (I0535); Property Interests--Homestead (I0616); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Exemptions (I0793)",Campbell,Zaffirini,Meyer,,Ways & Means,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB794
SB 795,87R,Relating to an exemption from the requirement that the title of a state agency be printed on state-owned motor vehicles.,"Military & Veterans (I0535); Vehicles & Traffic--General (I0865); MILITARY DEPARTMENT, TEXAS (V0971)",Campbell,,Cain,,Defense & Veterans' Affairs,Out of committee,Veteran Affairs,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB795
SB 833,87R,Relating to a sales tax refund for sales tax overpayments by certain oil or gas severance taxpayers.,Oil & Gas (I0545); Taxation--Sales (I0800); COMPTROLLER OF PUBLIC ACCOUNTS (V2608),Campbell,Zaffirini,Paddie,,Ways & Means,Out of committee,Finance,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=87R&Bill=SB833
