bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 31,884,Senate,2023-11-09,Filed,,,2
SB 31,884,Senate,2023-11-09,Received by the Secretary of the Senate,,,1
SR 19,884,Senate,2023-11-16,Reported enrolled,,54,3
SR 19,884,Senate,2023-11-16,Read & adopted,,53,2
SR 19,884,Senate,2023-11-16,Received by the Secretary of the Senate,,,1
SR 20,884,Senate,2023-11-21,Reported enrolled,,58,3
SR 20,884,Senate,2023-11-21,Read & adopted,,57,2
SR 20,884,Senate,2023-11-16,Received by the Secretary of the Senate,,,1
SR 21,884,Senate,2023-11-21,Reported enrolled,,58,3
SR 21,884,Senate,2023-11-21,Read & adopted,,57,2
SR 21,884,Senate,2023-11-16,Received by the Secretary of the Senate,,,1
SR 22,884,Senate,2023-11-21,Reported enrolled,,58,3
SR 22,884,Senate,2023-11-21,Read & adopted,,57,2
SR 22,884,Senate,2023-11-16,Received by the Secretary of the Senate,,,1
SB 5,884,House,2023-12-05,Received from the Senate,,112,21
SB 5,884,Senate,2023-12-01,Reported engrossed,,75,20
SB 5,884,Senate,2023-12-01,Record vote,,74,19
SB 5,884,Senate,2023-12-01,Passed,,74,18
SB 5,884,Senate,2023-12-01,Read 3rd time,,74,17
SB 5,884,Senate,2023-12-01,Record vote,,74,16
SB 5,884,Senate,2023-12-01,Three day rule suspended,,74,15
SB 5,884,Senate,2023-12-01,Record vote,,74,14
SB 5,884,Senate,2023-12-01,Read 2nd time & passed to engrossment,,74,13
SB 5,884,Senate,2023-12-01,Laid before the Senate,,74,12
SB 5,884,Senate,2023-12-01,Ordered not printed,,74,11
SB 5,884,Senate,2023-12-01,Printing rule suspended,,74,10
SB 5,884,Senate,2023-12-01,Reported favorably w/o amendments,,68,9
SB 5,884,Senate,2023-12-01,Vote taken in committee,,,8
SB 5,884,Senate,2023-12-01,Considered in public hearing,,,7
SB 5,884,Senate,2023-12-01,Scheduled for public hearing on  . . .,,,6
SB 5,884,Senate,2023-12-01,Posting rule suspended,,67,5
SB 5,884,Senate,2023-12-01,Referred to Finance,,67,4
SB 5,884,Senate,2023-12-01,Read first time,,67,3
SB 5,884,Senate,2023-12-01,Filed,,,2
SB 5,884,Senate,2023-12-01,Received by the Secretary of the Senate,,,1
SR 4,884,Senate,2023-11-09,Printed in full,,33,5
SR 4,884,Senate,2023-11-09,Reported enrolled,,38,4
SR 4,884,Senate,2023-11-09,Adopted,,8,3
SR 4,884,Senate,2023-11-09,Read,,8,2
SR 4,884,Senate,2023-11-09,Received by the Secretary of the Senate,,,1
SR 35,884,Senate,2023-11-27,Reported enrolled,,60,3
SR 35,884,Senate,2023-11-27,Read & adopted,,59,2
SR 35,884,Senate,2023-11-27,Received by the Secretary of the Senate,,,1
SR 36,884,Senate,2023-11-27,Reported enrolled,,60,3
SR 36,884,Senate,2023-11-27,Read & adopted,,59,2
SR 36,884,Senate,2023-11-27,Received by the Secretary of the Senate,,,1
SR 41,884,Senate,2023-11-30,Reported enrolled,,63,3
SR 41,884,Senate,2023-11-30,Read & adopted,,62,2
SR 41,884,Senate,2023-11-28,Received by the Secretary of the Senate,,,1
SB 1,884,House,2023-11-10,"Referred to Educational Opportunity & Enrichment, Select",,,40
SB 1,884,House,2023-11-10,Read first time,,7,39
SB 1,884,House,2023-11-10,Received from the Senate,,7,38
SB 1,884,Senate,2023-11-09,Reported engrossed,,38,37
SB 1,884,Senate,2023-11-09,Record vote,,37,36
SB 1,884,Senate,2023-11-09,Passed,,37,35
SB 1,884,Senate,2023-11-09,Read 3rd time,,37,34
SB 1,884,Senate,2023-11-09,Record vote,,23,33
SB 1,884,Senate,2023-11-09,Passed to engrossment,,23,32
SB 1,884,Senate,2023-11-09,Amendment withdrawn,,23,31
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA6 West,22,30
SB 1,884,Senate,2023-11-09,Record vote,,22,29
SB 1,884,Senate,2023-11-09,Amendment fails of adoption,,22,28
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA5 Menéndez,22,27
SB 1,884,Senate,2023-11-09,Record vote,,21,26
SB 1,884,Senate,2023-11-09,Amendment fails of adoption,,21,25
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA4 Menéndez,21,24
SB 1,884,Senate,2023-11-09,Record vote,,21,23
SB 1,884,Senate,2023-11-09,Amendment fails of adoption,,21,22
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA3 Menéndez,20,21
SB 1,884,Senate,2023-11-09,Amendment withdrawn,,20,20
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA2 Perry,20,19
SB 1,884,Senate,2023-11-09,Record vote,,19,18
SB 1,884,Senate,2023-11-09,Amendment fails of adoption,,19,17
SB 1,884,Senate,2023-11-09,Amendment(s) offered,FA1 Perry,19,16
SB 1,884,Senate,2023-11-09,Read 2nd time,,19,15
SB 1,884,Senate,2023-11-09,Laid before the Senate,,19,14
SB 1,884,Senate,2023-11-09,Ordered not printed,,8,13
SB 1,884,Senate,2023-11-09,Printing rule suspended,,8,12
SB 1,884,Senate,2023-11-09,Record vote,,7,11
SB 1,884,Senate,2023-11-09,Rules suspended,,7,10
SB 1,884,Senate,2023-11-09,Reported favorably w/o amendments,,38,9
SB 1,884,Senate,2023-11-09,Vote taken in committee,,,8
SB 1,884,Senate,2023-11-09,Considered in public hearing,,,7
SB 1,884,Senate,2023-11-09,Scheduled for public hearing on  . . .,,,6
SB 1,884,Senate,2023-11-09,Co-author authorized,,37,5
SB 1,884,Senate,2023-11-07,Referred to Education,,3,4
