bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SR 30,882,Recognizing G. K. Maenius on the occasion of his retirement.,"Resolutions--Congratulatory & Honorary (I0705); MAENIUS, G. K. (N03SB)",Hancock,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR30
SR 31,882,In memory of Mario A. Martinez.,"Resolutions--Memorial (I0710); MARTINEZ, MARIO A. (NQ9AZ)",Menéndez; Alvarado; Blanco; Creighton; Eckhardt; Flores; Gutierrez; Hancock; Hinojosa; Huffman; Hughes; Johnson; King; Kolkhorst; LaMantia; Miles; Nichols; Parker; Perry; Schwertner; Sparks; Springer; West; Zaffirini,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR31
SR 22,882,Recognizing Karen Campion for her election as president of the Federation of Chiropractic Licensing Boards.,"Resolutions--Congratulatory & Honorary (I0705); CAMPION, KAREN (NM58H)",Schwertner,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR22
SR 23,882,Recognizing the staff of the Sunset Advisory Commission for their service.,Resolutions--Congratulatory & Honorary (I0705); SUNSET ADVISORY COMMISSION (V8389),Schwertner,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR23
SR 24,882,Recognizing Tara Rejino on the occasion of her retirement.,"Resolutions--Congratulatory & Honorary (I0705); REJINO, TARA (N09KO)",Schwertner,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR24
SR 18,882,Recognizing Rebecca Smith for her contributions to foster youth and families in Montgomery and Harris Counties.,"Resolutions--Congratulatory & Honorary (I0705); SMITH, REBECCA (NP1LN)",Creighton,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR18
SR 19,882,In memory of Linnie Evelyn Stephenson Standley.,"Resolutions--Memorial (I0710); STANDLEY, LINNIE EVELYN STEPHENSON (NO0ZJ)",Creighton,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR19
SR 20,882,Recognizing the 100th State Convention of the National Association of Postal Supervisors.,"Resolutions--Congratulatory & Honorary (I0705); POSTAL SUPERVISORS, NATIONAL ASSOCIATION OF (NN7FP)",Creighton,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR20
SR 21,882,Recognizing Bobby and Lindsey Kasprzak for their contributions to Montgomery County.,"Resolutions--Congratulatory & Honorary (I0705); KASPRZAK, LINDSEY & BOBBY (NM06Y)",Creighton,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR21
SR 25,882,Recognizing the 40th anniversary of Dallas Area Rapid Transit.,Resolutions--Congratulatory & Honorary (I0705); DALLAS AREA RAPID TRANSIT (NZ9FM),Johnson; Hall; Parker; West,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SR25
SB 1,882,"Relating to providing property tax relief through the public school finance system, exemptions, and limitations on taxes and providing franchise tax relief.","Aging (I0015); Disabilities, Persons with (I0380); Education--Primary & Secondary--Finance (I0250); Property Interests--Homestead (I0616); Taxation--Franchise (I0807); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Exemptions (I0793); Taxation--Property-Tax Rate (I0794); Taxation--School District (I0785); PROPERTY TAX & FRANCHISE TAX RELIEF ACT (PG3J8); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION, COMMISSIONER OF (V9954)",Bettencourt,Alvarado; Birdwell; Blanco; Campbell; Creighton; Eckhardt; Flores; Hall; Hancock; Hinojosa; Huffman; Hughes; King; Kolkhorst; LaMantia; Menéndez; Middleton; Miles; Nichols; Parker; Paxton; Perry; Schwertner; Sparks; Springer; West,,,,,Finance,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SB1
SB 2,882,"Relating to providing property tax relief through the public school finance system, exemptions, limitations on appraisals and taxes, and property tax administration; authorizing the imposition of a fee.","Aging (I0015); Disabilities, Persons with (I0380); Disaster Preparedness & Relief (I0211); Education--Primary & Secondary--Finance (I0250); Property Interests--Homestead (I0616); Property Interests--Real Property (I0595); Taxation--Property-Appeal of Tax Decisions (I0796); Taxation--Property-Appraisals & Appraisal Districts (I0792); Taxation--Property-Assessment & Collection (I0798); Taxation--Property-Exemptions (I0793); Taxation--Property-Tax Rate (I0794); Taxation--School District (I0785); PROPERTY TAX RELIEF ACT (PX4HI); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); EDUCATION AGENCY, TEXAS (V9941); EDUCATION, COMMISSIONER OF (V9954); SECRETARY OF STATE (V0042)",Bettencourt,Alvarado; Birdwell; Blanco; Campbell; Creighton; Eckhardt; Flores; Gutierrez; Hall; Hancock; Hinojosa; Huffman; Hughes; King; Kolkhorst; LaMantia; Menéndez; Middleton; Miles; Nichols; Parker; Paxton; Perry; Schwertner; Sparks; Springer; West; Whitmire; Zaffirini,Meyer; Metcalf; Burrows; Raymond; Thierry,"Allison; Anderson; Ashby; Bell, Cecil; Bell, Keith; Bumgarner; Burns; Button; Cain; Capriglione; Clardy; Cook; Cunningham; Darby; Dean; DeAyala; Dorazio; Frazier; Gerdes; Geren; Goldman; Guillen; Harless; Harris, Caroline; Harris, Cody; Hayes; Herrero; Holland; Hull; Isaac; King, Tracy O.; Kitzman; Kuempel; Lambert; Landgraf; Leo-Wilson; Longoria; Lopez, Janie; Lozano; Lujan; Morales, Eddie; Morrison; Noble; Oliverson; Orr; Patterson; Paul; Price; Raney; Reynolds; Rogers; Schatzline; Shaheen; Shine; Slawson; Smith; Spiller; Stucky; Tepper; Thimesch; Thompson, Ed; Toth; Troxclair; VanDeaver; Vasut; Wilson",Ways & Means,Out of committee,Finance,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=882&Bill=SB2
