bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 21,75R,Relating to the operation of the Jackson County Hospital District.,JACKSON COUNTY (G0832); Special Districts & Authorities--Hospital (I0750),Armbrister,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB21
SB 228,75R,Relating to the creation of the offense of trademark counterfeiting.,Business & Commerce--General (I0050); Crimes--Against Property (I0175); TRADEMARKS (S8348),Armbrister,,Hightower,,Business & Industry,Out of committee,"International Relations, Trade & Technology",Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB228
SB 320,75R,Relating to exempting officers and employees of political subdivisions of this state from certain interest payments in regard to unclaimed property claims.,Civil Remedies & Liabilities (I0065); Political Subdivisions (I0588); Property Interests--Personal Property (I0600),Armbrister,,Cook,,Business & Industry,Out of committee,Jurisprudence,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB320
SB 321,75R,Relating to the licensing of waste haulers by certain counties.,Environment--Solid Waste (I0330); Occupational Regulation--Other Trades & Professions (I0541),Armbrister,Brown,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB321
SB 322,75R,Relating to the filing of a petition stating an essential need for operating a motor vehicle.,Vehicles & Traffic--Drivers Licenses (I0840),Armbrister,,Holzheauser,,Public Safety,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB322
SB 323,75R,Relating to judicial training and continuing education for administrative law judges of the State Office of Administrative Hearings.,"Courts--Judges (I0140); Education--General (I0255); State Agencies, Boards & Commissions--Newly Proposed (I0773); ADMINISTRATIVE HEARINGS, STATE OFFICE OF (V0065); ADMINISTRATIVE LAW JUDGE EDUCATION COMMITTEE (V0485)",Armbrister,,Gray,,Civil Practices,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB323
SB 324,75R,Relating to application of the professional prosecutors law to the district attorney of the 24th Judicial District.,Courts--Prosecuting Attorneys (I0165),Armbrister,,Hawley,,Judicial Affairs,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB324
SB 325,75R,Relating to investments by the boards of trustees of local retirement systems for firefighters.,Retirement Systems--Police & Firefighters (I0730),Armbrister,,Kuempel,,Pensions & Investments,Out of committee,Intergovernmental Relations,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB325
SB 326,75R,Relating to vessels and obstructions in fish passes.,Parks & Wildlife--Hunting & Fishing (I0560),Armbrister,,Seaman,,State Recreational Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB326
SB 330,75R,Relating to the sunset review of the State Office of Administrative Hearings.,"Courts--Judges (I0140); Sunset Bills (I0772); ADMINISTRATIVE HEARINGS, STATE OFFICE OF (V0065)",Armbrister,,McCall,,State Affairs,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB330
SB 331,75R,Relating to procedures in a contested case in which the hearing  is conducted by the State Office of Administrative Hearings.,"Courts--Judges (I0140); ADMINISTRATIVE HEARINGS, STATE OFFICE OF (V0065)",Armbrister,,McCall,,State Affairs,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB331
SB 332,75R,Relating to the decisions of certain administrative law judges in occupational licensing contested cases and to judicial review of those decisions.,"Courts--Judges (I0140); Occupational Regulation--Health Occupations (I0540); Occupational Regulation--Other Trades & Professions (I0541); ADMINISTRATIVE HEARINGS, STATE OFFICE OF (V0065)",Armbrister,,Gray,,Licensing & Administrative Procedures,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB332
SB 352,75R,"Relating to the continuation, functions, and name of the Texas National Guard Armory Board.",Military & Veterans (I0535); Sunset Bills (I0772); NATIONAL GUARD ARMORY BOARD (V4968),Armbrister,,Hightower,,"State, Federal & International Relations",Out of committee,Veteran Affairs & Military Installations-Spec,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB352
SB 353,75R,Relating to the continuation and functions of the adjutant general's department.,Military & Veterans (I0535); Sunset Bills (I0772); ADJUTANT GENERAL (V8820),Armbrister,,Hightower,,"State, Federal & International Relations",Out of committee,Veteran Affairs & Military Installations-Spec,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB353
SB 354,75R,Relating to the powers and duties of and the continuation of the Texas Public Finance Authority.,"State Finances--Management & Control (I0748); Sunset Bills (I0772); PUBLIC FINANCE AUTHORITY, TEXAS (V8580)",Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB354
SB 355,75R,Relating to the continuation and functions of the Automobile Theft Prevention Authority.,Crime Prevention (I0083); Sunset Bills (I0772); Vehicles & Traffic--General (I0865); AUTOMOBILE THEFT PREVENTION AUTHORITY (V0009),Armbrister,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=75R&Bill=SB355
