bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
HR 98,811,Congratulating Garnet and Ida Stokes of Pine Mills on the occasion of their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); STOKES, GARNET & IDA (N1734)",Hughes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR98
HR 99,811,Congratulating Bill and Glenda Scott on the occasion of their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); SCOTT, BILL & GLENDA (N1735)",Hughes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR99
HR 100,811,In memory of Dan Peacock of Mineola.,"Resolutions--Memorial (I0710); PEACOCK, DAN (N1736)",Hughes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR100
HR 101,811,Congratulating William Ray and Tommie Bradshaw of Quitman on the occasion of their 50th wedding anniversary.,"Resolutions--Congratulatory & Honorary (I0705); BRADSHAW, WILLIAM RAY & TOMMIE (N1737)",Hughes,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR101
HR 15,811,Commemorating the 20th anniversary of the Texas Maritime Museum in Rockport.,"Resolutions--Congratulatory & Honorary (I0705); MARITIME MUSEUM, TEXAS (N6264)",Hunter,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR15
HB 14,811,Relating to the continuation of the Texas Department of Transportation and the functions of that department and of the Texas Department of Motor Vehicles; providing penalties.,"Highways (I0390); Sunset Bills (I0772); Transportation--Miscellaneous (I0824); Vehicles & Traffic--General (I0865); MOTOR VEHICLES, TEXAS DEPARTMENT OF (V0812); TRANSPORTATION LEGISLATIVE OVERSIGHT COMMITTEE (V0845); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Isett,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HB14
HR 14,811,Honoring Chief Warrant Officer Charles Kieth Christian for his service in Iraq.,"Resolutions--Congratulatory & Honorary (I0705); CHRISTIAN, CHARLES KIETH (N1644)",Kleinschmidt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR14
HR 78,811,Honoring Dr. Asim Zamir of Brownsville on his receipt of a Patients' Choice award.,"Resolutions--Congratulatory & Honorary (I0705); ZAMIR, ASIM (N1719)",Lucio III,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR78
HR 65,811,In memory of Jimmie Hall Kester of Austin.,"Resolutions--Memorial (I0710); KESTER, JIMMIE HALL (N1711)",Madden,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR65
HR 90,811,Commending Dispute Mediation Service and Foreclosure Mediation Service for their efforts to help North Texas confront the current foreclosure crisis.,Resolutions--Congratulatory & Honorary (I0705); DISPUTE MEDIATION SERVICE (N1726); FORECLOSURE MEDIATION SERVICE (N1727),Madden,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR90
HR 19,811,Commemorating the 60th anniversary of the Bowie High School 1949 baseball team's championship season.,BOWIE HIGH SCHOOL (E9179); Resolutions--Congratulatory & Honorary (I0705),Marquez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR19
HR 50,811,Congratulating Dr. James Wilcox on being named Region 7 Superintendent of the Year.,"Resolutions--Congratulatory & Honorary (I0705); WILCOX, JAMES (N1702)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR50
HR 51,811,"Congratulating Rogers Pope, Sr., on earning the 50-Year Banker Award from the Texas Bankers Association.","Resolutions--Congratulatory & Honorary (I0705); POPE, ROGERS, SR. (N1703)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR51
HR 52,811,"In memory of Walden P. ""Red"" Little of Tyler.","Resolutions--Memorial (I0710); LITTLE, WALDEN P. ""RED"" (N1623)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR52
HR 53,811,Honoring U.S. Air Force Master Sergeant Ken Huhman of San Antonio on his receipt of two Bronze Stars with Valor.,"Resolutions--Congratulatory & Honorary (I0705); HUHMAN, KEN (N1704)",Merritt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=811&Bill=HR53
