bill_number,session,chamber,action_date,action,comment,journal_page,order
SR 78,781,Senate,2003-07-17,Reported enrolled,,,3
SR 78,781,Senate,2003-07-17,Read & adopted,,92,2
SR 78,781,Senate,2003-07-17,Received by the Secretary of the Senate,,,1
SR 102,781,Senate,2003-07-22,Reported enrolled,,,3
SR 102,781,Senate,2003-07-22,Read & adopted,,115,2
SR 102,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SR 103,781,Senate,2003-07-22,Reported enrolled,,,3
SR 103,781,Senate,2003-07-22,Read & adopted,,114,2
SR 103,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SB 42,781,Senate,2003-07-16,Left pending in committee,,,8
SB 42,781,Senate,2003-07-16,Testimony taken in committee,,,7
SB 42,781,Senate,2003-07-16,Considered in public hearing,,,6
SB 42,781,Senate,2003-07-16,Scheduled for public hearing on  . . . . .,,,5
SB 42,781,Senate,2003-07-10,Referred to Natural Resources,,50,4
SB 42,781,Senate,2003-07-10,Read first time,,50,3
SB 42,781,Senate,2003-07-09,Filed,,,2
SB 42,781,Senate,2003-07-09,Received by the Secretary of the Senate,,,1
SB 55,781,House,2003-07-28,Scheduled for formal meeting on . . . .,,,28
SB 55,781,House,2003-07-28,Reported favorably w/o amendment(s),,,27
SB 55,781,House,2003-07-28,Considered in formal meeting,,,26
SB 55,781,House,2003-07-21,Referred to Environmental Regulation,,601,25
SB 55,781,House,2003-07-21,Read first time,,601,24
SB 55,781,House,2003-07-21,Received from the Senate,,602,23
SB 55,781,Senate,2003-07-21,Reported engrossed,,,22
SB 55,781,Senate,2003-07-21,Record vote,,107,21
SB 55,781,Senate,2003-07-21,Passed,,107,20
SB 55,781,Senate,2003-07-21,Read 3rd time,,107,19
SB 55,781,Senate,2003-07-21,Record vote,,107,18
SB 55,781,Senate,2003-07-21,Three day rule suspended,,107,17
SB 55,781,Senate,2003-07-21,Nonrecord vote recorded in Journal,,107,16
SB 55,781,Senate,2003-07-21,Passed to engrossment as amended,,107,15
SB 55,781,Senate,2003-07-21,Amended,FA1 Armbrister,107,14
SB 55,781,Senate,2003-07-21,Read 2nd time,,106,13
SB 55,781,Senate,2003-07-21,Nonrecord vote recorded in Journal,,106,12
SB 55,781,Senate,2003-07-21,Rules suspended,,106,11
SB 55,781,Senate,2003-07-18,Placed on intent calendar,,,10
SB 55,781,Senate,2003-07-17,Committee report printed and distributed,,,9
SB 55,781,Senate,2003-07-17,Reported favorably as substituted,,92,8
SB 55,781,Senate,2003-07-16,Testimony taken in committee,,,7
SB 55,781,Senate,2003-07-16,Considered in public hearing,,,6
SB 55,781,Senate,2003-07-16,Posting rule suspended,,87,5
SB 55,781,Senate,2003-07-15,Referred to Natural Resources,,61,4
SB 55,781,Senate,2003-07-15,Read first time,,61,3
SB 55,781,Senate,2003-07-14,Filed,,,2
SB 55,781,Senate,2003-07-14,Received by the Secretary of the Senate,,,1
SB 56,781,Senate,2003-07-22,Not again placed on intent calendar,,,11
SB 56,781,Senate,2003-07-18,Placed on intent calendar,,,10
SB 56,781,Senate,2003-07-17,Committee report printed and distributed,,,9
SB 56,781,Senate,2003-07-17,Reported favorably as amended,,92,8
SB 56,781,Senate,2003-07-16,Testimony taken in committee,,,7
SB 56,781,Senate,2003-07-16,Considered in public hearing,,,6
SB 56,781,Senate,2003-07-16,Posting rule suspended,,87,5
SB 56,781,Senate,2003-07-16,Referred to Natural Resources,,66,4
SB 56,781,Senate,2003-07-16,Read first time,,66,3
SB 56,781,Senate,2003-07-15,Filed,,,2
SB 56,781,Senate,2003-07-15,Received by the Secretary of the Senate,,,1
SCR 4,781,House,2003-07-25,Adopted,,613,6
SCR 4,781,House,2003-07-25,Rules suspended,,613,5
SCR 4,781,House,2003-07-25,Received from the Senate,,625,4
SCR 4,781,Senate,2003-07-22,Read & adopted,,114,3
SCR 4,781,Senate,2003-07-22,Filed,,,2
SCR 4,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SR 51,781,Senate,2003-07-14,Reported enrolled,,,3
SR 51,781,Senate,2003-07-14,Read & adopted,,60,2
SR 51,781,Senate,2003-07-14,Received by the Secretary of the Senate,,,1
SR 116,781,Senate,2003-07-24,Reported enrolled,,,3
SR 116,781,Senate,2003-07-24,Read & adopted,,184,2
SR 116,781,Senate,2003-07-24,Received by the Secretary of the Senate,,,1
SR 37,781,Senate,2003-07-08,Reported enrolled,,,3
SR 37,781,Senate,2003-07-08,Read & adopted,,40,2
SR 37,781,Senate,2003-07-08,Received by the Secretary of the Senate,,,1
SR 41,781,Senate,2003-07-09,Reported enrolled,,,3
SR 41,781,Senate,2003-07-09,Read & adopted,,48,2
SR 41,781,Senate,2003-07-09,Received by the Secretary of the Senate,,,1
SR 81,781,Senate,2003-07-18,Reported enrolled,,,3
SR 81,781,Senate,2003-07-18,Read & adopted,,102,2
SR 81,781,Senate,2003-07-18,Received by the Secretary of the Senate,,,1
SR 82,781,Senate,2003-07-18,Reported enrolled,,,3
SR 82,781,Senate,2003-07-18,Read & adopted,,102,2
SR 82,781,Senate,2003-07-18,Received by the Secretary of the Senate,,,1
SR 83,781,Senate,2003-07-21,Reported enrolled,,,3
SR 83,781,Senate,2003-07-21,Read & adopted,,108,2
SR 83,781,Senate,2003-07-21,Received by the Secretary of the Senate,,,1
SR 84,781,Senate,2003-07-21,Reported enrolled,,,3
SR 84,781,Senate,2003-07-21,Read & adopted,,108,2
SR 84,781,Senate,2003-07-21,Received by the Secretary of the Senate,,,1
SR 85,781,Senate,2003-07-21,Reported enrolled,,,3
SR 85,781,Senate,2003-07-21,Read & adopted,,108,2
SR 85,781,Senate,2003-07-21,Received by the Secretary of the Senate,,,1
SR 86,781,Senate,2003-07-21,Reported enrolled,,,3
SR 86,781,Senate,2003-07-21,Read & adopted,,108,2
SR 86,781,Senate,2003-07-21,Received by the Secretary of the Senate,,,1
SR 87,781,Senate,2003-07-21,Reported enrolled,,,3
SR 87,781,Senate,2003-07-21,Read & adopted,,108,2
SR 87,781,Senate,2003-07-21,Received by the Secretary of the Senate,,,1
SR 105,781,Senate,2003-07-22,Reported enrolled,,,3
SR 105,781,Senate,2003-07-22,Read & adopted,,115,2
SR 105,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SR 106,781,Senate,2003-07-22,Reported enrolled,,,3
SR 106,781,Senate,2003-07-22,Read & adopted,,115,2
SR 106,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SR 107,781,Senate,2003-07-22,Reported enrolled,,,3
SR 107,781,Senate,2003-07-22,Read & adopted,,114,2
SR 107,781,Senate,2003-07-22,Received by the Secretary of the Senate,,,1
SR 108,781,Senate,2003-07-22,Reported enrolled,,,3
SR 108,781,Senate,2003-07-22,Read & adopted,,115,2
