bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 3,80R,"Relating to the development, management, and preservation of the water resources of the state; providing penalties.","EDWARDS AQUIFER AUTHORITY (D0110); Special Districts & Authorities--Soil & Water Conservation (I0760); Special Districts & Authorities--Water & Utility (I0755); Water--Development (I0875); Water--General (I0885); Water--Rights (I0870); IRRIGATION & IRRIGATORS (S0170); WATER--CONSERVATION (S0496); ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON (V0334); WATER CONSERVATION ADVISORY COUNCIL (V0629); WATER DEVELOPMENT BOARD (V2481)",Averitt,,Puente,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB3
SB 12,80R,"Relating to programs for the enhancement of air quality, including energy efficiency standards in state purchasing and energy consumption; providing penalties.","Energy--Conservation (I0317); Energy--Solar (I0316); Environment--Air (I0325); Vehicles & Traffic--Equipment (I0855); Vehicles & Traffic--General (I0865); HOUSEHOLD APPLIANCES (S0616); MOTOR VEHICLE DEALERS (S1214); VEHICLE EMISSIONS (S0128); COMPTROLLER OF PUBLIC ACCOUNTS (V2608); ENVIRONMENTAL QUALITY, TEXAS COMMISSION ON (V0334)",Averitt,Ellis; Hinojosa,Bonnen; Giddings; Branch,,Environmental Regulation,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB12
SB 67,80R,Relating to eligibility for and the administration of the child health plan program.,Health--Children's Insurance (I0388); CHILD HEALTH PLAN (P0025); HEALTH & HUMAN SERVICES COMMISSION (V0177),Averitt,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB67
SB 402,80R,Relating to the development and implementation of personnel policies and procedures for certain state agencies.,"Labor--Management Relations (I0465); State Agencies, Boards & Commissions (I0749); State Employees (I0626)",Averitt,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB402
SB 502,80R,Relating to minimum insurance coverage amounts to establish evidence of financial responsibility under the Texas Motor Vehicle Safety Responsibility Act and to providing information with regard to compliance with the Act.,Insurance--Motor Vehicles (I0435); Vehicles & Traffic--Insurance/Financial Responsibility (I0850),Averitt,,Smithee,,Insurance,Out of committee,Business & Commerce,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB502
SB 675,80R,Relating to the preservation for development of regional water supply reservoirs and stream segments of unique ecological value.,Water--Development (I0875),Averitt,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB675
SB 816,80R,Relating to the eligibility of certain educational employees to participate or be enrolled in certain group health benefit programs.,"Education--Primary & Secondary--Teachers (I0242); Insurance--Health & Accident (I0422); Insurance--Life, Health & Accident (I0440); Insurance--Public Employees (I0443); Retirement Systems--Teachers (I0726)",Averitt,,,,,,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB816
SB 817,80R,Relating to the use of personal leave by a public school employee.,Education--Primary & Secondary--Other School Personnel (I0246); Education--Primary & Secondary--Teachers (I0242); EMPLOYEE BENEFITS & LEAVE (S0452); SICK LEAVE (S0461),Averitt,,Eissler,,Public Education,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB817
SB 1026,80R,"Relating to the regulation as common carriers of certain owners, operators, or managers of pipelines for the transportation of feedstock for carbon gasification, the products of carbon gasification, or the derivative products of carbon gasification.",Common Carriers (I0070); Oil & Gas (I0545),Averitt,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1026
SB 1242,80R,Relating to tuition exemptions granted by public institutions of higher education to students who have served in certain school district tutoring programs.,"Education--Higher--Student Financial Aid (I0235); Education--Higher--Tuition (I0233); Education--Primary & Secondary--Curriculum (I0228); Education--School Districts (I0220); HIGHER EDUCATION COORDINATING BOARD, TEXAS (V4280)",Averitt,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1242
SB 1251,80R,"Relating to the access, use, or retention of certain electronically readable information on a driver's license, commercial driver's license, or personal identification certificate; providing penalties.",Electronic Information Systems (I0311); Vehicles & Traffic--Drivers Licenses (I0840); IDENTIFICATION CARDS (S0074); RIGHT OF PRIVACY (S0108),Averitt,,Haggerty,,Transportation,Out of committee,Transportation & Homeland Security,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1251
SB 1252,80R,Relating to an electronic fingerprint verification system used by a seller to confirm the age of a purchaser of certain products; providing a criminal penalty.,Alcoholic Beverage Regulation (I0025); Business & Commerce--General (I0050); Consumer Protection (I0080); Electronic Information Systems (I0311); Minors--General (I0537); Tobacco Products (I0818); BIOMETRIC IDENTIFIERS & VOICEPRINTS (S0449),Averitt,,Chisum,,Transportation,Out of committee,Transportation & Homeland Security,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1252
SB 1253,80R,Relating to the frequency and expenses of certain examinations conducted by the Texas Department of Insurance.,"Insurance--Insurers & Agents (I0425); Insurance--Property & Casualty (I0442); Labor--Workers' Compensation (I0470); INSURANCE, TEXAS DEPARTMENT OF (V0006)",Averitt,,Hancock,,Insurance,Out of committee,Business & Commerce,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1253
SB 1254,80R,Relating to the Texas Health Insurance Risk Pool.,"Insurance--Health & Accident (I0422); HEALTH INSURANCE RISK POOL, TEXAS (S0562)",Averitt,,Taylor,,Insurance,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1254
SB 1255,80R,Relating to the powers and duties of certain small and large employer health cooperatives.,Business & Commerce--Small Business & Minority Business (I0051); Insurance--Health & Accident (I0422),Averitt,,Taylor,,Insurance,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1255
SB 1256,80R,Relating to the operation and regulation of charitable bingo and the use of bingo proceeds.,"Amusements, Games, Sports (I0034); Charitable & Nonprofit Organizations (I0055); Occupational Regulation--Other Trades & Professions (I0541); BINGO (S2305); LOTTERY COMMISSION, TEXAS (V0454)",Averitt,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1256
SB 1257,80R,Relating to the definition of hotel under the Alcoholic Beverage Code.,Alcoholic Beverage Regulation (I0025); HOTELS & MOTELS (S0171),Averitt,,"Keffer, Jim",,Licensing & Administrative Procedures,Out of committee,Business & Commerce,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1257
SB 1426,80R,Relating to the issuance of a food and beverage certificate to the holder of a wine and beer retailer's permit or a retail dealer's on-premise license.,Alcoholic Beverage Regulation (I0025); FOOD (S0761); ALCOHOLIC BEVERAGE COMMISSION (V0472),Averitt,,Hamilton,,Licensing & Administrative Procedures,Out of committee,Business & Commerce,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1426
SB 1427,80R,Relating to participation by private or independent institutions of higher education in the tuition equalization grant program.,Education--Higher--Private Schools (I0238); Education--Higher--Student Financial Aid (I0235),Averitt,,,,Higher Education,In committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1427
SB 1615,80R,Relating to the collection of delinquent obligations owed to the state.,"State Agencies, Boards & Commissions (I0749); State Finances--Management & Control (I0748)",Averitt,Duncan,"Isett, Carl",,Ways & Means,Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1615
SB 1616,80R,Relating to restitution and other assistance provided to victims of crime and to related claimants.,"Crime Victims Compensation (I0084); CRIME VICTIMS (S0046); COURT ADMINISTRATION, OFFICE OF (V8690); YOUTH COMMISSION (V0614)",Averitt,,Turner,,Criminal Jurisprudence,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1616
SB 1665,80R,Relating to regulation of emissions from residential water heaters.,Environment--Air (I0325); HOUSEHOLD APPLIANCES (S0616),Averitt,,Bonnen,,Environmental Regulation,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1665
SB 1666,80R,Relating to the authority of the Railroad Commission of Texas to file a lien on certain land adversely affected by past mining practices and reclaimed by the commission.,Mines & Mineral Resources (I0536); Property Interests--Mortgages & Liens (I0605),Averitt,,"Corte, Frank",,Energy Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=80R&Bill=SB1666
