bill_number,session,chamber,action_date,action,comment,journal_page,order
SR 30,882,Senate,2023-07-12,Reported enrolled,,23,3
SR 30,882,Senate,2023-07-12,Read & adopted,,22,2
SR 30,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SR 31,882,Senate,2023-07-12,Printed in full,,24,6
SR 31,882,Senate,2023-07-12,Reported enrolled,,23,5
SR 31,882,Senate,2023-07-12,Adopted,,22,4
SR 31,882,Senate,2023-07-12,Read,,22,3
SR 31,882,Senate,2023-07-11,Filed,,,2
SR 31,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SR 22,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 22,882,Senate,2023-07-11,Read & adopted,,16,2
SR 22,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SR 23,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 23,882,Senate,2023-07-11,Read & adopted,,16,2
SR 23,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SR 24,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 24,882,Senate,2023-07-11,Read & adopted,,16,2
SR 24,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SR 18,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 18,882,Senate,2023-07-11,Read & adopted,,16,2
SR 18,882,Senate,2023-07-10,Received by the Secretary of the Senate,,,1
SR 19,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 19,882,Senate,2023-07-11,Read & adopted,,16,2
SR 19,882,Senate,2023-07-10,Received by the Secretary of the Senate,,,1
SR 20,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 20,882,Senate,2023-07-11,Read & adopted,,16,2
SR 20,882,Senate,2023-07-10,Received by the Secretary of the Senate,,,1
SR 21,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 21,882,Senate,2023-07-11,Read & adopted,,16,2
SR 21,882,Senate,2023-07-10,Received by the Secretary of the Senate,,,1
SR 25,882,Senate,2023-07-11,Reported enrolled,,17,3
SR 25,882,Senate,2023-07-11,Read & adopted,,16,2
SR 25,882,Senate,2023-07-11,Received by the Secretary of the Senate,,,1
SB 1,882,House,2023-06-30,Received from the Senate,,5,23
SB 1,882,Senate,2023-06-28,Reported engrossed,,7,22
SB 1,882,Senate,2023-06-28,Record vote,,6,21
SB 1,882,Senate,2023-06-28,Passed,,6,20
SB 1,882,Senate,2023-06-28,Read 3rd time,,6,19
SB 1,882,Senate,2023-06-28,Record vote,,6,18
SB 1,882,Senate,2023-06-28,Three day rule suspended,,6,17
SB 1,882,Senate,2023-06-28,Vote recorded in Journal,,5,16
SB 1,882,Senate,2023-06-28,Read 2nd time & passed to engrossment,,5,15
SB 1,882,Senate,2023-06-28,Record vote,,5,14
SB 1,882,Senate,2023-06-28,Rules suspended,,5,13
SB 1,882,Senate,2023-06-28,Ordered not printed,,3,12
SB 1,882,Senate,2023-06-28,Printing rule suspended,,3,11
SB 1,882,Senate,2023-06-28,Reported favorably w/o amendments,,7,10
SB 1,882,Senate,2023-06-28,Vote taken in committee,,,9
SB 1,882,Senate,2023-06-28,Considered in public hearing,,,8
SB 1,882,Senate,2023-06-28,Scheduled for public hearing on  . . .,,,7
SB 1,882,Senate,2023-06-28,Posting rule suspended,,3,6
SB 1,882,Senate,2023-06-28,Referred to Finance,,2,5
SB 1,882,Senate,2023-06-28,Read first time,,2,4
SB 1,882,Senate,2023-06-28,Co-author authorized,,6,3
SB 1,882,Senate,2023-06-28,Filed,,,2
SB 1,882,Senate,2023-06-28,Received by the Secretary of the Senate,,,1
SB 2,882,Executive,2023-07-22,See remarks for effective date,,,99
SB 2,882,Executive,2023-07-22,Signed by the Governor,,31,98
SB 2,882,Executive,2023-07-21,Sent to the Governor,,31,97
SB 2,882,House,2023-07-13,Signed in the House,,64,96
SB 2,882,Senate,2023-07-13,Signed in the Senate,,30,95
SB 2,882,Senate,2023-07-13,Reported enrolled,,31,94
SB 2,882,Senate,2023-07-13,House passage reported,,28,93
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,63,92
SB 2,882,House,2023-07-13,Record vote,RV#31,62,91
SB 2,882,House,2023-07-13,Passed,,62,90
SB 2,882,House,2023-07-13,Read 3rd time,,62,89
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,56,88
SB 2,882,House,2023-07-13,Record vote,RV#26,56,87
SB 2,882,House,2023-07-13,Passed to 3rd reading,,56,86
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,56,85
SB 2,882,House,2023-07-13,Record vote,RV#25,55,84
SB 2,882,House,2023-07-13,Amendment fails of adoption,18-Neave Criado,54,83
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,54,82
SB 2,882,House,2023-07-13,Record vote,RV#24,53,81
SB 2,882,House,2023-07-13,Amendment fails of adoption,16-Martinez Fischer,53,80
SB 2,882,House,2023-07-13,Amendment to amendment withdrawn,17-Tinderholt,53,79
SB 2,882,House,2023-07-13,Point of order withdrawn (amendment),"Rule 11, Section 2",53,78
SB 2,882,House,2023-07-13,Amendment to amendment offered,17-Tinderholt,53,77
SB 2,882,House,2023-07-13,Amendment(s) offered,16-Martinez Fischer,52,76
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,52,75
SB 2,882,House,2023-07-13,Record vote,RV#23,51,74
SB 2,882,House,2023-07-13,Amendment fails of adoption,"15-Wu, Lalani, Goodwin, Davis, Allen, Rose, Bryant, C. Morales, Howard, Garcia, S. Thompson, More",50,73
SB 2,882,House,2023-07-13,Record vote,RV#22,49,72
SB 2,882,House,2023-07-13,Amendment fails of adoption,"14-Tinderholt, Harrison, Schatzline, Toth, and Schaefer",49,71
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,49,70
SB 2,882,House,2023-07-13,Record vote,RV#21,48,69
SB 2,882,House,2023-07-13,Amendment fails of adoption,"13-Schatzline, Tinderholt, Harrison, Toth, and Schaefer",48,68
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,48,67
SB 2,882,House,2023-07-13,Record vote,RV#20,47,66
SB 2,882,House,2023-07-13,Amendment fails of adoption,12-Plesa,47,65
SB 2,882,House,2023-07-13,Amendment withdrawn,11-Martinez Fischer,46,64
SB 2,882,House,2023-07-13,Amendment withdrawn,10-E. Morales,44,63
SB 2,882,House,2023-07-13,Amendment withdrawn,9-E. Morales,44,62
SB 2,882,House,2023-07-13,Point of order sustained (amendment),"Rule 11, Section 2",43,61
SB 2,882,House,2023-07-13,Amendment(s) offered,"8-Harrison, Isaac, Tinderholt, Schatzline, Toth, and Schaefer",42,60
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,42,59
SB 2,882,House,2023-07-13,Record vote,RV#18,41,58
SB 2,882,House,2023-07-13,Amendment fails of adoption,7-Zwiener,41,57
SB 2,882,House,2023-07-13,Statement(s) of vote recorded in Journal,,41,56
SB 2,882,House,2023-07-13,Record vote,RV#17,41,55
SB 2,882,House,2023-07-13,Amendment fails of adoption,"6-Bryant, C. Morales, Ramos, Goodwin, and Lalani",40,54
SB 2,882,House,2023-07-13,Point of order sustained (amendment),"Article III, Section 40",39,53
SB 2,882,House,2023-07-13,Amendment(s) offered,"5-Martinez Fischer, Reynolds, and Neave Criado",38,52
SB 2,882,House,2023-07-13,Amendment withdrawn,4-Bryant,38,51
SB 2,882,House,2023-07-13,Point of order withdrawn (amendment),"Article III, Section 40",38,50
SB 2,882,House,2023-07-13,Amendment(s) offered,4-Bryant,38,49
SB 2,882,House,2023-07-13,Amendment withdrawn,3-Bryant,38,48
SB 2,882,House,2023-07-13,Point of order sustained (amendment),"Article III, Section 40",33,47
SB 2,882,House,2023-07-13,Amendment(s) offered,2-Bryant,33,46
SB 2,882,House,2023-07-13,Amendment withdrawn,"1-Bryant, et al.",33,45
SB 2,882,House,2023-07-13,Point of order withdrawn (amendment),"Article III, Section 40",33,44
SB 2,882,House,2023-07-13,Amendment(s) offered,"1-Bryant, C. Morales, Ramos, Goodwin, and Wu",32,43
SB 2,882,House,2023-07-13,Read 2nd time,,31,42
SB 2,882,House,2023-07-13,Laid out in lieu of companion,HB 2,31,41
SB 2,882,House,2023-07-13,Committee report sent to Calendars,,,40
SB 2,882,House,2023-07-12,Committee report distributed,,,39
SB 2,882,House,2023-07-12,Comte report filed with Committee Coordinator,,65,38
SB 2,882,House,2023-07-12,Reported favorably w/o amendment(s),,,37
SB 2,882,House,2023-07-12,Considered in formal meeting,,,36
SB 2,882,House,2023-07-12,Referred to Ways & Means,,17,35
SB 2,882,House,2023-07-12,Read first time,,17,34
SB 2,882,House,2023-07-12,Received from the Senate,,19,33
SB 2,882,Senate,2023-07-12,Reported engrossed,,23,32
SB 2,882,Senate,2023-07-12,Record vote,,21,31
SB 2,882,Senate,2023-07-12,Passed,,21,30
SB 2,882,Senate,2023-07-12,Read 3rd time,,21,29
SB 2,882,Senate,2023-07-12,Record vote,,21,28
SB 2,882,Senate,2023-07-12,Three day rule suspended,,19,27
SB 2,882,Senate,2023-07-12,Vote recorded in Journal,,21,26
SB 2,882,Senate,2023-07-12,Passed to engrossment as amended,,21,25
SB 2,882,Senate,2023-07-12,Vote recorded in Journal,,21,24
SB 2,882,Senate,2023-07-12,Amended,,21,23
SB 2,882,Senate,2023-07-12,Amendment(s) offered,FA3 Bettencourt,21,22
SB 2,882,Senate,2023-07-12,Vote recorded in Journal,,21,21
SB 2,882,Senate,2023-07-12,Amended,,20,20
SB 2,882,Senate,2023-07-12,Amendment(s) offered,FA2 Bettencourt,20,19
SB 2,882,Senate,2023-07-12,Vote recorded in Journal,,20,18
SB 2,882,Senate,2023-07-12,Amended,,20,17
SB 2,882,Senate,2023-07-12,Amendment(s) offered,FA1 Bettencourt,19,16
SB 2,882,Senate,2023-07-12,Read 2nd time,,19,15
SB 2,882,Senate,2023-07-12,Record vote,,19,14
SB 2,882,Senate,2023-07-12,Rules suspended,,,13
SB 2,882,Senate,2023-07-12,Ordered not printed,,19,12
