bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 68,872,Relating to wages and employment benefits.,City Government--Employees/Officers (I0061); County Government--Employees/Officers (I0095); Labor--Wages (I0485); TEXAS SMALL BUSINESS PROTECTION ACT (PS0SC); EMPLOYEE BENEFITS & LEAVE (S0452),Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SB68
SR 36,872,Recognizing the San Antonio Stock Show and Rodeo for its contributions to Texas education.,Resolutions--Congratulatory & Honorary (I0705); SAN ANTONIO STOCK SHOW & RODEO (NA22J),Campbell,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR36
SCR 3,872,"Urging the federal government to immediately declare violent foreign drug cartels as foreign terrorist organizations and encouraging the Texas Military Department and all state resources to use authority under Article I, Section 10 of the U.S. Constitution to repel this violent foreign drug cartel-facilitated invasion in the least lethal manner possible consistent with bringing this facilitated invasion to a conclusion at the earliest possible moment.",Crimes--Drugs (I0185); Resolutions--Legislative Policy (I0685); TERRORISM & INTERNAL SECURITY (S0574),Perry; Bettencourt; Birdwell; Buckingham; Campbell; Creighton; Hall; Hancock; Huffman; Hughes; Kolkhorst; Lucio; Nelson; Nichols; Paxton; Schwertner; Seliger; Springer; Taylor,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SCR3
SR 48,872,Recognizing Randall B. Prince on the occasion of his retirement.,"Resolutions--Congratulatory & Honorary (I0705); PRINCE, RANDALL B. (N36UO)",Hancock; Birdwell; Blanco; Buckingham; Creighton; Eckhardt; Gutierrez; Hinojosa; Huffman; Hughes; Kolkhorst; Nelson; Perry; Schwertner; Seliger; Taylor; Whitmire; Zaffirini,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR48
SR 55,872,In memory of Steven Michael Weinberg.,"Resolutions--Memorial (I0710); WEINBERG, STEVEN MICHAEL (NJ7M8)",Hancock; Nelson,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR55
SR 61,872,In memory of David Lee Espinoza.,"Resolutions--Memorial (I0710); ESPINOZA, DAVID LEE (NQ1PJ)",Zaffirini; Hancock,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR61
SR 1,872,"Amending the Temporary Rules of the Senate, 87th Legislature.",Resolutions--Rules (I0660),Schwertner,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR1
SR 16,872,Recognizing Mary Alberts on the occasion of her 100th birthday.,"Resolutions--Congratulatory & Honorary (I0705); ALBERTS, MARY (NB9S6)",Schwertner,,,,,,,,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SR16
SB 15,872,"Relating to virtual and off-campus electronic instruction at a public school, the satisfaction of teacher certification requirements through an internship teaching certain virtual courses, and the allotment for certain special-purpose school districts under the Foundation School Program.","Education--Primary & Secondary--Admission & Attendance (I0227); Education--Primary & Secondary--Charter Schools (I0245); Education--Primary & Secondary--Teachers (I0242); Education--School Districts (I0220); DISTANCE EDUCATION (S0383); EDUCATION, COMMISSIONER OF (V9954); EDUCATOR CERTIFICATION, STATE BOARD FOR (V0492)",Taylor,Campbell; Hall; Hinojosa; Paxton; West,"Bell, Keith; Huberty; King, Ken; VanDeaver; Bonnen","Allison; Anderson; Bell, Cecil; Buckley; Burns; Button; Cook; Dean; Dutton; Guerra; Guillen; Hefner; Holland; Johnson, Ann; King, Phil; Leman; Lozano; Morales, Eddie; Morrison; Murphy; Noble; Patterson; Price; Raney; Sanford; Smith; Spiller; Stephenson; Stucky; Swanson; Talarico; Thompson, Ed; Vasut; White",Public Education,Out of committee,Education,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SB15
SB 14,872,Relating to the regulation by a municipality or county of certain employment benefits and policies.,City Government--Employees/Officers (I0061); County Government--Employees/Officers (I0095); Labor--General (I0500); EMPLOYEE BENEFITS & LEAVE (S0452),Creighton,Bettencourt; Buckingham; Campbell; Hall; Hughes; Nichols; Paxton; Schwertner; Springer,"King, Phil; Paddie; Burrows; Metcalf; Geren","Allison; Anderson; Bailes; Bell, Cecil; Bell, Keith; Biedermann; Bonnen; Buckley; Burns; Capriglione; Cook; Cyrier; Darby; Dean; Frullo; Harless; Harris; Hefner; Huberty; Hull; Jetton; Klick; Kuempel; Leach; Leman; Lozano; Middleton; Morrison; Murphy; Murr; Noble; Oliverson; Parker; Patterson; Paul; Price; Raney; Rogers; Sanford; Shine; Slaton; Slawson; Spiller; Stephenson; Swanson; Thompson, Ed; Tinderholt; Toth; VanDeaver; Vasut; White; Wilson",State Affairs,In committee,Business & Commerce,Out of committee,http://capitol.texas.gov/BillLookup/History.aspx?LegSess=872&Bill=SB14
