bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 36,851,Relating to early voting by mail by any qualified voter.,Aging (I0015); Elections--Early Voting (I0260); Elections--Registration & Suffrage (I0265); LONG-TERM CARE (S0417),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB36
SB 37,851,Relating to stipends for certain public school teachers.,Education--Primary & Secondary--Finance (I0250); Education--Primary & Secondary--Teachers (I0242); Salaries & Expenses (I0745),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB37
SB 38,851,Relating to the prohibition of certain discrimination based on sexual orientation or gender identity or expression; providing an administrative penalty; creating a criminal offense.,"Civil Remedies & Liabilities (I0065); Housing--General (I0405); Labor--General (I0500); Labor--Management Relations (I0465); Purchasing--State (I0643); State Agencies, Boards & Commissions (I0749); State Employees (I0626); DISCRIMINATION (S0052); GENDER IDENTITY & EXPRESSION (S0767); SEXUAL ORIENTATION (S0085)",RodrÃ­guez; Garcia; Hinojosa; Whitmire,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB38
SB 40,851,Relating to the public school finance system.,"Education--Primary & Secondary--Finance (I0250); EDUCATION AGENCY, TEXAS (V9941); EDUCATION, COMMISSIONER OF (V9954)",Rodríguez; Garcia; Menéndez; Watson; West; Whitmire; Zaffirini,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB40
SB 41,851,Relating to the bilingual education allotment provided under the public school finance system.,Education--Bilingual (I0213); Education--Primary & Secondary--Finance (I0250),Rodríguez; Garcia; Menéndez; Watson; West; Whitmire; Zaffirini,Uresti,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB41
SB 44,851,Relating to coverage for certain services relating to postpartum depression under the medical assistance and CHIP perinatal programs.,Health--Children's Insurance (I0388); Human Services--Medical Assistance (I0905); Mental Health & Substance Abuse (I0019); HEALTH & HUMAN SERVICES COMMISSION (V0177),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB44
SB 45,851,Relating to health benefit plan coverage for certain essential health benefits.,Insurance--Health & Accident (I0422),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB45
SB 74,851,Relating to the Medicaid eligibility of certain women after a pregnancy.,Human Services--Medical Assistance (I0905); Women (I0925); MEDICAID (S4885); PREGNANCY & CHILDBIRTH (S0294); HEALTH & HUMAN SERVICES COMMISSION (V0177),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB74
SB 75,851,"Relating to a report concerning health care providers participating in the breast and cervical cancer services program, the family planning program, and the Texas women's health program.",Health Care Providers (I0387); Human Services--General (I0920); Women (I0925); CANCER (S0658); FAMILY PLANNING & BIRTH CONTROL (S0466); WOMEN'S HEALTH PROGRAM (S0698); HEALTH & HUMAN SERVICES COMMISSION (V0177),RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB75
SB 76,851,Relating to a strategic plan to address postpartum depression.,"Mental Health & Substance Abuse (I0019); Women (I0925); STRATEGIC PLANS (S0499); HEALTH & HUMAN SERVICES COMMISSION (V0177); STATE HEALTH SERVICES, DEPARTMENT OF (V0463)",RodrÃ­guez,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=851&Bill=SB76
