bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 52,714,Senate,1990-04-09,Referred to Natural Resources,,35,3
SB 52,714,Senate,1990-04-09,Read first time,,35,2
SB 52,714,Senate,1990-04-05,Filed,,,1
SB 46,714,Senate,1990-04-03,Referred to Criminal Justice,,21,3
SB 46,714,Senate,1990-04-03,Read first time,,21,2
SB 46,714,Senate,1990-04-03,Filed,,,1
SB 47,714,Senate,1990-04-03,Referred to Natural Resources,,21,3
SB 47,714,Senate,1990-04-03,Read first time,,21,2
SB 47,714,Senate,1990-04-03,Filed,,,1
SB 48,714,House,1990-04-26,Referred to Natural Resources,,171,20
SB 48,714,House,1990-04-26,Read first time,,171,19
SB 48,714,House,1990-04-26,Received from the Senate,,170,18
SB 48,714,Senate,1990-04-25,Record vote,,162,17
SB 48,714,Senate,1990-04-25,Passed,,162,16
SB 48,714,Senate,1990-04-25,Read 3rd time,,162,15
SB 48,714,Senate,1990-04-25,Record vote,,162,14
SB 48,714,Senate,1990-04-25,Rules suspended,,162,13
SB 48,714,Senate,1990-04-25,Read 2nd time & passed to engrossment,,162,12
SB 48,714,Senate,1990-04-25,Rules suspended,,162,11
SB 48,714,Senate,1990-04-25,Reported favorably w/o amendments,,159,10
SB 48,714,Senate,1990-04-25,Testimony taken in committee,,,9
SB 48,714,Senate,1990-04-25,Considered in public hearing,,,8
SB 48,714,Senate,1990-04-25,Scheduled for public hearing on  . . . . . .,,,7
SB 48,714,Senate,1990-04-24,Posting rule suspended,,111,6
SB 48,714,Senate,1990-04-24,Referred to Administration,,111,5
SB 48,714,Senate,1990-04-24,Rereferred to committee,,111,4
SB 48,714,Senate,1990-04-03,Referred to Natural Resources,,21,3
SB 48,714,Senate,1990-04-03,Read first time,,21,2
SB 48,714,Senate,1990-04-03,Filed,,,1
SB 49,714,Senate,1990-04-03,Referred to Finance,,21,3
SB 49,714,Senate,1990-04-03,Read first time,,21,2
SB 49,714,Senate,1990-04-03,Filed,,,1
SB 80,714,Senate,1990-04-23,Referred to Education,,96,3
SB 80,714,Senate,1990-04-23,Read first time,,96,2
SB 80,714,Senate,1990-04-20,Filed,,,1
SCR 7,714,Senate,1990-05-22,Signed by the Governor,,183,13
SCR 7,714,Senate,1990-04-23,Sent to the Governor,,100,12
SCR 7,714,House,1990-04-19,Signed in the House,,,11
SCR 7,714,Senate,1990-04-18,Signed in the Senate,,86,10
SCR 7,714,Senate,1990-04-16,House passage reported,,82,9
SCR 7,714,House,1990-04-16,Sent to the Senate,,,8
SCR 7,714,House,1990-04-16,Adopted,,,7
SCR 7,714,House,1990-04-16,Rules suspended,,,6
SCR 7,714,House,1990-04-10,Referred to Science & Technology,,80,5
SCR 7,714,House,1990-04-09,Received from the Senate,,36,4
SCR 7,714,Senate,1990-04-09,Read & adopted,,38,3
SCR 7,714,Senate,1990-04-09,Rules suspended,,38,2
SCR 7,714,Senate,1990-04-09,Filed,,,1
SCR 11,714,Senate,1990-05-15,Signed by the Governor,,183,12
SCR 11,714,Senate,1990-04-23,Sent to the Governor,,100,11
SCR 11,714,House,1990-04-19,Signed in the House,,,10
SCR 11,714,Senate,1990-04-18,Signed in the Senate,,86,9
SCR 11,714,Senate,1990-04-16,House passage reported,,82,8
SCR 11,714,House,1990-04-16,Sent to the Senate,,,7
SCR 11,714,House,1990-04-16,Adopted,,,6
SCR 11,714,House,1990-04-16,Rules suspended,,,5
SCR 11,714,House,1990-04-11,Received from the Senate,,91,4
SCR 11,714,Senate,1990-04-11,Read & adopted,,80,3
SCR 11,714,Senate,1990-04-11,Rules suspended,,80,2
SCR 11,714,Senate,1990-04-10,Filed,,,1
SCR 12,714,Senate,1990-05-15,Signed by the Governor,,183,12
SCR 12,714,Senate,1990-04-23,Sent to the Governor,,100,11
SCR 12,714,House,1990-04-19,Signed in the House,,,10
SCR 12,714,Senate,1990-04-18,Signed in the Senate,,86,9
SCR 12,714,Senate,1990-04-16,House passage reported,,82,8
SCR 12,714,House,1990-04-16,Sent to the Senate,,,7
SCR 12,714,House,1990-04-16,Adopted,,,6
SCR 12,714,House,1990-04-16,Rules suspended,,,5
SCR 12,714,House,1990-04-11,Received from the Senate,,91,4
SCR 12,714,Senate,1990-04-11,Read & adopted,,80,3
SCR 12,714,Senate,1990-04-11,Rules suspended,,80,2
SCR 12,714,Senate,1990-04-10,Filed,,,1
SR 4,714,Senate,1990-04-02,Read & adopted,,19,1
SR 8,714,Senate,1990-04-03,Read & adopted,,34,1
SR 25,714,Senate,1990-04-11,Read & adopted,,80,1
SR 32,714,Senate,1990-04-16,Read & adopted,,85,1
SR 87,714,Senate,1990-04-24,Read & adopted,,149,1
SR 107,714,Senate,1990-04-26,Read & adopted,,173,1
SR 119,714,Senate,1990-05-01,Read & adopted,,182,1
SB 58,714,Senate,1990-04-23,Reported favorably w/o amendments,,96,9
SB 58,714,Senate,1990-04-23,Testimony taken in committee,,,8
SB 58,714,Senate,1990-04-23,Considered in public hearing,,,7
SB 58,714,Senate,1990-04-23,Scheduled for public hearing on  . . . . . .,,,6
SB 58,714,Senate,1990-04-18,Referred to Administration,,91,5
SB 58,714,Senate,1990-04-18,Rereferred to committee,,91,4
SB 58,714,Senate,1990-04-09,Referred to Natural Resources,,36,3
SB 58,714,Senate,1990-04-09,Read first time,,36,2
SB 58,714,Senate,1990-04-09,Filed,,,1
SR 62,714,Senate,1990-04-23,Read & adopted,,99,1
SR 108,714,Senate,1990-04-26,Read & adopted,,173,1
SB 33,714,House,1990-04-26,Reported favorably w/o amendment(s),,198,18
SB 33,714,House,1990-04-26,Considered in formal meeting,,,17
SB 33,714,House,1990-04-26,Referred to Public Health,,171,16
SB 33,714,House,1990-04-26,Read first time,,171,15
SB 33,714,House,1990-04-25,Received from the Senate,,156,14
SB 33,714,Senate,1990-04-24,Record vote,,107,13
SB 33,714,Senate,1990-04-24,Passed,,107,12
SB 33,714,Senate,1990-04-24,Read 3rd time,,107,11
