bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 9,721,Relating to the escheat of certain funds paid under a prepaid funeral contract.,Financial--Banks (I0366); FUNERALS (S9813),"Armbrister; Johnson, Eddie Bernice; Brown; Bivins; Leedom",,Tallas,,Appropriations,Out of committee,Administration,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB9
SB 28,721,Relating to certain agencies subject to the Texas Sunset Act.,"State Agencies, Boards & Commissions (I0749); Sunset Bills (I0772)",Armbrister; Carriker,,,,,,Administration,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB28
SR 57,721,Recognizing Mount Rose Missionary Baptist Church of Bastrop on the occasion of its 105th anniversary.,Resolutions--Miscellaneous (I0720); MOUNT ROSE MISSIONARY BAPTIST CHURCH OF BASTROP (N1916),Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR57
SR 88,721,Recognizing the First Baptist Church of Hallettsville for the important role it has played in the civic affairs of Hallettsville and Lavaca County.,Resolutions--Miscellaneous (I0720),Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR88
SR 273,721,In memory of Sid Courtney of Liberty Hill and Central Texas.,"Resolutions--Memorial (I0710); COURTNEY, SID (N2148)",Armbrister; Truan; Sims,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR273
SR 282,721,Paying tribute to the First United Methodist Church of Gonzales for its important role in the history of the Lone Star State and in the lives of its members.,Resolutions--Miscellaneous (I0720); FIRST UNITED METHODIST CHURCH OF GONZALES (N2164),Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR282
SB 71,721,"Relating to reducing overcrowding in jails and promoting a more effective state criminal justice system, including provisions relating to maintenance and operation tax rate, pre-parole transfer programs for certain inmates, the issuance of bonds for prison construction, and liability issues for individuals who work with defendants participating in work programs.","Corrections--Jails & Prisons (I0092); Corrections--Parole, Probation & Pardons (I0093); Criminal Procedure--Sentencing & Punishment (I0205); State Agencies, Boards & Commissions--Newly Proposed (I0773); Taxation--County (I0780); GOOD CONDUCT TIME CREDIT (S4108); CRIMINAL JUSTICE COORDINATING COUNCIL (V0124); CRIMINAL JUSTICE POLICY COUNCIL (V0123); CRIMINAL JUSTICE, TEXAS DEPARTMENT OF (V8788); SENTENCING & CORRECTIONS COMMISSION, TEXAS (V0062)",Turner; Montford; Armbrister,,,,,,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB71
SB 23,721,Relating to public officers and employees and to public servant benefits.,"Retirement Systems--State Employees (I0727); State Agencies, Boards & Commissions--Newly Proposed (I0773); State Employees (I0626); State Officers (I0761); PERSONNEL SERVICES, TEXAS OFFICE OF (V0154); STATE PENSION FUNDING COMMITTEE (V0155)","Barrientos; Brooks; Green; Ellis; Johnson, Eddie Bernice",,,,State Affairs,In committee,Administration,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB23
SB 25,721,"Relating to the continuation, functions, and change of the name of the State Purchasing and General Services Commission, the transfer of responsibility for architectural barrier programs from the commission to the Texas Department of Licensing and Regulation, the transfer of responsibility for the personal property accounting system from the commission to the comptroller, and the acquisition by the commission and other entities of property and services; providing penalties.","Purchasing--State (I0643); Sunset Bills (I0772); LICENSING AND REGULATION, DEPT. OF (V8529); STATE PURCHASING & GENERAL SERVICES COMMISSION (V0073)",Barrientos,,,,,,Administration,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB25
SB 36,721,Relating to restroom facilities in places where the public congregates.,"Amusements, Games, Sports (I0034); Health--General (I0385); POTTY PARITY BILL (S0039)",Barrientos,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB36
SB 55,721,Relating to the creation and administration of the Austin/Travis County Health Services and Financing District.,"AUSTIN/TRAVIS COUNTY HEALTH SERVICES & FINANCING DISTRICT (D0060); AUSTIN, CITY OF (G0324); TRAVIS COUNTY (G0285); Health--General (I0385); Special Districts & Authorities--Miscellaneous (I0770)",Barrientos,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB55
SB 56,721,Relating to indoor air quality; providing a civil penalty.,"Environment--Air (I0325); Health--Other Diseases & Medical Conditions (I0383); State Agencies, Boards & Commissions--Newly Proposed (I0773); INDOOR AIR QUALITY ACT, TEXAS (P6718); SMOKING (S2294)",Barrientos,,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB56
SB 57,721,Relating to the creation of municipal courts of record in San Marcos.,"SAN MARCOS, CITY OF (G0028); Courts--Municipal (I0100)",Barrientos,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB57
SB 91,721,Relating to the Texas Heritage Trust and State and Local Parks Funds Act.,Parks & Wildlife--Parks (I0555); Taxation--Cigarette (I0808); STATE & LOCAL PARKS FUNDS ACT (P0087); TEXAS HERITAGE TRUST FUND (P0027),Barrientos,Truan,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB91
SCR 8,721,"Granting Christopher, Susan, and Nathaniel Eakle permission to sue the State of Texas and the Texas Department of Human Services.","Resolutions--Suits vs. State (I0665); EAKLE, CHRISTOPHER (N0828); EAKLE, NATHANIEL (N0830); EAKLE, SUSAN (N0829); HUMAN SERVICES, DEPARTMENT OF (V2639)",Barrientos,,,,,,Administration,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SCR8
SCR 20,721,Requesting the governor to appoint a task force to study and make recommendations on the possible closure or consolidation of facilities of the Texas Department of Mental Health and Mental Retardation.,Interim Studies (I0448); Mental Health & Mental Retardation (I0530); Resolutions--Miscellaneous (I0720),Barrientos; Krier; Sims,,Junell,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SCR20
SJR 10,721,"Proposing a constitutional amendment authorizing the creation of a health services and financing district composed of the City of Austin or the City of Austin and Travis County, authorizing the district to levy an ad valorem tax on property located in the district, to levy a sales and use tax, to create indebtedness and to make or accept gifts or grants of funds and authorizing cities, counties and other political subdivisions, . . . .","AUSTIN/TRAVIS COUNTY HEALTH SERVICES & FINANCING DISTRICT (D0060); AUSTIN, CITY OF (G0324); TRAVIS COUNTY (G0285); Health--General (I0385); Resolutions--Constitutional Amendments (I0661); Special Districts & Authorities--Miscellaneous (I0770)",Barrientos,,,,,,Intergovernmental Relations,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SJR10
SJR 17,721,Proposing a constitutional amendment providing for the issuance of general obligation bonds by the Texas Higher Education Coordinating Board.,Education--Higher--Finance (I0232); Education--Higher--Student Loans (I0235); Resolutions--Constitutional Amendments (I0661); State Finances--Management & Control (I0748); BONDS (S6060); COORDINATING BOARD (V4280),Barrientos,Brooks; Glasgow,,,Appropriations,In committee,Administration,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SJR17
SR 3,721,"Recognizing the Bells of Joy for their performance at the Kennedy Center's Juneteenth Jubilee in Washington, D.C.",Resolutions--Miscellaneous (I0720); BELLS OF JOY (N1752),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR3
SR 16,721,"Welcoming the Dallas Cowboys and their owner, Jerry Jones, to Austin for their annual summer training session.","Resolutions--Welcoming (I0722); DALLAS COWBOYS (N1751); JONES, JERRY (N0620)","Barrientos; Harris, Chris; Johnson, Eddie Bernice",,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR16
SR 35,721,Recognizing Project Excel for providing training and technical assistance in reducing the number of dropouts at Kimball High School.,Resolutions--Miscellaneous (I0720); PROJECT EXCEL (N1779),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR35
SR 53,721,Paying tribute to Colonel Joe E. Milner on the occasion of his retirement as Director of the Texas Department of Public Safety after 37 years of service.,"Resolutions--Congratulatory & Honorary (I0705); MILNER, JOE E. (N1911)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR53
SR 100,721,Congratulating Tom Albin for his tenure on the Wells Branch Municipal Utility District Board of Directors and urging him to continue his leadership role in neighborhood activities.,"Resolutions--Congratulatory & Honorary (I0705); ALBIN, TOM (N1974)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR100
SR 139,721,Expressing pride and admiration for the unparalleled acts of heroism of Austin firefighters Bryan Noack and Steve Tittle.,"Resolutions--Miscellaneous (I0720); NOACK, BRYAN (N2025); TITTLE, STEVE (N2026)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR139
SR 140,721,Recognizing Robb Wagner for his recent selection as a winner of The Jefferson Award which is bestowed by the American Institute for Public Service.,"Resolutions--Miscellaneous (I0720); WAGNER, ROBB (N2027)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR140
SR 152,721,Recognizing Dr. Harlan Smith who was recently selected to receive NASA's Distinguished Public Service Medal.,"Resolutions--Miscellaneous (I0720); SMITH, HARLAN (N2064)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR152
SR 168,721,In memory of Dr. Connie R. Yerwood Conner of Austin.,"Resolutions--Memorial (I0710); CONNER, CONNIE R. YERWOOD (N2090)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR168
SR 169,721,Congratulating Schlotzsky's Sandwich Shops on the occasion of their 10th anniversary.,Resolutions--Congratulatory & Honorary (I0705); SCHLOTZSKY'S SANDWICH SHOPS (N2091),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR169
SR 178,721,"Recognizing Evia B. Lehman, who recently retired after 42 years of distinguished service with the Austin State School.","Resolutions--Miscellaneous (I0720); LEHMAN, EVIA B. (N2084)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR178
SR 179,721,Recognizing Clarence Lehman who recently retired after 45 years of meritorious service with the Austin State School.,"Resolutions--Miscellaneous (I0720); LEHMAN, CLARENCE (N2085)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR179
SR 180,721,"Recognizing the Texas General Land Office and Ruth's Chris Steakhouse for their Town Lake Cleanup Campaign scheduled for Saturday, August 17, 1991.",Resolutions--Miscellaneous (I0720); RUTH'S CHRIS STEAKHOUSE (N2086); GENERAL LAND OFFICE (V2808),Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR180
SR 192,721,In memory of the Honorable Charles D. Mathews.,"Resolutions--Memorial (I0710); MATHEWS, CHARLES D. (N2077)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR192
SR 193,721,Expressing sincere appreciation to Charles E. Milton.,"Resolutions--Miscellaneous (I0720); MILTON, CHARLES_E. (N1510)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR193
SR 201,721,"In memory of Jackson C. Mouton, Jr., of Austin.","Resolutions--Memorial (I0710); MOUTON, JR., JACKSON C. (N2129)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR201
SR 214,721,"Congratulating Jean Clark, employee of the Office of the Comptroller of Public Accounts, on the occasion of her retirement after more than three decades of service.","Resolutions--Congratulatory & Honorary (I0705); CLARK, JEAN (N2147)",Barrientos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SR214
SB 2,721,"Relating to the oversight and regulation of the state's environmental resources, natural resources, and energy resources; providing for the issuance of bonds by mitigation project participants; creating offenses and providing civil and criminal penalties.","Environment--General (I0340); Mines & Mineral Resources (I0536); Oil & Gas (I0545); State Agencies, Boards & Commissions--Newly Proposed (I0773); Water--General (I0885); ENVIRONMENT, TEXAS DEPARTMENT OF (V0151); IRRIGATORS ADVISORY COUNCIL, TEXAS (V0174); NATURAL RESOURCE CONSERVATION COMMISSION, TEXAS (V0172); NATURAL RESOURCES COUNCIL (V0152); WATER WELL DRILLERS ADVISORY COUNCIL (V0153)","Parker, Carl; Barrientos; Truan; Brooks; Sims","Dickson; Ellis; Johnson, Eddie Bernice; Lucio; Moncrief; Rosson; Tejeda; Zaffirini","Saunders; Lewis, Ron",,Government Organization,Out of committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=721&Bill=SB2
