bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 36,851,Senate,2017-07-13,Filed,,,2
SB 36,851,Senate,2017-07-13,Received by the Secretary of the Senate,,,1
SB 37,851,Senate,2017-07-13,Filed,,,2
SB 37,851,Senate,2017-07-13,Received by the Secretary of the Senate,,,1
SB 38,851,Senate,2017-07-13,Filed,,,2
SB 38,851,Senate,2017-07-13,Received by the Secretary of the Senate,,,1
SB 40,851,Senate,2017-07-14,Filed,,,2
SB 40,851,Senate,2017-07-14,Received by the Secretary of the Senate,,,1
SB 41,851,Senate,2017-07-19,Co-author authorized,,16,3
SB 41,851,Senate,2017-07-14,Filed,,,2
SB 41,851,Senate,2017-07-14,Received by the Secretary of the Senate,,,1
SB 44,851,Senate,2017-07-17,Filed,,,2
SB 44,851,Senate,2017-07-17,Received by the Secretary of the Senate,,,1
SB 45,851,Senate,2017-07-17,Filed,,,2
SB 45,851,Senate,2017-07-17,Received by the Secretary of the Senate,,,1
SB 74,851,Senate,2017-07-18,Filed,,,2
SB 74,851,Senate,2017-07-18,Received by the Secretary of the Senate,,,1
SB 75,851,Senate,2017-07-18,Filed,,,2
SB 75,851,Senate,2017-07-18,Received by the Secretary of the Senate,,,1
SB 76,851,Senate,2017-07-18,Filed,,,2
SB 76,851,Senate,2017-07-18,Received by the Secretary of the Senate,,,1
SB 95,851,Senate,2017-07-19,Filed,,,2
SB 95,851,Senate,2017-07-19,Received by the Secretary of the Senate,,,1
SJR 6,851,Senate,2017-07-26,Co-author authorized,,276,3
SJR 6,851,Senate,2017-07-14,Filed,,,2
SJR 6,851,Senate,2017-07-14,Received by the Secretary of the Senate,,,1
SR 1,851,Senate,2017-07-18,Reported enrolled,,17,3
SR 1,851,Senate,2017-07-18,Read & adopted,,11,2
SR 1,851,Senate,2017-07-18,Received by the Secretary of the Senate,,,1
SR 53,851,Senate,2017-07-24,Reported enrolled,,215,3
SR 53,851,Senate,2017-07-24,Read & adopted,,135,2
SR 53,851,Senate,2017-07-24,Received by the Secretary of the Senate,,,1
SR 132,851,Senate,2017-08-11,Reported enrolled,,358,3
SR 132,851,Senate,2017-08-11,Read & adopted,,346,2
SR 132,851,Senate,2017-08-11,Received by the Secretary of the Senate,,,1
SR 141,851,Senate,2017-08-14,Reported enrolled,,508,3
SR 141,851,Senate,2017-08-14,Read & adopted,,488,2
SR 141,851,Senate,2017-08-14,Received by the Secretary of the Senate,,,1
SR 142,851,Senate,2017-08-14,Reported enrolled,,508,3
SR 142,851,Senate,2017-08-14,Read & adopted,,488,2
SR 142,851,Senate,2017-08-14,Received by the Secretary of the Senate,,,1
SR 143,851,Senate,2017-08-14,Reported enrolled,,508,3
SR 143,851,Senate,2017-08-14,Read & adopted,,488,2
SR 143,851,Senate,2017-08-14,Received by the Secretary of the Senate,,,1
SB 33,851,Senate,2017-07-12,Filed,,,2
SB 33,851,Senate,2017-07-12,Received by the Secretary of the Senate,,,1
SB 42,851,Senate,2017-07-14,Filed,,,2
SB 42,851,Senate,2017-07-14,Received by the Secretary of the Senate,,,1
SB 108,851,Senate,2017-07-26,Filed,,,2
SB 108,851,Senate,2017-07-26,Received by the Secretary of the Senate,,,1
SB 109,851,Senate,2017-07-26,Filed,,,2
SB 109,851,Senate,2017-07-26,Received by the Secretary of the Senate,,,1
SB 110,851,Senate,2017-07-26,Filed,,,2
SB 110,851,Senate,2017-07-26,Received by the Secretary of the Senate,,,1
SB 120,851,Senate,2017-08-11,Filed,,,2
SB 120,851,Senate,2017-08-11,Received by the Secretary of the Senate,,,1
SB 121,851,Senate,2017-08-11,Filed,,,2
SB 121,851,Senate,2017-08-11,Received by the Secretary of the Senate,,,1
SB 6,851,Executive,2017-08-15,Effective on . . . . . . . . . . . . . . .,"December 1, 2017",,165
SB 6,851,Executive,2017-08-15,Signed by the Governor,,508,164
SB 6,851,Executive,2017-08-14,Sent to the Governor,,488,163
SB 6,851,House,2017-08-14,Signed in the House,,520,162
