bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 59,79R,Relating to eligibility for and the administration of the child health plan program.,Health--Children's Insurance (I0388); CHILD HEALTH PLAN (P0025); HEALTH & HUMAN SERVICES COMMISSION (V0177),Averitt,Armbrister; Carona; Eltife; Harris; Lindsay; Lucio; Seliger; Van de Putte; Zaffirini,,,,,Health & Human Services,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB59
SB 88,79R,Relating to minimum enrollment in certain group life insurance policies.,Insurance--Life & Annuities (I0423),Averitt,,Taylor,,Insurance,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB88
SB 89,79R,"Relating to electronically readable information on a driver's license, commercial driver's license, or personal identification certificate.",Elections--Election Officers (I0305); Electronic Information Systems (I0311); Vehicles & Traffic--Drivers Licenses (I0840); Vehicles & Traffic--General (I0865); IDENTIFICATION CARDS (S0074),Averitt,,Denny,,Transportation,Out of committee,Transportation & Homeland Security,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB89
SB 398,79R,Relating to rates and rating plans for automobile insurance.,Insurance--General (I0445); Insurance--Motor Vehicles (I0435); INSURANCE RATES (S0525),Averitt,,,,,,Business & Commerce,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB398
SB 469,79R,Relating to time and cost limitations in certain contracts offered by a health maintenance organization.,Health Care Providers (I0387); Insurance--Health & Accident (I0422); HEALTH MAINTENANCE ORGANIZATIONS (S0853),Averitt,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB469
SB 470,79R,Relating to the portion of designated tuition set aside to fund financial assistance for resident undergraduate and graduate students at public institutions of higher education.,Education--Higher--Finance (I0232); Education--Higher--Student Financial Aid (I0235); Education--Higher--Tuition (I0233),Averitt,"West, Royce",,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB470
SB 615,79R,"Relating to the powers of a Special Agent of the Secret Service to effect an arrest, search, or seizure.",Criminal Procedure--General (I0208); Law Enforcement (I0510),Averitt,,Anderson,,Criminal Jurisprudence,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB615
SB 616,79R,Relating to the period for which the deadline for filing a rendition statement or property report for ad valorem tax purposes may be extended.,Business & Commerce--General (I0050); Property Interests--Personal Property (I0600); Property Interests--Real Property (I0595); Taxation--Property-Appraisals & Appraisal Districts (I0792),Averitt,,,,Local Government Ways & Means,In committee,Finance,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB616
SB 803,79R,Relating to a deceptive trade practice of taking advantage of a disaster or abnormal disruption of the market.,Business & Commerce--General (I0050); Consumer Protection (I0080); Disaster Preparedness & Relief (I0211),Averitt,,,,,,State Affairs,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB803
SB 804,79R,Relating to the liability of license deputies for sales money held in trust for the Parks and Wildlife Department.,Parks & Wildlife--Licenses (I0565),Averitt,,Hilderbran,,"Culture, Recreation, & Tourism",Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=79R&Bill=SB804
