bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SR 5,782,"Congratulating Frank Curre, Jr., of Waco on his 80th birthday.","Resolutions--Congratulatory & Honorary (I0705); CURRE, FRANK, JR. (N2965)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR5
SR 7,782,Recognizing the City of Lockhart as the Barbecue Capital of Texas.,"LOCKHART, CITY OF (G0096); Resolutions--Official Designations--Capitals (I0716); BARBECUE CAPITAL OF TEXAS (N3179)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR7
SR 15,782,Recognizing Robert Devin of Randall County on his retirement.,"Resolutions--Congratulatory & Honorary (I0705); DEVIN, ROBERT (N3187)",Bivins,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR15
SB 6,782,Relating to the abolition of the state aircraft pooling board.,"Aeronautics (I0010); State Agencies, Boards & Commissions (I0749); TRAVEL (S0220); STATE AIRCRAFT POOLING BOARD (V0243); TRANSPORTATION, TEXAS DEPARTMENT OF (V8796)",Duncan,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SB6
SR 11,782,Congratulating Esther Campos of Houston for receiving the 2003 Hispanic Women in Leadership Empowerment Award.,"Resolutions--Congratulatory & Honorary (I0705); CAMPOS, ESTHER (N3183)",Gallegos,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR11
SR 2,782,In memory of William Kelley Looney of Edinburg.,"Resolutions--Memorial (I0710); LOONEY, WILLIAM KELLEY (N3175)",Hinojosa,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR2
SR 3,782,In memory of Staff Sergeant Hector R. Perez of Corpus Christi.,"Resolutions--Memorial (I0710); PEREZ, HECTOR R. (N3176)",Hinojosa,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SR3
SB 5,782,Relating to procedures in condemnation proceedings in a county civil court at law in certain counties.,Courts--County & Statutory (I0115); Property Interests--Eminent Domain (I0615),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SB5
SB 7,782,Relating to certain appointments to the boards of metropolitan rapid transit authorities.,Special Districts & Authorities--Miscellaneous (I0770); Transportation--Mass Transit (I0823); Transportation--Miscellaneous (I0824),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SB7
SB 8,782,Relating to the enforcement of the collection of certain tolls.,County Government--Roads (I0099); Fees & Other Nontax Revenue--Local (I0361); Transportation--Miscellaneous (I0824); TOLL ROADS & TOLL BRIDGES (S1090),Lindsay,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=782&Bill=SB8
