bill_number,session,chamber,action_date,action,comment,journal_page,order
SB 23,713,Senate,1990-03-21,Reported favorably with substitute,,82,6
SB 23,713,Senate,1990-03-20,Considered in public hearing,,,5
SB 23,713,Senate,1990-03-20,Scheduled for public hearing on  . . . . . .,,,4
SB 23,713,Senate,1990-03-15,Referred to Natural Resources,,59,3
SB 23,713,Senate,1990-03-15,Read first time,,59,2
SB 23,713,Senate,1990-02-27,Filed,,,1
SB 22,713,House,1990-03-28,Received from the Senate,,203,14
SB 22,713,Senate,1990-03-27,Record vote,,100,13
SB 22,713,Senate,1990-03-27,Passed,,100,12
SB 22,713,Senate,1990-03-27,Read 3rd time,,100,11
SB 22,713,Senate,1990-03-27,Record vote,,100,10
SB 22,713,Senate,1990-03-27,Rules suspended,,100,9
SB 22,713,Senate,1990-03-27,Read 2nd time & passed to engrossment,,100,8
SB 22,713,Senate,1990-03-27,Rules suspended,,100,7
SB 22,713,Senate,1990-03-21,Reported favorably w/o amendments,,82,6
SB 22,713,Senate,1990-03-20,Considered in public hearing,,,5
SB 22,713,Senate,1990-03-20,Scheduled for public hearing on  . . . . . .,,,4
SB 22,713,Senate,1990-03-15,Referred to Natural Resources,,59,3
SB 22,713,Senate,1990-03-15,Read first time,,59,2
SB 22,713,Senate,1990-02-27,Filed,,,1
SB 40,713,Senate,1990-03-15,Referred to Finance,,60,3
SB 40,713,Senate,1990-03-15,Read first time,,60,2
SB 40,713,Senate,1990-03-06,Filed,,,1
SB 48,713,Senate,1990-03-14,Referred to S/C on Public Education,,48,4
SB 48,713,Senate,1990-03-14,Referred to Committee of the Whole,,48,3
SB 48,713,Senate,1990-03-14,Read first time,,48,2
SB 48,713,Senate,1990-03-08,Filed,,,1
SB 67,713,Senate,1990-03-21,Referred to Criminal Justice,,86,3
SB 67,713,Senate,1990-03-21,Read first time,,86,2
SB 67,713,Senate,1990-03-20,Filed,,,1
SB 71,713,Senate,1990-03-23,Referred to Natural Resources,,89,3
SB 71,713,Senate,1990-03-23,Read first time,,89,2
SB 71,713,Senate,1990-03-22,Filed,,,1
SR 11,713,Senate,1990-03-05,Read & adopted,,39,1
SR 14,713,Senate,1990-03-05,Read & adopted,,39,1
SR 17,713,Senate,1990-03-06,Read & adopted,,42,1
SR 23,713,Senate,1990-03-08,Read & adopted,,46,1
SR 29,713,Senate,1990-03-08,Read & adopted,,45,1
SR 33,713,Senate,1990-03-14,Read & adopted,,50,1
SR 34,713,Senate,1990-03-14,Read & adopted,,50,1
SR 35,713,Senate,1990-03-14,Read & adopted,,50,1
