bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 11,784,"Relating to health coverage, compensation supplementation, and health reimbursement arrangements for active school employees.",Education--Primary & Secondary--Teachers (I0242); Insurance--Health & Accident (I0422); MEDICAL SAVINGS ACCOUNTS (S0469),Averitt,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SB11
SR 140,784,In memory of Margaret Phillips Pakis of Waco.,"Resolutions--Memorial (I0710); PAKIS, MARGARET PHILLIPS (N3833)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR140
SR 141,784,In memory of Frank Fallon of Waco.,"Resolutions--Memorial (I0710); FALLON, FRANK (N3918)",Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR141
SR 153,784,Congratulating the women's basketball team of Baylor University for reaching the Sweet Sixteen in the National Collegiate Athletic Association Division I Women's Basketball Championship Tournament.,Resolutions--Congratulatory & Honorary (I0705); BAYLOR UNIVERSITY (U0040),Averitt,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR153
SCR 4,784,"Urging the Federal Energy Regulatory Commission to expeditiously consider, approve, and permit applications for liquefied natural gas receiving terminals in the State of Texas.",Resolutions--Legislative Policy (I0685); FEDERAL ENERGY REGULATORY COMMISSION (V0600),Armbrister,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SCR4
SJR 7,784,Proposing a constitutional amendment authorizing the operation of video lottery games in this state.,"Amusements, Games, Sports (I0034); Resolutions--Constitutional Amendments (I0661); NATIVE AMERICANS (S0441); VIDEO LOTTERY (S0608)",Armbrister,,,,,,Finance,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SJR7
SR 6,784,Commending Marilynn Kinsey for her service and contributions to our state.,"Resolutions--Congratulatory & Honorary (I0705); KINSEY, MARILYNN (N3762)",Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR6
SR 62,784,Congratulating Sheila W. Beckett on her retirement as Executive Director of the Employees Retirement System of Texas.,"Resolutions--Congratulatory & Honorary (I0705); BECKETT, SHEILA W. (N3828)",Armbrister,Barrientos; Duncan,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR62
SR 63,784,"Recognizing May 4, 2004, as Texas Environmental Excellence Awards Day at the State Capitol.",TEXAS ENVIRONMENTAL EXCELLENCE AWARDS DAY (H0152); Resolutions--Official Designations--Special Dates (I0721),Armbrister,,,,,,,,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR63
SR 108,784,"Urging the Federal Energy Regulatory Commission to expeditiously consider, approve, and permit applications for liquefied natural gas receiving terminals in the State of Texas.",Resolutions--Legislative Policy (I0685); FEDERAL ENERGY REGULATORY COMMISSION (V0600),Armbrister,,,,,,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=784&Bill=SR108
