bill_number,session,summary,keywords,authors,coauthors,sponsors,cosponsors,house_committee,hc_status,senate_committee,sc_status,bill_url
SB 178,77R,Relating to a statewide group insurance program for employees and retirees of certain public schools.,Education--Primary & Secondary--Other School Personnel (I0246); Education--Primary & Secondary--Teachers (I0242); Insurance--Health & Accident (I0422); Insurance--Life & Annuities (I0423); SCHOOL EMPLOYEES HEALTH COVERAGE FUND (P0124); TEXAS SCHOOL EMPLOYEES UNIFORM GROUP INSURANCE BENEFITS ACT (P0125),Armbrister,,,,,,Education,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB178
SB 219,77R,Relating to disposition of out-of-county crimes.,Criminal Procedure--General (I0208),Armbrister,,Carter,,Criminal Jurisprudence,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB219
SB 273,77R,Relating to systems and programs administered by the Teacher Retirement System of Texas; providing a penalty.,Insurance--Health & Accident (I0422); Insurance--Life & Annuities (I0423); Open Records (I0548); Retirement Systems--Teachers (I0726),Armbrister,Bernsen; Staples,"Tillery; Bonnen; Turner, Bob; Geren; McClendon",Miller; Seaman,Pensions & Investments,Out of committee,Education,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB273
SB 287,77R,Relating to equal access to places of public accommodation.,Civil Remedies & Liabilities (I0065); DISCRIMINATION (S0052); MOTORCYCLES (S0782),Armbrister,,,,,,Business & Commerce,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB287
SB 288,77R,Relating to the financial transactions of a community supervision and corrections department.,"Corrections--Parole, Probation & Pardons (I0093); Courts--District (I0120)",Armbrister,,"Ellis, Dan",,Corrections,Out of committee,Criminal Justice,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB288
SB 289,77R,Relating to the exemption of small hydroelectric facilities from water quality management and watermaster fees.,Environment--Water (I0320); Utilities--Electric (I0831); Water--General (I0885); Water--Rights (I0870),Armbrister,Haywood,Morrison,,Natural Resources,Out of committee,Natural Resources,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB289
SB 290,77R,Relating to providing mandatory venue for a civil action arising under an oil and gas lease.,Civil Remedies & Liabilities (I0065); Courts--County & Statutory (I0115); Oil & Gas (I0545),Armbrister,,,,,,Jurisprudence,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB290
SB 291,77R,Relating to oil and gas royalty reporting standards.,Oil & Gas (I0545); ROYALTIES (S0398),Armbrister,,,,,,Natural Resources,In committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB291
SB 292,77R,Relating to programs and systems administered by the Employees Retirement System of Texas and to certain other public retirement systems.,Insurance--Public Employees (I0443); Retirement Systems--General (I0725); Retirement Systems--State Employees (I0727); EMPLOYEE BENEFITS & LEAVE (S0452),Armbrister,,Telford,,Pensions & Investments,Out of committee,State Affairs,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB292
SB 365,77R,Relating to the adoption of a uniform residential building code for use in the state.,City Government--Land Use & Zoning (I0064); Housing--General (I0405); BUILDING CONSTRUCTION (S0426),Armbrister,,Ritter,,Land & Resource Management,Out of committee,Business & Commerce,Out of committee,http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=77R&Bill=SB365
