bill_num,term,session,bill_type,companion,primary_sponsors,cosponsors,short_title,attributes,counties,statutes,keywords,bill_url
HB0023,2023_2024,2023-RS,Bill,,Blackwell; Torbett; Cotham,Cunningham; Loftis,Education Studies and Other Changes.,Public; Text has changed; Requests Study,No counties specifically cited,"115C-445, 116-74.41 (Sections)","boards, children with special needs, colleges & universities, commissions, contracts, counties, curriculum, disabled persons, disasters & emergencies, diseases & health disorders, education, education administration, elementary education, higher education, information technology, membership, mental health, minors, principal fellows comn., principals, private schools, public, public health, public instruction dept., reports, stem, secondary education, session laws, students, studies, title change, unc, unc board of governors, beaufort county, developmental disabilities, public health emergency",https://www.ncleg.gov/BillLookUp/2023/H23
HB0024,2023_2024,2023-RS,Bill,,Kidwell; Setzer; Moss; Hardister,Adams; Cleveland; Crutchfield; Goodwin; Loftis; Pike; Sossamon; Tyson; Ward,Review of Federal Acts/Rules/Regulations.,Public,No counties specifically cited,120 (Chapters); 120-9.1 (Sections),"agriculture, attorney general, charter schools, colleges & universities, constitution, nc, constitution, us, council of state, disasters & emergencies, diseases & health disorders, education, elementary education, environment, financial services, general assembly, higher education, justice dept., mining & mineral extraction, public, public health, public officials, secondary education, sports, water resources, weapons, wetlands, public health emergency, nullification",https://www.ncleg.gov/BillLookUp/2023/H24
HB0025,2023_2024,2023-RS,Bill  (=S),SB   304,Kidwell; Moss; Setzer; Hardister,Balkcom; Crutchfield; Goodwin; Harrison; Johnson; Loftis; Lowery; Miller; Pike; Pyrtle; Sossamon; Strickland; Ward; White; Wray,Volunteer Rescue Worker Tax Credit.,Public,No counties specifically cited,105 (Chapters); 105-153.11 (Sections),"emergency services, public, rescue squads, tax credits, taxation, taxes, individual income, volunteers",https://www.ncleg.gov/BillLookUp/2023/H25
HB0026,2023_2024,2023-RS,Bill,,Torbett; Blackwell; Clampitt,Adams; Cleveland; Iler; Loftis; Wheatley,Education Omnibus.,Public; Text has changed; Requests Study,No counties specifically cited,"115C-296.5, 115C-296.6, 115C-83.15, 115C-83.16 (Sections)","boards, colleges & universities, community colleges, contracts, council of state, disasters & emergencies, diseases & health disorders, education, education cabinet, education, state board of, elementary education, higher education, information technology, public, public health, public instruction dept., public instruction, supt. of, public officials, purchasing, reports, stem, secondary education, session laws, studies, teachers, nccat board, nccat, school grades, public health emergency",https://www.ncleg.gov/BillLookUp/2023/H26
HB0027,2023_2024,2023-RS,Bill  / SL  -,,Watford,Potts,Elect Thomasville City Bd. of Ed.,Local; Text has changed,DAVIDSON,"115C-37, 163-279, 163-292, 163-294.2 (Sections)","appointments, boards, charters, counties, education, education boards, elections, elementary education, kindergarten, local, local government, membership, municipalities, ratified, secondary education, session laws, davidson county, thomasville, chaptered",https://www.ncleg.gov/BillLookUp/2023/H27
HB0028,2023_2024,2023-RS,Bill,,Warren,Autry; Belk; Butler; Crutchfield; Harrison; Longest; Morey; Sossamon,NC Managing Environmental Waste Act of 2023.,Public; Contains Appropriations; Contains Local Appropriations; Text has changed; Requests Study,No counties specifically cited,"130A-309.06, 130A-309.14, 143-58.2 (Sections)","agriculture, appropriations, budgeting, commerce, committees, conservation, counties, cultural resources, natural & cultural resources dept., deq, dhhs, environment, food services, foods & beverages, funding, general assembly, legislative services office, local government, municipalities, pilot programs, public, recycling, reporting, reports, solid waste, studies, taxation, unc, waste management, tax distribution, agriculture resources oversight comm., policy collaboratory",https://www.ncleg.gov/BillLookUp/2023/H28
HB0029,2023_2024,2023-RS,Bill,,Hastings; Bradford; Saine; Paré,Biggs; Chesser; Clampitt; Cotham; Faircloth; Goodwin; Humphrey; Johnson; Sossamon; Strickland; Tyson; Ward; White; Willingham; Zenger,Support Private Property Rights.,Public,No counties specifically cited,"39, 47E (Chapters); 39-51, 47E-4 (Sections)","notification, property, public, real estate, transportation",https://www.ncleg.gov/BillLookUp/2023/H29
HB0030,2023_2024,2023-RS,Bill  / SL  -,,Winslow; Sossamon,Hardister,Reduce Length of Granville Bd. of Ed. Terms.,Local; Text has changed; Uncodified,GRANVILLE,No affected General Statutes,"boards, counties, education, education boards, elections, elementary education, kindergarten, local, local government, membership, ratified, secondary education, session laws, term lengths & limits, granville county, chaptered",https://www.ncleg.gov/BillLookUp/2023/H30
HB0031,2023_2024,2023-RS,Bill  / SL  -,,Warren,Crutchfield,Rowan-Salisbury Board of Educ. Elections.,Local; Text has changed; Uncodified,ROWAN,"115C-37, 115C-37.1, 115C-67 (Sections)","boards, counties, education, education boards, elementary education, kindergarten, local, local government, municipalities, ratified, secondary education, rowan county, salisbury, chaptered",https://www.ncleg.gov/BillLookUp/2023/H31
HB0032,2023_2024,2023-RS,Bill,,Kidwell; Moss; Adams; Setzer,Cairns; Cleveland; John; Loftis; Pike; Sossamon; Tyson; Ward; Wheatley; Willingham; Wray,Service Customer Equal Value Time Act.,Public,No counties specifically cited,66 (Chapters); 66-375 (Sections),"commerce, consumer protection, information technology, infrastructure, internet, public, telecommunications, telephones, teleservices, television, cable & satellite tv",https://www.ncleg.gov/BillLookUp/2023/H32
HB0033,2023_2024,2023-RS,Bill,,Kidwell; Adams; Moss; Setzer,Cleveland; Sossamon; Tyson,UI/Employer & Claimant Service Requirements.,Public,No counties specifically cited,96 (Chapters); 96-15.4 (Sections),"commerce, commerce dept., employment, insurance, insurance, unemployment, public, taxation, unemployment",https://www.ncleg.gov/BillLookUp/2023/H33
HB0034,2023_2024,2023-RS,Bill  / SL  -,,Hastings; Saine; Carson Smith; Pyrtle,Adams; Arp; K. Baker; Balkcom; Biggs; Bradford; Cairns; Chesser; Clampitt; Cleveland; Crutchfield; Davis; Dixon; Faircloth; Goodwin; Greene; Hardister; Humphrey; Iler; N. Jackson; Johnson; B. Jones; Kidwell; Loftis; Logan; Lowery; Miller; Mills; Moss; Penny; Pike; Potts; Reeder; Riddell; Ross; Sossamon; Strickland; Tyson; Ward; Wheatley; White; Willingham; Winslow; Zenger,Protect Those Who Serve and Protect Act.,Public; Text has changed,No counties specifically cited,"14 (Chapters); 14-32, 14-34.1A, 14-34.2, 14-34.5, 14-34.7, 14-34.8 (Sections)","ambulances, animals, armed forces, correctional institutions, crimes, emergency medical services, emergency services, firefighters & firefighting, law enforcement, law enforcement officers, personnel, presented, public, ratified, weapons, chaptered, national guard, public safety dept., law enforcement animals, adult correction dept., working animals",https://www.ncleg.gov/BillLookUp/2023/H34
HB0035,2023_2024,2023-RS,Bill,,Sasser; Potts; Lambeth; Paré,K. Baker; Belk; G. Brown; T. Brown; Clampitt; Crutchfield; Cunningham; Dahle; Faircloth; Fontenot; Gill; Greene; Harris; Harrison; Humphrey; Johnson; Logan; Lucas; Moss; Pyrtle; Sossamon; Strickland; Wheatley; White; Willingham; Winslow; Wray; Zenger,Expand Definition of Opioid Antagonist.,Public,No counties specifically cited,"90 (Chapters); 90-113.27, 90-12.7 (Sections)","controlled substances, definitions, dhhs, emergency services, public, public health, substance abuse",https://www.ncleg.gov/BillLookUp/2023/H35
HB0036,2023_2024,2023-RS,Bill,,Lowery; Ward; Crutchfield,Adams; Clampitt; Faircloth; Greene; Pike; Pyrtle; Sossamon; Tyson,Firearms Training/Probation & Parole Officers.,Public; Text has changed,No counties specifically cited,"14, 17C (Chapters); 14-415.10, 14-415.12A, 17C-6 (Sections)","correctional institutions, licenses & permits, parole & probation, inmates, public, sentencing, weapons, concealed carry, adult correction dept.",https://www.ncleg.gov/BillLookUp/2023/H36
HB0037,2023_2024,2023-RS,Bill,,Everitt; John; Crawford,Ager; Alston; A. Baker; Ball; K. Brown; T. Brown; Buansi; Butler; Cervania; Cotham; Cunningham; Gill; Harris; F. Jackson; Jeffers; Logan; Longest; Lucas; Price; Quick; Rudow; Charles Smith; von Haefen,Expand Disabled Veteran Property Tax Excl.,Public,No counties specifically cited,105 (Chapters); 105-277.1C (Sections),"armed forces, disabled persons, local government, personnel, property, public, real estate, tax exemptions, taxation, taxes, property, veterans",https://www.ncleg.gov/BillLookUp/2023/H37
HB0038,2023_2024,2023-RS,Bill,,Pyrtle; Saine; Moss; Miller,Biggs; Cairns; Cotham; Crutchfield; Fontenot; Humphrey; N. Jackson; John; Johnson; Kidwell; Loftis; Lowery; McNeely; Mills; Pike; Riddell; Sossamon; Stevens; Strickland; Tyson,Education Omnibus Changes.,Public; Text has changed,No counties specifically cited,"115C, 116, 143, 143C (Chapters); 115C-238.51A, 115C-238.53, 115C-238.54, 115C-238.55, 115C-407.55, 115C-562.8, 115C-597, 116-143.1, 116-209.62, 116-30.3, 143-64.03, 143C-4-3.1 (Sections)","aging, appropriations, boards, budgeting, buildings, capital spending, colleges & universities, commerce, commissions, construction, counties, currency & coins, dhhs, education, education administration, education boards, education, state board of, elementary education, employment, fees, funding, gaming, higher education, id systems, kindergarten, local government, minors, municipalities, occupations, personnel, private schools, property, public, salaries & benefits, school buildings & property, secondary education, sports, state employees, students, teachers, title change, tuition, unc, unc board of governors, cumberland county, fayetteville, government employees, property-local government, property-state government, surplus property, vouchers, residency, student athletes, teaching fellows comn.",https://www.ncleg.gov/BillLookUp/2023/H38
HB0039,2023_2024,2023-RS,Bill  (=S),SB   51,Lowery; B. Jones; Miller; Carson Smith,Balkcom; Clampitt; Davis; Fontenot; Harrison; Iler; Johnson; Kidwell; Loftis; Lucas; McNeely; Moss; Paré; Penny; Pyrtle; Riddell; Ross; Stevens; Strickland; Ward; Warren; White; Willis; Winslow; Zenger,Kayla's Act: Protecting Dom. Violence Victims.,Public,No counties specifically cited,"15, 15A, 50B, 7A, 8C (Chapters); 15-1, 15A-1225.4, 50B-10, 7A-49.6, 8C-1 (Sections)","courts, crimes, criminal procedure, district court, domestic violence, evidence, public, telecommunications, teleservices, victims rights, witnesses, women, records, named laws, family issues, teleconferencing",https://www.ncleg.gov/BillLookUp/2023/H39
HB0040,2023_2024,2023-RS,Bill  / SL  -,,Moore; Sauls; Miller; Willingham,Adams; Arp; K. Baker; Balkcom; Bell; Biggs; Bradford; Brisson; Cairns; Chesser; Clampitt; Cleveland; Crutchfield; Davis; Dixon; Elmore; Faircloth; Fontenot; Gillespie; Greene; D. Hall; Hardister; Hastings; Humphrey; Iler; N. Jackson; Johnson; B. Jones; Kidwell; Lambeth; Loftis; Lowery; McNeely; Moss; Paré; Penny; Pike; Pless; Potts; Pyrtle; Reeder; Riddell; Ross; Saine; Setzer; Carson Smith; Sossamon; Stevens; Strickland; Torbett; Tyson; Ward; Warren; Watford; Wheatley; White; Willis; Winslow; Zenger,Prevent Rioting and Civil Disorder.,Public; Text has changed,No counties specifically cited,"14, 15A (Chapters); 14-288.2, 14-288.6, 14-288.9, 15A-534.8 (Sections)","armed forces, bail, courts, crimes, criminal procedure, emergency services, fines & penalties, presented, public, ratified, surety & fidelity, weapons, chaptered, national guard, protests & demonstrations",https://www.ncleg.gov/BillLookUp/2023/H40
HB0041,2023_2024,2023-RS,Bill  (=S),SB   53,Bradford; Mills; McNeely; Wray,Crutchfield; Iler; Johnson; Loftis; Moss; Carson Smith; Warren,Hotel Safety Issues.,Public; Text has changed,No counties specifically cited,"42, 72 (Chapters); 42-14.6, 42-39, 72-1 (Sections)","hotels & motels, rentals & leasing, public, safety",https://www.ncleg.gov/BillLookUp/2023/H41
HB0042,2023_2024,2023-RS,Bill  (=S),SB   320,Lofton; Hardister,Ager; Alston; Autry; A. Baker; Ball; Blackwell; Bradford; G. Brown; K. Brown; T. Brown; Buansi; Budd; Butler; Carney; Cervania; Clemmons; Cotham; Crawford; Cunningham; Faircloth; Fontenot; Gill; K. Hall; Harris; Harrison; Hawkins; Iler; Jeffers; John; Liu; Loftis; Logan; Longest; Lucas; Majeed; Morey; Moss; Pierce; Pike; Prather; Price; Quick; Riddell; Rudow; Saine; Charles Smith; Sossamon; Staton-Williams; von Haefen; Willingham; Willis; Wray; Zenger,Honoring NC's Contributions to Civil Rights.,Public; Contains Appropriations; Contains Local Appropriations; Requests Study,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, commissions, cultural resources, natural & cultural resources dept., discrimination, minorities, monuments & memorials, public, reports, studies, african-american heritage comn.",https://www.ncleg.gov/BillLookUp/2023/H42
HB0043,2023_2024,2023-RS,Bill,,Cleveland; Kidwell; Ward; Tyson,Adams; Cairns; Clampitt; Crutchfield; Fontenot; Johnson; Loftis; McNeely; Moss; Pike; Carson Smith; Sossamon; Willis,Prohibition of Certain Hormone/Surgery/Minors.,Public,No counties specifically cited,"90 (Chapters); 90-21.140, 90-21.141 (Sections)","crimes, fines & penalties, health services, lgbtq & gender issues, minors, occupations, physicians, public",https://www.ncleg.gov/BillLookUp/2023/H43
