bill_num,term,session,bill_type,companion,primary_sponsors,cosponsors,short_title,attributes,counties,statutes,keywords,bill_url
HR0001,2023_2024,2023-RS,Resolution,,D. Hall,,House Temporary Rules.,Public,No counties specifically cited,17f-5 (Sections),"adopted, general assembly, resolutions, simple, rules, house & senate",https://www.ncleg.gov/BillLookUp/2023/H1
HB0002,2023_2024,2023-RS,Bill  / SL  -,,Warren,Pike,2022 Budget Technical Corrections.,Public; Contains Appropriations; Contains Local Appropriations; Text has changed,No counties specifically cited,"108A-54, 108A-54.3A, 108A-79, 108D-30, 116-29.1, 132-1.2, 150B-1 (Sections)","administration dept., aging, agriculture, agriculture dept., appropriations, attorneys, boards, budgeting, buildings, cancer, capital spending, colleges & universities, commerce, commissions, community colleges, community colleges office, community development, confidentiality, conservation, construction, contracts, corporations, nonprofit, counties, courts, crimes, deq, dhhs, disasters & emergencies, diseases & health disorders, district court, education, elementary education, emergency services, employment, engineers & engineering, environment, exhibitions, firefighters & firefighting, forestry, funding, funds & accounts, grants, hazardous substances, health services, higher education, information technology, infrastructure, insurance, insurance, health, internet, law enforcement, local government, medicaid, minors, municipalities, occupations, parks & recreation areas, personnel, poverty, presented, privacy, public, public health, public instruction dept., ratified, research, salaries & benefits, stem, secondary education, session laws, sheriffs, social services, students, taxation, taxes, excise, teleservices, tobacco, travel & tourism, unc, unc board of governors, utilities, water & sewer systems, water resources, district attorneys, bladen county, edgecombe county, nash county, onslow county, pender county, wake county, wilson county, lincoln county, clean water trust fund, mecklenburg county, charlotte, robeson county, stanly county, gaston county, catawba county, cleveland county, substance abuse, guilford county, hyde county, greensboro, raleigh, rowan county, davidson county, davie county, stokes county, superior court, erwin, chaptered, smuggling & trafficking, tax distribution, boiling springs, emergency equipment, human trafficking comn., tobacco products, youth programs, public safety dept., human trafficking, information technology dept., walnut cove, agritourism, insurance, crop",https://www.ncleg.gov/BillLookUp/2023/H2
HB0003,2023_2024,2023-RS,Bill,,Paré; White; K. Baker; Blackwell,Bradford; Butler; Carney; Gill; Harris; Harrison; Lucas; McNeely; Pike; Riddell; Wheatley; Willingham; Willis,UNC Report on Computer Science Credit.,Public; Requests Study,No counties specifically cited,No affected General Statutes,"boards, colleges & universities, computers, curriculum, education, higher education, information technology, public, reports, stem, secondary education, studies, unc, unc board of governors",https://www.ncleg.gov/BillLookUp/2023/H3
HB0004,2023_2024,2023-RS,Bill,,Paré; White; K. Baker; Willingham,Arp; Bradford; Butler; Carney; Chesser; Cunningham; Gill; Harris; Harrison; Logan; Lucas; McNeely; Pike; Quick; Riddell; Strickland; Wheatley; Willis; Winslow,Increasing Engagement in STEM Grant Program.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"boards, council of state, curriculum, education, education boards, education cabinet, education, state board of, elementary education, funding, grants, local government, public, public instruction dept., public instruction, supt. of, public officials, stem",https://www.ncleg.gov/BillLookUp/2023/H4
HB0005,2023_2024,2023-RS,Bill,,Paré,,Fuquay-Varina/Clemmons Deannexations.,Local; Text has changed; Roll Call; Uncodified,"FORSYTH, WAKE",No affected General Statutes,"annexation, boards, charters, city councils, counties, education, education boards, elections, elementary education, extraterritoriality, geography, hotels & motels, kindergarten, local, local government, mayors, motor vehicles, municipalities, planning & zoning, political activity, political parties, public officials, redistricting, secondary education, session laws, taxation, taxes, occupancy, title change, travel & tourism, brunswick county, wake county, mecklenburg county, buncombe county, henderson county, granville county, guilford county, high point, greensboro, franklin county, randolph county, asheville, fuquay-varina, archdale, boiling spring lakes, tax distribution, flat rock, fletcher, hendersonville, summerfield, geographic boundaries, local ordinances, parking & parking structures",https://www.ncleg.gov/BillLookUp/2023/H5
HB0006,2023_2024,2023-RS,Bill,,D. Hall; Carson Smith; Miller; Pyrtle,Arp; K. Baker; Balkcom; Biggs; Chesser; Clampitt; Cleveland; Davis; Faircloth; Gillespie; Greene; K. Hall; Humphrey; Iler; B. Jones; Kidwell; Loftis; Lowery; McNeely; Moss; Paré; Pike; Riddell; Sasser; Sossamon; Stevens; Strickland; Tyson; Ward; Warren; Wheatley; White; Willis; Winslow,Uniformed Heroes Voting Act.,Public; Text has changed,No counties specifically cited,163 (Chapters); 163-166.3 (Sections),"clothing, elections, public, textiles",https://www.ncleg.gov/BillLookUp/2023/H6
HB0007,2023_2024,2023-RS,Bill,,Sasser,,Stanly Comm. Coll. Safety Funds.,Public; Contains Appropriations; Contains Local Appropriations,No counties specifically cited,No affected General Statutes,"appropriations, budgeting, colleges & universities, community colleges, community colleges office, construction, counties, emergency services, higher education, infrastructure, law enforcement, public, roads & highways, transportation, stanly county, public safety dept.",https://www.ncleg.gov/BillLookUp/2023/H7
HB0008,2023_2024,2023-RS,Bill  / SL  -,,Paré; Torbett; Blackwell; Hardister,K. Baker; Clampitt; McNeely; Pike; Riddell; Sossamon; Strickland; Wheatley; White; Willingham; Willis,Various Statutory Changes.,Public; Text has changed,No counties specifically cited,"115C, 115D, 116, 130A, 66, 90, 93A, 93E (Chapters); 115C-12, 115C-218.85, 115C-238.66, 115C-81.90, 115C-83.31, 115C-83.81, 115D-5, 115D-6.2, 116-11, 116-11.4, 116-201, 116-239.8, 116-280, 130A-309.28, 66-500, 66-501, 90-631, 93A-38.5, 93A-4, 93E-1-7, 93E-1-8 (Sections)","boards, colleges & universities, community colleges, computers, curriculum, education, education boards, education, state board of, elementary education, higher education, information technology, kindergarten, local government, presented, public, public instruction dept., ratified, stem, secondary education, unc, chaptered",https://www.ncleg.gov/BillLookUp/2023/H8
HB0009,2023_2024,2023-RS,Bill,,Harrison; Morey; Reives; Staton-Williams,Ager; Alexander; Alston; Autry; A. Baker; Ball; Belk; G. Brown; K. Brown; T. Brown; Buansi; Budd; Butler; Carney; Cervania; Clemmons; Crawford; Cunningham; Dahle; Everitt; Gill; Harris; Hawkins; F. Jackson; Jeffers; John; A. Jones; Liu; Lofton; Logan; Lucas; Majeed; Prather; Price; Quick; Roberson; Rudow; Charles Smith; von Haefen,Fair Maps Act.,Public; Affects Constitution,No counties specifically cited,"120-133, 120-2.3, 120-2.4, 120-4.50, 120-4.55, 120-4.60, 120-4.65, 120-4.70, 120-4.75, 120-4.80, 120-4.85, C-(1)	Each-1.(c), C-II-(5), C-II-3, C-II-5 (Sections)","administration dept., appointments, census, commissions, constitution, nc, discrimination, elections, general assembly, human relations comn., legislative services office, membership, minorities, president pro tempore, public, redistricting, speaker, national elections, redistricting comn., minority leader (house), minority leader (senate)",https://www.ncleg.gov/BillLookUp/2023/H9
HB0010,2023_2024,2023-RS,Bill,,D. Hall; B. Jones; Saine; Carson Smith,Arp; K. Baker; Balkcom; Biggs; Chesser; Clampitt; Cleveland; Davis; Elmore; Faircloth; Gillespie; Greene; K. Hall; Hardister; Hastings; Humphrey; Iler; Kidwell; Loftis; Lowery; McNeely; Miller; Moss; Paré; Pike; Pyrtle; Riddell; Sasser; Sossamon; Stevens; Strickland; Tyson; Ward; Warren; Wheatley; White; Willis,Require ICE Cooperation & Budget Adjustments.,Public; Contains Appropriations; Contains Local Appropriations; Text has changed,"CHATHAM, RANDOLPH","115C, 143B, 162 (Chapters); 115C-111.05, 115C-150.9, 115C-47, 115C-472.18, 115C-562.2, 115C-562.7, 115C-562.8, 115C-592, 115C-600, 143B-1373.1, 143C-1-2, 143C-4-2, 162-62, C-V-(d) (Sections)","agriculture, animals, appropriations, armed forces, arts, authorities, boards, budgeting, capital spending, cemeteries, children with special needs, cjrs, coastal resources, colleges & universities, commerce, commerce dept., commissions, community colleges, community colleges office, correctional institutions, counties, criminal procedure, cultural resources, dhhs, disasters & emergencies, economic development, education, education assistance authority, education, state board of, elementary education, emergency management, environment, exhibitions, farmers markets, fish & wildlife, funds & accounts, general assembly, health services, higher education, historic sites & monuments, horticulture, immigration, industrial location, information technology, infrastructure, inspections, insurance, health, internet, jails, judges, kindergarten, law enforcement, local government, lrs, magistrates, manufacturing, medicaid, minors, municipalities, museums, parks & recreation areas, personnel, planning & zoning, poverty, presented, private schools, public, public instruction dept., public officials, ratified, recreation & leisure, reporting, retirement, roads & highways, rural development, salaries & benefits, secondary education, session laws, sheriffs, social services, state controller, state employees, students, telecommunications, teleservices, transportation, transportation dept., tuition, unc, unc board of governors, utilities, veterans, vetoed, water & sewer systems, weather, wildlife resources comn., zoos, cumberland county, new hanover county, onslow county, pittsboro, chatham county, orange county, goldsboro, wayne county, lee county, rowan county, dare county, randolph county, jacksonville, alamance county, caswell county, nags head, sanford, salisbury, disaster relief reserve fund, mebane, art society, national guard, greenhouses, government employees, pension & retirement funds, vouchers, information technology dept., military affairs dept., continuing care facilities, capital & infrastructure fund, spring lake (town), museum of art  , warrants",https://www.ncleg.gov/BillLookUp/2023/H10
HB0011,2023_2024,2023-RS,Bill  / SL  - (=S),SB   62,Blackwell; Fontenot; Paré; Wheatley,Clampitt; Hardister; Kidwell; Lowery; McNeely; Miller; Moss; Penny; Pike; Pyrtle; Sossamon; Strickland; Ward; Warren; White; Willis,Schools for the Deaf and Blind.,Public; Text has changed,No counties specifically cited,"115C, 126, 138, 150B (Chapters); 115C-105.51, 115C-150.10, 115C-150.11, 115C-150.12, 115C-150.12A, 115C-150.12B, 115C-150.12C, 115C-150.13, 115C-150.13A, 115C-150.14, 115C-150.14A, 115C-150.15, 115C-150.16, 115C-5, 120-122, 126-5, 138-5, 150B-1 (Sections)","appointments, boards, counties, disabled persons, education, education, state board of, elementary education, general assembly, membership, municipalities, presented, president pro tempore, public, public instruction dept., ratified, secondary education, speaker, wake county, wilson county, burke county, raleigh, wilson, morganton, chaptered, residential schools",https://www.ncleg.gov/BillLookUp/2023/H11
HB0012,2023_2024,2023-RS,Bill  (=S),SB   18,Sasser,,Stanly Cty Airport Authority/Members & Leases.,Local,STANLY,No affected General Statutes,"airports, authorities, aviation, boards, counties, county commissioners, rentals & leasing, local, local government, membership, session laws, stanly county, airport authorities",https://www.ncleg.gov/BillLookUp/2023/H12
HB0013,2023_2024,2023-RS,Bill,,Moss,K. Baker; Belk; Clampitt; Crutchfield; Greene; Howard; Iler; Jeffers; Kidwell; Loftis; McNeely; Pike; Sasser; Strickland; Tyson; Ward; White; Willis,Reevaluate County Tier System.,Public; Requests Study,No counties specifically cited,143B-437.08 (Sections),"budgeting, commerce, commerce dept., committees, counties, economic development, funding, general assembly, ldc, public, reports, studies, economic development oversight comm.",https://www.ncleg.gov/BillLookUp/2023/H13
HB0014,2023_2024,2023-RS,Bill,,Moss,Biggs; Clampitt; Cleveland; Faircloth; Hardister; Humphrey; Iler; Kidwell; McNeely; Penny; Pike; Strickland; Wheatley; White; Willis,Back the Blue Act of 2023.,Public; Requests Study,No counties specifically cited,No affected General Statutes,"committees, emergency services, law enforcement, law enforcement officers, personnel, public, retirement, revenue laws study comm., studies, tax exemptions, taxation, taxes, individual income",https://www.ncleg.gov/BillLookUp/2023/H14
HB0015,2023_2024,2023-RS,Bill,,Moss,Bradford; Clampitt; Cunningham; Davis; Greene; Harrison; Jeffers; Kidwell; Lowery; McNeely; Miller; Morey; Pyrtle; Rudow; Sasser; Ward,Study on Eliminating the Grocery Tax.,Public; Requests Study,No counties specifically cited,No affected General Statutes,"commerce, committees, foods & beverages, public, reports, retailing, revenue laws study comm., studies, taxation, taxes, sales & use",https://www.ncleg.gov/BillLookUp/2023/H15
HR0016,2023_2024,2023-RS,Resolution,,D. Hall,Biggs; Humphrey,Amend House Temp. Rules - Committee List.,Public,No counties specifically cited,No affected General Statutes,"adopted, general assembly, resolutions, simple, rules, house & senate",https://www.ncleg.gov/BillLookUp/2023/H16
HB0017,2023_2024,2023-RS,Bill,,Blackwell; Torbett; Hardister; Willis,Biggs; Clampitt; Cleveland; Davis; Humphrey; Iler; N. Jackson; Kidwell; Loftis; McNeely; Miller; Moss; Pike; Pyrtle; Riddell; Setzer; Shepard; Sossamon; Strickland; Ward; Wheatley; White,Elect the SBE/SPI as SBE Chair.,Public; Text has changed; Affects Constitution,No counties specifically cited,"C-II-(5), C-IX-4 (Sections)","appointments, boards, constitution, nc, council of state, education, education cabinet, education, state board of, elections, general assembly, governor, membership, public, public instruction dept., public instruction, supt. of, public officials, resolutions, simple, confirmation, vacancies",https://www.ncleg.gov/BillLookUp/2023/H17
HB0018,2023_2024,2023-RS,Bill,,Moss; Sasser; Gillespie; Miller,Clampitt; Crutchfield; McNeely; Setzer,Elk Conservation Permit Auction/Raffle.,Public,No counties specifically cited,"113 (Chapters); 113-129, 113-291.8 (Sections)","animals, auctions, commissions, environment, fines & penalties, fish & wildlife, hunting & fishing, licenses & permits, public, safety, safety equipment, wildlife resources comn.",https://www.ncleg.gov/BillLookUp/2023/H18
HB0019,2023_2024,2023-RS,Bill  (=S),SB   19,Reives; Carney; Cunningham; Everitt,Ager; Alexander; Alston; Autry; A. Baker; Ball; Belk; Brockman; G. Brown; K. Brown; T. Brown; Buansi; Budd; Butler; Cervania; Clemmons; Cotham; Crawford; Dahle; Gill; Harris; Harrison; Hawkins; F. Jackson; Jeffers; John; A. Jones; Liu; Lofton; Logan; Longest; Lucas; Majeed; Morey; Pierce; Prather; Price; Quick; Roberson; Rudow; Charles Smith; Staton-Williams; von Haefen; Willingham; Wray,Codify Roe and Casey Protections.,Public,No counties specifically cited,"90 (Chapters); 90-21.140, 90-21.141, 90-21.142 (Sections)","abortion, appropriations, budgeting, constitution, nc, dhhs, education, elections, family planning, health services, pregnancy, public, public health, sex education, women, family issues",https://www.ncleg.gov/BillLookUp/2023/H19
HB0020,2023_2024,2023-RS,Bill,,B. Jones; McNeely; Winslow; Lowery,Adams; Chesser; Cleveland; Crutchfield; Goodwin; Iler; Johnson; Kidwell; Loftis; Moss; Penny; Pike; Sossamon; Strickland; Tyson; Ward; Wheatley; White,Cash Commitment Act.,Public; Text has changed,No counties specifically cited,"66 (Chapters); 66-501, 66-502, 66-503, 66-504 (Sections)","administrative code, administrative rules, attorney general, commerce, commerce dept., council of state, currency & coins, justice dept., public, public officials, retailing",https://www.ncleg.gov/BillLookUp/2023/H20
HB0021,2023_2024,2023-RS,Bill,,Moss,T. Brown; Clampitt; Davis; Faircloth; Goodwin; Harrison; Hawkins; Humphrey; Iler; Johnson; A. Jones; Loftis; McNeely; Miller; Pike; Pyrtle; Quick; Sossamon; Strickland; White; Willis,Energy Security Act of 2023.,Public,No counties specifically cited,62 (Chapters); 62-334 (Sections),"crimes, electricity generation & distribution, infrastructure, public, security services, utilities, vandalism, monitoring & surveillance systems",https://www.ncleg.gov/BillLookUp/2023/H21
HB0022,2023_2024,2023-RS,Bill,,Crutchfield,Goodwin; Kidwell; Pike; Ward,Concealed Gun Permit/Clarify Discharge.,Public; Text has changed,No counties specifically cited,14 (Chapters); 14-415.12 (Sections),"armed forces, counties, law enforcement, licenses & permits, local government, public, sheriffs, weapons, concealed carry",https://www.ncleg.gov/BillLookUp/2023/H22
