bill_id,term,session_year,session,short_title,sponsor,house_sponsors,senate_sponsors,summary,bill_url
HB0045,2022-2023,2022,2022 SESSION,HB 45 Health carriers; licensed athletic trainers.,R. Lee Ware (chief patron),R. Lee Ware (chief patron),,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB45
HB0046,2022-2023,2022,2022 SESSION,HB 46 Voter identification; identification containing a photograph required.,R. Lee Ware (chief patron),"R. Lee Ware (chief patron); Dave A. LaRock (chief co-patron); John J. McGuire, III (chief co-patron); Phillip A. Scott (chief co-patron); Michael J. Webert (chief co-patron); Terry L. Austin; Jason S. Ballard; Emily M. Brewer; Jeffrey L. Campbell; Mike A. Cherry; A.C. Cordoza; Tara A. Durant; Christopher T. Head; M. Keith Hodges; Terry G. Kilgore; James A. ""Jay"" Leftwich; Marie E. March; Joseph P. McNamara; Israel D. O'Quinn; Robert D. Orrock, Sr.; Anne Ferrell Tata; Kim A. Taylor; Wendell S. Walker; Bill D. Wiley; Wren M. Williams; Scott A. Wyatt",,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB46
HB0047,2022-2023,2022,2022 SESSION,"HB 47 Suspended sentence or probation; violation of the terms and conditions, technical violations.",Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron),,"Violation of the terms and conditions of a suspended  sentence or probation; technical violations; penalty. Removes from the  definition of technical violation, used for the purposes  of limiting the amount of active incarceration a court can impose as a result  of a revocation hearing for a probation violation,  violations based on a probationer's failure to (i) refrain from the use,  possession, or distribution of controlled substances or related paraphernalia;  (ii) refrain from the use, ownership, possession, or transportation of a  firearm; (iii) gain permission to change his residence or remain in the  Commonwealth or other designated area without permission of the probation officer;  or (iv) maintain contact with the probation officer whereby his whereabouts are  no longer known to the probation officer. Accordingly, if a court finds that a  violation of the terms and conditions of a suspended sentence or probation is  based on such no-longer-technical violations, the  court may revoke the suspension and impose or resuspend any or all of the  period previously suspended.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB47
HB0048,2022-2023,2022,2022 SESSION,HB 48 Local advisory referenda; exception to rule that prohibits referendum from being placed on ballot.,C. Matthew Fariss (chief patron),C. Matthew Fariss (chief patron),,"Elections; referenda; local  advisory referenda. Provides for an exception to  the rule that prohibits a referendum from being  placed on the ballot unless specifically authorized by statute or by charter, allowing each locality to provide by ordinance a process  for holding an advisory referendum provided such advisory referendum is placed  on the ballot not more than once per calendar year.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB48
HB0049,2022-2023,2022,2022 SESSION,HB 49 James River; designates an additional portion as a component of Va. Scenic Rivers System.,C. Matthew Fariss (chief patron),C. Matthew Fariss (chief patron),,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB49
HB0050,2022-2023,2022,2022 SESSION,HB 50 Infant relinquishment laws; DSS to establish hotline to make information available to public.,C. Matthew Fariss (chief patron),C. Matthew Fariss (chief patron),,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB50
HB0051,2022-2023,2022,2022 SESSION,HB 51 Damage to motor vehicles; penalties.,C. Matthew Fariss (chief patron),C. Matthew Fariss (chief patron); Scott A. Wyatt,,"Damage to motor vehicles; penalties.  Makes it a Class 6 felony for a person to commit larceny of a catalytic  converter from a motor vehicle, regardless of the converter's value. The bill  also makes it a Class 6 felony for a person to willfully  break, injure, tamper with, or remove any part or  parts of any vehicle, aircraft, boat, or vessel for  the purpose of injuring, defacing, or destroying  said vehicle, aircraft, boat, or vessel, or  temporarily or permanently preventing its useful operation, or for any purpose  against the will or without the consent of the owner, or to  in any other manner willfully or maliciously interfere with or prevent the  running or operation of such vehicle, aircraft, boat,  or vessel, when such violation causes damage to such vehicle, aircraft, boat, or vessel of $1,000 or more. Current  law makes such violation a Class 1 misdemeanor with no limit on the amount of  damage. Under the bill, the penalty for damage of less than $1,000 remains a  Class 1 misdemeanor.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB51
HB0052,2022-2023,2022,2022 SESSION,"HB 52 Tazewell, Town of; amending charter, increases term length for members of board of zoning appeals.",James W. Morefield (chief patron),James W. Morefield (chief patron),,Charter; Town of Tazewell; board of zoning appeals. Increases the term length for members of the board of zoning appeals for the Town of Tazewell from two to five years. This bill is identical to SB 627.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB52
HB0053,2022-2023,2022,2022 SESSION,"HB 53 Animal care; zoos and petting zoos, seizure of animals.",Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron),,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB53
HB0054,2022-2023,2022,2022 SESSION,HB 54 Absentee voting; ballots to be sorted and results to be reported by precinct.,Karen S. Greenhalgh (chief patron),"Karen S. Greenhalgh (chief patron); Briana D. Sewell (chief co-patron); G. ""John"" Avoli; Jason S. Ballard; Amanda E. Batten; Emily M. Brewer; Jeffrey L. Campbell; Ronnie R. Campbell; Kelly K. Convirs-Fowler; Glenn R. Davis; Nicholas J. Freitas; Dave A. LaRock; Sam Rasoul; Chris S. Runion; Phillip A. Scott; Suhas Subramanyam; Kim A. Taylor; Wendell S. Walker; Vivian E. Watts; Michael J. Webert; Wren M. Williams","Amanda F. Chase; Frank M. Ruff, Jr.; Scott A. Surovell",Elections; absentee voting; ballots to  be sorted and results to be reported by precinct. Provides that absentee  ballots processed at a central absentee precinct must be sorted by the precinct  to which the voter who cast the absentee ballot is assigned and that the  resulting vote totals from such ballots must be reported separately for each  voter precinct.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB54
HB0055,2022-2023,2022,2022 SESSION,HB 55 Voter registration; list of decedent transmitted by St. Reg. of Vital Records to Dept. of Elections.,Karen S. Greenhalgh (chief patron),"Karen S. Greenhalgh (chief patron); Ronnie R. Campbell (chief co-patron); Emily M. Brewer; Jeffrey L. Campbell; Kelly K. Convirs-Fowler; Glenn R. Davis; Jackie H. Glass; Dave A. LaRock; Marie E. March; Chris S. Runion; Phillip A. Scott; Wren M. Williams; Thomas C. Wright, Jr.","Amanda F. Chase; Frank M. Ruff, Jr.",,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB55
HB0056,2022-2023,2022,2022 SESSION,HB 56 Virginia Retirement System; enhanced retirement benefits for juvenile detention specialists.,Bill D. Wiley (chief patron),Bill D. Wiley (chief patron),,Pensions; enhanced retirement benefits for juvenile  detention specialists. Requires each political  subdivision participating in the Virginia Retirement System and each county or  city participating in the Virginia Retirement System to provide retirement  benefits comparable to the benefits provided to state police officers to  juvenile detention specialists.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB56
HB0057,2022-2023,2022,2022 SESSION,HB 57 Emergency Services and Disaster Law; limitation on duration of executive orders.,Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron),,"Emergency Services and Disaster Law; limitation on duration  of executive orders. Limits the duration of any executive order issued by  the Governor pursuant to his powers under the Emergency Services and Disaster  Law to no more than 45 days from the date of issuance. The bill provides that  if the General Assembly does not take any action on the rule, regulation, or  order within the 45 days during which the rule, regulation, or order is  effective, the Governor shall thereafter be prohibited from issuing the same or  a similar rule, regulation, or order relating to the same emergency. Under  current law, once issued, such executive orders are effective until June 30  following the next adjournment  of the regular session of the General Assembly. The bill contains technical amendments.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB57
HB0058,2022-2023,2022,2022 SESSION,HB 58 Local government; prohibits certain practices that would require contractors to provide benefits.,Glenn R. Davis (chief patron),Glenn R. Davis (chief patron); Dave A. LaRock,,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB58
HB0059,2022-2023,2022,2022 SESSION,HB 59 School principals; incident reports.,"John J. McGuire, III (chief patron)","John J. McGuire, III (chief patron); R. Lee Ware","Frank M. Ruff, Jr.","School principals; incident reports.  Requires that school principals report to law enforcement certain enumerated  acts that may constitute a misdemeanor offense and report to the parents of any minor student  who is the specific object of such act that the incident has been reported to  law enforcement. Under current law, principals are required to make such reports only for such acts that may constitute  a felony offense.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB59
HB0060,2022-2023,2022,2022 SESSION,"HB 60 Louisa, Town of; Town may appoint 5 to 7 members to serve on bd. of economic development authority.","John J. McGuire, III (chief patron)","John J. McGuire, III (chief patron)",,"Economic development authority; Town of Louisa. Provides  that the Town of Louisa may appoint from five to seven members to serve on the  board of the economic development authority, with terms staggered as agreed upon  by the town council. Under current law, unless specifically provided otherwise,  the authority consists of seven members.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB60
HB0061,2022-2023,2022,2022 SESSION,HB 61 Overtime pay requirements; volunteers.,"John J. McGuire, III (chief patron)","John J. McGuire, III (chief patron)",,"Overtime pay requirements; volunteers. Permits individuals  who work as both employees and on a volunteer basis for a public body, church,  or nonprofit organization to earn overtime wages for hours worked as an employee  only and continues to exclude hours worked on a volunteer basis from overtime  wage requirements.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB61
