bill_id,term,session_year,session,short_title,sponsor,house_sponsors,senate_sponsors,summary,bill_url
HB0025,2022-2023,2022,2022 SESSION,HB 25 Earned sentence credits; possession of child pornography.,Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron); A.C. Cordoza; Wren M. Williams,,"Earned sentence credits; possession of child pornography. Excludes a first offense for the crime of possession of  child pornography from the crimes that will eligible for  enhanced sentencing credits effective July 1, 2022.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB25
HB0026,2022-2023,2022,2022 SESSION,HB 26 Firearms; control by localities of possession or carrying.,Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron); Ronnie R. Campbell; Phillip A. Scott,,"Control of firearms by localities. Removes the authority for a locality by ordinance to prohibit the possession or carrying of firearms, ammunition, or components or any combination thereof in (i) any building, or part thereof, owned or used by such locality for governmental purposes; (ii) any public park owned or operated by the locality; (iii) any recreation or community center facility; or (iv) any public street, road, alley, or sidewalk or public right-of-way or any other place of whatever nature that is open to the public and is being used by or is adjacent to a permitted event or an event that would otherwise require a permit. The bill provides that any firearm received by the locality pursuant to a buy-back program shall be offered for sale by public auction or sealed bids to a person licensed as a dealer. Current law provides that any such firearm shall be destroyed by the locality unless the person surrendering the firearm requests in writing that the firearm be offered for sale. The bill also limits the authority of localities and state governmental entities to bring lawsuits against certain firearms manufacturers and others.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB26
HB0027,2022-2023,2022,2022 SESSION,"HB 27 COVID-19 vaccination status; mandatory COVID-19 vaccination prohibited, discrimination prohibited.",Timothy V. Anderson (chief patron),Timothy V. Anderson (chief patron),,"COVID-19 vaccination status; mandatory COVID-19 vaccination prohibited; discrimination  prohibited. Prohibits the State Health Commissioner and the Board of  Health, the Board of Behavioral Health and  Developmental Services, the Department of Health Professions and any regulatory  board therein, and the Department of Social Services from requiring any person  to undergo vaccination for COVID-19 and prohibits discrimination based on a  person's COVID-19 vaccination status with regard to education or public  employment and in numerous other contexts.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB27
HB0028,2022-2023,2022,2022 SESSION,HB 28 Maury River; extends portion previously designated as scenic river by an additional 23.2 miles.,Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron),,Scenic river designation; Maury River. Extends the portion of the Maury River previously designated as a state scenic river by an additional 23.2 miles. This bill is identical to SB 292.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB28
HB0029,2022-2023,2022,2022 SESSION,HB 29 Budget Bill.,Barry D. Knight (chief patron),Barry D. Knight (chief patron),,"Budget Bill. Amends Chapter 552 of the 2021 Acts of  Assembly, Special Session I, as amended by Chapter 1 of the 2021 Acts of  Assembly, Special Session II.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB29
HB0030,2022-2023,2022,2022 SESSION,HB 30 Budget Bill.,Barry D. Knight (chief patron),Barry D. Knight (chief patron),,"Budget Bill.  Provides for all appropriations of the Budget submitted by the Governor of Virginia in accordance with the provisions of § 2.2-1509 of the Code of Virginia, and provides a portion of revenues for the two years ending respectively on the thirtieth day of June 2023 and the thirtieth day of June 2024.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB30
HB0031,2022-2023,2022,2022 SESSION,HB 31 U.S. Route 60; Department of Transportation to propose a plan to renumber and reroute.,Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron),,Department of Transportation; U.S. Route 60. Directs  the Department of Transportation to propose a plan to  renumber U.S. Route 60 to the Federal Highway Administration and the Special Committee on U.S. Route  Numbering of the American Association of State Highway and  Transportation Officials.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB31
HB0032,2022-2023,2022,2022 SESSION,HB 32 Bath County; fee for solid waste disposal.,Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron); Chris S. Runion,,,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB32
HB0033,2022-2023,2022,2022 SESSION,HB 33 Permanent farm use placard; an owner or lessee of vehicle claiming farm use exemption to obtain.,Ronnie R. Campbell (chief patron),Ronnie R. Campbell (chief patron); Wendell S. Walker,,"Department of Motor Vehicles; permanent farm use placard. Requires an owner or lessee of a vehicle claiming a farm use exemption from the registration, licensing, and decal requirements for a vehicle, trailer, or semitrailer to obtain a permanent farm use placard from the Department of Motor Vehicles. The applicant is required to show proof of insurance and a copy of the applicant's Federal Schedule F Tax Form. The Department shall not charge a fee for a farm use placard. This bill is incorporated into HB 179.",http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB33
HB0034,2022-2023,2022,2022 SESSION,"HB 34 Absentee voting; return of absentee ballots, drop-off locations.",Ronnie R. Campbell (chief patron),"Ronnie R. Campbell (chief patron); Karen S. Greenhalgh; Dave A. LaRock; Chris S. Runion; Phillip A. Scott; Wendell S. Walker; Wren M. Williams; Thomas C. Wright, Jr.; Scott A. Wyatt","Amanda F. Chase; Frank M. Ruff, Jr.",Absentee voting; return of absentee ballots; drop-off locations. Repeals the provisions of law  providing for the establishment of drop-off  locations for the return of absentee ballots.,http://lis.virginia.gov/cgi-bin/legp604.exe?221+sum+HB34
