bill_id,term,session,title,commem
HB0001,2023_2024,2023-RS,"making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2024 and June 30, 2025.",0
HB0002,2023_2024,2023-RS,"relative to state fees, funds, revenues, and expenditures.",0
HB0010,2023_2024,2023-RS,establishing the parental bill of rights.,0
HB0020,2023_2024,2023-RS,"naming a bridge in the town of Merrimack for the Honorable Richard ""Dick"" Hinch.",1,"stays at C
HB0025,2023_2024,2023-RS,making appropriations for capital improvements.,0
HB0030,2023_2024,2023-RS,allowing a county to exempt its chief administrative officer from compulsory participation in the retirement system.,0
HB0031,2023_2024,2023-RS,"repealing the prohibition on the possession or sale of blackjacks, slung shots, and metallic knuckles.",0
HB0032,2023_2024,2023-RS,relative to possession or discharge of a firearm in a safe school zone.,0
HB0033,2023_2024,2023-RS,relative to polycystic ovary syndrome awareness.,0
HB0034,2023_2024,2023-RS,relative to raising the age of marriage to eighteen.,0
HB0035,2023_2024,2023-RS,requiring student identification cards to include the National Eating Disorders Hotline.,0
HB0036,2023_2024,2023-RS,relative to fees of sheriffs and deputy sheriffs.,0
HB0039,2023_2024,2023-RS,relative to paper billing fees.,0
HB0040,2023_2024,2023-RS,"relative to domicile residency, voter registration, and investigation of voter verification letters, and relative to the terms ""resident,"" ""inhabitant,"" ""residence,"" and ""residency.""",0
HB0041,2023_2024,2023-RS,relative to public noticing of meetings for county conventions.,0
HB0042,2023_2024,2023-RS,relative to the operation of certain homeowners' associations.,0
HB0043,2023_2024,2023-RS,relative to county commissioners' custody and care of all property.,0
HB0044,2023_2024,2023-RS,relative to permissible residential units in a residential zone.,0
HB0045,2023_2024,2023-RS,establishing a committee to study student loan forgiveness in New Hampshire.,0
HB0046,2023_2024,2023-RS,establishing a committee to study replacement of bail commissioners with court magistrates and relative to delinquent payment of accounts by on premises and off premises licensees and relative to electronic payments to employee debit cards.,0
HB0047,2023_2024,2023-RS,relative to medical records attestations for organ donation eligibility.,0
HB0048,2023_2024,2023-RS,relative to employee protections from COVID-19 in the workplace.,0
HB0049,2023_2024,2023-RS,relative to postponing the closure of the Sununu Youth Services Center.,0
HB0050,2023_2024,2023-RS,relative to an appropriation for the unfunded accrued liability of the New Hampshire retirement system.,0
HB0051,2023_2024,2023-RS,relative to requiring towns and school districts use warrant articles for lobbying agents.,0
HB0052,2023_2024,2023-RS,naming a bridge in Hinsdale as the General John Stark Memorial Bridge.,1,"stays at C
HB0054,2023_2024,2023-RS,relative to antique car inspections.,0
HB0056,2023_2024,2023-RS,relative to permits for the siting of new landfills.,0
HB0057,2023_2024,2023-RS,relative to the state minimum hourly rate.,0
HB0058,2023_2024,2023-RS,prohibiting payment of subminimum wages.,0
HB0059,2023_2024,2023-RS,requiring a background check prior to any commercial firearm sale.,0
HB0061,2023_2024,2023-RS,relative to teaching on discrimination in the public schools and discrimination in public workplaces.,0
HB0062,2023_2024,2023-RS,relative to adjusting the road toll.,0
HB0063,2023_2024,2023-RS,relative to religious use of land and structures.,0
HB0064,2023_2024,2023-RS,requiring the commission on demographic trends to consider data on race and ethnicity for the purpose of increasing racial and ethnic diversity in New Hampshire.,0
HB0065,2023_2024,2023-RS,commemorating the first labor strike in the United States by women.,1,"stays at C
HB0066,2023_2024,2023-RS,establishing a committee to study non-pharmacological treatment options for patients with chronic pain.,0
HB0067,2023_2024,2023-RS,relative to the right to review source code of software in criminal cases.,0
HB0069,2023_2024,2023-RS,relative to direct payment and membership-based health care facilities.,0
HB0071,2023_2024,2023-RS,repealing a department of education report on chartered public school funding.,0
HB0072,2023_2024,2023-RS,relative to the tenure of public librarians.,0
HB0074,2023_2024,2023-RS,relative to an employee's unused earned time.,0
HB0075,2023_2024,2023-RS,relative to the election of Strafford county commissioners.,0
HB0076,2023_2024,2023-RS,imposing a waiting period between the purchase and delivery of a firearm.,0
HB0077,2023_2024,2023-RS,relative to compensation for county delegation meetings.,0
HB0078,2023_2024,2023-RS,"repealing an act prohibiting the state from enforcing any federal statute, regulation, or Presidential Executive Order that restricts or regulates the right of the people to keep or bear arms.",0
HB0079,2023_2024,2023-RS,establishing a committee to study the New Hampshire law relative to standards for farm products and marketing and grading commodities.,0
HB0080,2023_2024,2023-RS,relative to tax exempt status for county real property leased for agricultural uses.,0
HB0081,2023_2024,2023-RS,establishing a study committee to examine all ancillary charges for propane gas sales.,0
HB0083,2023_2024,2023-RS,relative to county commissioners' authority on county buildings.,0
HB0084,2023_2024,2023-RS,relative to the emergency management powers of the department of transportation.,0
HB0085,2023_2024,2023-RS,relative to antenuptial agreements.,0
HB0087,2023_2024,2023-RS,relative to county responsibility for capital building projects.,0
HB0088,2023_2024,2023-RS,relative to reproductive rights.,0
HB0089,2023_2024,2023-RS,relative to posthumous exonerations.,0,"upgraded
HB0090,2023_2024,2023-RS,relative to the municipal planning master plan.,0
HB0092,2023_2024,2023-RS,requiring the adoption of innovative vehicle emissions standards pursuant to section 177 of the federal Clean Air Act.,0
HB0093,2023_2024,2023-RS,authorizing municipalities to reduce speed limits seasonally.,0
HB0094,2023_2024,2023-RS,establishing October 2023 as eczema awareness month.,1,"stays at C
HB0095,2023_2024,2023-RS,enabling municipalities to adopt rental practice regulations.,0
