bill_id,term,session,summary,keywords,commem
HB1001,2023_2024,2023-RS,allow the Government Operations and Audit Committee to issue subpoenas without Executive Board approval.,Government Operations and Audit; Legislative Oversight; Legislature and Statutes,0
HB1002,2023_2024,2023-RS,update the official code of laws.,Code Commission; Legislature and Statutes,0
HB1003,2023_2024,2023-RS,repeal provisions requiring prison or jail cost estimates and to declare an emergency.,Emergency Clause; Legislature and Statutes,0
HB1004,2023_2024,2023-RS,update a reference to the Internal Revenue Code for purposes of higher education savings plans.,Education; Executive/Judiciary Request; Higher Education,0
HB1005,2023_2024,2023-RS,update certain citations to federal regulations regarding pipeline safety inspections.,Executive/Judiciary Request; Pipelines; Public Utilities and Carriers,0
HB1006,2023_2024,2023-RS,"increase the funding for construction of an addition to the Kinsman Building in Pierre, to make an appropriation therefor, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; State Affairs and Government,0
HB1007,2023_2024,2023-RS,add emergency medical services personnel to Class B public safety membership of the South Dakota Retirement System.,Emergency Medical Services; Executive/Judiciary Request; Retirement System,0
HB1008,2023_2024,2023-RS,revise provisions relating to actuarial terminology used by the South Dakota Retirement System.,Executive/Judiciary Request; Retirement System,0
HB1009,2023_2024,2023-RS,update and clarify certain provisions relating to the South Dakota Retirement System.,Executive/Judiciary Request; Retirement System,0
HB1010,2023_2024,2023-RS,repeal the sunset date for provisions related to the licensure of behavior analysts.,Boards and Commissions; Executive/Judiciary Request; Professions and Occupations; Sunset Clause,0
HB1011,2023_2024,2023-RS,revise employer contribution rates.,Executive/Judiciary Request; Reemployment Assistance,0
HB1012,2023_2024,2023-RS,repeal the annual grievance reporting requirements for health carriers.,Executive/Judiciary Request; Insurance,0
HB1013,2023_2024,2023-RS,update references to certain federal motor carrier regulations.,Executive/Judiciary Request; Public Utilities and Carriers,0
HB1014,2023_2024,2023-RS,update provisions related to the licensure of speech-language pathologists and speech-language pathology assistants.,Boards and Commissions; Executive/Judiciary Request; Health Care; Professions and Occupations; Promulgation of Rules,0
HB1015,2023_2024,2023-RS,update provisions related to the licensure of funeral directors and the provision of funeral services.,Boards and Commissions; Executive/Judiciary Request; Fees; Professions and Occupations; Promulgation of Rules,0
HB1016,2023_2024,2023-RS,"authorize the South Dakota Department of Corrections to construct a prison facility for offenders committed to the Department of Corrections in Rapid City, to make an appropriation therefor, and to declare an emergency.",Appropriation; Corrections; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements,0
HB1017,2023_2024,2023-RS,"authorize the Department of Corrections to purchase certain real property, to contract for the design of a prison facility for offenders committed to the Department of Corrections, to make an appropriation therefor, to transfer funds to the incarceration construction fund, and to declare an emergency.",Appropriation; Corrections; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; Transfer of Funds,0
HB1018,2023_2024,2023-RS,repeal the authorized forfeiture of property used in the illegal capture of fish.,"Civil Forfeiture; Executive/Judiciary Request; Fishing; Game, Fish, Parks and Forestry",0
HB1019,2023_2024,2023-RS,"repeal certain requirements for Game, Fish and Parks licensing agents.","Executive/Judiciary Request; Game, Fish, Parks and Forestry",0
HB1020,2023_2024,2023-RS,provide for the sale of certain surplus real estate in Rapid City to Pennington County and to provide for the deposit of the proceeds.,Corrections; Executive/Judiciary Request,0
HB1021,2023_2024,2023-RS,make an appropriation to the State Conservation Commission and to declare an emergency.,Agriculture and Horticulture; Appropriation; Boards and Commissions; Emergency Clause; Executive/Judiciary Request; Water Management,0
HB1022,2023_2024,2023-RS,"make an appropriation for increased costs related to the construction of the new state public health laboratory, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Procurement of Public Improvements; Public Health and Safety,0
HB1023,2023_2024,2023-RS,make an appropriation for the construction of a maintenance shop for the Wildland Fire Suppression Division in Rapid City and to declare an emergency.,"Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Game, Fish, Parks and Forestry; Procurement of Public Improvements",0
HB1024,2023_2024,2023-RS,make an appropriation for the construction of a maintenance shop for the Wildland Fire Suppression Division in Hot Springs and to declare an emergency.,"Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Game, Fish, Parks and Forestry; Procurement of Public Improvements",0
HB1025,2023_2024,2023-RS,revise the fees for registration of an apiary.,Agriculture and Horticulture; Executive/Judiciary Request; Fees,0
HB1026,2023_2024,2023-RS,make an appropriation for costs related to suppression of wildfires in the state and to declare an emergency.,Appropriation; Emergency Clause; Executive/Judiciary Request; Firefighters; Public Health and Safety,0
HB1027,2023_2024,2023-RS,make an appropriation for costs related to disasters in the state and to declare an emergency.,Appropriation; Emergency Clause; Executive/Judiciary Request; Public Health and Safety,0
HB1028,2023_2024,2023-RS,modify expiration dates and enforcement actions pertaining to pesticide applicator licenses.,Agriculture and Horticulture; Executive/Judiciary Request; Pesticide,0
HB1029,2023_2024,2023-RS,revise certain provisions regarding the county zoning and appeals process.,"Counties; Executive/Judiciary Request; Planning, Zoning and Housing Programs",0
HB1030,2023_2024,2023-RS,"make an appropriation for the revised construction costs of the bioproducts facility in Brookings, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,0
HB1031,2023_2024,2023-RS,"make an appropriation for the revised construction costs of the dairy research and extension farm at South Dakota State University, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,0
HB1032,2023_2024,2023-RS,"make an appropriation for the demolition and reconstruction of agricultural-use structures at South Dakota State University, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Higher Education; Procurement of Public Improvements,0
HB1033,2023_2024,2023-RS,provide for the uniform administration of tobacco products taxes.,Executive/Judiciary Request; Taxation,0
HB1034,2023_2024,2023-RS,"modify tax refunds for elderly persons and persons with a disability, to make an appropriation therefor, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Taxation,0
HB1035,2023_2024,2023-RS,"make an appropriation to the Department of Revenue for the modernization of the motor vehicle administration system, and to declare an emergency.",Appropriation; Emergency Clause; Executive/Judiciary Request; Motor Vehicles,0
HB1036,2023_2024,2023-RS,increase civil penalties for commercial driver's license holders and motor carriers.,Driver License; Executive/Judiciary Request; Motor Vehicles; Penalty,0
HB1037,2023_2024,2023-RS,amend the eligibility for admission to the state veterans’ home and repeal the residency requirement.,Executive/Judiciary Request; Nursing Homes; Veterans Affairs,0
HB1038,2023_2024,2023-RS,revise certain provisions pertaining to the Department of Veterans Affairs and residency in the State Veterans Home.,Executive/Judiciary Request; Veterans Affairs,0
HB1039,2023_2024,2023-RS,revise certain provisions regarding the payment of tuition for members of the South Dakota National Guard.,Executive/Judiciary Request; Higher Education; Military Affairs; Tuition,0
HB1040,2023_2024,2023-RS,reduce the time in which certain civil actions may be commenced.,Civil Procedure; Liability,0
HB1041,2023_2024,2023-RS,provide an exception to the definition of drug paraphernalia.,Controlled Substances; Crimes,0
HB1042,2023_2024,2023-RS,update additional charges allowed for mailing decals and plates and to declare an emergency.,Fees; Motor Vehicles,0
HB1043,2023_2024,2023-RS,make an exemption from certain property taxation for owner-occupied single-family dwellings.,Property Tax; Tax Exemptions; Taxation,0
HB1044,2023_2024,2023-RS,"establish scholarships for individuals pursuing careers in the behavioral health field, to make an appropriation therefor, and to declare an emergency.",Appropriation; Health Care; Higher Education; Juvenile Justice; Scholarships,0
HB1045,2023_2024,2023-RS,increase the basic salary schedule for county veterans' service officers.,Counties; Executive/Judiciary Request; Veterans Affairs,0
HB1046,2023_2024,2023-RS,provide free tuition at Board of Technical Education institutions for children or spouses of members of the South Dakota National Guard disabled or deceased in the line of duty.,Executive/Judiciary Request; Higher Education; Tuition; Veterans Affairs,0
HB1047,2023_2024,2023-RS,revise certain provisions regarding military affairs.,Military Affairs,0
HB1048,2023_2024,2023-RS,repeal and make technical changes to provisions regarding the Board of Military Affairs.,Boards and Commissions; Military Affairs,0
HB1049,2023_2024,2023-RS,revise the General Appropriations Act for fiscal year 2023.,Appropriation; Executive/Judiciary Request,0
HB1050,2023_2024,2023-RS,authorize counties to issue bonds for certain expenditures funded by a gross receipts tax.,Bonds (Public Debt); Counties; Promulgation of Rules; Retail Sales and Service Tax; Taxation,0
HB1051,2023_2024,2023-RS,require counties to hire veteran service officers in proportion to the number of veterans residing in the county.,Counties; Veterans Affairs,0
HB1052,2023_2024,2023-RS,change the eligibility requirements of a property tax relief program for disabled veterans and surviving spouses.,Property Tax; Tax Exemptions; Taxation; Veterans Affairs,0
HB1053,2023_2024,2023-RS,prohibit the issuance of a written certification to a pregnant woman or breastfeeding mother for purposes of medical cannabis use.,Health Care; Medical Cannabis; Public Health and Safety,0
HB1054,2023_2024,2023-RS,provide a stipend for the erection of a private headstone for a deceased veteran.,Cemeteries; Veterans Affairs,0
HB1055,2023_2024,2023-RS,increase the dollar amount of South Dakota opportunity scholarships.,Education; Higher Education; Scholarships,0
HB1056,2023_2024,2023-RS,modify the limit of consecutive terms for members of the Board of Technical Education.,Boards and Commissions; Education; Higher Education,0
HB1057,2023_2024,2023-RS,allow for the appointment of county coroner by all counties.,Counties,0
HB1058,2023_2024,2023-RS,revise the water resources projects list.,Water Management,0
HB1059,2023_2024,2023-RS,establish a community paramedic endorsement.,Boards and Commissions; Fees; Health Care; Professions and Occupations; Promulgation of Rules,0
HB1060,2023_2024,2023-RS,modify provisions related to procurement for the state and other purchasing agencies.,"Public Property, Purchases and Contracts",0
HB1061,2023_2024,2023-RS,repeal provisions regarding criminal jury trials effective upon the adoption of Supreme Court rules.,Criminal Procedure; Delayed Effective Date; Executive/Judiciary Request,0
HB1062,2023_2024,2023-RS,clarify the convening of recount boards for primary elections.,Counties; Election Verification; Elections; Executive/Judiciary Request,0
HB1063,2023_2024,2023-RS,require the Unified Judicial System to assemble a task force to address barriers to services for emerging adults involved in the justice system in South Dakota.,Corrections; Courts and Judiciary; Executive/Judiciary Request; Reports,0
HB1064,2023_2024,2023-RS,require the Unified Judicial System to assemble a task force to address the provision of legal services to indigent parties within the South Dakota court system and to declare an emergency.,Courts and Judiciary; Executive/Judiciary Request; Reports,0
HB1065,2023_2024,2023-RS,increase the maximum amount of dollars payable by the state to erect the headstone of a deceased veteran.,Cemeteries; Veterans Affairs,0
HB1066,2023_2024,2023-RS,require the use of fuel that is thirty percent ethanol by volume by the state motor vehicle pool in certain circumstances.,"Delayed Effective Date; Motor Vehicles; Public Property, Purchases and Contracts; State Employees",0
HB1067,2023_2024,2023-RS,provide for a rebuttable presumption of intent to distribute methamphetamine when in possession of more than five grams.,Controlled Substances; Crimes; Criminal Procedure,0
HB1068,2023_2024,2023-RS,prohibit deceptive practices in the advertising and sale of food products as meat and poultry.,Crimes; Food and Drugs; Meat and Meat Products,0
HB1069,2023_2024,2023-RS,prohibit the acquisition of agricultural land by foreign governments.,Agricultural Land; Property,0
HB1070,2023_2024,2023-RS,"create the Center for American Exceptionalism at Black Hills State University, make an appropriation therefor, and declare an emergency.",Appropriation; Education; Emergency Clause; Higher Education; School Curriculum,0
HB1071,2023_2024,2023-RS,establish use of force course standards.,Firearms; Law Enforcement; Promulgation of Rules,0
HB1072,2023_2024,2023-RS,subject lithium to severance tax.,Counties; Minerals; Taxation,0
HB1073,2023_2024,2023-RS,rename separate maintenance as legal separation.,Domestic Relations; Technical/Cleanup Changes,1
HB1074,2023_2024,2023-RS,authorize division of property between parties when legal separation is granted.,Domestic Relations,0
HB1075,2023_2024,2023-RS,lower the state sales tax rate and the state use tax rate on food to zero percent.,Food Tax; Retail Sales and Service Tax; Tax Exemptions; Taxation,0
HB1076,2023_2024,2023-RS,provide for supervised practice.,Courts and Judiciary,0
HB1077,2023_2024,2023-RS,prohibit eligibility for a suspended imposition of sentence for certain rape offenses.,Criminal Procedure; Sex Offenses,0
HB1078,2023_2024,2023-RS,make an appropriation to the Department of Human Services for the development and expansion of adult day services programs and to declare an emergency.,Appropriation; Emergency Clause; Grants; Human Services,0
HB1079,2023_2024,2023-RS,"make an appropriation to the Department of Health to provide grants to support mental health and suicide prevention programs, and to declare an emergency.",Appropriation; Emergency Clause; Grants; Health Care,0
HB1080,2023_2024,2023-RS,prohibit certain medical and surgical interventions on minor patients.,Health Care; Minors; Public Health and Safety,0
HB1081,2023_2024,2023-RS,limit the manner in which legislation may be introduced.,Legislature and Statutes,0
HB1082,2023_2024,2023-RS,"establish a standing committee on federal review, and to declare an emergency.",Emergency Clause; Legislative Oversight; Legislature and Statutes; Organization of the Legislature,0
HB1083,2023_2024,2023-RS,modify the amounts required for proof of financial responsibility for the future for motor vehicles.,Liability; Motor Vehicles,0
HB1084,2023_2024,2023-RS,grant a common carrier the right of eminent domain for public use.,Eminent Domain; Public Utilities and Carriers,0
HB1085,2023_2024,2023-RS,require a case management service provider to disclose communications to an employee.,Health Care; Workers' Compensation,0
HB1086,2023_2024,2023-RS,create provisions for the Psychiatric Collaborative Care Model to be reimbursable for insurance.,Health Care; Health Maintenance Organizations; Insurance,0
HB1087,2023_2024,2023-RS,prohibit certain restrictive employment contracts.,Contracts; Health Care,0
HB1088,2023_2024,2023-RS,update requirements for an insurance company seeking to do business in this state.,Insurance,0
HB1089,2023_2024,2023-RS,require notice and compensation prior to entry upon private land for the purpose of causing an examination and survey.,Eminent Domain; Judicial Remedies; Public Utilities and Carriers,0
HB1090,2023_2024,2023-RS,modify protections for agricultural operations from nuisance claims.,Code Commission; Judicial Remedies; Liability,0
HB1091,2023_2024,2023-RS,amend provisions of the insurance statutes regarding producer recommendations and responsibilities.,Insurance,0
HB1092,2023_2024,2023-RS,revise the definition of marriage.,Domestic Relations; Marriage,0
HB1093,2023_2024,2023-RS,make an appropriation to enhance the economic health of South Dakota and to declare an emergency.,Appropriation; Emergency Clause; Hoghouse-Vehicle Bill,0
HB1094,2023_2024,2023-RS,"lower the state sales tax rate and the state use tax rate on food to zero percent, and to repeal a conditional reduction of certain gross receipts tax rates.",Appropriation; Emergency Clause; Hoghouse-Vehicle Bill,0
HB1095,2023_2024,2023-RS,lower the state sales tax rate and the state use tax rate on food to two and one-half percent.,Food Tax; Retail Sales and Service Tax; Taxation,0
HB1096,2023_2024,2023-RS,lower the state sales tax rate and the state use tax rate on food to three and one-half percent.,Food Tax; Retail Sales and Service Tax; Taxation,0
HB1097,2023_2024,2023-RS,revise the definition of an abused or neglected child.,Child Abuse; Medical Cannabis; Minors,0
HB1098,2023_2024,2023-RS,revise provisions related to juror compensation.,Courts and Judiciary,0
HB1099,2023_2024,2023-RS,permit the display of campaign signage in municipalities prior to the beginning of absentee voting.,Elections; Municipal Government; Speech and Expression,0
HB1100,2023_2024,2023-RS,authorize landowner-on-own-land elk licenses.,"Game, Fish, Parks and Forestry; Hunting",0
HB1101,2023_2024,2023-RS,ensure the proper labeling of American Indian arts and crafts.,Native Americans; Trade Regulation,0
HB1102,2023_2024,2023-RS,clarify and modify requirements related to the medical cannabis program.,Boards and Commissions; Health Care; Licensure; Medical Cannabis; Professions and Occupations,0
HB1103,2023_2024,2023-RS,waive the fee for nondriver identification cards for individuals at or below the federal poverty level.,Driver License; Motor Vehicles,0
HB1104,2023_2024,2023-RS,require written consent for a third party to transmit a completed voter registration form.,Crimes; Elections; Voting,0
HB1105,2023_2024,2023-RS,establish the legal standing of the Legislature to bring suit and be a necessary party in actions involving election law violations by public officials.,Election Verification; Elections; Legislative Oversight; Litigation,0
HB1106,2023_2024,2023-RS,revise certain provisions pertaining to poll watchers.,Elections; Voting,0
HB1107,2023_2024,2023-RS,allow townships to assess up to four dollars per front foot for a township paved road in a paved development and assess properties within three hundred feet of the paved road.,"Highways, Roads, and Bridges; Townships",0
HB1108,2023_2024,2023-RS,revise provisions related to abandoned mobile or manufactured homes.,Judicial Remedies; Manufactured Homes,0
HB1109,2023_2024,2023-RS,modify the occupation tax for business improvement districts.,Municipal Government; Taxation,0
HB1110,2023_2024,2023-RS,revise the provisions on procuring a tax deed when the property owner has died.,Property Tax; Taxation,0
HB1111,2023_2024,2023-RS,"increase campaign contribution limits for statewide, legislative, and county campaigns.",Campaign Finance; Delayed Effective Date; Elections,0
HB1112,2023_2024,2023-RS,modify provisions for a statewide runoff election.,Elections; Voting,0
HB1113,2023_2024,2023-RS,allow property tax rates for an ambulance district to vary based on property classification.,Emergency Medical Services; Property Tax; Public Health and Safety,0
HB1114,2023_2024,2023-RS,revise the qualifications to be a member of a county recount board.,Elections; Promulgation of Rules,0
HB1115,2023_2024,2023-RS,revise certain provisions pertaining to the destruction of ballots and pollbooks after an election.,Election Verification; Elections; Voting,0
HB1116,2023_2024,2023-RS,prohibit the use of state resources in hosting lewd or lascivious content.,Education; Higher Education; Obscenity and Public Indecency; Speech and Expression,0
HB1117,2023_2024,2023-RS,"make an appropriation to support the small and mid-sized manufacturers, and to declare an emergency.",Appropriation; Economic Development; Emergency Clause; Higher Education,0
HB1118,2023_2024,2023-RS,"make an appropriation to support the South Dakota Small Business Development Center and the South Dakota Procurement Technical Assistance Center, and to declare an emergency.",Appropriation; Economic Development; Emergency Clause; Higher Education,0
HB1119,2023_2024,2023-RS,to classify 911 telecommunicators as Class B members of the South Dakota Retirement System.,Retirement System,0
HB1120,2023_2024,2023-RS,establish provisions for the operation of automated motor vehicles.,Boards and Commissions; Motor Vehicles; Promulgation of Rules,0
HB1121,2023_2024,2023-RS,expand the definition of a pesticide dealer.,Agriculture and Horticulture; Pesticide,0
HB1122,2023_2024,2023-RS,authorize the participation of tenth grade students in the dual credit program.,Education; Higher Education; Students,0
HB1123,2023_2024,2023-RS,authorize school boards to modify the length of terms for members to allow for holding joint elections.,Education; Elections; School Districts,0
HB1124,2023_2024,2023-RS,modify provisions pertaining to the testing of automatic tabulating equipment.,Election Verification; Elections,0
HB1125,2023_2024,2023-RS,expand provisions regarding the protection of minors from certain exhibitions.,Crimes; Obscenity and Public Indecency,0
HB1126,2023_2024,2023-RS,revise the fee for a utility to cross a railroad right-of-way.,Public Utilities and Carriers; Railroads; Rights-of-way,0
HB1127,2023_2024,2023-RS,make an appropriation to support volunteer fire departments and to declare an emergency.,Appropriation; Firefighters; Grants,0
HB1128,2023_2024,2023-RS,"revise provisions pertaining to absentee voting at nursing facilities, assisted living centers, or hospitals.",Absentee Voting; Elections; Voting,0
HB1129,2023_2024,2023-RS,modify and establish provisions related to medical cannabis.,Boards and Commissions; Health Care; Licensure; Medical Cannabis; Professions and Occupations; Public Health and Safety,0
HB1130,2023_2024,2023-RS,require an official declaration of war or other Congressional action before the South Dakota National Guard may be deployed outside of the state.,Military Affairs; National Guard,0
HB1131,2023_2024,2023-RS,prevent the imposition or enforcement of extreme risk protection orders and to provide a penalty therefor.,Crimes; Firearms; Mentally Ill Persons,0
HB1132,2023_2024,2023-RS,revise provisions regarding the duties of the medical marijuana oversight committee.,Legislative Oversight; Medical Cannabis; Public Health and Safety,0
HB1133,2023_2024,2023-RS,define a commodity for the purpose of qualifying as a common carrier.,Eminent Domain; Pipelines; Public Utilities and Carriers,0
HB1134,2023_2024,2023-RS,require property owner consent before construction resulting in lake water level alteration.,Water Rights,0
HB1135,2023_2024,2023-RS,provide for transparency in the pricing of prescription drugs.,Food and Drugs; Health Care; Insurance,0
HB1136,2023_2024,2023-RS,prohibit the condemnation of private land for certain non-public purposes.,Eminent Domain; Pipelines; Public Utilities and Carriers,0
HB1137,2023_2024,2023-RS,"reduce certain gross receipts tax rates and a use tax rate, and to repeal a conditional reduction of certain gross receipts tax rates.",Retail Sales and Service Tax; Sunset Clause; Taxation,0
HB1138,2023_2024,2023-RS,require updated cost report information for certain community-based health and human services providers.,Human Services; Public Welfare and Assistance,0
HB1139,2023_2024,2023-RS,codify the fundamental right of a parent.,Parental Control; State Affairs and Government,0
HB1140,2023_2024,2023-RS,require the secretary of state to determine if a legislatively proposed constitutional amendment complies with the single subject requirement and is not a constitutional revision.,Ballot Measures; Constitutional Amendments; Elections,0
HB1141,2023_2024,2023-RS,provide property tax relief for owner-occupied single-family dwellings.,Hoghouse-Vehicle Bill; Taxation,0
HB1142,2023_2024,2023-RS,improve education outcomes and college affordability.,Education; Higher Education; Hoghouse-Vehicle Bill,0
HB1143,2023_2024,2023-RS,"make an appropriation for the restoration, maintenance, and repair of the state capitol and to declare an emergency.",Hoghouse-Vehicle Bill,0
HB1144,2023_2024,2023-RS,bolster the workforce of South Dakota.,Hoghouse-Vehicle Bill,0
HB1145,2023_2024,2023-RS,revise the order of precedence for the right to control the disposition of the remains of a deceased person.,Public Health and Safety,0
HB1146,2023_2024,2023-RS,establish a citizen's legal standing to request a writ of mandamus or prohibition.,Election Verification; Elections; Voting,0
HB1147,2023_2024,2023-RS,provide for the organization of townships or fractions of townships.,Counties; Petitions; Townships,0
HB1148,2023_2024,2023-RS,clarify registration and residence requirements for voting at a township meeting.,Crimes; Townships; Voting,0
HB1149,2023_2024,2023-RS,revise the classification of owner-occupied single-family dwellings to include more than one attached or unattached garage.,Property Tax; Taxation,0
HB1150,2023_2024,2023-RS,provide a medical cannabis patient a registry identification card fee waiver in certain circumstances.,Health Care; Medical Cannabis,0
HB1151,2023_2024,2023-RS,create the South Dakota paid family leave program.,Insurance; Labor and Employment; Public Officers and Employees; State Employees,0
HB1152,2023_2024,2023-RS,provide oversight regarding the exercise of gubernatorial emergency powers.,Emergency Management; Legislative Oversight,0
HB1153,2023_2024,2023-RS,"update travel expenses, moving expenses, and other reimbursements.",Public Officers and Employees; State Employees,0
HB1154,2023_2024,2023-RS,modify acceptable conduct for practitioners related to medical cannabis.,Crimes; Medical Cannabis,0
HB1155,2023_2024,2023-RS,add dental practices as eligible facilities to participate in the rural health care recruitment assistance program.,Economic Development; Health Care; Public Health and Safety,0
HB1156,2023_2024,2023-RS,enact the Uniform Electronic Recordation of Custodial Interrogations Act.,Criminal Procedure; Delayed Effective Date; Law Enforcement; Privileged Communications,0
HB1157,2023_2024,2023-RS,require the South Dakota Lottery to promote public awareness on the adverse effects of gambling.,Gambling; Lottery; Recreation and Sports,0
HB1158,2023_2024,2023-RS,ban counterfeit airbags.,Motor Vehicles,0
HB1159,2023_2024,2023-RS,exempt feminine hygiene products from the state sales tax.,Retail Sales and Service Tax; Tax Exemptions; Taxation,0
HB1160,2023_2024,2023-RS,limit probation for offenders with four or more felony convictions.,"Penal Institutions, Probation and Parole",0
HB1161,2023_2024,2023-RS,provide staffing ratios for day care providers.,Minors,0
HB1162,2023_2024,2023-RS,authorize employers to acquire and make available opioid antagonists.,Controlled Substances; Labor and Employment; Public Health and Safety,0
HB1163,2023_2024,2023-RS,prohibit the dissemination of obscene material to minors in a public school or public library.,Crimes; Libraries; Obscenity and Public Indecency; Schools,0
HB1164,2023_2024,2023-RS,revise provisions for the sale of tax deeds and to grant the prior owner of a property entitlement to proceeds from the sale of tax deeds.,Property Tax; Taxation,0
HB1165,2023_2024,2023-RS,modify certain provisions pertaining to absentee voting.,Absentee Voting; Elections; Voting,0
HB1166,2023_2024,2023-RS,revise certain provisions related to mileage reimbursement.,Legislature and Statutes,0
HB1167,2023_2024,2023-RS,annually adjust the rate for community-based providers to one hundred percent of methodology.,Human Services; Public Welfare and Assistance,0
HB1168,2023_2024,2023-RS,require active efforts to preserve and reunite Indian families in abuse and neglect proceedings.,Indian Tribes; Minors,0
HB1169,2023_2024,2023-RS,authorize the performance and reporting of medical procedures to avert the death or physical impairment of a pregnant female and to declare an emergency.,Abortion; Emergency Clause,0
HB1170,2023_2024,2023-RS,establish mandatory sentences for certain driving while under the influence violations.,"Motor Vehicles; Penal Institutions, Probation and Parole",0
HB1171,2023_2024,2023-RS,establish a parole hearing requirement for certain inmates.,"Penal Institutions, Probation and Parole",0
HB1172,2023_2024,2023-RS,require a practitioner's medical assessment of a patient to occur in certain facilities for purposes of medical cannabis use.,Health Care; Medical Cannabis,0
HB1173,2023_2024,2023-RS,"prevent the enforcement of federal laws and directives related to firearms, accessories, and ammunition.",Crimes; Firearms; Law Enforcement; Penalty,0
HB1174,2023_2024,2023-RS,provide for appropriate civil commitment of certain persons.,Developmentally Disabled Persons,0
HB1175,2023_2024,2023-RS,"update references to the Governor, lieutenant governor, and other persons.",Technical/Cleanup Changes,0
HB1176,2023_2024,2023-RS,revise certain provisions regarding on-sale alcoholic beverage licenses for use at municipality-owned facilities.,Alcoholic Beverages; Delayed Effective Date; Municipal Government,0
HB1177,2023_2024,2023-RS,revise the retirement benefits of certain rehired teachers at qualifying public school districts.,Retirement System; Teachers,0
HB1178,2023_2024,2023-RS,establish a timeline and conditions for consideration of an application to construct a carbon dioxide transmission facility.,Pipelines; Public Utilities and Carriers,0
HB1179,2023_2024,2023-RS,require members of the Legislature to attend a course on the federal and state constitutions.,Legislature and Statutes,0
HB1180,2023_2024,2023-RS,modify hours of employment for children under fourteen years of age.,Labor and Employment; Minors,0
HB1181,2023_2024,2023-RS,modify the annual minimum wage adjustment.,Labor and Employment,0
HB1182,2023_2024,2023-RS,allow the parole of inmates sentenced to life imprisonment without parole for crimes committed under age twenty-one.,"Penal Institutions, Probation and Parole",0
HB1183,2023_2024,2023-RS,authorize the state's participation in the interstate compact on occupational therapy licensure.,Boards and Commissions; Compacts; Fees; Health Care; Licensure; Professions and Occupations,0
HB1184,2023_2024,2023-RS,revise provisions related to the One-Call Notification Board.,Public Utilities and Carriers,0
HB1185,2023_2024,2023-RS,prohibit certain restrictions in employment contracts.,Contracts; Health Care,0
HB1186,2023_2024,2023-RS,"require restitution for landowners following an unauthorized entry to hunt, fish, or trap.","Fishing; Game, Fish, Parks and Forestry; Hunting; Liability",0
HB1187,2023_2024,2023-RS,make an appropriation for pediatric cancer research and resource projects and to declare an emergency.,Appropriation; Emergency Clause; Grants; Health Care; Minors; Reports,0
HB1188,2023_2024,2023-RS,provide for property owner inclusion in the pipeline siting application and condemnation process.,Eminent Domain; Judicial Remedies; Pipelines; Public Utilities and Carriers,0
HB1189,2023_2024,2023-RS,require certain entities owning agricultural land to report foreign beneficial ownership interests.,Agency; Agricultural Land,0
HB1190,2023_2024,2023-RS,make an appropriation to provide a grant for the construction of a military heritage museum in Sioux Falls and declare an emergency.,Appropriation; Emergency Clause; Grants; Veterans Affairs,0
HB1191,2023_2024,2023-RS,clarify the duties of truancy officers.,Education; Truancy,0
HB1192,2023_2024,2023-RS,extend Medicaid postpartum coverage.,Medicaid; Public Welfare and Assistance,0
HB1193,2023_2024,2023-RS,amend provisions of the Uniform Commercial Code.,Delayed Effective Date; Uniform Commercial Code,0
HB1194,2023_2024,2023-RS,revise the interest rate on garnishments.,Debtor and Creditor,0
