bill_id,term,session,short_title,attributes,keywords,commem
HB0378,2023_2024,2023-RS,Firefighters Criminal History Record Checks.,Public; Text has changed,"criminal records, emergency services, employment, firefighters & firefighting, insurance dept., minors, personnel, presented, public, ratified, records, chaptered, insurance commissioner, fire marshall",0
HB0379,2023_2024,2023-RS,Fair Use of Consumer Reports.,Public,"commerce, consumer credit, consumer protection, debtor & creditor, financial services, housing, landlord & tenant, rentals & leasing, public",0
HB0380,2023_2024,2023-RS,Provide Support to Jail Inspectors.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, correctional institutions, dhhs, inspections, jails, personnel, inmates, public, safety, state employees, government employees",0
HB0381,2023_2024,2023-RS,Funds for Local Airport Projects.,Public; Contains Appropriations; Contains Local Appropriations,"aircraft, airports, appropriations, authorities, aviation, budget & management office, budgeting, construction, counties, education, emerging technologies, employment, local government, municipalities, property, public, purchasing, real estate, stem, transportation, vocational education, hyde county, washington county, washington, property-local government, unmanned aircraft, airport authorities",0
HB0382,2023_2024,2023-RS,Registered Nurses in Schools.,Public; Text has changed,"boards, education, education boards, education, state board of, elementary education, employment, health services, kindergarten, local government, nurses & nursing, occupations, personnel, public, secondary education, state employees, government employees, school staff",0
HB0383,2023_2024,2023-RS,Funds/Mattamuskeet Lodge.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, buildings, commissions, conservation, counties, cultural resources, environment, fish & wildlife, historic preservation, property, public, state buildings, wildlife resources comn., hyde county, public buildings, property-state government",0
HB0384,2023_2024,2023-RS,Cities/Use of Perpetual Care Trust Funds.,Public; Text has changed,"cemeteries, cemetery comn., commissions, funds & accounts, local government, municipalities, public, trusts",0
HB0385,2023_2024,2023-RS,Various Energy/Env. Changes.,Public; Text has changed,"administrative code, administrative rules, agricultural location, agriculture, alarm systems, animals, aquaculture, archaeology, building codes, buildings, cama, coastal resources, coastal resources comn., commerce, commissions, construction, counties, crimes, cultural resources, definitions, deq, electricity generation & distribution, environment, environmental review comn., fines & penalties, fisheries, fisheries products, food services, foods & beverages, infrastructure, international trade, interstate cooperation, licenses & permits, livestock & poultry, local government, manufacturing, marine fisheries comn., mining & mineral extraction, municipalities, notification, planning & zoning, ports, public, public officials, reporting, safety, safety equipment, title change, transportation, utilities, water & sewer systems, water resources, alternative energy, boats & watercraft, beach erosion, erosion structures, local ordinances, state archaeologist",0
HB0386,2023_2024,2023-RS,Increase Permissible Interstate Speed Limit.,Public,"public, roads & highways, speed limit, transportation, transportation dept.",0
HB0387,2023_2024,2023-RS,Medal of Valor Award for First Responders.,Public; Text has changed,"awards, honors & memorials, council of state, emergency services, governor, information technology, internet, lt. governor, personnel, presented, public, public officials, ratified, chaptered, electronic government",1
HB0388,2023_2024,2023-RS,Campaign Contribution/Expenditure Thresholds.,Public; Text has changed,"boards, campaign finance, elections, elections, state board of, lobbying, pacs, political activity, public, public officials, reporting",0
HB0389,2023_2024,2023-RS,NCGA/Safe Workplace Policy.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, budgeting, commissions, committees, contracts, discrimination, education, ethics, general assembly, lgbtq & gender issues, investigations, legislative ethics comm., legislative services comn., president pro tempore, professional education, public, reporting, safety, sex offenses, speaker, work safety, minority leader (house), minority leader (senate), sexual harassment",0
HB0390,2023_2024,2023-RS,FSU Carryforward Certain Funds.,Public; Contains Appropriations; Contains Local Appropriations,"appropriations, boards, budgeting, capital spending, colleges & universities, counties, crimes, education, funds & accounts, health services, higher education, infrastructure, municipalities, nurses & nursing, occupations, professional education, public, sex offenses, unc, unc board of governors, cumberland county, fayetteville, capital & infrastructure fund",0
HB0391,2023_2024,2023-RS,Civic Youth Group Access.,Public,"boards, corporations, nonprofit, education, education boards, elementary education, local government, minors, public, secondary education, ngos, youth programs",0
HB0392,2023_2024,2023-RS,Reflexologist Right to Work Act.,Public,"alternative medicine, boards, commerce, health services, licensing & certification, massage therapy, massage therapy board, occupations, public",0
HB0393,2023_2024,2023-RS,Appliance Lemon Law.,Public,"commerce, consumer protection, manufacturing, public, warranties, appliances & electronics",0
HB0394,2023_2024,2023-RS,Authorize Federal Notaries.,Public,"council of state, employment, licensing & certification, notary public, occupations, personnel, public, public officials, secretary of state",0
HB0395,2023_2024,2023-RS,Counties/Semiannual Assessments.,Public,"counties, debtor & creditor, landowners, local government, property, public, real estate, taxation, taxes, property, tax collection",0
HB0396,2023_2024,2023-RS,Repeal Participation in ERIC.,Public; Uncodified,"boards, data & records systems, elections, elections, state board of, information technology, public, public officials, session laws, records",0
HB0397,2023_2024,2023-RS,Town of Lake Lure/Property Lease.,Local; Text has changed; Uncodified,"counties, rentals & leasing, local, local government, municipalities, property, ratified, real estate, rutherford county, chaptered, lake lure (town)",0
