bill_number,session,chamber,action_date,action,journal_page,action_note,chamber_order
HF5442,2023_RS,House,2024-05-06,Author stricken Jordan,15768,,2
HF5442,2023_RS,House,2024-05-06,Author added Smith,15768,,3
HF5442,2023_RS,House,2024-05-13,Author stricken Feist,16582,,4
HF5442,2023_RS,House,2024-05-17,Author stricken Edelson,17378,,5
HF5441,2023_RS,House,2024-05-01,"Introduction and first reading, referred to Commerce Finance and Policy",15380,Intro,1
HF5441,2023_RS,House,2024-05-02,Author added Altendorf,15599,,2
HF5440,2023_RS,House,2024-05-01,"Introduction and first reading, referred to Climate and Energy Finance and Policy",15380,Intro,1
HF5439,2023_RS,House,2024-05-01,"Introduction and first reading, referred to Housing Finance and Policy",15380,Intro,1
HF5438,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Capital Investment",15294,Intro,1
HF5437,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Taxes",15294,Intro,1
HF5436,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Housing Finance and Policy",15294,Intro,1
HF5435,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Judiciary Finance and Civil Law",15294,Intro,1
HF5435,2023_RS,House,2024-05-03,"Motion to recall and re-refer, motion prevailed Rules and Legislative Administration",15717,,2
HF5435,2023_RS,House,2024-05-18,"Committee report, to adopt",17543,,3
HF5435,2023_RS,House,2024-05-18,Second reading,17543,,4
HF5435,2023_RS,House,2024-05-19,"House rule 1.21, placed on Calendar for the Day Sunday, May 19, 2024",18043,,5
HF5434,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Housing Finance and Policy",15293,Intro,1
HF5433,2023_RS,House,2024-04-30,"Introduction and first reading, referred to Economic Development Finance and Policy",15293,Intro,1
HF5432,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Public Safety Finance and Policy",15198,Intro,1
HF5431,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Capital Investment",15198,Intro,1
HF5430,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Capital Investment",15198,Intro,1
HF5429,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Capital Investment",15198,Intro,1
HF5428,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Health Finance and Policy",15197,Intro,1
HF5428,2023_RS,House,2024-04-30,Author added Hemmingsen-Jaeger,15348,,2
HF5427,2023_RS,House,2024-04-29,"Introduction and first reading, referred to Capital Investment",15197,Intro,1
HF5426,2023_RS,House,2024-04-26,"Introduction and first reading, referred to Capital Investment",15029,Intro,1
HF5425,2023_RS,House,2024-04-26,"Introduction and first reading, referred to Veterans and Military Affairs Finance and Policy",15028,Intro,1
HF5424,2023_RS,House,2024-04-26,"Introduction and first reading, referred to Capital Investment",15028,Intro,1
HF5423,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Climate and Energy Finance and Policy",14633,Intro,1
HF5422,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Judiciary Finance and Civil Law",14632,Intro,1
HF5421,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Commerce Finance and Policy",14632,Intro,1
HF5421,2023_RS,House,2024-04-26,Author added Wiens,15029,,2
HF5420,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Capital Investment",14632,Intro,1
HF5420,2023_RS,House,2024-04-26,Author added Wiens,15029,,2
HF5419,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Capital Investment",14632,Intro,1
HF5418,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Capital Investment",14632,Intro,1
HF5417,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Transportation Finance and Policy",14632,Intro,1
HF5416,2023_RS,House,2024-04-25,"Introduction and first reading, referred to Transportation Finance and Policy",14631,Intro,1
HF5415,2023_RS,House,2024-04-25,"Introduction and first reading, referred to State and Local Government Finance and Policy",14631,Intro,1
HF5414,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Capital Investment",14485,Intro,1
HF5413,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Capital Investment",14485,Intro,1
HF5413,2023_RS,House,2024-05-01,"Motion to return bill to author, motion prevailed",15434,,2
HF5412,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Transportation Finance and Policy",14485,Intro,1
HF5412,2023_RS,House,2024-05-01,Authors added Moller and Tabke,15434,,2
HF5411,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Transportation Finance and Policy",14484,Intro,1
HF5410,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Taxes",14484,Intro,1
HF5409,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Commerce Finance and Policy",14484,Intro,1
HF5409,2023_RS,House,2024-05-02,Author added Neu Brindley,15599,,2
HF5408,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Capital Investment",14484,Intro,1
HF5407,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Taxes",14484,Intro,1
HF5407,2023_RS,House,2024-04-25,Author added Kiel,14633,,2
HF5406,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Capital Investment",14483,Intro,1
HF5406,2023_RS,House,2024-05-17,Author added Vang,17378,,2
HF5405,2023_RS,House,2024-04-24,"Introduction and first reading, referred to Taxes",14483,Intro,1
HF5404,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Elections Finance and Policy",13709,Intro,1
HF5403,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Capital Investment",13709,Intro,1
HF5403,2023_RS,House,2024-04-26,Author added Sencer-Mura,15029,,2
HF5403,2023_RS,House,2024-05-13,Author added Clardy,16582,,3
HF5402,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Capital Investment",13709,Intro,1
HF5401,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Taxes",13709,Intro,1
HF5400,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Higher Education Finance and Policy",13708,Intro,1
HF5399,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Health Finance and Policy",13708,Intro,1
HF5398,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Elections Finance and Policy",13708,Intro,1
HF5397,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Capital Investment",13708,Intro,1
HF5396,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Public Safety Finance and Policy",13708,Intro,1
HF5395,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Capital Investment",13708,Intro,1
HF5394,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Housing Finance and Policy",13707,Intro,1
HF5393,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Environment and Natural Resources Finance and Policy",13707,Intro,1
HF5393,2023_RS,House,2024-04-24,Author added Robbins,14520,,2
HF5392,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Human Services Policy",13707,Intro,1
HF5391,2023_RS,House,2024-04-18,"Introduction and first reading, referred to Workforce Development Finance and Policy",13707,Intro,1
HF5390,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Agriculture Finance and Policy",13316,Intro,1
HF5389,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13316,Intro,1
HF5388,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Economic Development Finance and Policy",13316,Intro,1
HF5387,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13316,Intro,1
HF5386,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Education Policy",13316,Intro,1
HF5385,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Economic Development Finance and Policy",13316,Intro,1
HF5385,2023_RS,House,2024-04-15,"See SF 5289, Ch. 120, Article 1, Section 6",,,2
HF5384,2023_RS,House,2024-04-15,"Introduction and first reading, referred to Capital Investment",13315,Intro,1
