bill_id,session,intro_date,H_author,S_author,coauthors,title,bill_url
HB1001,2023-SS2,2023-10-03,McCall (H),,Lepak (H),Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1001&Session=232X
HB1002,2023-SS2,2023-10-03,McCall (H),,Lepak (H),Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1002&Session=232X
HB1003,2023-SS2,2023-10-03,McCall (H),,Lepak (H),Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1003&Session=232X
HB1004,2023-SS2,2023-10-03,McCall (H),,Lepak (H),Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1004&Session=232X
HB1005,2023-SS2,2023-10-03,McCall (H),,Lepak (H),Revenue and taxation; Oklahoma Revenue and Taxation Policy Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1005&Session=232X
HB1006,2023-SS2,2023-10-03,Wolfley (H),,,"Revenue and taxation, income tax, retirement income, exceptions, emergency.",http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1006&Session=232X
HB1007,2023-SS2,2023-10-03,Wolfley (H),,,Revenue and taxation; individual income tax; rates; taxable years; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1007&Session=232X
HB1008,2023-SS2,2023-10-03,Steagall (H),,,Revenue and taxation; individual income tax; rates; reductions; corporate income tax rates; reductions; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1008&Session=232X
HB1009,2023-SS2,2023-10-03,Provenzano (H),,Ranson (H); Bennett (H); Hefner (H); Munson (H); Menz (H); Deck (H); Waldron (H); Rosecrants (H); Turner (H); Dollens (H); Nichols (H),Revenue and taxation; sales tax; exemption; grocery items; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1009&Session=232X
HB1010,2023-SS2,2023-10-03,Munson (H),,Ranson (H); Bennett (H); Schreiber (H); Provenzano (H); Hefner (H); Menz (H); Deck (H); Waldron (H); Rosecrants (H); Turner (H); Dollens (H); Nichols (H),Revenue and taxation; earned income tax credit; credit amount; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1010&Session=232X
HB1011,2023-SS2,2023-10-03,O'Donnell (H),,,Public finance; 2023 Inflation Relief Fund.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1011&Session=232X
HB1012,2023-SS2,2023-10-03,O'Donnell (H),,,2023 Inflation Relief Fund; appropriation.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1012&Session=232X
HB1013,2023-SS2,2023-10-03,Fugate (H),,Bennett (H); Provenzano (H); Schreiber (H); Hefner (H); Ranson (H); Munson (H); Swope (H); Alonso-Sandoval (H); Menz (H); Deck (H); Waldron (H); Rosecrants (H); Turner (H); Dollens (H); Nichols (H),Revenue and taxation; sales tax relief; credit amount; scale; income qualification; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1013&Session=232X
HB1014,2023-SS2,2023-10-03,Fugate (H),,Waldron (H); Dollens (H),Revenue and taxation; Oklahoma Tax Commission; tax information; confidentiality; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1014&Session=232X
HB1015,2023-SS2,2023-10-03,Humphrey (H),,,Revenue and taxation; sales tax; motor vehicle excise tax; emergency.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1015&Session=232X
HB1016,2023-SS2,2023-10-03,Lepak (H),,,Revenue and taxation; Income Tax Rate Reduction with Economic Prosperity Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1016&Session=232X
HB1017,2023-SS2,2023-10-03,Lepak (H),,,Revenue and taxation; Single Rate for All Income Tax Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1017&Session=232X
HB1018,2023-SS2,2023-10-03,Lepak (H),,,Revenue and taxation; Path to Two and a Half Income Tax Rate Act of 2024; effective date.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HB1018&Session=232X
HJR1001,2023-SS2,2023-10-03,Gann (H),,West (Rick) (H),Oklahoma Constitution; appropriations; authority; revenues; Constitutional Reserve Fund; Taxpayer Relief Fund; ballot title; filing.,http://www.oklegislature.gov/BillInfo.aspx?Bill=HJR1001&Session=232X
SB9998,2023-SS2,2023-10-04,,,,This is a test bill for 2023 Second Special Session,http://www.oklegislature.gov/BillInfo.aspx?Bill=SB9998&Session=232X
SCR1,2023-SS2,2023-10-03,Echols (H),McCortney (S),,Concurrent resolution; allowing adjournment of the Legislature for a period in excess of three days for duration of the 2nd Extraordinary Session of the 59th Oklahoma Legislature.,http://www.oklegislature.gov/BillInfo.aspx?Bill=SCR1&Session=232X
