bill_id,session,chamber,action_date,journal_page,action,order
HB1001,2024-RS,H,2023-02-06,70,First Reading,1
HB1001,2024-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1001,2024-RS,H,2023-02-07,299,Second Reading referred to Public Safety,3
HB1001,2024-RS,H,2023-02-27,403,Withdrawn from Public Safety Committee,4
HB1001,2024-RS,H,2023-02-27,403,Referred to State Powers,5
HB1001,2024-RS,H,2023-03-01,432,CR; Do Pass State Powers Committee,6
HB1002,2024-RS,H,2023-02-06,70,First Reading,1
HB1002,2024-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1002,2024-RS,H,2023-02-06,296,Remove Representative Olsen as principal House author and substitute with Representative Kane,3
HB1002,2024-RS,H,2023-02-07,299,Second Reading referred to Public Safety,4
HB1003,2024-RS,H,2023-02-06,70,First Reading,1
HB1003,2024-RS,H,2023-02-06,70,Authored by Representative Olsen,2
HB1003,2024-RS,H,2023-02-07,299,Second Reading referred to Judiciary - Civil,3
HB1004,2024-RS,H,2023-02-06,71,First Reading,1
HB1004,2024-RS,H,2023-02-06,71,Authored by Representative Olsen,2
HB1004,2024-RS,H,2023-02-07,299,Second Reading referred to Business and Commerce,3
HB1004,2024-RS,H,2023-02-22,392,CR; Do Pass Business and Commerce Committee,4
HB1005,2024-RS,H,2023-02-06,71,First Reading,1
HB1005,2024-RS,H,2023-02-06,71,Authored by Representative West (Rick),2
HB1005,2024-RS,H,2023-02-07,299,Second Reading referred to Judiciary - Civil,3
HB1005,2024-RS,H,2023-02-23,400,CR; Do Pass Judiciary - Civil Committee,4
HB1005,2024-RS,H,2023-02-23,400,Authored by Senator Burns (principal Senate author),5
HB1005,2024-RS,H,2023-03-07,494,General Order,6
HB1005,2024-RS,H,2023-03-07,494,"Third Reading, Measure passed:  Ayes: 74 Nays: 0",7
HB1005,2024-RS,H,2023-03-07,494,Referred for engrossment,8
HB1005,2024-RS,H,2023-03-07,508,"Engrossed, signed, to Senate",9
HB1005,2024-RS,S,2023-03-07,582,First Reading,10
HB1005,2024-RS,S,2023-03-23,840,Second Reading referred to Judiciary,11
HB1005,2024-RS,S,2023-04-11,925,Reported Do Pass Judiciary committee; CR filed,12
HB1005,2024-RS,S,2023-04-17,952,"General Order, Considered",13
HB1005,2024-RS,S,2023-04-17,953,Measure passed:  Ayes: 46  Nays: 2,14
HB1005,2024-RS,S,2023-04-17,953,"Engrossed measure signed, returned to House",15
HB1005,2024-RS,H,2023-04-17,993,Referred for enrollment,16
HB1005,2024-RS,H,2023-04-18,997,"Enrolled, signed, to Senate",17
HB1005,2024-RS,S,2023-04-18,991,"Enrolled measure signed, returned to House",18
HB1005,2024-RS,H,2023-04-18,1016,Sent to Governor,19
HB1005,2024-RS,H,2023-04-19,1048,Approved by Governor 04/19/2023,20
HB1006,2024-RS,H,2023-02-06,71,First Reading,1
HB1006,2024-RS,H,2023-02-06,71,Authored by Representative West (Rick),2
HB1006,2024-RS,H,2023-02-07,299,Second Reading referred to Common Education,3
HB1006,2024-RS,H,2023-02-21,382,CR; Do Pass Common Education Committee,4
HB1006,2024-RS,H,2023-02-21,382,Coauthored by Representative(s) Talley,5
HB1006,2024-RS,H,2023-02-21,382,Authored by Senator Murdock (principal Senate author),6
HB1006,2024-RS,H,2023-03-21,810,General Order,7
HB1006,2024-RS,H,2023-03-21,810,Coauthored by Representative(s) Bashore,8
HB1006,2024-RS,H,2023-03-21,811,"Third Reading, Measure passed:  Ayes: 74 Nays: 22",9
HB1006,2024-RS,H,2023-03-21,811,Referred for engrossment,10
HB1006,2024-RS,H,2023-03-22,819,"Engrossed, signed, to Senate",11
HB1006,2024-RS,S,2023-03-22,793,First Reading,12
HB1006,2024-RS,S,2023-03-30,871,Second Reading referred to Education,13
HB1006,2024-RS,S,2023-04-04,888,Reported Do Pass Education committee; CR filed,14
HB1006,2024-RS,S,2024-03-19,649,"General Order, Considered",15
HB1006,2024-RS,S,2024-03-19,649,Measure passed:  Ayes: 40  Nays: 4,16
HB1006,2024-RS,S,2024-03-19,649,"Engrossed measure signed, returned to House",17
HB1006,2024-RS,H,2024-03-19,710,Referred for enrollment,18
HB1006,2024-RS,H,2024-03-25,713,"Enrolled, signed, to Senate",19
HB1006,2024-RS,S,2024-03-25,662,"Enrolled measure signed, returned to House",20
HB1006,2024-RS,H,2024-03-25,721,Sent to Governor,21
HB1006,2024-RS,H,2024-03-26,726,Approved by Governor 03/26/2024,22
HB1007,2024-RS,H,2023-02-06,71,First Reading,1
HB1007,2024-RS,H,2023-02-06,71,Authored by Representative West (Rick),2
HB1007,2024-RS,H,2023-02-07,299,"Second Reading referred to Alcohol, Tobacco and Controlled Substances",3
HB1007,2024-RS,H,2023-02-27,403,"Withdrawn from Alcohol, Tobacco and Controlled Substances Committee",4
HB1007,2024-RS,H,2023-02-27,403,Referred to Rules,5
HB1008,2024-RS,H,2023-02-06,71,First Reading,1
HB1008,2024-RS,H,2023-02-06,71,Authored by Representative West (Rick),2
HB1008,2024-RS,H,2023-02-07,300,Second Reading referred to Agriculture,3
HB1008,2024-RS,H,2023-02-15,361,"CR; Do Pass, amended by committee substitute Agriculture Committee",4
HB1008,2024-RS,H,2023-02-15,361,Authored by Senator Burns (principal Senate author),5
HB1008,2024-RS,H,2023-03-13,651,General Order,6
HB1008,2024-RS,H,2023-03-13,651,"Third Reading, Measure passed:  Ayes: 53 Nays: 36",7
HB1008,2024-RS,H,2023-03-13,652,Referred for engrossment,8
HB1008,2024-RS,H,2023-03-14,655,"Engrossed, signed, to Senate",9
HB1008,2024-RS,S,2023-03-14,686,First Reading,10
HB1008,2024-RS,S,2023-03-29,862,Second Reading referred to General Government,11
HB1008,2024-RS,S,2023-04-04,893,Coauthored by Senator Hamilton,12
HB1009,2024-RS,H,2023-02-06,71,First Reading,1
HB1009,2024-RS,H,2023-02-06,71,Authored by Representative Talley,2
HB1009,2024-RS,H,2023-02-07,300,Second Reading referred to Appropriations and Budget,3
HB1009,2024-RS,H,2023-02-07,,Referred to Appropriations and Budget Finance - Revenue and Taxation Subcommittee,4
HB1009,2024-RS,H,2023-02-20,,Recommendation to the full committee; Do Pass Appropriations and Budget Finance - Revenue and Taxation Subcommittee,5
HB1010,2024-RS,H,2023-02-06,72,First Reading,1
HB1010,2024-RS,H,2023-02-06,72,Authored by Representative West (Rick),2
HB1010,2024-RS,H,2023-02-07,300,Second Reading referred to General Government,3
HB1010,2024-RS,H,2023-02-14,358,"CR; Do Pass, amended by committee substitute General Government Committee",4
HB1010,2024-RS,H,2024-02-21,266,General Order,5
HB1010,2024-RS,H,2024-02-21,266,Authored by Senator Hamilton (principal Senate author),6
HB1010,2024-RS,H,2024-02-21,264,House Rule suspended,7
HB1010,2024-RS,H,2024-02-21,266,Amended,8
HB1010,2024-RS,H,2024-02-21,266,"Third Reading, Measure passed:  Ayes: 86 Nays: 0",9
HB1010,2024-RS,H,2024-02-21,266,Referred for engrossment,10
HB1010,2024-RS,H,2024-02-22,269,"Engrossed, signed, to Senate",11
HB1010,2024-RS,S,2024-02-22,295,First Reading,12
HB1010,2024-RS,S,2024-03-19,651,Second Reading referred to General Government,13
HB1010,2024-RS,S,2024-04-04,707,Reported Do Pass General Government committee; CR filed,14
HB1010,2024-RS,S,2024-04-22,836,"General Order, Considered",15
HB1010,2024-RS,S,2024-04-22,837,Measure passed:  Ayes: 43  Nays: 3,16
HB1010,2024-RS,S,2024-04-22,837,"Engrossed measure signed, returned to House",17
HB1010,2024-RS,H,2024-04-22,870,Referred for enrollment,18
HB1010,2024-RS,H,2024-04-23,879,"Enrolled, signed, to Senate",19
HB1010,2024-RS,S,2024-04-23,898,"Enrolled measure signed, returned to House",20
HB1010,2024-RS,H,2024-04-23,891,Sent to Governor,21
HB1010,2024-RS,H,2024-04-29,1002,Approved by Governor 04/26/2024,22
HB1011,2024-RS,H,2023-02-06,72,First Reading,1
HB1011,2024-RS,H,2023-02-06,72,Authored by Representative Olsen,2
HB1011,2024-RS,H,2023-02-07,300,Second Reading referred to Public Health,3
HB1012,2024-RS,H,2023-02-06,72,First Reading,1
HB1012,2024-RS,H,2023-02-06,72,Authored by Representative Echols,2
HB1012,2024-RS,H,2023-02-07,300,Second Reading referred to Health Services and Long-Term Care,3
HB1013,2024-RS,H,2023-02-06,72,First Reading,1
HB1013,2024-RS,H,2023-02-06,72,Authored by Representative Echols,2
HB1013,2024-RS,H,2023-02-07,300,Second Reading referred to Health Services and Long-Term Care,3
HB1013,2024-RS,H,2023-02-28,421,CR; Do Pass Health Services and Long-Term Care Committee,4
HB1013,2024-RS,H,2023-02-28,421,Authored by Senator Garvin (principal Senate author),5
HB1013,2024-RS,H,2023-03-23,874,General Order,6
HB1013,2024-RS,H,2023-03-23,874,"Coauthored by Representative(s) Hefner, Hasenbeck",7
HB1013,2024-RS,H,2023-03-23,874,House Rule suspended,8
HB1013,2024-RS,H,2023-03-23,874,Amended,9
HB1013,2024-RS,H,2023-03-23,874,Title stricken,10
HB1013,2024-RS,H,2023-03-23,875,"Third Reading, Measure passed:  Ayes: 94 Nays: 0",11
HB1013,2024-RS,H,2023-03-23,875,Referred for engrossment,12
HB1013,2024-RS,H,2023-03-27,910,"Engrossed, signed, to Senate",13
HB1013,2024-RS,S,2023-03-27,849,First Reading,14
HB1013,2024-RS,S,2023-03-30,871,Second Reading referred to Health and Human Services,15
HB1013,2024-RS,S,2023-04-13,948,Reported Do Pass as amended Health and Human Services committee; CR filed,16
HB1013,2024-RS,S,2023-04-13,948,Enacting clause stricken,17
HB1014,2024-RS,H,2023-02-06,72,First Reading,1
HB1014,2024-RS,H,2023-02-06,72,Authored by Representative Olsen,2
HB1014,2024-RS,H,2023-02-07,300,"Second Reading referred to Alcohol, Tobacco and Controlled Substances",3
HB1015,2024-RS,H,2023-02-06,72,First Reading,1
